OBJECTID_1,FEATURE_TY,COUNTY_FIP,ROAD_NAME,GlobalID,last_edited_date
1077,State Highway,139,Cornelia Hwy,{C0392CA8-90EE-4792-AF17-6D932432E428},
1078,State Highway,139,Dahlonega Hwy,{DC679057-3A6E-4105-A61A-3B88CD252CB1},
1079,State Highway,139,Dean St,{AF877F17-7D2A-4052-BED3-053F8EF53531},
1080,State Highway,139,Dirt Trl,{7E5F00B4-63C1-489A-BC4D-BABC23366E4A},
1081,State Highway,139,Friendship Rd,{D663A466-6B30-41C9-A538-6294272D355C},
1082,State Highway,139,Gillsville Hwy,{8D2AA58D-5C3D-4269-92DE-610AA5E33405},
1083,State Highway,057,Highway 92,{114CD766-0487-4818-822C-021C025158E1},
1084,State Highway,057,Highway 92,{E093CF9B-BF46-4DCC-B68C-5962BAD4A44B},
1085,State Highway,057,Howell Bridge Rd,{141E8C52-0466-4103-899A-6AE3AABE19C5},
1086,State Highway,057,Howell Bridge Rd,{6DB4ED1B-85D5-49EC-B61D-F6EC19E7B838},
1087,State Highway,057,State Route 140,{51FD7DE9-3FBB-441F-8633-65E3F72A7099},
1088,State Highway,057,State Route 140,{1BEDE1AA-6A26-40C5-892D-93857AAC8E8D},
1089,State Highway,057,State Route 140,{EDB58444-42B6-40CF-8EB8-18615F43300F},
1090,State Highway,057,State Route 140,{FB32D8E6-C80F-4106-8609-B175F1F9FA6F},
1091,State Highway,057,State Route 140,{26AC87A4-02CA-4D73-94C4-0A9C047B69C5},
1092,State Highway,057,State Route 140,{17AAC9F3-F409-4E79-A866-A8BF4448EE45},
1093,State Highway,139,Hazel St,{2CFF961F-A6DE-441B-AA68-91EDCF5AB9F9},
1094,State Highway,139,Homer Rd,{8B66DD0D-D1E3-4E6C-BD7F-42B3231EDA65},
1095,State Highway,139,King St,{8E0D56FC-DA8D-4D02-8311-B07EABE4387F},
1096,State Highway,139,Lula Rd,{9E29B226-D388-4024-BB9F-5989E8159EB8},
1097,State Highway,139,Main St,{0D20098D-3B95-4B4C-B30A-1C1E87277255},
1098,State Highway,139,Mcever Ext,{F6BF664B-5983-4B05-9190-55E6E16608D9},
1099,State Highway,139,McEver Rd,{012E5577-5008-4DF0-A55F-FCEC9045DC8A},
1100,State Highway,139,Michael Dr,{3BAA4720-5049-4846-8067-96D75FA658AC},
1101,State Highway,139,Moon Dr,{92FC6BE1-1EC7-4B4D-BEC5-657582B06586},
1102,State Highway,139,Morningside Dr,{DA3AF1FC-3EA3-490C-9700-4D2070A07BCE},
1103,State Highway,139,Mount Vernon Rd,{F643E0D2-7890-4F3B-8BB4-440290BF7690},
1104,State Highway,139,Oak Tree Dr,{5AFBFA77-425E-4816-8FD7-2508C9D75237},
1105,State Highway,139,Old Clark S Bridge Rd,{F922F311-2779-4103-9FD0-394911663572},
1106,State Highway,139,Old Cleveland Rd,{EB8023D3-03B9-45A6-ACE5-DF3278083ED9},
1107,State Highway,139,Old Winder Hwy,{A6CDDE29-C05E-4118-B751-DAF5A0E54BB6},
1108,State Highway,139,Park Hill Dr,{6A31E0ED-839D-41EA-9E02-A4500EE80A49},
1109,State Highway,139,Poplar Springs Rd,{3303555B-20E9-4EF2-BEC1-9B398AEB488D},
1110,State Highway,139,Price Rd,{330BBA07-9743-47F4-95D6-B4FE29642B40},
1111,State Highway,139,Queen City Pkwy,{0D39B2F4-CB38-48BA-B168-D1BEA4FD9540},
1112,State Highway,139,Riverside Dr,{478E3A93-7B79-4B6B-859E-60D18CBE82AB},
1113,State Highway,139,Shoal Creek Rd,{9563C14C-5072-440D-B490-0207C0FBA7BF},
1114,State Highway,139,Shockley Rd,{165CFD35-2AF1-4E48-9E07-058ABB68897E},
1115,State Highway,139,State Route 13,{14D949A6-1E37-491B-9A8A-78230EC08CB0},
1116,State Highway,139,State Route 211,{A7EE2B00-1897-4A13-AD32-002E51F63963},
1117,State Highway,139,State Route 254,{5137CBDA-618A-4FFF-B178-B7BE65D8B6E1},
1118,State Highway,139,State Route 283,{ABE2400B-8233-4A26-949F-600F37597F56},
1119,State Highway,013,Atlanta Hwy,{E2C5610F-40F4-422F-A552-1F25DE228824},
1120,State Highway,013,Atlanta Hwy,{B744C61A-3472-4DFC-9350-8687B43BFC92},
1121,State Highway,013,Atlanta Hwy,{769EAC61-87C5-47C4-890A-4C1E7FBAF80D},
1122,State Highway,013,Atlanta Hwy,{47403472-AB8C-4F31-B938-19E22822316A},
1123,State Highway,063,Church St,{A15549B3-A811-4BAE-8261-A1CDE7E8CE65},
1124,State Highway,063,Church St,{FED8C3C6-621C-464F-A986-5297840056B7},
1125,State Highway,063,Fayetteville Rd,{278B54F9-99B4-464D-A0CE-BB10B8B88924},
1126,State Highway,063,Fayetteville Rd,{89AA24CD-C8A3-40BC-B635-1776305D2BF3},
1127,State Highway,063,Fayetteville Rd,{03562A41-A65B-4C51-A8FA-E0AE7A868AA7},
1128,State Highway,063,Georgia Highway 138,{098AB3F0-0E2F-4D85-AF4F-DC9601ECA9AB},
1129,State Highway,063,Georgia Highway 138,{ED3DB562-EA7E-4187-8C34-8C898AA13BAA},
1130,State Highway,063,Georgia Highway 138,{0000981B-13CE-4972-AA52-002DB8E7B47F},
1131,State Highway,063,Georgia Highway 138,{4EFE7E6F-BB74-4A22-9A0C-D8745411F060},
1132,State Highway,139,State Route 53,{CF1A6F17-45F2-4B82-9BE9-45B808076D79},
1133,State Highway,139,Tanners Mill Rd,{96CE59A3-BB36-42DE-8980-3142786D1AD9},
1134,State Highway,139,Thompson Bridge Rd,{BA05B109-0300-4189-AB33-2952BD1F5027},
1135,State Highway,139,US Highway 23,{3D9CEE8E-60B1-4043-AE1D-7F6BFCC06F38},
1136,State Highway,139,Winder Hwy,{A43BBF24-740D-4D47-BDDD-0C6FF2119141},
1137,State Highway,143,Alewine Ave,{F9E7FDA8-26B1-4D64-A256-BEB03006671D},
1138,State Highway,143,Atlanta St,{B18595AD-D3F2-42BA-929F-8A76D8EAF699},
1139,State Highway,143,Bowden St,{A19ADAC3-B9EA-4C64-B798-232B8CF54918},
1140,State Highway,143,Cherry St,{03D34625-DFF2-42EB-A072-4FB30CF1920D},
1141,State Highway,143,Gordon St,{C5DF67DC-D838-414E-BD33-7F649A180C7D},
1142,State Highway,143,Old US Highway 27,{63B32805-6F01-448E-85BF-6A4891C2D29D},
1143,State Highway,143,Pacific Ave,{669568DE-C3A3-4793-BC95-C0FB785E7151},
1144,State Highway,143,Parking Rd,{480AC538-76D4-41D0-9E08-6F729069E886},
1145,State Highway,143,State Route 1,{09B02343-C159-4410-949A-4BB5CA12754E},
1146,State Highway,143,State Route 113,{A3AB475C-C669-40C7-8682-789532ACB826},
1147,State Highway,143,State Route 16,{CD8FE998-206B-42B9-9D8F-A526C3A5B163},
1148,State Highway,143,Tallapoosa East Church Rd,{DB473AEC-46A4-4A2D-827B-F7A935F540D5},
1149,State Highway,143,Tallapoosa Rd,{496B4BAD-949E-48FB-9EC5-A5A45E11E67E},
1150,State Highway,063,Georgia Highway 138,{D0F43BCF-1F72-4CB5-A2C6-760DE3AD7EA7},
1151,State Highway,063,Georgia Highway 138,{CE743BDD-62C1-4FB7-A613-891DF6FFA824},
1152,State Highway,063,Georgia Highway 138,{7AE9F5C7-24D0-497D-B1B0-8B289FB6BE58},
1153,State Highway,063,Georgia Highway 138,{7719CDDF-A63B-4A6A-B1BF-BD2C33565D98},
1154,State Highway,063,Georgia Highway 138,{65447E82-FB09-4D2E-A38C-A5EC14E5AE83},
1155,State Highway,063,Georgia Highway 42,{69DDAD7F-83DB-48FD-809E-C26358512EDB},
1156,State Highway,063,Georgia Highway 42,{B2393536-F605-414A-BF3C-1F9E60CC929F},
1157,State Highway,063,Georgia Highway 42,{2A30B222-F744-4F92-8173-976009010041},
