OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_5__Annual_Transit_Trips,GlobalID,last_edited_date,Pop_Chng_per_SqMi_2000_2010,Tp5_HousTranspCosts_Pct_Income,Tp5_HousingCosts_Pct_Income,Tp5_TransportCosts_Pct_Income,Tp5_AnnualVehMilesTraveled
1,13045910103,9101.03,ARC 20,57188,8.11,{95870434-6C30-45D6-A2C7-2E59E785AF3B},2015-06-02T12:47:14.000Z,100.3,53.12,36.4,16.72,9152
2,13045910104,9101.04,ARC 20,54987,46.65,{A6698F1C-CC7E-4848-8326-992332589950},2015-06-02T12:47:14.000Z,201.1,52.76,36.08,16.68,9061
3,13045910502,9105.02,ARC 20,18975,147.63,{92C78A20-71D3-454B-83D2-C6F08F44697D},2015-06-02T12:47:14.000Z,-368.8,36.73,25.18,11.55,5292
4,13045910800,9108,ARC 20,50194,11.44,{47D9460B-374D-43D0-B470-6F3349848C6D},2015-06-02T12:47:14.000Z,1.1,54.12,36.68,17.44,9625
5,13045910101,9101.01,ARC 20,46840,36.49,{81B7372F-4774-4071-8479-E979D3496AE3},2015-06-02T12:47:14.000Z,397.3,48.88,34.16,14.73,7123
6,13045910200,9102,ARC 20,46942,33.12,{C163D1D2-8D2B-4A25-917E-BCA838AE25D9},2015-06-02T12:47:14.000Z,93.9,53.68,36.53,17.15,9708
7,13045910900,9109,ARC 20,56964,14.31,{FF5C4A9A-817B-4446-9925-16B3C15C1DCE},2015-06-02T12:47:14.000Z,7.8,52.69,35.35,17.34,9529
8,13045910300,9103,ARC 20,42287,0.45,{109766A3-C6A1-442A-8BDA-7831C6161F13},2015-06-02T12:47:14.000Z,17.1,52.36,35.3,17.07,9149
9,13045911100,9111,ARC 20,42438,32.63,{ACB7E90C-9ED6-4310-9166-0D38AB80DD99},2015-06-02T12:47:14.000Z,24.2,46.98,32.73,14.25,5887
10,13045911000,9110,ARC 20,45026,28.8,{A641C624-97BF-4724-9AA8-629E74ECD645},2015-06-02T12:47:14.000Z,27.2,49.97,34.59,15.38,7460
11,13045910701,9107.01,ARC 20,44002,41.7,{885365C5-857C-49A8-A355-1DD93FCAAD76},2015-06-02T12:47:14.000Z,116.1,51.02,35.45,15.58,7209
12,13045910703,9107.03,ARC 20,43517,50.17,{91A47826-A99B-4549-B045-285E98E14B5E},2015-06-02T12:47:14.000Z,68.9,49.56,34.15,15.41,7845
13,13045910600,9106,ARC 20,48420,23.32,{B8821899-59ED-4448-8FF6-317082EA907E},2015-06-02T12:47:14.000Z,70.5,51.86,35.95,15.91,7918
14,13045910501,9105.01,ARC 20,30625,78.67,{B74AAE07-4A4F-498B-A8B8-5FF3AFBCD965},2015-06-02T12:47:14.000Z,153.2,49.52,36.15,13.37,6971
15,13045910702,9107.02,ARC 20,62459,45.66,{FEBFA868-855D-4772-B9FF-87C94BD17686},2015-06-02T12:47:14.000Z,104.1,54.59,36.84,17.74,9985
16,13045911200,9112,ARC 20,38525,12,{C64A5B6A-F4D2-4F9F-BF7F-914404F29F47},2015-06-02T12:47:14.000Z,2.8,49.24,32.25,16.99,8628
