OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Shape_Length,Shape_Area
166,SA100318,Coventry at Jones Bridge,Subdivision,6.740757,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2303.521372,293627.125772
167,SA100295,Crossington Road at Wellington,Subdivision,20.035444,Findley Oaks Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),10143.861157,872670.475642
168,SA100415,Devonhall,Subdivision,76.600354,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),10683.504995,3336584.317943
169,SA100498,Eagle Glen,Mixed,20.114617,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5212.880064,878210.007858
170,SA100466,Eaton Manor,Townhomes,5.896125,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3127.7141,256835.208501
171,SA100409,Edgehill Place,Subdivision,14.129353,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3348.784838,615324.746375
172,SA100320,Edgewater Estates,Subdivision,12.986158,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2956.101967,565677.043388
173,SA100263,"Enclave at Breckenridge, The",Subdivision,35.436818,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),6010.922218,1543628.003198
174,SA100436,Enclave at Farmbrook,Subdivision,16.449576,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3415.720681,716496.161917
175,SA100298,"Enclave on Johns Creek, The",Subdivision,13.883946,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4788.045184,604784.88609
176,SA100438,"Estates at Deer Chase, The",Subdivision,14.665436,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3687.683548,648678.74837
177,SA100411,"Estates at Foxdale, The",Subdivision,26.998908,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4627.587499,1175893.218618
178,SA100323,Falcon Ridge,Subdivision,10.841989,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3161.22241,472277.040027
179,SA100288,Feather Sound,Subdivision,9.941426,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3541.665394,432833.289079
180,SA100270,Findley Chase,Subdivision,25.85894,Findley Oaks Elementary School,River Trail Middle School,Northview High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),6097.565602,1126415.543983
181,SA100365,"Forest, The",Subdivision,37.187645,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5310.375058,1619949.568993
182,SA100324,Forrest Lake,Subdivision,11.84925,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3837.352679,513731.90645
183,SA100326,Fox Glen,Subdivision,20.204777,Lake Windward Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4067.965056,879809.065887
184,SA100259,Foxworth,Subdivision,72.906976,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),8088.455047,3175822.229533
185,SA100366,"Gates, The",Subdivision,32.268569,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,1998,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5102.232216,1403987.748786
186,SA100327,Georgian Ridge,Subdivision,9.51631,Hillside Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2797.61994,414527.541551
187,SA100482,Grand Estates of the South,Subdivision,39.358054,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),6469.786281,1714412.369221
188,SA100384,Haydens Walk,Subdivision,25.151276,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,1998,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4748.542859,1095538.547344
