OBJECTID,PK_ID,ParkType,Name,GeoZone,AcquisitionDate,DevelopmentDate,DevelopedAcres,UndevelopedAcres,TotalAcres,MowingSportsTurf,MowingCommons,ParkingSpaces,HandicappedParking,Restrooms,Concessions,Storage,BaseballFields,BattingCages,FootballFields,GolfCourse,MultiUseCourts,SoccerFields,RecreationCenter,SoftballFields,TennisCourts,SwimmingPools,Volleyball,CommunityCenter,Fishing,Lakes,Pavillions,PicnicAreas,Playgrounds,TrailMiles,DogPark,shapearea,shapelen,Address,Status
58,18,Federal,KENNESAW MTN NATL BTL PARK,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,666450.652422789,4467.70556508305,,
59,18,Federal,KENNESAW MTN NATL BTL PARK,,,,,,20.062,,,,,,,,,,,,,,,,,,,,,,,,,,,873890.595098062,6144.24567289102,,
60,18,Federal,KENNESAW MTN NATL BTL PARK,,,,,,36.252,,,,,,,,,,,,,,,,,,,,,,,,,,,1579145.14145552,6679.21183534697,,
61,18,Federal,KENNESAW MTN NATL BTL PARK,,,,,,19.727,,,,,,,,,,,,,,,,,,,,,,,,,,,859315.057154668,3945.97008235264,,
62,18,Federal,KENNESAW MTN NATL BTL PARK,,,,,,23.174,,,,,,,,,,,,,,,,,,,,,,,,,,,1009473.72429092,4013.51959415132,,
63,18,Federal,KENNESAW MTN NATL BTL PARK,,,,,,2.127,,,,,,,,,,,,,,,,,,,,,,,,,,,92660.338025304,1287.89488367475,,
64,18,Federal,KENNESAW MTN NATL BTL PARK,,,,,,2798.351,,,,,,,,,,,,,,,,,,,,,,,,,,,121895690.118488,136235.010087528,,
65,65,County,PWS INC @ C.H. JAMES PROPERTY,W,2004-10-26T00:00:00.000Z,,0,31.76,31.525,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1372521.43775401,5765.11210823647,,
66,38,County,POWDER SPRINGS PARK,W,1975-01-02T00:00:00.000Z,1975-04-01T00:00:00.000Z,27,0,25.397,3.8,2.2,204,11,2,2,2,7,4,,,,,,,,1,,,,,1,2,1,,,1106443.65833964,5784.09293078657,,Active
67,31,County,CLARKDALE PARK,W,1996-01-02T00:00:00.000Z,,14,0,33.503,2.3,1.7,180,6,1,1,2,4,2,,,,,,,,,,,,,1,1,1,0.65,,1458940.57444934,6892.16476634273,,Active
68,46,County,TERRELL MILL PARK,E,1971-07-12T00:00:00.000Z,1974-06-01T00:00:00.000Z,29,0,28.445,5.7,5.25,278,14,1,1,2,,,,,,1,,4,8,,,,,,2,2,1,0.9,,1185681.64865853,4410.53028598026,,Active
69,53,County,MUD CREEK SOCCER COMPLEX,W,2005-06-27T00:00:00.000Z,2005-12-14T00:00:00.000Z,39,26,65.331,10.6,3.4,,,,,,,,,,,5,,,,,,,,,,,1,0.5,,2870037.59921681,10292.8492551487,,Active
70,5,Federal,CHATTAHOOCHEE RIVER NRA,,,,,,844.601,,,,,,,,,,,,,,,,,,,,,,,,,,,36837823.1439691,58893.5028576854,,
71,5,Federal,CHATTAHOOCHEE RIVER NRA,,,,,,29.979,,,,,,,,,,,,,,,,,,,,,,,,,,,1558074.82638987,11859.7445040666,,
72,5,Federal,CHATTAHOOCHEE RIVER NRA,,,,,,196.201,,,,,,,,,,,,,,,,,,,,,,,,,,,8629255.31749044,28517.9199001448,,
73,13,County,HARRISON PARK,E,1987-11-30T00:00:00.000Z,1990-03-01T00:00:00.000Z,60.8,0,61.051,10.3,7.7,311,12,2,2,2,7,6,,,,,,,22,,,,,,1,2,3,,,2658853.76464473,7851.79668762201,,Active
74,29,County,MOUNTAIN VIEW AQUATIC CENTER,E,2003-07-23T00:00:00.000Z,,0,20,18.83,0,0,,,,,,,,,,,,,,,,,,,,,,,,,809156.725011362,3581.39991861675,,Active
