OBJECTID,X,Y,Organization_Name,Study_Region,Street,City,ZIP,State,Data_Source,last_edited_date,GlobalID,Expenditures_2015_16,Attendance_2105_16
227,-84.343991,33.781303,Callanwolde Foundation,Rest of 10-county Metro Atlanta Area,980 Briarcliff Road NE,ATLANTA,30306,GA,Paper Survey,2018-02-08T21:22:29.000Z,{FC1756F2-861B-46E0-91E1-5D17FC20CD38},1925060,100000
228,,,Abel 2,City of Atlanta,964 R.D. Abernathy Blvd Ste C-20,Atlanta,30310,GA,Paper Survey,2018-02-08T21:22:29.000Z,{E7AC0133-FAAC-4831-84CE-F941F209591D},500,500
229,,,Decatur Book Festival,Rest of 10-county Metro Atlanta Area,10 East Ponce De Leon Avenue,DECATUR,30033,GA,Paper Survey,2018-02-08T21:22:29.000Z,{902C9953-5FCE-4C66-8BCF-981EC27C372C},697607,75000
230,,,Horizon Theatre Company,City of Atlanta,1083 AUSTIN AVE NE,ATLANTA,30307,GA,Paper Survey,2018-02-08T21:22:29.000Z,{16BF7758-8345-41D5-92F2-D3C00FE575B3},1445193,45184
231,,,Fulton County Arts Council,City of Atlanta,"141 Pryor Street, Suite 2030",Atlanta,30315,GA,DataArts,2018-02-08T21:22:29.000Z,{FAAC28E7-5359-427C-B2A3-5274A3A7840E},4806125,0
232,,,Atlanta Jewish Film Society,City of Atlanta,"1800 Peachtree Street, NW, Suite 830",ATLANTA,30309,GA,DataArts,2018-02-08T21:22:29.000Z,{A651BEB6-A8CF-49F4-BF78-456756902C75},878071,39720
233,,,South Arts,City of Atlanta,1800 PEACHTREE ST NE,ATLANTA,30309-0000,GA,DataArts,2018-02-08T21:22:29.000Z,{779F480B-B2CA-480F-BA4A-976505DDFD6B},2292545,6840
234,,,GCL & FA,Rest of 10-county Metro Atlanta Area,2405 Sugarloaf Pkwy,LAWRENCEVILLE,30046-1352,GA,Paper Survey,2018-02-08T21:22:29.000Z,{4D43C98A-5338-484C-9FE4-3B1F65624953},1353975,259577
235,,,Theatrical Outfit,City of Atlanta,84 Luckie St NW,ATLANTA,30301-1555,GA,DataArts,2018-02-08T21:22:29.000Z,{4C15EA4A-EBFA-4103-822C-689B9F4FC98A},1347710,19345
236,,,Tayo Reeds Performing Arts Center,Rest of Fulton County,5500 OAKLEY IND BLVD APT 1108,FAIRBURN,30213-6038,GA,Paper Survey,2018-02-08T21:22:29.000Z,{9D0426BB-C8C6-452B-A074-2DF7AE216BE0},168531,100
237,,,Atlanta Master Chorale,Was City of Atlanta,700 North Decatur Road,ATLANTA,30322,GA,Paper Survey,2018-02-08T21:22:29.000Z,{3124EF5A-8EDF-4815-BEF1-4246E74AC46F},191037,4577
238,,,Manga African Dance,City of Atlanta,1083 Austin Avenue,Atlanta,30307,GA,Paper Survey,2018-02-08T21:22:29.000Z,{313A65B9-19C8-4E51-B3F6-9A7919767993},48878,1025
239,,,Art Papers,City of Atlanta,1083 AUSTIN AVE NE,ATLANTA,30307,GA,Paper Survey,2018-02-08T21:22:29.000Z,{D55BCE7D-CB46-4484-B642-207C6CBE8A50},531309,13742
