OBJECTID,NAME_R,YEAR_,STORIES,BUILDING_NO,CITY,USAGE_DM,HISTORIC,SHAPEarea,SHAPElen
58778584,Building,,1,,Y,Single Family,,2848.97270153521,248.074362083591
58778585,Building,,1,,Y,Single Family,,3221.16256184002,230.096762628655
58778586,Building,,1,,Y,Single Family,,2583.63273421314,235.843753355519
58778587,Building,,1,,Y,Single Family,,2744.16457382632,241.054627614778
58778588,Building,,1,,Y,Single Family,,2244.69011093836,211.912872625376
58778589,Building,,1,,Y,Single Family,,3081.44694972,249.921414029206
58778590,Building,,1,,Y,Single Family,,2859.32634339793,244.401591810641
58778591,Building,,1,,Y,Single Family,,2490.43916405808,209.098792409404
58778592,Building,,1,,Y,Single Family,,2970.0729193162,261.279420665047
58778593,Building,,1,,Y,Single Family,,2626.86222162303,234.246103423213
58778594,Building,,1,,Y,Single Family,,1758.96708727283,173.744532584965
58778595,Building,,1,,Y,Single Family,,2711.61957779703,216.533328956296
58778596,Building,,1,,Y,Single Family,,1879.51692886919,173.564080843914
58778597,Building,,1,,Y,Single Family,,1952.80326285673,178.17240073636
58778598,Building,,1,,Y,Single Family,,2563.81614190648,257.972427474675
58778599,Building,,1,,Y,Single Family,,2956.20611331849,234.189805313286
58778600,Building,,1,,Y,Single Family,,2781.16914494757,239.72182435151
58778601,Building,,1,,Y,Single Family,,2243.46629368752,189.196780432753
58778602,Building,,1,,Y,Single Family,,3067.20766950946,261.287176834426
58778603,Building,,1,,Y,Single Family,,2832.6306550176,244.628927051279
58778604,Building,,1,,Y,Single Family,,2318.79609315308,212.544164903587
58778605,Building,,1,,Y,Single Family,,2357.30098791845,198.977874056023
58778606,Building,,1,,Y,Single Family,,2971.02055008218,258.077174686943
58778607,Building,,1,,Y,Single Family,,2818.47074576398,251.005056931427
58778608,Building,,1,,Y,Single Family,,2332.71470296866,210.312265949115
58778609,Building,,1,,Y,Single Family,,2609.45607144944,232.194742836239
58778610,Building,,1,,Y,Recreation,,1235.67585423931,162.163781072882
58778611,Building,,1,,Y,Single Family,,2804.16291670846,232.924538720224
58778612,Building,,1,,Y,Single Family,,2603.44994636454,245.678664725988
58778613,Building,,1,,Y,Single Family,,2762.1631368038,251.622964024527
58778614,Building,,1,,Y,Single Family,,2101.89281024696,215.823599267265
58778615,Building,,1,,Y,Single Family,,1916.8687356906,203.40405584827
58778616,Building,,1,,Y,Single Family,,2361.07673157977,212.387413742377
58778617,Building,,1,,Y,Single Family,,2279.70009036584,214.377840924272
58778618,Building,,1,,Y,Single Family,,2542.73498879648,215.210508105299
58778619,Building,,1,,Y,Single Family,,1661.63735296005,165.562082744226
58778620,Building,,1,,Y,Single Family,,1909.1218282866,176.348333889247
58778621,Building,,1,,Y,Single Family,,1932.13736546668,187.341532447709
58778622,Building,,1,,Y,Single Family,,4355.81266913232,362.701335186893
58778623,Building,,1,,Y,Single Family,,3455.94292947786,278.9818394936
58778624,Building,,1,,Y,Single Family,,4779.83999771565,350.671654579017
58778626,Building,,1,,Y,Single Family,,2430.88425232476,249.970462229431
58778627,Building,,1,,Y,Single Family,,3044.33267350968,280.955136120122
58778628,Building,,1,,Y,Single Family,,2336.91659832655,203.517651915302
58778629,Building,,1,,Y,Single Family,,2472.77283002389,224.111736028525
58778630,Building,,1,,Y,Single Family,,2232.79807731429,193.471886555513
58778631,Building,,1,,Y,Single Family,,3354.54460221632,277.046024070143
58778632,Building,,1,,Y,Single Family,,2639.38616939458,238.249332473373
58778633,Building,,1,,Y,Single Family,,1827.97881946192,186.074537739659
58778634,Building,,1,,Y,Single Family,,1756.01016088988,177.85886885329
58778635,Building,,1,,Y,Single Family,,1960.86061057186,198.631672829303
58778636,Building,,1,,Y,Single Family,,1881.96016483909,183.496144370519
58778637,Building,,1,,Y,Single Family,,2816.74132531854,259.6488710838
58778638,Building,,1,,Y,Single Family,,2280.00677357674,203.616040499569
58778639,Building,,1,,Y,Single Family,,1855.9785277661,172.477107808713
58778640,Building,,1,,Y,Single Family,,1990.52299222455,187.560461611046
58778641,Building,,1,,Y,Single Family,,2701.70260690916,246.520816669272
58778642,Building,,1,,Y,Single Family,,2401.60273752514,215.048372871628
58778643,Building,,1,,Y,Single Family,,1953.59697693791,192.392591765668
58778644,Building,,1,,Y,Single Family,,1646.38580866417,165.255561629907
58778645,Building,,1,,Y,Single Family,,3247.12600358477,266.370779727997
58778646,Building,,1,,Y,Single Family,,2514.10206496401,230.141734141704
58778647,Building,,1,,Y,Single Family,,3658.76357949161,271.928327101293
58778648,Building,,1,,Y,Single Family,,3392.56561126869,254.05119484509
58778649,Building,,1,,Y,Single Family,,2065.24246286946,181.812895956867
58778650,Building,,1,,Y,Single Family,,5839.07226179777,375.904859868242
58778651,Building,,1,,Y,Single Family,,2420.54200161817,205.153960242518
58778652,Building,,1,,Y,Single Family,,3472.46235884186,270.020446962163
58778653,Building,,1,,Y,Single Family,,1167.8615391435,151.797392998615
58778654,Building,,1,,Y,Single Family,,1583.03581018752,159.351599995834
58778655,Building,,1,,Y,Single Family,,2079.06080468251,192.977869844572
58778656,Building,,1,,Y,Single Family,,2595.59232880818,230.783391048243
58778657,Building,,1,,Y,Single Family,,2991.51718382941,247.298146226184
58778658,Building,,1,,Y,Single Family,,1686.35330364677,166.531907471048
58778659,Building,,1,,Y,Single Family,,2303.928201954,210.844215701582
58778660,Building,,1,,Y,Single Family,,1839.04379985208,185.369863352002
58778661,Building,,1,,Y,Single Family,,1725.07184631074,166.490402745737
58778662,Building,,1,,Y,Single Family,,1716.05209416443,168.943917318667
58778663,Building,,1,,Y,Single Family,,2734.54533991353,239.478212648982
58778664,Building,,1,,Y,Single Family,,2037.06926538287,185.577953191762
58778665,Building,,1,,Y,Single Family,,1789.01766403478,171.391456464691
58778666,Building,,1,,Y,Single Family,,2291.15564780017,218.115334025761
58778667,Building,,1,,Y,Single Family,,2060.67560541497,192.324988522601
58778668,Building,,1,,Y,Single Family,,2808.25203873086,251.262555353287
58778669,Building,,1,,Y,Single Family,,2387.91375456138,219.926598963155
58778670,Building,,1,,Y,Single Family,,1886.5825040906,189.728976639449
58778671,Building,,1,,Y,Single Family,,2680.04682857913,239.469650394425
58778672,Building,,1,,Y,Single Family,,2926.60446709545,253.832609818109
58778673,Building,,1,,Y,Single Family,,2139.2017407625,209.770156339033
58778674,Building,,1,,Y,Single Family,,6953.1266197321,445.612600116705
58778675,Building,,1,,Y,Single Family,,3224.78525113208,293.807200668661
58778676,Building,,1,,Y,Single Family,,2863.00474124579,286.228746384702
58778677,Building,,1,,Y,Single Family,,2836.26226801964,259.402497876273
58778678,Building,,1,,Y,Single Family,,4791.52753322278,339.487963352218
58778679,Building,,1,,Y,Single Family,,1316.80465716038,159.950234181195
58778680,Building,,1,,Y,Single Family,,1429.43211626451,158.434398421426
58778681,Building,,1,,Y,Single Family,,1239.37228227923,142.483842001054
58778682,Building,,1,,Y,Single Family,,1583.45066774833,174.360472622021
58778683,Building,,1,,Y,Single Family,,1633.11933253668,169.643695438587
58778684,Building,,1,,Y,Single Family,,1987.81171490042,200.945042138088
58778685,Building,,1,,Y,Single Family,,2354.11399068262,192.278277372093
58778686,Building,,1,,Y,Single Family,,2477.85595298531,217.768303664724
58778687,Building,,1,,Y,Single Family,,2760.48371676766,222.095445992621
58778688,Building,,1,,Y,Single Family,,2349.83174059359,194.189023021124
58778689,Building,,1,,Y,Single Family,,1837.74589380359,171.67755528797
58778690,Building,,1,,Y,Single Family,,1787.99037404503,171.495370674113
58778691,Building,,1,,Y,Single Family,,1636.97825518169,165.235244346181
58778692,Building,,1,,Y,Single Family,,2256.1532474481,196.748231566494
58778693,Building,,1,,Y,Single Family,,2325.46926188014,213.977494762304
58778694,Building,,1,,Y,Single Family,,2391.68568733296,240.404945606466
58778695,Building,,1,,Y,Single Family,,1676.94677076777,166.705461705529
58778696,Building,,1,,Y,Single Family,,2158.7749830794,189.558231792022
58778697,Building,,1,,Y,Single Family,,2779.24316788985,250.5305918395
58778698,Building,,1,,Y,Single Family,,2736.24802198142,248.25671495001
58778699,Building,,1,,Y,Single Family,,2019.52147706432,179.853320027646
58778700,Building,,1,,Y,Single Family,,1693.79660753816,167.603668757398
58778701,Building,,1,,Y,Single Family,,2822.67261195392,239.291195220738
58778702,Building,,1,,Y,Single Family,,3977.97650625591,304.240251131024
58778703,Building,,1,,Y,Single Family,,2692.93288874864,226.920846374823
58778704,Building,,1,,Y,Single Family,,3152.28067230803,261.052359955236
58778705,Building,,1,,Y,Single Family,,5722.89876861256,404.847179238952
58778706,Building,,1,,Y,Single Family,,3600.50413327256,279.543899468089
58778707,Building,,1,,Y,Single Family,,5968.19483442019,396.145529795345
58778708,Building,,1,,Y,Single Family,,1170.33015163273,145.100111714338
58778709,Building,,1,,Y,Single Family,,2029.48248014265,194.11179415046
58778710,Building,,1,,Y,Single Family,,1498.79439745908,155.314511337239
58778711,Building,,1,,Y,Single Family,,1447.77122424677,162.188084141286
58778712,Building,,1,,Y,Single Family,,1404.07960382001,157.13161314645
58778713,Building,,1,,Y,Single Family,,1471.28874818473,161.426497094149
