X,Y,OBJECTID,Name,Address,Type,City,Zip,GlobalID,last_edited_date
-84.269823859585813,33.945446454002258,435,Winters Chapel United Methodist Church,5105 Winters Chapel Rd.,Performance,Atlanta,30360,{C75F42C4-EECE-41B0-8F14-80CB8F3708E2},
-84.327128709085642,33.9387142869532,436,Atlanta North Seventh-day Adventist Church,5123 Chamblee-Dunwoody Road,Performance,Atlanta,30338,{CB840CE9-A889-49C8-8431-27C3FE691DE8},
-84.178047526742944,33.678419041729285,437,Salem-Panola Library,5137 Salem Rd.,Gallery,Lithonia,30038,{F7256ADB-6D79-4F80-856F-FF2C577404E1},
-84.288996171235141,33.775445220125604,438,Holy Trinity Parish,515 E. Ponce de Leon Ave.,Performance,Decatur,30030,{FC893347-7528-4585-8816-98A6AF4ED979},
-84.324803844944682,33.79008726910584,439,Emory's Cannon Chapel,515 Kilgo Circle,Performance,Atlanta,30322,{2DA5FF15-BC44-41AF-B5E3-A2ED6060EABD},
-84.296319035745185,33.773648273446867,440,Eddie's Attic,515-B N. McDonough St.,Performance,Decatur,30030,{860633DA-A056-4B8F-AF8C-69662EE49940},
-84.208209027187266,34.048132734969371,441,Chattahoochee High School,5230 Taylor Rd.,Performance,Johns Creek,30022,{7EC2C784-17E7-458A-88EE-FBE04203B7F7},
-84.21034464651062,33.85718291526512,442,Tucker-Reid H. Cofer Library,5234 LaVista Rd.,Gallery,Tucker,30084,{0841D026-1B26-4161-93C8-5603EF97B36E},
-84.575489747776928,33.827240988572889,443,Mable House Arts Center,5239 Floyd Rd.,Performance,Mableton,30126,{BFDB7CB2-8304-4C7E-A7A7-A8F5D85C6EA7},
-84.575489747776928,33.827240988572889,444,Mable House Barnes Amphitheatre,5239 Floyd Rd.,Performance,Mableton,30126,{A24CF786-6027-4F2A-B39C-00255F000E77},
-84.575489747776928,33.827240988572889,445,Historic Mable House,5239 Floyd Rd. SW,Performance,Mableton,30126,{0CE83622-0DE2-430C-987D-333D6ABDADDB},
-84.332614901443506,33.944722019265811,446,Dunwoody Library,5339 Chamblee Dunwoody Rd.,Gallery,Dunwoody,30338,{4F058591-F87A-4DD3-B59E-421B2FE3E0CD},
-84.332614901443506,33.944722019265811,447,Spruill Education Center,5339 Chamblee Dunwoody Rd.,Gallery,Atlanta,30338,{33B2FF17-4DF5-49B0-A2DB-2FD5E713EEC0},
-84.332614901443506,33.944722019265811,448,Stage Door Players,5339 Chamblee Dunwoody Rd.,Performance,Dunwoody,30338,{1B17ACF8-3833-407B-A07F-9B523E47CEA6},
-84.303692309202674,33.946895514288293,449,Morris and Rae Frank Theatre,5342 Tilly Mill Rd.,Performance,Dunwoody,30338,{503988B9-C0E9-4773-8F2E-9957FDA133C0},
-84.303692309202674,33.946895514288293,450,MJCCA,5342 Tilly Mill Rd.,Other,Dunwoody,30338,{CE669CE8-F417-4B00-8316-649B890C3CBF},
