OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_4__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp4_HousTranspCosts_Pct_Income,Tp4_HousingCosts_Pct_Income,Tp4_TranspCosts_Pct_Income,Tp4_AnnualVehMilesTraveled
37,13113140501,1405.01,ARC 10,84885,0,{EA0C985C-EAA9-471F-9001-F5F24F88220F},42.3,56.14,31.12,25.01,22524
38,13247060404,604.04,ARC 10,54146,2.77,{AC58C5B4-5207-4C3B-9C49-2CE082BEEFCF},-45.3,52.8,29.89,22.91,21083
39,13247060304,603.04,ARC 10,42554,3.53,{3D8A90A6-03EA-42D2-9335-BDAA598C912A},120.7,47.26,27.71,19.55,17902
40,13247060101,601.01,ARC 10,51356,0,{774E9C70-5A47-49DA-850B-B4F9AF175D00},9.5,53.21,29.98,23.23,21223
41,13247060202,602.02,ARC 10,54345,7.86,{1D287CF9-24D9-409F-9618-8B9B09E51B95},174.6,51.93,29.62,22.31,20762
42,13247060201,602.01,ARC 10,35453,35.11,{14137E87-69A8-4C7C-9385-3CAD2BD1F5A5},31.8,50.13,28.98,21.15,20009
43,13247060306,603.06,ARC 10,65357,0,{CD3A2754-B1D0-45F5-8C1C-485F9324C4E6},231.9,55.3,32.87,22.44,20637
44,13247060407,604.07,ARC 10,51714,15.53,{C5738156-9287-426D-A544-37BCCA436C2D},-84.8,52.71,29.68,23.03,21476
45,13247060403,604.03,ARC 10,69286,0,{D278690B-EA97-4E40-9B34-76A3CAD3ABDF},63.8,56.57,32.3,24.27,21712
46,13247060406,604.06,ARC 10,71833,1.22,{A2C46046-7B1B-49E8-862D-A34AB27625DC},41.4,55.39,31.65,23.74,21786
47,13247060305,603.05,ARC 10,37067,17.96,{D5D9F324-76E7-43C5-AB8F-B70D7612215C},138.2,49.17,30.33,18.83,17456
48,13247060309,603.09,ARC 10,43438,21.16,{0CC8395B-10B8-4288-984E-19FEA262F3F0},323.4,50.17,29.73,20.44,18772
49,13247060308,603.08,ARC 10,43182,35.58,{07ABAC74-1C5E-4907-B173-E71B5429E8D6},858.7,48.64,29.65,18.99,17518
50,13247060405,604.05,ARC 10,65704,0,{9C2FC65A-75CA-4FE8-BB7E-8FED9B9E9930},90.6,55.6,31.32,24.28,22463
51,13247060307,603.07,ARC 10,70478,28.27,{8C603E06-FD40-4016-A97A-698AF4F8A31F},483.7,54.45,32.75,21.7,19965
52,13247060102,601.02,ARC 10,44469,0,{3D228AA9-5CEA-4A9D-A5AE-A3DFC66FF219},35.7,51.49,28.67,22.83,21103
53,13067030330,303.30,ARC 10,91825,34.97,{66589CEF-642A-455F-A29A-5AFD7553036D},139.1,54.73,33.7,21.02,18030
54,13067030328,303.28,ARC 10,102594,25.23,{97138947-17A0-4479-84A4-EC29C5E48ED8},-113.8,55.05,33.57,21.48,18274
55,13067030700,307,ARC 10,38140,60,{297C1D44-9556-415D-85AF-12A3976C930C},-708.2,43.88,27.64,16.24,14064
56,13067030324,303.24,ARC 10,78363,29.27,{F50924DE-2723-412B-B45D-2A3CBC4AD1C2},-220.7,54.09,32.62,21.47,19323
57,13067030312,303.12,ARC 10,68452,4.22,{83D7FF34-7D0A-4CF8-A41E-4A849A7BA499},-80.3,54.09,32.84,21.25,18433
58,13067030228,302.28,ARC 10,45275,82.78,{0072FFE2-24A1-4E8E-BB7E-6A330CA81739},27.8,49.18,32.95,16.23,14726
59,13067030231,302.31,ARC 10,95714,23.14,{8EA02EB9-6FA8-46F2-BF7D-22BAF7F087D3},147,56.23,34.15,22.08,19512
60,13067030230,302.30,ARC 10,64554,41.35,{ECD44752-E77F-48CF-997B-85B872CFD2CE},1275.2,50,31.55,18.44,16281
61,13067030311,303.11,ARC 10,90809,11.79,{34AC91ED-2A23-4D2A-BC6F-F5A857282D5E},-90,53.63,32.15,21.48,18942
62,13067031001,310.01,ARC 10,30414,51.69,{D6398598-D5C1-4A6D-8FAB-D123B4449226},-50.5,43.19,26.26,16.93,14761
63,13067030310,303.10,ARC 10,68512,5.4,{77D0DDD0-4943-4926-9C75-85270703C1F6},86.8,54.71,33.37,21.34,18369
64,13067030215,302.15,ARC 10,73646,27.84,{2032C917-64B9-422B-A485-1482914A9C8F},364.3,52.05,31.36,20.7,18419
65,13067030601,306.01,ARC 10,48977,68.86,{77668684-3C99-4F41-94AF-6A1427201E1A},1384.4,45.51,29.66,15.85,13812
66,13067030227,302.27,ARC 10,58446,10.43,{BBC1AAC0-F509-4228-B80C-1D4CA267DEA3},87.9,50.3,30.87,19.43,17154
67,13067030602,306.02,ARC 10,61891,28.51,{83B357F4-0093-4D4D-965C-E2B5D2E29C34},61,50.63,32.2,18.43,16146
68,13067030506,305.06,ARC 10,51922,19.84,{C6224E9E-63CC-4301-A285-F06E456849E1},267.1,46.54,28.54,18,15841
69,13067030507,305.07,ARC 10,61017,14.58,{A5D2A1FB-B525-4A01-BEA2-98432C4958BC},51.3,51.83,31.53,20.3,17763
