OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Total_housing_units,Total_housing_units_MOE,Num_Total_housing_units_2000,ChgNum_Housing_units_2000_16,Num_Occupied_housing_units,Num_Occupied_housing_units_MOE,Pct_Occupied_housing_units,Pct_Occupied_housing_units_MOE,Num_Occupied_housing_units_2000,Num_OwnOcc_HousUnits_2000,Num_RentOcc_HousUnits_2000,Pct_Occupied_housing_units_2000,Pct_OwnOcc_HousUnits_2000,Pct_RentOcc_HousUnits_2000,ChgNum_OccHousUnits_2000_16,ChgPct_OccHousUnits_2000_16,ChgPct_OwnOcc_HousUnits_2000_16,ChgPct_RentOcc_Units_2000_16,Num_Vacant_housing_units,Num_Vacant_housing_units_MOE,Pct_Vacant_housing_units,Pct_Vacant_housing_units_MOE,Num_VacHousUnits_2000,Pct_VacHousUnits_2000,Chg_Pct_VacHousUnits_2000_16,Homeowner_vacancy_rate,Homeowner_vacancy_rate_MOE,Rental_vacancy_rate,Rental_vacancy_rate_MOE,Num_1Unit_Detatched,Num_1Unit_Detatched_MOE,Pct_1Unit_Detached,Pct_1Unit_Detached_MOE,Hous_Units_Built_Since_2000,Hous_Units_Built_Since_2000_MOE,Pct_Units_Built_Since_2000,Pct_Units_Built_Since_2000_MOE,Units_Built_1980_to_1999,Units_Built_1980_to_1999_MOE,Pct_Units_Built_1980_1999,Pct_Units_Built_1980_1999_MOE,Units_Built_1979_or_Earlier,Units_Built_1979_or_Earlier_MOE,Pct_Units_Built_1979earlier,Pct_Units_Built_1979earlier_MOE,Owner_Occ_Housing_Units,Owner_Occ_Housing_Units_MOE,Pct_Owner_Occ_Housing_Units,Pct_Owner_Occ_Housing_Units_MOE,Renter_Occ_Housing_Units,Renter_Occ_Housing_Units_MOE,Pct_Renter_Occ_Units,Pct_Renter_Occ_Units_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date
861,13089021301,13089,"Census Tract 213.01, DeKalb County",3860,526,1826,108,1501,325,1445,139,79.1,6,1443,311,1132,96.1,21.6,78,2,-17,-8,7.8,381,112,20.9,6,57,3.8,17,18,19.1,15.2,6.5,326,100,17.9,5.4,226,88,12.4,4.8,676,156,37,8.3,924,184,51,9.6,200,65,13.8,4.3,1245,149,86.2,6.1,ARC 10,897.1550293,0,897.1550293,1.40180004,0,1.40180004,021301,DeKalb,{D4A9CFFF-46C9-4576-9131-0033F28728D2},
213,13067030327,13067,"Census Tract 303.27, Cobb County",4547,225,1662,51,1530,132,1586,79,95.4,3.7,1511,1395,116,98.8,92.3,8,75,-3,-5,4.8,76,55,4.6,3.3,19,1.2,3,0,0.9,0,6.5,1651,52,99.3,0.7,197,68,11.9,4.1,592,126,35.6,7.5,873,116,52,6.8,1387,117,87.5,6,199,86,12.5,5.4,ARC 10,1194.55004883,5.39801979,1199.94995117,1.86647999,0.00843441,1.87492001,030327,Cobb,{CCCA9BCD-F47F-467B-A23D-00C3DFEAFADA},
589,13121010400,13121,"Census Tract 104, Fulton County",8557,679,3241,259,2423,818,2661,199,82.1,9,2323,1725,598,95.9,74.3,26,338,-14,0,-0.5,580,183,17.9,5.5,100,4.1,14,0.8,1.3,5.1,5.5,2637,232,81.4,3,1204,183,37.1,4.8,865,185,26.7,5.3,1172,254,36,7.3,1991,155,74.8,1.6,670,169,25.2,6.1,ARC 10,45015.30078125,738.26898193,45753.6015625,70.33640289,1.15355003,71.48999786,010400,Fulton,{E2E187F7-EFDA-40DF-A832-010E7D9FD569},
847,13089021704,13089,"Census Tract 217.04, DeKalb County",5484,415,2375,73,2329,46,2134,146,89.9,5.5,2257,1763,494,96.9,78.1,22,-123,-7,0,-0.4,241,130,10.1,5.5,72,3.1,7,2.3,3.7,6.5,8.5,1925,145,81.1,5.6,214,101,9,4.2,488,154,20.5,6.5,1673,275,70,11.4,1676,155,78.5,4.9,458,152,21.5,7,ARC 10,1766.13000488,3.04803991,1769.18005371,2.7595799,0.00476256,2.76433992,021704,DeKalb,{9F30C254-DC4A-4829-B15A-015536103A75},
601,13121004800,13121,"Census Tract 48, Fulton County",1141,164,632,37,949,-317,600,43,94.9,3.9,905,48,857,95.4,5.3,95,-305,0,-2,2,32,27,5.1,4.3,44,4.6,0,0,65,3.7,4,64,38,10.1,6,418,68,66.1,10,132,52,20.9,8.2,82,54,13,8.4,20,23,3.3,3.8,580,51,96.7,4.9,ARC 10,97.14530182,0,97.14530182,0.15178999,0,0.15178999,004800,Fulton,{05905418-E0C2-451D-B470-0164D364B632},
374,13135050209,13135,"Census Tract 502.09, Gwinnett County",9679,792,3579,71,2421,1158,3284,187,91.8,4.9,2367,1757,610,97.8,74.2,26,917,-6,-24,23.8,295,171,8.2,4.8,54,2.2,6,4.2,4.5,9.7,7.4,1800,186,50.3,5.1,1159,232,32.4,6.4,1889,296,52.8,8.2,531,141,15,3.9,1654,175,50.4,4.5,1630,242,49.6,6.8,ARC 10,1716.04003906,63.89500046,1779.93994141,2.68130994,0.0998359,2.78116012,050209,Gwinnett,{B475F806-518A-4876-8023-017896E79DF5},
381,13135050605,13135,"Census Tract 506.05, Gwinnett County",15160,1146,4917,133,2377,2540,4660,252,94.8,4.4,2305,2213,92,97,96,4,2355,-2,-22,21.6,257,228,5.2,4.6,71,3,2,0,0.6,11.8,10.8,4366,292,88.8,5.4,2439,394,49.6,7.9,2243,426,45.6,8.6,235,186,5,3.8,3467,348,74.4,6.3,1193,389,25.6,8.2,ARC 10,5102.79003906,40.20009995,5142.99023438,7.9731102,0.0628127,8.03592014,050605,Gwinnett,{DD262CCA-AC17-4C3C-ACAB-01D9C549DB1B},
846,13089021805,13089,"Census Tract 218.05, DeKalb County",6949,693,2799,120,2607,192,2479,159,88.6,4.2,2535,1861,674,97.2,73.4,27,-56,-9,0,-0.5,320,156,11.4,5.6,72,2.8,9,4.5,4.7,0,2.8,2094,200,74.8,6.4,146,89,5.2,3.2,733,202,26.2,7.1,1920,287,69,9.8,1833,188,73.9,5.9,646,172,26.1,6.7,ARC 10,1564.29003906,1.62224996,1565.91003418,2.44420004,0.00253477,2.4467299,021805,DeKalb,{30AD10EF-6E96-407F-85DC-01FCA89A6397},
414,13135050429,13135,"Census Tract 504.29, Gwinnett County",7329,523,2542,48,2229,313,2351,109,92.5,3.9,2203,2109,94,98.8,95.7,4,148,-6,-4,3.7,191,104,7.5,4.1,26,1.2,6,1.4,2.2,13.4,20.4,2542,48,100,0,347,131,13.7,5.1,1345,257,52.9,10.1,850,169,33,6.6,2164,175,92,6.1,187,131,8,5.6,ARC 10,2178.98999023,40.11809921,2219.10009766,3.40467,0.0626845,3.46733999,050429,Gwinnett,{DABFBB02-DE7C-46EC-B528-020E6A9847E5},
481,13121006000,13121,"Census Tract 60, Fulton County",3401,436,1745,51,1726,19,1272,112,72.9,6.1,1599,797,802,92.6,49.8,50,-327,-20,-14,13.6,473,103,27.1,5.8,127,7.4,20,3.1,5.3,14.3,7.9,1148,93,65.8,5,7,21,0.4,1.2,119,67,6.8,3.8,1619,203,93,11.3,460,87,36.2,6.1,812,131,63.8,8.6,ARC 10,385.6499939,0,385.6499939,0.60257798,0,0.60257798,006000,Fulton,{A6D564A4-C95F-4B3E-92EF-03301C55D7C8},
404,13135050310,13135,"Census Tract 503.10, Gwinnett County",5890,561,2708,91,2273,435,2589,129,95.6,3.5,2230,1365,865,98.1,61.2,39,359,-2,3,-2.7,119,100,4.4,3.7,43,1.9,2,1,1.6,6.9,8.6,826,160,30.5,5.8,637,160,23.5,5.9,1529,276,56.5,10,542,164,20,6,1655,181,63.9,6.2,934,177,36.1,6.6,ARC 10,1800.93005371,27.14529991,1828.06994629,2.81395006,0.0424145,2.85635996,050310,Gwinnett,{457E7AAF-35ED-4481-91C8-035FFC2B32EF},
897,13297110400,13297,"Census Tract 1104, Walton County",6446,560,2478,176,2280,198,2204,178,88.9,3.4,2146,1052,1094,94.1,49,51,58,-5,3,-3.2,274,141,11.1,5.6,134,5.9,5,0,1.5,10.1,7.9,1636,202,66,6.7,428,142,17.3,5.6,1317,242,53.1,9,733,206,30,8,1151,188,52.2,7.4,1053,172,47.8,6.8,ARC 20,8329.95996094,219.89399719,8549.84960938,13.0156002,0.343584,13.35910034,110400,Walton,{53F5F6AE-A620-446D-8B69-03602E0FAD27},
857,13089021211,13089,"Census Tract 212.11, DeKalb County",4786,270,2006,76,1901,105,1966,88,98,2.3,1862,1786,76,97.9,95.9,4,104,0,-3,2.9,40,39,2,1.9,39,2.1,0,2.1,2.1,0,9.4,1849,86,92.2,2.5,79,41,3.9,2,735,127,36.6,6.2,1192,151,59,7.2,1828,95,93,2.5,138,58,7,2.9,ARC 10,1213.88000488,29.67980003,1243.56005859,1.89669001,0.0463747,1.94306004,021211,DeKalb,{17D7ADBF-9ACB-442C-802F-037B5EE65601},
916,13013180106,13013,"Census Tract 1801.06, Barrow County",2773,323,993,83,967,26,912,93,91.8,5.4,933,746,186,96.5,80,20,-21,-5,-12,11.6,81,52,8.2,5.2,34,3.5,5,0,2.1,2.4,3.7,739,94,74.4,7.1,173,59,17.4,5.8,679,112,68.4,9.8,141,56,14,5.5,625,91,68.5,7.1,287,80,31.5,8.2,ARC 20,3054.9699707,20.22850037,3075.19995117,4.77338982,0.031607,4.80499983,180106,Barrow,{19EF1AF0-DF18-43B9-9D04-03E620AF7A2D},
12,13045910703,13045,"Census Tract 9107.03, Carroll County",8743,899,3335,142,2656,679,3045,177,91.3,3.6,2525,1850,675,95.1,73.3,27,520,-4,-10,10.4,290,142,8.7,4.2,131,4.9,4,0,0.9,4.1,6.5,2580,228,77.4,6,408,151,12.2,4.5,1989,318,59.6,9.2,938,216,28,6.4,1915,213,62.9,6,1130,246,37.1,7.8,ARC 20,8591.16992188,261.16799927,8852.33984375,13.42370033,0.408075,13.83180046,910703,Carroll,{BC2BE477-E5A9-407B-B2CF-03EC6C338A22},
289,13151070304,13151,"Census Tract 703.04, Henry County",11658,1014,4346,256,1658,2688,3655,294,84.1,4.6,1556,1118,438,93.8,71.9,28,2099,-10,-23,23.4,691,222,15.9,5,102,6.2,10,0,1.1,18.7,8.6,2735,295,62.9,5.7,2479,306,57,6.2,1068,269,24.6,6,799,234,18,5.3,1773,253,48.5,5.7,1882,265,51.5,6,ARC 10,7421.91015625,100.34200287,7522.25,11.59669971,0.156784,11.75349998,070304,Henry,{7036161A-81CD-486B-8AD8-03F499E63E12},
920,13013180503,13013,"Census Tract 1805.03, Barrow County",4960,482,2003,94,810,1193,1742,127,87,4.9,769,640,129,94.9,83.2,17,973,-8,9,-8.8,261,104,13,5.2,41,5.1,8,3.5,3.8,0,9.3,1712,119,85.5,4.4,1168,145,58.3,6.7,617,135,30.8,6.6,218,96,11,4.7,1602,133,92,3.7,140,79,8,4.5,ARC 20,5695.04980469,33.44670105,5728.5,8.89852047,0.0522605,8.95077991,180503,Barrow,{A7512C1F-96AD-46AF-9B11-042ACCDF0158},
114,13067031101,13067,"Census Tract 311.01, Cobb County",5255,608,2182,104,1901,281,1927,132,88.3,4.3,1807,804,1003,95.1,44.5,56,120,-7,-9,9.2,255,109,11.7,5,94,4.9,7,0,2.6,1.3,2.1,1246,127,57.1,5.1,241,78,11,3.5,380,122,17.4,5.5,1561,221,72,9.6,681,92,35.3,4.1,1246,122,64.7,4.5,ARC 10,822.55297852,0,822.55297852,1.28524005,0,1.28524005,031101,Cobb,{7276603F-3AA7-461B-883C-04D9CE84D43F},
196,13067030318,13067,"Census Tract 303.18, Cobb County",8077,414,2939,45,2667,272,2909,54,99,1,2609,2531,78,97.8,97,3,300,1,-2,1.9,30,36,1,1.2,58,2.2,-1,0.6,0.9,0,12.6,2888,54,98.3,1.1,363,116,12.4,3.9,1413,194,48.1,6.6,1163,188,40,6.4,2766,95,95.1,2.7,143,97,4.9,3.3,ARC 10,2840.35009766,83.64019775,2923.98999023,4.43804979,0.130688,4.56872988,030318,Cobb,{E028DB4C-6644-4C90-B7B2-053D365CF0CC},
277,13151070205,13151,"Census Tract 702.05, Henry County",10596,788,3835,125,2407,1428,3481,212,90.8,4.7,2274,1798,476,94.5,79.1,21,1207,-4,-10,9.9,354,209,9.2,5.4,133,5.5,4,4.1,4.4,5.9,7.6,2834,203,73.9,4.7,1431,282,37.3,7.3,1890,306,49.3,7.8,514,162,13,4.2,2408,197,69.2,3.8,1073,256,30.8,7.1,ARC 10,6404.58007813,53.86529922,6458.45019531,10.00720024,0.0841645,10.09130001,070205,Henry,{E94779C5-BAF7-4FCA-94CC-058A2AD1BABD},
215,13067030339,13067,"Census Tract 303.39, Cobb County",5819,591,3443,65,2589,854,3196,161,92.8,4.3,2433,183,2250,94,7.5,92,763,-1,10,-10.3,247,159,7.2,4.6,156,6,1,0,3.2,5,4.1,32,29,0.9,0.8,398,110,11.6,3.2,1383,247,40.2,7.1,1662,276,48,8,569,121,17.8,3.7,2627,186,82.2,4.1,ARC 10,1028.91003418,97.1957016,1126.10998535,1.60766995,0.151868,1.75954998,030339,Cobb,{462F1F2B-818E-42DD-9DE4-05C50D88A9A5},
727,13089023428,13089,"Census Tract 234.28, DeKalb County",10126,851,4557,84,2713,1844,3844,179,84.4,3.6,2589,1345,1244,95.4,52,48,1255,-11,-23,23.2,713,176,15.6,3.9,124,4.6,11,2,3.2,11.2,4.7,1076,202,23.6,4.4,1297,223,28.5,4.9,1541,261,33.8,5.7,1719,292,38,6.4,1107,222,28.8,5.6,2737,258,71.2,5.8,ARC 10,1877.43994141,55.81639862,1933.25,2.93350005,0.0872131,3.02069998,023428,DeKalb,{D2ED4D59-DEBE-499D-A745-05E203AD41A3},
367,13135050322,13135,"Census Tract 503.22, Gwinnett County",4868,293,1637,50,1547,90,1584,75,96.8,3.5,1526,1505,21,98.6,98.6,1,58,-2,-3,3.1,53,51,3.2,3.1,21,1.4,2,0,0.8,0,18.1,1637,50,100,0,8,22,0.5,1.3,1492,140,91.1,8.1,137,65,8,4,1512,103,95.5,4.7,72,61,4.5,3.8,ARC 10,1253.20996094,31.89489937,1285.10998535,1.95814002,0.0498358,2.00798011,050322,Gwinnett,{6A81C096-588A-4A44-AD3B-06D7B8DBE573},
39,13247060304,13247,"Census Tract 603.04, Rockdale County",5261,738,2577,150,1791,786,2230,207,86.5,6.3,1709,981,728,95.4,57.4,43,521,-9,-8,8.3,347,153,13.5,5.9,82,4.6,9,6.7,7,14.2,7.9,1390,188,53.9,6.6,629,173,24.4,6.6,1270,270,49.3,10.1,678,227,26,8.7,1096,179,49.1,6.6,1134,206,50.9,7.9,ARC 10,5097.10009766,60.16889954,5157.27001953,7.96422005,0.0940139,8.0582304,060304,Rockdale,{33F46ED0-9A24-488A-B435-06DF781B5D99},
491,13121010210,13121,"Census Tract 102.10, Fulton County",6306,481,2824,88,2126,698,2681,130,94.9,3.5,2007,987,1020,94.4,49.2,51,674,0,7,-6.6,143,113,5.1,4,119,5.6,0,2.3,3.8,7.4,7.3,1089,132,38.6,4.5,81,56,2.9,2,898,221,31.8,7.8,1845,259,65,8.9,1495,166,55.8,5.6,1186,195,44.2,6.9,ARC 10,1126.43994141,37.52519989,1163.9699707,1.76005995,0.0586331,1.81869996,010210,Fulton,{F106FBED-6009-4065-B149-06F00A72445D},
563,13121007805,13121,"Census Tract 78.05, Fulton County",3166,608,1460,55,1713,-253,1182,135,81,8.7,1507,566,941,88,37.6,62,-325,-7,0,-0.4,278,122,19,8.3,206,12,7,4.3,6.6,18.8,10.4,659,98,45.1,6.5,284,89,19.5,6,222,82,15.2,5.6,954,167,65,11.2,449,91,38,6.4,733,131,62,8.5,ARC 10,3715.87988281,40.28979874,3756.16992188,5.80605984,0.0629528,5.86901999,007805,Fulton,{5E7B058F-9D39-4035-903A-07142C71EC91},
540,13121007705,13121,"Census Tract 77.05, Fulton County",4800,561,2162,59,1398,764,1871,129,86.5,5.5,1278,403,875,91.4,31.5,68,593,-5,-8,7.9,291,121,13.5,5.6,120,8.6,5,0,2.9,13.5,6,471,81,21.8,3.7,361,88,16.7,4,474,128,21.9,5.9,1327,208,61,9.5,441,91,23.6,4.6,1430,157,76.4,6.5,ARC 10,814.74401855,6.50431013,821.24798584,1.27304006,0.010163,1.28320003,007705,Fulton,{61E4D8F7-6113-46D8-8D63-074D64BBBD97},
305,13015960401,13015,"Census Tract 9604.01, Bartow County",10043,918,3867,172,2358,1509,3449,277,89.2,6,2276,1232,1044,96.5,54.1,46,1173,-7,-10,10.5,418,213,10.8,5.5,82,3.5,7,0,1.3,11,6.8,2014,265,52.1,6.4,1037,238,26.8,6,1896,340,49,8.5,934,267,24,6.8,1504,244,43.6,6.1,1945,317,56.4,8,ARC 20,4386.97021484,0,4386.97021484,6.85464001,0,6.85464001,960401,Bartow,{25FA7059-7894-4E18-8FA0-074D8E2A8853},
205,13067030333,13067,"Census Tract 303.33, Cobb County",5865,376,2235,81,2200,35,2116,111,94.7,3.6,2168,2065,103,98.5,95.2,5,-52,-4,-1,1.3,119,103,5.3,4.6,32,1.5,4,3.9,4.4,0,14,2208,92,98.8,2,196,109,8.8,4.9,623,144,27.9,6.4,1416,181,63,7.8,1987,134,93.9,4,129,76,6.1,3.6,ARC 10,1886.16003418,24.69199944,1910.84997559,2.94711995,0.0385812,2.98569989,030333,Cobb,{40C15303-80FF-4DB4-B30F-078B09173C6F},
925,13013180302,13013,"Census Tract 1803.02, Barrow County",5434,459,2235,97,1138,1097,2021,164,90.4,6.2,1062,822,240,93.3,77.4,23,959,-3,-5,4.8,214,142,9.6,6.3,76,6.7,3,3,4.7,0,3.3,1949,152,87.2,5.7,1114,209,49.8,9.1,757,219,33.9,9.7,364,181,16,8.1,1468,195,72.6,7.6,553,191,27.4,9.2,ARC 20,7356.22021484,151.55400085,7507.77001953,11.49409962,0.236803,11.73089981,180302,Barrow,{C72CCE16-201E-4551-BB8C-07AC0CAFA669},
352,13135050434,13135,"Census Tract 504.34, Gwinnett County",8175,1051,2880,80,2461,419,2507,187,87,6,2353,587,1766,95.6,24.9,75,154,-9,4,-3.9,373,179,13,6.2,108,4.4,9,0,2.5,12.1,7.5,695,145,24.1,5,263,136,9.1,4.7,2132,335,74,11.4,485,193,17,6.7,722,159,28.8,6,1785,232,71.2,7.6,ARC 10,572.16900635,8.44655991,580.61499023,0.894014,0.0131977,0.90721101,050434,Gwinnett,{33B3FE5A-DB5A-498E-9BB2-07D852B2905D},
89,13067031108,13067,"Census Tract 311.08, Cobb County",4913,473,2971,157,2784,187,2756,177,92.8,3.4,2646,1149,1497,95,43.4,57,110,-2,2,-2.3,215,145,7.2,4.9,138,5,2,0,1,0,0.9,740,160,24.9,5.2,175,111,5.9,3.7,1825,294,61.4,9.3,971,241,33,7.9,1259,202,45.7,6.7,1497,226,54.3,7.4,ARC 10,826.90899658,3.04187012,829.95001221,1.29205,0.00475292,1.29680002,031108,Cobb,{0EC075CB-EBA6-454F-983E-07DB4ACEB4C3},
211,13067031112,13067,"Census Tract 311.12, Cobb County",5276,342,2417,125,2199,218,2289,157,94.7,4.3,2075,1136,939,94.4,54.7,45,214,0,16,-15.7,128,131,5.3,5.4,124,5.6,0,1,1.8,0,2.4,1700,167,70.3,5.9,668,176,27.6,7.1,753,209,31.2,8.5,996,238,41,9.6,1612,187,70.4,6.6,677,179,29.6,7.6,ARC 10,1009.51000977,0,1009.51000977,1.57736003,0,1.57736003,031112,Cobb,{2313459A-7441-4FCA-9D09-081BD53A43B9},
556,13121005200,13121,"Census Tract 52, Fulton County",5534,531,2637,63,1594,1043,2460,159,93.3,5.6,1473,953,520,92.4,64.7,35,987,1,-5,4.6,177,149,6.7,5.6,121,7.6,-1,6,6.8,2.2,3.4,1248,189,47.3,7.1,1344,280,51,10.5,268,149,10.2,5.6,1025,196,39,7.4,1478,207,60.1,7.5,982,209,39.9,8.1,ARC 10,560.26397705,0,560.26397705,0.87541199,0,0.87541199,005200,Fulton,{CD9BB6A9-9B26-4710-9AE5-081D93F789D3},
458,13139000800,13139,"Census Tract 8, Hall County",3555,351,1154,91,1169,-15,1050,106,91,5.7,1098,421,677,93.9,38.3,62,-48,-3,3,-3,104,52,9,4.4,71,6.1,3,3.1,5.1,4.1,4.4,644,120,55.8,9.4,14,24,1.2,2.1,336,104,29.1,8.7,804,168,70,13.5,434,96,41.3,8.1,616,111,58.7,8.8,ARC 20,1181.63000488,6.14600992,1187.7800293,1.84630001,0.00960314,1.85590994,000800,Hall,{EE02FA30-4885-44E4-A7A3-08511FB9F096},
107,13067030234,13067,"Census Tract 302.34, Cobb County",6447,360,2066,34,1288,778,2066,34,100,0,1227,1178,49,95.3,96,4,839,5,-1,0.9,0,18,0,0.9,61,4.7,-5,0,0.9,0,17.8,2050,37,99.2,0.7,938,164,45.4,7.9,968,163,46.9,7.8,160,68,8,3.3,1965,72,95.1,3.1,101,60,4.9,2.9,ARC 10,2918.57006836,7.86535978,2926.42993164,4.56026983,0.0122896,4.57254982,030234,Cobb,{E4670A7B-483F-4013-95A4-08CA000C35AC},
822,13089021308,13089,"Census Tract 213.08, DeKalb County",4148,500,1690,101,1545,145,1466,118,86.7,4.7,1504,793,711,97.3,52.7,47,-38,-11,-3,2.7,224,92,13.3,5.4,41,2.7,11,0,1.7,13.5,9,885,131,52.4,7.1,41,38,2.4,2.2,126,76,7.5,4.5,1523,216,90,11.6,733,119,50,7,733,135,50,8.3,ARC 10,667.75201416,0,667.75201416,1.04335999,0,1.04335999,021308,DeKalb,{580C5A1D-7BAD-4D9F-B94F-08D0C8F87A32},
743,13089023213,13089,"Census Tract 232.13, DeKalb County",6253,505,2231,90,1476,755,2044,134,91.6,4.7,1438,955,483,97.4,66.4,34,606,-6,-18,18.3,187,104,8.4,4.6,38,2.6,6,0,1.8,0,1.7,1439,159,64.5,6.6,751,174,33.7,7.7,807,186,36.2,8.2,673,178,30,7.9,984,177,48.1,8.1,1060,169,51.9,7.5,ARC 10,1244.15002441,4.10936022,1248.26000977,1.94397998,0.00642088,1.95041001,023213,DeKalb,{B4692CB3-138E-48F4-924A-09D028BF7EB9},
274,13151070404,13151,"Census Tract 704.04, Henry County",7869,791,2952,168,997,1955,2658,204,90,4.6,945,856,89,94.8,90.6,9,1713,-5,-28,27.7,294,142,10,4.8,51,5.1,5,1.3,2.1,13,9.5,2140,251,72.5,7.4,1948,224,66,6.6,716,181,24.3,6,288,156,10,5.2,1671,240,62.9,7.6,987,238,37.1,8.5,ARC 10,15809.29980469,264.25100708,16073.5,24.70199966,0.41289201,25.1147995,070404,Henry,{4041523B-8294-4084-BFAC-09DCE04E9704},
102,13117130507,13117,"Census Tract 1305.07, Forsyth County",2381,309,1346,27,969,377,1048,114,77.9,8.3,864,765,99,89.2,88.5,12,184,-11,-1,1.2,298,111,22.1,8.2,104,10.7,11,2.7,4,23.6,21.4,1104,89,82,6.4,406,121,30.2,9,777,143,57.7,10.6,163,74,12,5.5,915,113,87.3,5.1,133,70,12.7,6.5,ARC 20,1554.11999512,897.72198486,2451.84008789,2.42830992,1.40269005,3.83100009,130507,Forsyth,{77D24109-C730-40C7-ABCD-09E51A52958A},
90,13117130105,13117,"Census Tract 1301.05, Forsyth County",2648,236,910,31,657,253,831,70,91.3,7,614,440,174,93.5,71.7,28,217,-2,-12,11.8,79,68,8.7,7.5,43,6.5,2,0,2.6,4,6.6,601,86,66,9.2,335,76,36.8,8.3,382,89,42,9.6,193,72,21,7.9,498,80,59.9,8.2,333,81,40.1,9.1,ARC 20,2473.80004883,112.34899902,2586.14990234,3.86530995,0.17554501,4.04086018,130105,Forsyth,{BFFE76B3-A168-4040-88A3-0A73AEA843C3},
735,13089022700,13089,"Census Tract 227, DeKalb County",4732,341,1721,108,1759,-38,1615,101,93.8,8.3,1587,1018,569,90.2,64.1,36,28,4,10,-9.7,106,73,6.2,4.2,172,9.8,-4,0,1.1,0.7,1.6,1255,116,72.9,4.9,319,91,18.5,5.2,199,86,11.6,4.9,1203,187,70,10,1192,117,73.8,5.6,423,99,26.2,5.9,ARC 10,556.68200684,0,556.68200684,0.86981601,0,0.86981601,022700,DeKalb,{EBDE66CC-7E07-4DCA-8926-0AAD4922A50F},
370,13135050317,13135,"Census Tract 503.17, Gwinnett County",3819,452,1901,62,1913,-12,1623,121,85.4,5.7,1836,247,1590,96,13.5,87,-213,-11,-5,5.2,278,108,14.6,5.7,77,4,11,16.9,23.8,9.1,4.6,30,33,1.6,1.7,181,91,9.5,4.8,1072,186,56.4,9.6,648,153,34,8,133,58,8.2,3.5,1490,126,91.8,3.7,ARC 10,317.94000244,3.84297991,321.7829895,0.49678099,0.00600466,0.50278598,050317,Gwinnett,{117E07CA-4DC6-4349-99EF-0ABA1157D75A},
113,13067030405,13067,"Census Tract 304.05, Cobb County",6020,475,2941,67,2995,-54,2841,106,96.6,2.9,2870,1179,1691,95.8,41.1,59,-29,1,-6,5.6,100,69,3.4,2.3,125,4.2,-1,0,1.8,2,3.2,1417,146,48.2,4.8,223,112,7.6,3.8,791,220,26.9,7.5,1927,310,66,10.4,1009,154,35.5,5.3,1832,181,64.5,5.9,ARC 10,989.63598633,0,989.63598633,1.54630995,0,1.54630995,030405,Cobb,{E058991E-EE60-4D6E-9E9B-0B6540DCA703},
465,13121011616,13121,"Census Tract 116.16, Fulton County",5345,440,2475,184,2220,255,2390,181,96.6,1.4,2072,570,1502,93.3,27.5,72,318,3,6,-5.6,85,97,3.4,3.9,148,6.7,-3,0,2.3,5,5.7,456,163,18.4,6.4,887,215,35.8,8.3,1337,269,54,10.1,251,138,10,5.5,791,192,33.1,7.6,1599,221,66.9,7.7,ARC 10,1414.14001465,3.5936501,1417.73999023,2.20958996,0.00561508,2.21521997,011616,Fulton,{1F52B998-23F3-4427-8EA6-0B7994F1D73B},
902,13057091006,13057,"Census Tract 910.06, Cherokee County",4951,256,1825,47,1584,241,1786,65,97.9,2.5,1544,1450,94,97.5,93.9,6,242,0,-10,10.5,39,47,2.1,2.6,40,2.5,0,0,0.9,8.6,13.5,1714,80,93.9,3.7,149,61,8.2,3.3,1579,134,86.5,7,97,63,5,3.4,1489,109,83.4,5.3,297,103,16.6,5.7,ARC 10,1187.81994629,1.35686004,1189.18005371,1.85597003,0.00212009,1.85809004,091006,Cherokee,{4143FAE7-118A-4537-B23E-0BCAA89EF1EE},
173,13067030413,13067,"Census Tract 304.13, Cobb County",6215,844,2809,60,2801,8,2414,156,85.9,5.2,2627,356,2271,93.8,13.6,86,-213,-8,-1,1,395,146,14.1,5.2,174,6.2,8,0,5.9,13,5.4,26,29,0.9,1,92,97,3.3,3.5,1784,331,63.5,11.7,933,225,33,8,304,100,12.6,4.1,2110,156,87.4,3.1,ARC 10,356.26098633,0,356.26098633,0.55665803,0,0.55665803,030413,Cobb,{E65D990F-3DD8-4274-950E-0C16A4E7D196},
345,13135050723,13135,"Census Tract 507.23, Gwinnett County",7988,587,2622,60,1926,696,2524,106,96.3,3.4,1869,1772,97,97,94.8,5,655,-1,-13,13,98,82,3.7,3.1,57,3,1,4.5,3.8,0,3.9,2427,115,92.6,3.8,964,174,36.8,6.6,1338,223,51,8.4,320,137,12,5.2,2065,197,81.8,7,459,162,18.2,6.4,ARC 10,2285.14990234,36.80979919,2321.95996094,3.57054996,0.0575153,3.6280601,050723,Gwinnett,{6DA83673-C986-4FE5-AFA4-0C9037482FC4},
