OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Total_housing_units,Total_housing_units_MOE,Num_Total_housing_units_2000,ChgNum_Housing_units_2000_16,Num_Occupied_housing_units,Num_Occupied_housing_units_MOE,Pct_Occupied_housing_units,Pct_Occupied_housing_units_MOE,Num_Occupied_housing_units_2000,Num_OwnOcc_HousUnits_2000,Num_RentOcc_HousUnits_2000,Pct_Occupied_housing_units_2000,Pct_OwnOcc_HousUnits_2000,Pct_RentOcc_HousUnits_2000,ChgNum_OccHousUnits_2000_16,ChgPct_OccHousUnits_2000_16,ChgPct_OwnOcc_HousUnits_2000_16,ChgPct_RentOcc_Units_2000_16,Num_Vacant_housing_units,Num_Vacant_housing_units_MOE,Pct_Vacant_housing_units,Pct_Vacant_housing_units_MOE,Num_VacHousUnits_2000,Pct_VacHousUnits_2000,Chg_Pct_VacHousUnits_2000_16,Homeowner_vacancy_rate,Homeowner_vacancy_rate_MOE,Rental_vacancy_rate,Rental_vacancy_rate_MOE,Num_1Unit_Detatched,Num_1Unit_Detatched_MOE,Pct_1Unit_Detached,Pct_1Unit_Detached_MOE,Hous_Units_Built_Since_2000,Hous_Units_Built_Since_2000_MOE,Pct_Units_Built_Since_2000,Pct_Units_Built_Since_2000_MOE,Units_Built_1980_to_1999,Units_Built_1980_to_1999_MOE,Pct_Units_Built_1980_1999,Pct_Units_Built_1980_1999_MOE,Units_Built_1979_or_Earlier,Units_Built_1979_or_Earlier_MOE,Pct_Units_Built_1979earlier,Pct_Units_Built_1979earlier_MOE,Owner_Occ_Housing_Units,Owner_Occ_Housing_Units_MOE,Pct_Owner_Occ_Housing_Units,Pct_Owner_Occ_Housing_Units_MOE,Renter_Occ_Housing_Units,Renter_Occ_Housing_Units_MOE,Pct_Renter_Occ_Units,Pct_Renter_Occ_Units_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date
66,13067030227,13067,"Census Tract 302.27, Cobb County",7798,629,3263,200,2834,429,2990,212,91.6,3.3,2639,1891,748,93.1,71.7,28,351,-2,-10,9.6,273,163,8.4,5,195,6.9,2,1.9,3,9.7,9.8,2310,207,70.8,4.6,328,108,10.1,3.3,2032,318,62.3,9,903,245,28,7.3,1858,183,62.1,4.2,1132,237,37.9,7.5,ARC 10,2137.48999023,13.70940018,2151.19995117,3.33982992,0.0214209,3.36124992,030227,Cobb,{CBB4F35C-AD51-474A-B3F0-84B3C6682D35},
791,13089023204,13089,"Census Tract 232.04, DeKalb County",6980,795,2555,57,2363,192,2284,165,89.4,6.1,2302,2124,178,97.4,92.3,8,-18,-8,-23,22.9,271,147,10.6,5.7,61,2.6,8,0,1.1,15.6,13.5,2226,154,87.1,5.7,104,76,4.1,3,1131,241,44.3,9.4,1320,253,52,9.8,1584,217,69.4,8.1,700,192,30.6,8.1,ARC 10,1651.93994141,18.89119911,1670.82995605,2.58116007,0.0295175,2.61067009,023204,DeKalb,{8AEFC41C-3ED2-4210-86CD-84FAA3133D4C},
553,13121007100,13121,"Census Tract 71, Fulton County",2002,329,1051,31,1278,-227,756,82,71.9,7.5,1210,501,709,94.7,41.4,59,-454,-23,2,-1.9,295,79,28.1,7.5,68,5.3,23,0,4,2.6,4.1,743,69,70.7,6.2,223,72,21.2,6.9,60,38,5.7,3.6,768,118,73,11.1,327,67,43.3,7.5,429,88,56.7,9.9,ARC 10,612.30200195,0,612.30200195,0.95672202,0,0.95672202,007100,Fulton,{8BDC8FA8-ED8C-4E8C-A8FF-850CE9A5BBC0},
826,13089022001,13089,"Census Tract 220.01, DeKalb County",4361,407,2092,54,1660,432,1969,86,94.1,3.3,1619,1347,272,97.5,83.2,17,350,-3,-15,15.3,123,78,5.9,3.7,41,2.5,3,0,1,5.1,6.7,1581,122,75.6,5.5,348,103,16.6,4.9,241,105,11.5,5,1503,204,72,9.6,1337,130,67.9,5.9,632,123,32.1,6.1,ARC 10,1084.83996582,7.11786985,1091.95996094,1.69506001,0.0111217,1.70618999,022001,DeKalb,{D3653E6B-5D27-4D8E-A4DE-8521386E08D9},
98,13117130607,13117,"Census Tract 1306.07, Forsyth County",5559,330,1886,61,320,1566,1731,100,91.8,4.4,308,274,34,96.3,89,11,1423,-4,4,-3.7,155,94,8.2,5,12,3.8,4,3.3,3.6,0,14.3,1732,66,91.8,1.9,1506,128,79.9,6.3,314,88,16.6,4.6,66,62,4,3.3,1605,129,92.7,5.2,126,66,7.3,3.8,ARC 20,1901.9699707,9.57929039,1911.55004883,2.97182989,0.0149676,2.98679996,130607,Forsyth,{8F7FEDB2-8D1F-4977-8CBE-85893639A5FB},
134,13067030101,13067,"Census Tract 301.01, Cobb County",7855,439,2841,72,2125,716,2761,120,97.2,3.4,2039,1841,198,96,90.3,10,722,1,-3,3.4,80,96,2.8,3.4,86,4,-1,2.4,3.7,0,5,2700,89,95,2,946,196,33.3,6.8,1324,251,46.6,8.8,571,169,20,5.9,2399,173,86.9,5,362,153,13.1,5.5,ARC 10,6899.97021484,698.4130249,7598.37988281,10.78120041,1.09126997,11.87250042,030101,Cobb,{4B70456B-0415-4B2A-9AEE-85AFFAD44D01},
732,13089021602,13089,"Census Tract 216.02, DeKalb County",3776,350,2105,110,2167,-62,1801,158,85.6,6,2025,1169,856,93.4,57.7,42,-224,-8,0,-0.4,304,158,14.4,7.5,142,6.6,8,2.7,2.8,9.5,10.2,827,113,39.3,5,150,71,7.1,3.4,617,163,29.3,7.6,1338,241,64,10.9,1046,108,58.1,3.2,755,153,41.9,7.7,ARC 10,788.05200195,0,788.05200195,1.23133004,0,1.23133004,021602,DeKalb,{8D900369-F8FB-47BE-97F0-85FF9E0E8433},
467,13121011611,13121,"Census Tract 116.11, Fulton County",7437,798,3543,144,1955,1588,3229,206,91.1,4.5,1848,912,936,94.5,49.4,51,1381,-3,-11,11,314,184,8.9,5.2,107,5.5,3,3.4,5.4,6.4,5.8,846,201,23.9,5.6,1311,272,37,7.5,1856,335,52.4,9.2,376,170,11,4.8,1241,213,38.4,6.1,1988,239,61.6,6.3,ARC 10,3487.07006836,18.72979927,3505.80004883,5.44855022,0.0292653,5.47780991,011611,Fulton,{5EC3FD12-0497-4C70-8482-8650F9AB585A},
511,13121010603,13121,"Census Tract 106.03, Fulton County",4079,546,1702,122,2239,-537,1402,135,82.4,5.3,2156,251,1905,96.3,11.6,88,-754,-14,6,-5.5,300,97,17.6,5.6,83,3.7,14,0,5.4,11.8,5.4,278,71,16.3,4,0,23,0,1.3,406,146,23.9,8.4,1296,194,76,10,240,68,17.1,4.6,1162,127,82.9,4.3,ARC 10,1519.11999512,7.07684994,1526.18994141,2.37363005,0.0110576,2.38467002,010603,Fulton,{1F720C35-F5CA-415A-A633-8681A4EF84BE},
157,13067031115,13067,"Census Tract 311.15, Cobb County",4979,479,1889,57,1566,323,1700,105,90,4.9,1493,1142,351,95.3,76.5,24,207,-5,-15,14.7,189,94,10,5,73,4.7,5,4.9,4.6,2.7,4.4,1383,138,73.2,7,406,117,21.5,6.2,628,168,33.2,8.8,855,151,45,7.9,1051,136,61.8,7,649,118,38.2,6.5,ARC 10,903.1829834,4.64211988,907.82501221,1.41121995,0.00725331,1.41848004,031115,Cobb,{376834FC-90B0-42F6-8A3F-868BD8E97810},
641,13139001502,13139,"Census Tract 15.02, Hall County",4598,432,1914,63,1478,436,1655,105,86.5,4.7,1311,1166,145,88.7,88.9,11,344,-2,-6,6.2,259,98,13.5,5.1,167,11.3,2,0,1,7.4,12.3,1727,80,90.2,2.9,371,92,19.4,4.8,1004,135,52.5,6.8,539,129,28,6.7,1368,104,82.7,3.5,287,106,17.3,6.3,ARC 20,5689.31982422,5672.56982422,11361.90039063,8.88955975,8.86338997,17.75300026,001502,Hall,{328549F9-74A4-483F-A967-86B56CBFB219},
706,13097080404,13097,"Census Tract 804.04, Douglas County",8366,677,3077,266,1378,1699,2937,287,95.5,4.3,1218,1038,181,88.4,85.2,15,1719,7,-8,8.1,140,116,4.5,3.7,160,11.6,-7,1.9,3,5.7,9,2437,229,79.2,2.9,1788,238,58.1,5.9,967,244,31.4,7.5,322,165,10,5.3,2262,292,77,6.5,675,173,23,5.4,ARC 10,14693.59960938,80.23290253,14773.79980469,22.95870018,0.12536401,23.08410072,080404,Douglas,{D51360A8-F70B-4B48-97FB-8736FFA1B3E0},
691,13077170602,13077,"Census Tract 1706.02, Coweta County",8548,609,3417,193,297,3120,3315,200,97,2.1,225,198,27,75.8,88,12,3090,21,-13,12.6,102,106,3,3.1,72,24.2,-21,1.7,2.7,0,2.2,2970,234,86.9,4.8,2953,224,86.4,4.4,308,115,9,3.3,156,106,5,3.1,2500,261,75.4,6.4,815,191,24.6,5.6,ARC 20,2392.07006836,97.6473999,2489.70996094,3.7376101,0.152574,3.8901701,170602,Coweta,{B502BBC1-1690-4E50-BC65-87639CC2D524},
627,13121010114,13121,"Census Tract 101.14, Fulton County",6361,689,3098,140,3052,46,2938,154,94.8,2.5,2841,1291,1550,93.1,45.4,55,97,2,-6,5.6,160,139,5.2,4.5,212,6.9,-2,0,1.5,3.7,5.7,957,171,30.9,5.3,269,101,8.7,3.2,1144,263,36.9,8.3,1685,286,54,8.9,1169,160,39.8,5,1769,217,60.2,6.7,ARC 10,999.77001953,4.39179993,1004.15997314,1.56213999,0.00686219,1.56900001,010114,Fulton,{066A02E1-C207-4436-98C3-8850C07FA79E},
673,13139000204,13139,"Census Tract 2.04, Hall County",4185,358,1699,50,1365,334,1444,127,85,7,1249,995,254,91.5,79.7,20,195,-6,5,-4.6,255,119,15,7,116,8.5,6,0,1.1,0,4.7,1519,72,89.4,3.3,480,114,28.3,6.7,766,134,45.1,7.8,453,128,27,7.5,1218,145,84.3,6.8,226,94,15.7,6.4,ARC 20,9893.00976563,943.13299561,10836.09960938,15.45779991,1.47364998,16.9314003,000204,Hall,{C8B77B77-2A16-454C-B604-885382A2BE0F},
