X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Pop_PovertyStatus_Determined,Population_in_poverty,Percent_Population_in_poverty,Pop_under18_PovStatusDetermined,Pop_under18_in_Poverty,Pct_Pop_under18_in_Poverty,Pop_18_64_PovStatus_Determined,Pop_18_64_Years_in_Poverty,Pct_Pop_18_64_Years_in_Poverty,Pop_65older_PovStatusDetermined,Pop_65older_in_Poverty,Pct_Pop_65older_in_Poverty,GlobalID,last_edited_date
-81.57215523099002,30.756670879395642,29,St. Marys,15951,24.92340088, , ,17322,2663,15.4,4614,1194,25.9,10773,1222,11.3,1935,247,12.8,{301351CF-0396-45A6-B5E7-EC97526173A2},
-81.721747618684333,30.81938988424136,30,Kingsland,28812.5,45.01959991, , ,16070,1847,11.5,4777,639,13.4,10068,1076,10.7,1225,132,10.8,{F706C002-A2BC-47FF-AD25-B416B715DC5C},
-85.044201695657492,34.010275416089883,31,Rockmart,3653.76000977,5.70900011, , ,4161,723,17.4,932,212,22.7,2702,484,17.9,527,27,5.1,{0505663A-0D2E-477C-9BCA-8D71DF91C827},
-85.250086914761596,34.021563224803607,32,Cedartown,5582.02978516,8.72192001, , ,9296,2779,29.9,2797,1011,36.1,5278,1658,31.4,1221,110,9,{0EE11036-F37E-46BC-950D-6505137957C5},
-85.057081949250133,34.045694458802309,33,Aragon,731.47399902,1.14293003, , ,1158,230,19.9,262,54,20.6,797,163,20.5,99,13,13.1,{1E9566B7-B929-45C0-B905-41B51D4D70BE},
-83.611275845059367,33.626303117910538,34,Rutledge,2115.2199707,3.30503988, , ,708,69,9.7,103,14,13.6,468,36,7.7,137,19,13.9,{9B3557E4-8B60-41AB-92EF-71CCDBE58AE7},
-83.475834636871738,33.57908875704647,35,Madison,5621.20996094,8.78314018, , ,3896,682,17.5,968,234,24.2,2326,372,16,602,76,12.6,{7DC5543F-8C2E-4F8F-A758-088CBAF66F68},
-83.362311742670897,33.568458472341518,36,Buckhead,513.20898438,0.801889, , ,209,42,20.1,37,11,29.7,142,29,20.4,30,2,6.7,{4967A30B-19E8-41FF-AB46-90A5958938FD},
-83.514963823408692,33.737807252310098,37,Bostwick,2009.42004395,3.13970995, , ,575,96,16.7,171,14,8.2,345,69,20,59,13,22,{A55EF740-59E7-4196-82B8-7D8AD799FBDC},
-84.560624633719087,32.787680700104318,38,Woodland,505.98699951,0.79060501, , ,398,137,34.4,62,32,51.6,286,88,30.8,50,17,34,{2FFC4B5E-98ED-41FF-835A-3E876A0823F4},
-84.540597882672756,32.67727423634534,39,Talbotton,1999.56005859,3.12431002, , ,1122,345,30.7,201,48,23.9,770,226,29.4,151,71,47,{F70EAA6E-B51B-4713-ADA1-C793367939C2},
