OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Pop_wHealth_Insurance,Pop_wHealth_Insurance_MOE,Pct_Pop_wHealth_Insurance,Pct_Pop_wHealth_Insurance_MOE,Pop_wPriv_Health_Insurance,Pop_wPriv_Health_Insurance_MOE,Pct_Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins_MOE,Pop_wPublic_Health_Ins,Pop_wPublic_Health_Ins_MOE,Pct_Pop_wPublic_Health_Ins,Pct_Pop_wPublic_Health_Ins_MOE,Pop_wNo_Health_Insurance,Pop_wNo_Health_Insurance_MOE,Pct_Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins_MOE,Pop_u18_wNo_Health_Ins,Pop_u18_wNo_Health_Ins_MOE,Pct_Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins_MOE,Pop18_64_Employed,Pop18_64_Employed_MOE,Pop18_64_Empl_No_Health_Ins,Pop18_64_Empl_No_Health_Ins_MOE,Pct18_64_Emp_No_Health_Ins,Pct18_64_Emp_No_Health_Ins_MOE,Pop18_64_Unemployed,Pop18_64_Unemployed_MOE,Pop18_64_Unemp_No_HealthIns,Pop18_64_Unemp_No_HealthIns_MOE,Pct18_64_Unemp_No_HealthIns,Pct18_64_Unemp_No_HealthIns_MOE,Pop18_64_Not_in_Labor_Force,Pop18_64_Not_in_Labor_Force_MOE,Pop18_64_NotLabor_NoHlthIns,Pop18_64_NotLabor_NoHlthIns_MOE,Pct18_64_NotLabor_NoHlthIns,Pct18_64_NotLabor_NoHlthIns_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date
460,13139000400,13139,"Census Tract 4, Hall County",6332,684,5434,572,86.4,13.1,4426,529,70.4,3.5,1901,386,30.2,5.2,854,362,13.6,5.6,131,154,8.1,9.4,2377,354,381,221,16,9,174,132,40,51,23,24,941,275,302,183,32,17,ARC 20,4583.04003906,1627.52001953,6210.56982422,7.16099977,2.54299998,9.70401955,000400,Hall,{E8A45277-2A58-4B4E-906B-34748E6D1E3E},
112,13067031110,13067,"Census Tract 311.10, Cobb County",3547,422,2546,285,71.8,11.7,1714,215,48.3,1.9,968,208,27.3,4.9,1001,295,28.2,7.6,16,33,1.9,3.8,1944,323,722,335,37.1,16.1,106,78,63,61,59.4,37,367,151,200,109,54,19.5,ARC 10,668.2119751,0,668.2119751,1.04408002,0,1.04408002,031110,Cobb,{863BA4A9-F1F4-48A2-8CA1-352A6E2C7F20},
806,13089021414,13089,"Census Tract 214.14, DeKalb County",4164,397,2701,285,64.9,3,1865,228,44.8,3.4,964,205,23.2,4.4,1463,288,35.1,6,203,136,18.4,11.7,2419,199,877,215,36.3,8.4,133,70,101,64,75.9,27,408,143,282,93,69,33.3,ARC 10,266.9960022,4.87563992,271.87200928,0.41718099,0.00761819,0.42480001,021414,DeKalb,{9ECDE96C-8DBE-4FC2-9796-3548B2CCD46B},
530,13121007808,13121,"Census Tract 78.08, Fulton County",4716,543,3752,469,79.6,3.9,755,237,16,4.7,3130,430,66.4,5,964,239,20.4,4.5,28,41,1.2,1.8,1143,281,481,150,42.1,8.1,459,161,239,130,52.1,22,529,135,216,107,41,17.3,ARC 10,403.00299072,0,403.00299072,0.62969202,0,0.62969202,007808,Fulton,{42911FF8-1228-4B16-8406-35612365F88B},
206,13067030332,13067,"Census Tract 303.32, Cobb County",3447,231,3305,272,95.9,4.6,2995,235,86.9,3.5,677,170,19.6,4.8,142,78,4.1,2.2,6,16,0.7,1.8,1467,136,75,57,5.1,3.9,96,54,24,27,25,24,474,159,37,30,8,5.8,ARC 10,886.36199951,15.80189991,902.16400146,1.38494003,0.0246905,1.40962994,030332,Cobb,{99F7138D-A03A-4DA1-8682-356D503F6F8B},
441,13121011100,13121,"Census Tract 111, Fulton County",2399,283,2112,300,88,6.9,1504,256,62.7,7.7,736,199,30.7,7.5,287,141,12,5.7,0,18,0,5.9,1346,172,172,104,12.8,7.6,149,100,43,41,28.9,20,297,95,72,60,24,18.7,ARC 10,848.23199463,0,848.23199463,1.32535994,0,1.32535994,011100,Fulton,{ECF5BEA8-2450-4983-BF09-35B9A103E5AC},
161,13067031309,13067,"Census Tract 313.09, Cobb County",8085,730,6145,598,76.1,2.8,4034,480,49.9,3.9,2559,498,31.7,5.5,1935,542,23.9,6.3,391,407,15.5,16,3608,415,914,246,25.3,6.2,489,195,287,181,58.7,29,814,232,343,196,42,20.9,ARC 10,1970.06005859,0.62221098,1970.68005371,3.07821989,0.00097221,3.07919002,031309,Cobb,{B9AFFCE3-CE1A-4DC8-80D4-35E2BF111AB0},
22,13113140307,13113,"Census Tract 1403.07, Fayette County",5048,306,5026,281,99.6,8.2,4915,278,97.4,8.1,407,86,8.1,1.6,22,52,0.4,1,0,25,0,1.6,2248,213,0,18,0,0.8,71,50,0,18,0,25,881,134,22,33,2,3.7,ARC 10,4196.87011719,96.89790344,4293.77001953,6.55761003,0.15140299,6.70902014,140307,Fayette,{1FF3A6C2-AE6B-4B78-A576-35E6E8A25109},
943,13223120303,13223,"Census Tract 1203.03, Paulding County",1886,217,1508,200,80,5.3,1098,144,58.2,3.6,541,138,28.7,6.5,378,142,20,7.2,68,74,12.2,12.9,756,108,207,109,27.4,13.9,81,53,44,45,54.3,43,261,74,59,33,23,10.9,ARC 20,3630.59008789,60.37950134,3690.9699707,5.67280006,0.094343,5.76713991,120303,Paulding,{4C19A9A1-2205-4468-A344-3607DA8B84E8},
202,13067031307,13067,"Census Tract 313.07, Cobb County",5487,513,4777,460,87.2,2.2,3758,481,68.6,6,1688,291,30.8,4.5,700,217,12.8,3.8,91,113,7.4,9.1,2271,357,288,139,12.7,5.8,156,98,54,44,34.6,18,887,207,267,137,30,13.8,ARC 10,2579.82006836,3.78022003,2583.60009766,4.0309701,0.00590659,4.03688002,031307,Cobb,{55766999-80FC-4685-A17C-367A52F086AC},
65,13067030601,13067,"Census Tract 306.01, Cobb County",9324,845,7255,872,78.1,6.1,6583,879,70.9,6.9,1058,372,11.4,3.9,2031,596,21.9,6.1,828,438,42.6,19.5,5613,720,911,363,16.2,6.1,202,181,141,140,69.8,30,916,375,151,125,16,11.9,ARC 10,2275.60009766,42.58390045,2318.18994141,3.55562997,0.0665373,3.62216997,030601,Cobb,{8696937F-A5B0-4899-9039-368A84E6C68F},
168,13067030345,13067,"Census Tract 303.45, Cobb County",4820,373,3784,389,79.1,5.3,2898,349,60.6,5.6,1031,229,21.6,4.5,1000,272,20.9,5.4,255,158,19.6,11.2,2504,258,520,193,20.8,7.4,156,128,60,59,38.5,21,707,188,165,104,23,13.3,ARC 10,1046.7800293,15.58100033,1062.35998535,1.63558996,0.0243453,1.65994,030345,Cobb,{B3A2580C-5FDD-44F6-BB39-36B26A4ADEDB},
504,13121011624,13121,"Census Tract 116.24, Fulton County",4270,265,4048,252,94.8,0.3,3983,254,93.3,1.4,224,83,5.2,1.9,222,139,5.2,3.2,7,16,0.5,1.3,2048,174,119,116,5.8,5.6,139,119,9,14,6.5,8,622,169,65,67,10,10.4,ARC 10,658.91601563,8.29804993,667.21398926,1.02955997,0.0129657,1.04252005,011624,Fulton,{3DA5FB19-1EC9-40E6-B48D-36C4778E1DE8},
487,13121010106,13121,"Census Tract 101.06, Fulton County",4346,327,3763,329,86.7,3.9,3036,265,70,3.1,1028,226,23.7,4.9,577,247,13.3,5.6,0,18,0,2.1,2250,237,366,136,16.3,5.8,165,146,149,144,90.3,35,468,131,62,49,13,9.8,ARC 10,1646.85998535,66.4484024,1713.30004883,2.57322001,0.103826,2.67703009,010106,Fulton,{DF2F0477-20F8-41B5-8492-36C53A07C70D},
884,13057091103,13057,"Census Tract 911.03, Cherokee County",9385,648,8467,601,90.2,1.5,7347,581,78.3,3,1954,381,20.8,3.8,918,373,9.8,3.9,86,97,4,4.5,4513,495,439,224,9.7,4.8,269,128,102,89,37.9,28,1629,335,291,173,18,10,ARC 10,6240.52001953,690.69500732,6931.22021484,9.75080967,1.07921004,10.82999992,091103,Cherokee,{EAA88E19-2199-406C-BDDB-36CA158B26E7},
703,13097080603,13097,"Census Tract 806.03, Douglas County",6764,542,5563,452,82.2,1.1,4557,495,67.4,4.9,1675,337,24.8,4.6,1201,497,17.8,7.2,213,191,12.5,10.9,3360,444,796,411,23.7,11.8,245,176,57,88,23.3,32,715,225,135,98,19,12.4,ARC 10,3499.87988281,27.23789978,3527.11010742,5.46856022,0.0425592,5.51110983,080603,Douglas,{B3FDE3D9-06F4-4F30-87DA-36D17524D257},
526,13121001100,13121,"Census Tract 11, Fulton County",4287,440,4203,441,98.3,1.9,4011,438,93.8,3.4,353,132,8.3,3,73,89,1.7,2.1,0,18,0,14.5,3496,413,23,31,0.7,0.9,45,42,0,13,0,29,405,131,50,79,12,19.1,ARC 10,116.4240036,0,116.4240036,0.181913,0,0.181913,001100,Fulton,{6E8F3F22-B1B3-4FF0-B926-3786FB8DB9F9},
500,13121012300,13121,"Census Tract 123, Fulton County",2616,411,2076,391,79.6,8.2,1772,369,67.9,9.3,431,135,16.5,4.5,532,273,20.4,9.9,29,48,10.3,16.4,1544,309,343,209,22.2,12.8,152,77,54,49,35.5,27,414,204,106,131,26,29,ARC 10,888.02099609,0,888.02099609,1.38752997,0,1.38752997,012300,Fulton,{1E67858F-4C63-4250-8C47-3790F0FD576E},
667,13139001004,13139,"Census Tract 10.04, Hall County",3075,287,2558,301,83.2,6,2031,319,66,8.3,824,218,26.8,6.6,517,150,16.8,4.6,20,25,3,3.6,1648,250,298,106,18.1,5.8,64,50,16,21,25,26,386,115,183,93,47,19.5,ARC 20,1258.91003418,616.46002197,1875.36999512,1.96704996,0.96321899,2.93026996,001004,Hall,{5D20A0CE-4AC6-4045-9C1B-37A8AB882D4D},
361,13217100700,13217,"Census Tract 1007, Newton County",6345,755,5478,785,86.6,6.9,2743,565,43.4,7.3,3213,682,50.8,8.9,846,262,13.4,3.8,46,62,2.5,3.3,2292,401,432,151,18.8,5.7,473,189,227,163,48,29,979,309,141,91,14,8.1,ARC 20,3785.45996094,7.78010988,3793.23999023,5.91478014,0.0121564,5.92693996,100700,Newton,{E5809EFC-CDE1-4737-874B-37E450B2E6AA},
6,13045910200,13045,"Census Tract 9102, Carroll County",11669,1080,9062,1109,77.7,6.2,5895,902,50.5,6.2,4331,860,37.1,6.5,2607,717,22.3,5.8,216,173,8.3,6.3,4703,591,1424,478,30.3,9.4,558,309,343,262,61.5,32,2138,490,624,322,29,13.5,ARC 20,29329.30078125,392.24899292,29721.59960938,45.82699966,0.61288899,46.43999863,910200,Carroll,{85CB4B4D-D21C-47E6-B70C-37E84A835E9B},
525,13121009402,13121,"Census Tract 94.02, Fulton County",4829,479,4087,400,84.6,11.8,3825,374,79.2,11,388,162,8,3.3,742,245,15.4,4.8,109,128,26,28.9,3456,331,435,187,12.6,5.3,250,99,145,79,58,22,657,260,53,47,8,6.4,ARC 10,330.49200439,5.63819981,336.13000488,0.51639402,0.00880969,0.52520299,009402,Fulton,{2F8F817F-D676-4982-B0F3-3806CAFAC0D9},
145,13117130601,13117,"Census Tract 1306.01, Forsyth County",4954,460,3937,381,79.5,2.2,3426,365,69.2,3.6,912,237,18.4,4.5,1017,374,20.5,7.3,154,142,11.5,10.4,2682,295,732,333,27.3,12,59,51,59,51,100,0,459,175,72,57,16,10.9,ARC 20,4245.14013672,23.4545002,4268.58984375,6.63302994,0.0366477,6.6696701,130601,Forsyth,{72D17A10-9820-428A-85FE-382B9E66156B},
598,13121006500,13121,"Census Tract 65, Fulton County",4611,779,3368,580,73,2.5,2049,485,44.4,7.4,1540,320,33.4,4.1,1243,399,27,7.4,218,143,21.1,12.4,1597,378,298,163,18.7,9.2,293,152,161,90,54.9,11,1311,492,556,401,42,26.1,ARC 10,810.56799316,0,810.56799316,1.26651001,0,1.26651001,006500,Fulton,{3DD869AA-1FD8-4653-ADBD-3886E24E5F3E},
490,13121010205,13121,"Census Tract 102.05, Fulton County",5347,451,5236,442,97.9,0.4,4822,418,90.2,1.8,964,242,18,4.3,111,90,2.1,1.7,0,25,0,2.8,2832,324,96,77,3.4,2.7,113,82,0,18,0,16,493,172,15,23,3,4.5,ARC 10,1629.31005859,3.76391006,1633.06994629,2.54579997,0.00588111,2.55167007,010205,Fulton,{F3ECD38F-A437-4924-B4D8-38A970D6F49C},
56,13067030324,13067,"Census Tract 303.24, Cobb County",3730,269,3414,242,91.5,9.3,3238,241,86.8,1.6,477,105,12.8,2.7,316,141,8.5,3.7,8,18,1,2.1,1782,183,228,116,12.8,6.4,155,84,9,13,5.8,8,572,132,71,46,12,7.5,ARC 10,905.3170166,9.96551037,915.28198242,1.41455996,0.0155711,1.43013,030324,Cobb,{96D63825-B7DD-4624-B720-3937DAA2092E},
446,13121011301,13121,"Census Tract 113.01, Fulton County",4574,476,3799,539,83.1,8,2720,486,59.5,8.7,1556,287,34,5.2,775,211,16.9,4.3,132,69,18.8,8.9,1740,297,327,131,18.8,6.8,396,149,195,96,49.2,16,904,247,121,85,13,8.7,ARC 10,1244.0300293,6.67802,1250.70996094,1.94379997,0.0104344,1.95422995,011301,Fulton,{3B49D4C8-C173-470D-AEA2-39594D7C23F5},
853,13089023212,13089,"Census Tract 232.12, DeKalb County",3958,446,3333,401,84.4,3.5,2345,370,59.4,6.6,1381,273,35,5.7,615,183,15.6,4.3,67,59,7.3,6.3,1917,263,333,149,17.4,7.4,301,162,119,78,39.5,15,449,182,96,66,21,11.9,ARC 10,867.58197021,9.14216042,876.72399902,1.3556,0.0142846,1.36987996,023212,DeKalb,{FC89E19C-01D3-46A5-B188-39DD91E336DF},
109,13067030337,13067,"Census Tract 303.37, Cobb County",4259,286,4108,264,96.7,9,3765,265,88.6,1.9,846,122,19.9,2.5,142,57,3.3,1.3,25,30,2.3,2.7,1748,169,73,34,4.2,1.9,69,39,8,13,11.6,18,497,101,36,28,7,5.4,ARC 10,1124.06994629,32.01369858,1156.07995605,1.75636005,0.0500214,1.80637002,030337,Cobb,{68563A19-3AFC-49FD-A1D8-39E54AA01F04},
566,13121011614,13121,"Census Tract 116.14, Fulton County",14618,962,12672,1181,86.7,5.7,11444,993,78.3,4.4,2198,753,15,5.1,1946,588,13.3,3.9,524,311,13,7.3,7433,694,833,383,11.2,5,266,162,48,88,18,31,1780,406,490,264,28,13.4,ARC 10,2087.4699707,14.08349991,2101.56005859,3.26167011,0.0220055,3.28368998,011614,Fulton,{247947CB-4D6D-405E-9305-3A3B3BA4F7E8},
356,13217100901,13217,"Census Tract 1009.01, Newton County",10297,730,9206,745,89.4,3.5,7023,668,68.2,4.3,3376,550,32.8,4.8,1091,391,10.6,3.7,159,160,6.4,6.3,4738,487,638,303,13.5,6.2,625,208,94,95,15,14,1348,421,187,119,14,7.7,ARC 20,15595.09960938,125.97200012,15721.09960938,24.36730003,0.196831,24.56419945,100901,Newton,{85C94CFA-E6A9-414E-B03A-3AAAAD57C7DD},
253,13063040204,13063,"Census Tract 402.04, Clayton County",3639,449,2548,362,70.6,5.1,1755,269,48.6,4.5,937,272,26,6.8,1061,273,29.4,6.7,300,201,27,17.2,1794,227,557,155,31,7.7,243,98,128,68,52.7,18,262,101,64,50,24,16.6,ARC 10,673.22900391,5.47782993,678.70697021,1.05192006,0.00855911,1.06048,040204,Clayton,{071BA36E-E140-4C4D-A300-3AB65BDD52D0},
171,13067030412,13067,"Census Tract 304.12, Cobb County",4937,486,3309,410,68.8,4.9,2307,359,47.9,5.6,1130,240,23.5,4.4,1503,285,31.2,5,312,159,24.3,11.4,2520,310,840,203,33.3,6.9,251,94,116,66,46.2,20,590,175,235,97,40,11.4,ARC 10,494.25900269,1.43765998,495.69699097,0.77227998,0.00224634,0.77452701,030412,Cobb,{43543A09-E456-400E-86A4-3B61A76F9D7D},
472,13121008903,13121,"Census Tract 89.03, Fulton County",1667,330,1261,169,75.6,18.1,1078,146,64.7,15.5,206,108,12.4,6,406,236,24.4,13.3,83,91,21.9,23.1,1107,204,281,195,25.4,17,18,18,18,18,100,0,107,57,24,38,22,33.4,ARC 10,284.45199585,2.09941006,286.55099487,0.44445601,0.00328033,0.447736,008903,Fulton,{AF401829-D595-410E-B2AA-3B9190C9036C},
784,13089023315,13089,"Census Tract 233.15, DeKalb County",4969,517,4399,452,88.6,13,3633,410,73.2,3.2,1018,278,20.5,5.2,566,175,11.4,3.3,60,41,3.7,2.5,2351,237,232,115,9.9,4.8,219,113,89,86,40.6,33,492,169,185,109,38,18,ARC 10,5756.79003906,89.70320129,5846.49023438,8.99497986,0.14016099,9.13514042,023315,DeKalb,{CA5221DD-9EB6-48BE-AD59-3BDE4E3AA904},
506,13121003500,13121,"Census Tract 35, Fulton County",2212,327,1032,177,58.3,5.2,791,132,44.7,3.5,280,123,15.8,6.5,737,218,41.7,10.7,0,18,0,91.9,918,151,241,103,26.3,10.4,421,230,326,234,77.4,36,375,118,170,70,45,12,ARC 10,341.11499023,0,341.11499023,0.53299201,0,0.53299201,003500,Fulton,{4B0A4541-B8F3-4137-905E-3BF51F851E2F},
163,13117130104,13117,"Census Tract 1301.04, Forsyth County",4066,287,3845,275,94.6,1.1,3398,287,83.6,3.9,875,183,21.5,4.2,221,113,5.4,2.7,11,23,1.1,2.4,1970,186,140,77,7.1,3.9,48,39,27,31,56.3,46,418,108,43,45,10,10.4,ARC 20,5158.79980469,2164.89990234,7323.70019531,8.06062984,3.38265991,11.44330025,130104,Forsyth,{2CFE8EE8-6336-432E-9309-3C0C38A7E165},
509,13121011412,13121,"Census Tract 114.12, Fulton County",9173,630,8313,626,90.6,2.8,7351,575,80.1,3,1590,451,17.3,4.8,860,326,9.4,3.5,69,92,3.1,4.1,5020,431,542,267,10.8,5.2,191,135,29,33,15.2,14,1071,264,220,136,20,11.6,ARC 10,2199.68994141,22.83869934,2222.5300293,3.43702006,0.0356855,3.47270012,011412,Fulton,{92F21B94-C429-481D-9146-3D8AA4789DCE},
561,13121010512,13121,"Census Tract 105.12, Fulton County",6473,865,5380,755,83.1,3.6,3198,541,49.4,5.1,2541,608,39.3,7.8,1093,340,16.9,4.7,144,137,6.5,6,2772,485,612,248,22.1,8.1,385,197,273,172,70.9,26,755,297,64,89,8,11.3,ARC 10,2265.51000977,20.22109985,2285.72998047,3.53986001,0.0315955,3.57145,010512,Fulton,{D7125EB8-9ACF-4C3D-B903-3DDFB5601C4E},
332,13135050548,13135,"Census Tract 505.48, Gwinnett County",11031,767,7716,566,86.1,3.2,6437,570,71.8,4.5,2033,331,22.7,3.4,1246,362,13.9,3.9,253,190,9.3,6.9,4021,345,650,251,16.2,6.1,144,92,43,40,29.9,20,1110,236,272,114,24,8.9,ARC 10,4897.02978516,71.0789032,4968.10986328,7.6516099,0.111061,7.76267004,050548,Gwinnett,{9E8D5E42-BF96-4CA8-A31B-3E32330CCE3D},
106,13067030235,13067,"Census Tract 302.35, Cobb County",4848,311,4716,283,97.3,8.5,4353,282,89.8,0.8,949,161,19.6,3.1,132,70,2.7,1.4,6,17,0.5,1.4,2306,203,90,57,3.9,2.4,99,46,16,19,16.2,18,530,129,20,21,4,3.9,ARC 10,3074.04003906,17.32159996,3091.36010742,4.80319023,0.027065,4.83024979,030235,Cobb,{69B6B593-2C88-469D-A83C-3ECDE9B0E819},
887,13297110507,13297,"Census Tract 1105.07, Walton County",7831,635,7026,645,90.2,3.9,5857,633,75.2,5.4,2086,386,26.8,4.5,765,315,9.8,4,127,109,6.5,5.4,3286,390,231,165,7,5,311,124,141,93,45.3,24,924,239,167,115,18,11.5,ARC 20,7177.54980469,50.42509842,7227.97998047,11.21490002,0.0787892,11.29370022,110507,Walton,{93F7B11D-B01C-4B33-8311-3F0DC9E51650},
654,13121009502,13121,"Census Tract 95.02, Fulton County",3354,397,2927,363,93.2,2.1,2696,355,85.9,4.2,678,219,21.6,6.4,213,173,6.8,5.4,0,18,0,4.7,1722,309,131,101,7.6,5.7,0,13,0,13,,,455,135,82,88,18,18.6,ARC 10,461.61199951,0,461.61199951,0.72126901,0,0.72126901,009502,Fulton,{AAE96D90-F293-4E6C-909C-3F13C3FAF362},
690,13097080509,13097,"Census Tract 805.09, Douglas County",5958,573,5765,571,96.8,2.3,4905,603,82.3,6.3,1506,309,25.3,4.6,193,105,3.2,1.7,37,46,2.1,2.6,2658,278,108,71,4.1,2.6,126,68,0,18,0,14,688,215,38,38,6,5.2,ARC 10,2135.15991211,13.86009979,2149.02001953,3.33618999,0.0216564,3.35784006,080509,Douglas,{EA1B8C0B-F859-4989-A3A5-3F69DA368BA5},
401,13135050309,13135,"Census Tract 503.09, Gwinnett County",8496,494,7932,555,93.4,3.6,7105,517,83.6,3.7,1614,352,19,4,564,193,6.6,2.2,4,19,0.2,1,4294,366,376,145,8.8,3.3,267,128,79,69,29.6,22,1050,259,88,52,8,4.5,ARC 10,2968.37988281,103.25099945,3071.62988281,4.63809013,0.16133,4.79941988,050309,Gwinnett,{3D8DCF2F-20D7-4157-B518-3FA617AEFBF5},
776,13089023801,13089,"Census Tract 238.01, DeKalb County",3822,377,3145,309,82.4,11.5,2473,266,64.8,2.8,967,184,25.3,4.1,670,198,17.6,4.9,61,56,11.3,9.9,2135,243,336,137,15.7,6.2,230,118,68,49,29.6,15,468,160,205,147,44,27.6,ARC 10,1054.47998047,6.62119007,1061.09997559,1.64761996,0.0103456,1.65796995,023801,DeKalb,{44BD971C-ABEE-478B-8A3E-405C25A661E5},
718,13077170100,13077,"Census Tract 1701, Coweta County",7428,505,6315,547,85,4.6,5342,511,71.9,4.8,1978,343,26.6,4.2,1113,381,15,5,326,247,16.4,12,3191,280,361,157,11.3,4.8,234,100,107,70,45.7,23,957,262,319,191,33,17.7,ARC 20,54800,413.34799194,55213.30078125,85.625,0.64585602,86.27079773,170100,Coweta,{50AA447F-634F-41AB-937A-408BE2936B0E},
239,13063040622,13063,"Census Tract 406.22, Clayton County",8472,842,6178,803,72.9,6.1,3185,550,37.6,5.3,3406,712,40.2,7.4,2294,614,27.1,6.7,393,364,14.8,13.4,2905,467,999,281,34.4,7.9,317,148,214,134,67.5,28,2029,618,688,328,34,12.4,ARC 10,2036.93005371,30.02449989,2066.94995117,3.18269992,0.0469133,3.22960997,040622,Clayton,{A5E6C035-1ADF-45C6-BA39-40AEED76C669},
675,13255160200,13255,"Census Tract 1602, Spalding County",6319,507,5336,524,84.4,4.8,3778,478,59.8,5.9,2699,402,42.7,5.4,983,355,15.6,5.5,64,68,6,6.2,2181,299,492,244,22.6,10.8,304,135,161,133,53,37,1137,269,266,140,23,11,ARC 20,22133.80078125,232.83099365,22366.59960938,34.58409882,0.36379799,34.94779968,160200,Spalding,{84415CF1-653C-4CAF-99FD-40E6E457AB92},
382,13135050606,13135,"Census Tract 506.06, Gwinnett County",25316,1696,21769,1703,90.3,3.1,18733,1704,77.7,4.5,4530,1166,18.8,4.7,2342,984,9.7,4,235,229,3.3,3.2,10886,1237,1553,884,14.3,8,956,548,224,250,23.4,22,3273,822,229,206,7,6,ARC 10,9532,76.67240143,9608.66992188,14.89379978,0.119801,15.01350021,050606,Gwinnett,{9536E1FF-D275-49F9-A215-4112E89B994E},
25,13113140405,13113,"Census Tract 1404.05, Fayette County",3829,294,3666,339,95.7,4.9,3192,312,83.4,5.1,1006,208,26.3,5,163,93,4.3,2.4,0,18,0,1.8,1540,210,53,43,3.4,2.8,142,86,19,22,13.4,13,486,143,91,77,19,14.9,ARC 10,4918.27978516,133.022995,5051.31005859,7.68481016,0.207848,7.89267015,140405,Fayette,{C96F5C99-BCB6-481A-9A0B-41764014EB0F},
700,13077170404,13077,"Census Tract 1704.04, Coweta County",5612,434,4860,450,86.6,4.4,4554,440,81.1,4.7,862,191,15.4,3.2,752,342,13.4,6,256,251,19.7,18.9,3022,264,304,188,10.1,6.2,119,90,65,76,54.6,49,543,153,127,70,23,11.1,ARC 20,4705.79003906,81.40100098,4787.18994141,7.35279989,0.127189,7.47997999,170404,Coweta,{A9262C81-E9AB-4C2E-96E0-4177AA605A80},
719,13097080201,13097,"Census Tract 802.01, Douglas County",5309,865,4717,738,88.8,20.1,3315,520,62.4,14.1,2136,602,40.2,9.3,592,383,11.2,7,87,110,6.4,7.9,1883,374,321,293,17,15.2,186,137,64,79,34.4,34,976,372,120,115,12,10.8,ARC 10,4693.62011719,8.94719028,4702.56982422,7.33377981,0.01398,7.34777021,080201,Douglas,{05F2BABE-6FA6-433B-B7BC-41A082C061E1},
873,13057091007,13057,"Census Tract 910.07, Cherokee County",6985,437,6619,435,94.8,1.9,6101,435,87.3,3,1248,258,17.9,3.5,366,212,5.2,3,32,68,1.6,3.5,3138,266,173,135,5.5,4.3,220,170,33,37,15,12,803,214,128,116,16,13.8,ARC 10,2158.01000977,238.65600586,2396.66992188,3.37189007,0.37290001,3.74480009,091007,Cherokee,{F087C714-973A-4F00-B09C-420467B93FCB},
868,13089023209,13089,"Census Tract 232.09, DeKalb County",6211,675,5324,609,85.8,3.1,3262,398,52.6,2.9,2552,486,41.1,6.4,882,245,14.2,3.6,8,25,0.5,1.4,2516,336,346,139,13.8,5.2,494,171,275,141,55.7,21,1034,249,253,115,24,9.4,ARC 10,1123.93994141,14.5656004,1138.51000977,1.75616002,0.0227588,1.77892005,023209,DeKalb,{EBE97C24-BF98-4EC0-8D2F-42103CE43206},
937,13223120502,13223,"Census Tract 1205.02, Paulding County",8774,597,7718,572,88,2.6,6574,603,74.9,4.6,1920,411,21.9,4.4,1056,326,12,3.6,169,158,7.9,7.2,4334,383,544,236,12.6,5.3,457,145,118,75,25.8,14,1174,286,225,113,19,8.4,ARC 20,6172.62988281,78.12259674,6250.75,9.64472961,0.122067,9.76679993,120502,Paulding,{6C797099-8B4B-48C2-A2C0-42B5F5847A5B},
632,13121006100,13121,"Census Tract 61, Fulton County",3876,505,3072,450,79.3,5.3,1568,298,40.5,5.6,1835,336,47.3,6.1,804,250,20.7,5.9,41,56,4.1,5.5,1293,291,306,150,23.7,10.3,265,130,183,129,69.1,35,776,208,274,160,35,18.3,ARC 10,555.23498535,0,555.23498535,0.86755502,0,0.86755502,006100,Fulton,{50F43D4C-CC11-47C8-8375-42F362743BD2},
328,13135050724,13135,"Census Tract 507.24, Gwinnett County",15785,1219,14476,1067,91.7,9.8,12212,928,77.4,8.4,3719,750,23.6,4.4,1309,454,8.3,2.8,114,95,2.6,2.1,7189,713,706,289,9.8,3.9,567,247,210,153,37,22,1758,466,187,245,11,13.6,ARC 10,6361.72998047,117.55799866,6479.27978516,9.94019985,0.18368401,10.12390041,050724,Gwinnett,{1D3EAFFB-1B57-45BF-89AB-430936C63F4D},
604,13121011503,13121,"Census Tract 115.03, Fulton County",10670,549,10325,568,96.8,1.9,9960,564,93.3,2.2,1186,212,11.1,1.9,345,196,3.2,1.8,52,47,1.6,1.4,4745,370,225,156,4.7,3.3,110,139,0,20,0,18,1507,297,68,82,4,5.4,ARC 10,7547.93017578,130.94900513,7678.87988281,11.79360008,0.20460799,11.9982996,011503,Fulton,{DA816B94-DBEE-4D5B-BB5E-4372C8141876},
8,13045910300,13045,"Census Tract 9103, Carroll County",5978,488,5155,573,86.2,6.5,3542,497,59.3,6.8,2186,358,36.6,5.2,823,276,13.8,4.5,89,74,6.1,4.9,2283,358,390,207,17.1,8.7,337,130,75,44,22.3,10,1165,239,269,127,23,9.8,ARC 20,36344.8984375,214.26400757,36559.1015625,56.78889847,0.33478799,57.12360001,910300,Carroll,{AE63647E-2F98-4AEC-843A-43932C832F4C},
