OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Pop_wHealth_Insurance,Pop_wHealth_Insurance_MOE,Pct_Pop_wHealth_Insurance,Pct_Pop_wHealth_Insurance_MOE,Pop_wPriv_Health_Insurance,Pop_wPriv_Health_Insurance_MOE,Pct_Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins_MOE,Pop_wPublic_Health_Ins,Pop_wPublic_Health_Ins_MOE,Pct_Pop_wPublic_Health_Ins,Pct_Pop_wPublic_Health_Ins_MOE,Pop_wNo_Health_Insurance,Pop_wNo_Health_Insurance_MOE,Pct_Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins_MOE,Pop_u18_wNo_Health_Ins,Pop_u18_wNo_Health_Ins_MOE,Pct_Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins_MOE,Pop18_64_Employed,Pop18_64_Employed_MOE,Pop18_64_Empl_No_Health_Ins,Pop18_64_Empl_No_Health_Ins_MOE,Pct18_64_Emp_No_Health_Ins,Pct18_64_Emp_No_Health_Ins_MOE,Pop18_64_Unemployed,Pop18_64_Unemployed_MOE,Pop18_64_Unemp_No_HealthIns,Pop18_64_Unemp_No_HealthIns_MOE,Pct18_64_Unemp_No_HealthIns,Pct18_64_Unemp_No_HealthIns_MOE,Pop18_64_Not_in_Labor_Force,Pop18_64_Not_in_Labor_Force_MOE,Pop18_64_NotLabor_NoHlthIns,Pop18_64_NotLabor_NoHlthIns_MOE,Pct18_64_NotLabor_NoHlthIns,Pct18_64_NotLabor_NoHlthIns_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date
390,13135050105,13135,"Census Tract 501.05, Gwinnett County",3720,492,2422,341,65.1,3.2,1256,220,33.8,3.9,1415,306,38,6.5,1298,308,34.9,6.9,191,125,17.5,10.9,1486,270,735,242,49.5,13.6,163,81,94,60,57.7,23,628,188,242,91,38,8.8,ARC 10,3560.34008789,34.59080124,3594.92993164,5.56302977,0.0540481,5.61708021,050105,Gwinnett,{F2886F68-292E-4756-8FAB-17DD7067919B},
885,13057090701,13057,"Census Tract 907.01, Cherokee County",20202,1464,18211,1290,90.1,9.1,16116,1239,79.8,2,3740,812,18.5,3.8,1991,668,9.9,3.2,367,388,7.2,7.6,10480,1008,970,381,9.3,3.5,429,346,340,299,79.3,28,2102,661,222,219,11,9.9,ARC 10,8989.65039063,995.97198486,9985.62988281,14.04629993,1.55621004,15.60249996,090701,Cherokee,{F6396BED-BA84-46D3-8657-181DC4A2CF1C},
714,13077170801,13077,"Census Tract 1708.01, Coweta County",5353,437,4730,405,88.4,2.3,3801,388,71,4.3,1607,280,30,4.6,623,202,11.6,3.7,41,38,3.2,2.9,2401,324,302,136,12.6,5.4,192,113,80,85,41.7,37,830,160,185,100,22,11.3,ARC 20,34324.30078125,246.71099854,34571,53.63169861,0.38548601,54.01720047,170801,Coweta,{6A4E369A-5859-4F68-B79E-18384BD6816F},
302,13015960500,13015,"Census Tract 9605, Bartow County",8056,839,6751,710,84,1.1,4585,566,57,3.8,2859,564,35.6,6,1290,292,16,3.2,109,99,4.5,4,3158,444,612,237,19.4,7,445,183,242,116,54.4,13,1173,365,327,210,28,15.7,ARC 20,6003.66015625,0,6003.66015625,9.38072014,0,9.38072014,960500,Bartow,{AE6CA297-D2EB-444B-8AF2-1847DEEE4752},
83,13067031206,13067,"Census Tract 312.06, Cobb County",10302,686,9361,761,91.2,4.2,8687,730,84.6,4.3,1114,333,10.9,3.2,906,367,8.8,3.5,83,101,4.5,5.3,6282,458,451,269,7.2,4.2,498,240,290,202,58.2,29,835,257,82,75,10,8.5,ARC 10,2269.93994141,4.48273993,2274.42993164,3.54678011,0.00700428,3.55380011,031206,Cobb,{CBEAF2A0-3854-4A5F-B154-18C27EE6DBF9},
223,13063040612,13063,"Census Tract 406.12, Clayton County",6906,694,4040,526,74.9,1.5,2407,422,44.6,5.3,2037,391,37.8,5.4,1353,394,25.1,6.5,271,154,16,8.5,2227,335,666,281,29.9,11.8,275,132,145,89,52.7,20,840,247,271,117,32,10.2,ARC 10,1748.27001953,5.19340992,1753.4699707,2.7316699,0.0081147,2.73979998,040612,Clayton,{9BFC9F0E-9704-4CA7-A613-18C89C8E4DFF},
888,13297110506,13297,"Census Tract 1105.06, Walton County",5289,290,4689,370,88.7,5,3849,340,72.8,5,1552,250,29.3,4.4,600,199,11.3,3.7,89,70,7.5,5.8,2340,264,309,122,13.2,5,243,100,62,55,25.5,20,683,147,140,79,20,10.7,ARC 20,8414.26953125,89.66470337,8503.94042969,13.14729977,0.140101,13.28740025,110506,Walton,{F85ED280-6304-4C7F-BAE5-18EDF2BB8B2A},
276,13151070310,13151,"Census Tract 703.10, Henry County",4354,373,3854,359,88.7,3.2,3306,337,76.1,4.2,993,205,22.8,4.3,493,174,11.3,3.9,134,108,12.6,9.9,1930,213,192,97,9.9,4.9,203,87,121,68,59.6,22,632,165,46,39,7,5.9,ARC 10,3561.62011719,38.00510025,3599.62011719,5.5650301,0.059383,5.62441015,070310,Henry,{28D92E6F-3BEC-4708-B49D-19BF5DA4E255},
771,13089021411,13089,"Census Tract 214.11, DeKalb County",3455,227,3199,304,92.6,6.3,3067,302,88.8,6.5,217,87,6.3,2.5,256,144,7.4,4.1,0,18,0,4.5,2544,261,203,133,8,5.2,42,40,0,13,0,31,337,120,53,68,16,19.4,ARC 10,411.99499512,0,411.99499512,0.64374202,0,0.64374202,021411,DeKalb,{92CF776C-7611-410D-9653-1A5817BD8419},
571,13121011425,13121,"Census Tract 114.25, Fulton County",7198,465,6599,457,91.8,2.2,6196,467,86.2,3.3,877,198,12.2,2.6,590,279,8.2,3.9,94,124,4.9,6.4,2801,319,330,205,11.8,7.2,216,101,0,18,0,8,1546,267,118,98,8,6.2,ARC 10,2640.64990234,116.29599762,2756.94995117,4.12601995,0.181712,4.3077302,011425,Fulton,{C7465460-02D8-4637-B398-1A634CDB3A39},
