OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Housing_units_built_since_2000,Owner_occupied_housing_units,Renter_occupied_housing_units,GlobalID,Pop_Chng_per_SqMi_2000_2010,Percent_1Unit_Detached,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Pct_Owner_Occ_HousUnits,Pct_Renter_Occ_Units
14,910501,13045910501,9105.01,ARC 20,2015-05-21T19:05:59.000Z,2586,2178,84.2,408,15.8,10,12.4,1199,1024,751,1427,{EC716D16-DCCE-49F3-A042-F2A291B9FB09},153.2,46.4,39.6,783,779,30.1,34.5,65.5
15,910702,13045910702,9107.02,ARC 20,2015-05-21T19:05:59.000Z,3183,2626,82.5,557,17.5,6.1,10.7,2903,902,2308,318,{61930838-7B2C-44E2-8A47-210ED6642DDC},104.1,91.2,28.3,1799,482,15.1,87.9,12.1
16,911200,13045911200,9112,ARC 20,2015-05-21T19:05:59.000Z,2500,2213,88.5,287,11.5,0,3.2,1871,220,1642,571,{B6038043-18DA-402B-A073-8F4D69FCEC14},2.8,74.8,8.8,757,1523,60.9,74.2,25.8
17,910400,13045910400,9104,ARC 20,2015-05-21T19:05:59.000Z,1523,1357,89.1,166,10.9,1.9,13.2,1134,191,949,408,{7C7525A7-9644-4B38-91D7-7AD6394AE9A4},-8.5,74.5,12.5,389,943,61.9,69.9,30.1
18,140207,13113140207,1402.07,ARC 10,2015-05-21T19:05:59.000Z,2276,2195,96.4,81,3.6,0,0,1698,231,1751,444,{3314E5F1-155C-4939-BF56-FA40213AC5A4},49,74.6,10.1,1735,310,13.6,79.8,20.2
19,140208,13113140208,1402.08,ARC 10,2015-05-21T19:05:59.000Z,2945,2606,88.5,339,11.5,0,15.1,2005,1048,1763,843,{F153A094-BE33-4959-A017-FCAC4B44EEE5},435.5,68.1,35.6,1416,481,16.3,67.7,32.3
20,140303,13113140303,1403.03,ARC 10,2015-05-21T19:05:59.000Z,1745,1668,95.6,77,4.4,0,0,1544,93,1254,414,{08C0ED2B-6763-4061-8438-32E4FAF038A8},-88.6,88.5,5.3,947,705,40.4,75.2,24.8
21,140304,13113140304,1403.04,ARC 10,2015-05-21T19:05:59.000Z,2353,2209,93.9,144,6.1,0,0,1971,61,1780,429,{CE9390B9-5A99-4A3A-95BD-B7114692C936},-109.8,83.8,2.6,1550,742,31.5,80.6,19.4
22,140307,13113140307,1403.07,ARC 10,2015-05-21T19:05:59.000Z,1557,1490,95.7,67,4.3,2.9,0,1557,339,1421,69,{9A1E0AD7-066B-4089-A319-15B08B418BAB},123.4,100,21.8,1174,44,2.8,95.4,4.6
23,140408,13113140408,1404.08,ARC 10,2015-05-21T19:05:59.000Z,1154,1114,96.5,40,3.5,0,0,1133,32,1038,76,{5FC93869-F8D7-41FB-A319-265788C6AD20},-26.1,98.2,2.8,917,205,17.8,93.2,6.8
24,140407,13113140407,1404.07,ARC 10,2015-05-21T19:05:59.000Z,3226,2970,92.1,256,7.9,2.8,0,2291,567,2102,868,{409A958B-97C3-42EE-A05B-EEA45B9F24D6},195.1,71,17.6,1809,850,26.3,70.8,29.2
