OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Under_5_population__2010,GlobalID,Pop_Change_per_SqMi_2000_2010,Pct_Population_under_5_2010
39,13247060304,603.04,ARC 10,2015-05-19T14:22:24.000Z,25,42554,425,{69FC4049-4242-4C8B-9CEF-B9367FA505E0},120.7,7.6
40,13247060101,601.01,ARC 10,2015-05-19T14:22:24.000Z,15.7,51356,198,{5E337E50-F667-4890-8BB0-4C06E2689096},9.5,5.75
41,13247060202,602.02,ARC 10,2015-05-19T14:22:24.000Z,27.4,54345,549,{D523334D-D32F-4163-AF32-1FF6417197CB},174.6,5.74
42,13247060201,602.01,ARC 10,2015-05-19T14:22:24.000Z,12.1,35453,452,{A5428B56-764E-48AD-85B9-26F0643E9AD8},31.8,9.38
43,13247060306,603.06,ARC 10,2015-05-19T14:22:24.000Z,28.9,65357,187,{8104B65A-4FE8-43FF-8C7D-946928C54E38},231.9,6.91
44,13247060407,604.07,ARC 10,2015-05-19T14:22:24.000Z,26.5,51714,183,{ADB5A5D1-A39E-4B8C-9CD3-635395DBA716},-84.8,5.56
45,13247060403,604.03,ARC 10,2015-05-19T14:22:24.000Z,38.2,69286,184,{753AD79F-3B8A-42B7-9568-3F884B2FEE1A},63.8,5.16
46,13247060406,604.06,ARC 10,2015-05-19T14:22:24.000Z,34,71833,222,{F63EF55C-804B-4B61-93D6-2889984CAD8A},41.4,4.17
47,13247060305,603.05,ARC 10,2015-05-19T14:22:24.000Z,14.4,37067,532,{A1BF6EBB-54E5-4A23-8116-951C410C14A4},138.2,10.43
48,13247060309,603.09,ARC 10,2015-05-19T14:22:24.000Z,18.3,43438,544,{B039794C-6538-472D-B77D-3C8882C5DA92},323.4,9.11
49,13247060308,603.08,ARC 10,2015-05-19T14:22:24.000Z,16.7,43182,647,{DBDB3352-6853-43E9-B847-6F6375B856EE},858.7,9.07
50,13247060405,604.05,ARC 10,2015-05-19T14:22:24.000Z,35.7,65704,355,{7F0DA289-4E76-4DF1-B0E6-3471F90EF3F3},90.6,5.11
51,13247060307,603.07,ARC 10,2015-05-19T14:22:24.000Z,39.7,70478,654,{3FDF4592-CBCF-4E58-9835-2D953722446C},483.7,6.14
52,13247060102,601.02,ARC 10,2015-05-19T14:22:24.000Z,20.1,44469,331,{473681C8-1CFE-4F44-BD81-83A54E0D04F2},35.7,6.05
53,13067030330,303.30,ARC 10,2015-05-19T14:22:24.000Z,57,91825,303,{68AE2B67-B491-4B2B-B9E1-3CDAF87B8E35},139.1,5.31
54,13067030328,303.28,ARC 10,2015-05-19T14:22:24.000Z,58.3,102594,295,{20B33451-2EA4-4339-B6D0-5AA36100E1A2},-113.8,4.59
55,13067030700,307,ARC 10,2015-05-19T14:22:24.000Z,25.5,38140,377,{D5174127-0953-486C-8CED-E8B7F573390F},-708.2,9.21
56,13067030324,303.24,ARC 10,2015-05-19T14:22:24.000Z,38.9,78363,194,{9770D279-26B0-439A-8357-76DFBC676125},-220.7,5.64
57,13067030312,303.12,ARC 10,2015-05-19T14:22:24.000Z,47.6,68452,372,{7461A583-2D61-4828-834E-47C87E4A7633},-80.3,5.9
58,13067030228,302.28,ARC 10,2015-05-19T14:22:24.000Z,43.6,45275,326,{11BBF808-6B38-4E0F-838B-26A6953DB3C9},27.8,5.1
59,13067030231,302.31,ARC 10,2015-05-19T14:22:24.000Z,54.1,95714,381,{9AD73135-3502-4AB7-B10D-23DB50D23292},147,4.96
