OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,GlobalID,Pop_Chng_per_SqMi_2000_2010,HousUnits_MonthOwnerCosts_toInc,Sel_Mo_Own_Costs_30pct_of_Incom,Pct_Sel_Mo_Own_Costs_30pct_Inc,HousUnits_Compute_RentPctIncome,Rent_Pct_of_Inc_More30Pct,PctRent_PctIncome_More30Pct,HousUnits_OwnRent_Compute,HousCosts_Units_30pctMore_Inc,PctHousCost_30pctMore_Income
708,080403,13097080403,804.03,ARC 10,2015-05-21T18:32:37.000Z,{1A4377CC-0EE6-431E-92DE-86BAC0FFA57C},139.6,1461,370,25.3,181,158,87.3,1642,528,32.2
709,080103,13097080103,801.03,ARC 10,2015-05-21T18:32:37.000Z,{B0A01207-3D23-4446-ACC9-735E3977A174},60.3,768,59,7.7,2222,1317,59.3,2990,1376,46
710,080604,13097080604,806.04,ARC 10,2015-05-21T18:32:37.000Z,{DA998404-55AB-4C21-8CE8-1495F6C3A665},331.2,2332,849,36.4,427,204,47.8,2759,1053,38.2
711,170304,13077170304,1703.04,ARC 20,2015-05-21T18:32:37.000Z,{890066DA-B3C7-4A7D-803D-50E0FED7FA74},159.4,1848,405,21.9,460,276,60,2308,681,29.5
712,170303,13077170303,1703.03,ARC 20,2015-05-21T18:32:37.000Z,{0D1D61FF-5198-47E7-ADE5-398DC1E6833E},87.2,1722,358,20.8,35,0,0,1757,358,20.4
713,170802,13077170802,1708.02,ARC 20,2015-05-21T18:32:37.000Z,{C792BF31-ED43-4CEB-81FB-3448211F71A7},27.6,1362,409,30,285,165,57.9,1647,574,34.9
714,170801,13077170801,1708.01,ARC 20,2015-05-21T18:32:37.000Z,{91E989E7-48D4-4E27-A9C9-E25F19B110B1},40.5,1618,433,26.8,379,166,43.8,1997,599,30
715,170700,13077170700,1707,ARC 20,2015-05-21T18:32:37.000Z,{F518456F-4755-4333-A7B0-C4B07E3B2259},27.2,1499,525,35,986,529,53.7,2485,1054,42.4
716,170402,13077170402,1704.02,ARC 20,2015-05-21T18:32:37.000Z,{8EEA42C0-FA06-44A8-863C-9BE2F6947A6D},144.4,2633,566,21.5,424,175,41.3,3057,741,24.2
717,170200,13077170200,1702,ARC 20,2015-05-21T18:32:37.000Z,{47A4B679-E044-4DFA-A2F2-7158A151917B},41.1,1654,472,28.5,830,550,66.3,2484,1022,41.1
718,170100,13077170100,1701,ARC 20,2015-05-21T18:32:37.000Z,{6EF2E4D9-BDF4-4029-A62A-5C39826A434D},13.2,2286,751,32.9,384,311,81,2670,1062,39.8
719,080201,13097080201,802.01,ARC 10,2015-05-21T18:32:37.000Z,{A9810ACC-F51D-4CCC-B7D8-61D8FDD41A9B},185.1,1685,522,31,221,76,34.4,1906,598,31.4
720,080506,13097080506,805.06,ARC 10,2015-05-21T18:32:37.000Z,{56BA54E3-63F1-477C-BDA4-D65913B50DB0},84.8,1483,450,30.3,354,153,43.2,1837,603,32.8
721,080505,13097080505,805.05,ARC 10,2015-05-21T18:32:37.000Z,{642261D9-381B-4124-981C-EF9A391BC3DA},224.7,900,262,29.1,804,381,47.4,1704,643,37.7
722,080202,13097080202,802.02,ARC 10,2015-05-21T18:32:37.000Z,{3444D8DE-312D-4B9B-8BEE-51D42C402D37},382.2,2191,779,35.6,1189,676,56.9,3380,1455,43
723,080507,13097080507,805.07,ARC 10,2015-05-21T18:32:37.000Z,{964AD017-AA7E-486A-B90C-B817921AE6C6},119.2,947,297,31.4,216,105,48.6,1163,402,34.6
724,080402,13097080402,804.02,ARC 10,2015-05-21T18:32:37.000Z,{A5BFE916-F921-40DE-84B7-DF5F0E47841B},72.1,2528,625,24.7,249,98,39.4,2777,723,26
725,080301,13097080301,803.01,ARC 10,2015-05-21T18:32:37.000Z,{CC4186A0-3672-4855-9E3F-13D7CB115070},536.9,2599,1074,41.3,1159,783,67.6,3758,1857,49.4
