OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Square_Miles,Total_Jobs__2015,Total_Jobs__2020,Total_Jobs__2030,Total_Jobs__2035,Total_Jobs__2040,Change_in_Jobs__2015_2040,GlobalID,Pop_Change_per_SqMi_2000_2010,Chng_in_jobs_per_SqMi_2015_2040
27,13113140206,1402.06,ARC 10,2015-05-19T13:59:09.000Z,56.4,105966,5.6,2854,2640,3075,3330,3499,1158,{8978DE12-BCC4-4556-B775-B2A0CE9610A6},161.4,206.8
28,13113140203,1402.03,ARC 10,2015-05-19T13:59:09.000Z,36.8,83935,10.4,2434,2156,2717,3037,3262,1474,{F2CB55DF-7C67-4799-8443-69E21717C056},216.4,141.7
29,13113140204,1402.04,ARC 10,2015-05-19T13:59:09.000Z,42,76681,16.2,3525,3131,3942,4053,4999,2284,{1E41257B-00ED-4B27-BCF9-02EBE2BBF574},42.5,141
30,13113140305,1403.05,ARC 10,2015-05-19T13:59:09.000Z,47.6,97955,10.1,1517,1213,1898,2308,2681,1861,{BB03EFC8-6140-4156-8660-6D904EFE06A9},247.1,184.3
31,13113140403,1404.03,ARC 10,2015-05-19T13:59:09.000Z,39.6,78324,6.2,2109,1993,2245,2378,2437,615,{EFD258C0-F74C-4BFF-83F6-15B5D0723A25},122.7,99.2
32,13113140406,1404.06,ARC 10,2015-05-19T13:59:09.000Z,29.5,57438,5.2,2722,2511,2962,3222,3403,1172,{2206AD8B-7A38-4822-A9EB-A38A7D204BAF},37.3,225.4
33,13113140306,1403.06,ARC 10,2015-05-19T13:59:09.000Z,51.4,89699,5.1,3155,2759,3676,4249,4666,2422,{D781CCAE-9A04-457B-9233-3D4D75F93237},56.3,474.9
34,13113140102,1401.02,ARC 10,2015-05-19T13:59:09.000Z,31.7,72549,12.1,5277,4830,5634,6114,6478,2233,{84CC4197-C766-49BB-A967-A06A0EDBC808},-3.8,184.5
35,13113140101,1401.01,ARC 10,2015-05-19T13:59:09.000Z,32,64732,16.5,2413,1960,2931,3480,3920,2567,{9DDE3AD0-B9A5-492F-9C18-7E5DB95B8881},49.1,155.6
36,13113140502,1405.02,ARC 10,2015-05-19T13:59:09.000Z,32.1,73591,27.9,439,350,521,610,689,446,{D72E94E3-FC96-403E-89DB-C1C2F941C1DA},12.4,16
37,13113140501,1405.01,ARC 10,2015-05-19T13:59:09.000Z,38,84885,28.3,1740,1453,2059,2371,2652,1589,{A99ADD17-8B78-4ED4-BAC8-CE414881CD49},42.3,56.1
38,13247060404,604.04,ARC 10,2015-05-19T13:59:09.000Z,22.6,54146,6,727,650,823,931,1025,463,{3D44F05B-FED7-4763-8909-F9D7CDC24FDD},-45.3,77.2
39,13247060304,603.04,ARC 10,2015-05-19T13:59:09.000Z,25,42554,8.1,12863,12133,13679,14540,15193,4090,{CCD312F2-34F2-4B2F-96C0-F09AFE55DA16},120.7,504.9
40,13247060101,601.01,ARC 10,2015-05-19T13:59:09.000Z,15.7,51356,11,446,392,527,604,677,362,{FE4D453F-29AA-49A7-98C6-9E8630A18413},9.5,32.9
41,13247060202,602.02,ARC 10,2015-05-19T13:59:09.000Z,27.4,54345,11.1,1171,995,1363,1553,1740,988,{EFE4E52F-44EE-484E-8FEB-22F60FB06837},174.6,89
42,13247060201,602.01,ARC 10,2015-05-19T13:59:09.000Z,12.1,35453,5.1,1901,1710,2081,2278,2440,1003,{BFE6B63D-01D3-4F27-AC4C-BA7951AE6005},31.8,196.7
43,13247060306,603.06,ARC 10,2015-05-19T13:59:09.000Z,28.9,65357,5.7,2870,2596,3172,3495,3760,1566,{2C5225CF-5EDD-4072-8E90-3309C5638810},231.9,274.7
44,13247060407,604.07,ARC 10,2015-05-19T13:59:09.000Z,26.5,51714,2.3,234,202,263,302,334,166,{184499C3-D6DA-4642-BC55-84C885C728A8},-84.8,72.2
45,13247060403,604.03,ARC 10,2015-05-19T13:59:09.000Z,38.2,69286,15,809,742,889,1003,1084,422,{FB873822-EC83-4949-A7D9-B5B0A2886C94},63.8,28.1
46,13247060406,604.06,ARC 10,2015-05-19T13:59:09.000Z,34,71833,4.2,708,669,749,795,825,195,{4CC98EA2-7076-4637-9A00-F770A17C1F5C},41.4,46.4
47,13247060305,603.05,ARC 10,2015-05-19T13:59:09.000Z,14.4,37067,6.5,7596,7201,8133,8682,8992,2448,{95A966F9-D9C6-4F88-A524-60D0BC392CBF},138.2,376.6
48,13247060309,603.09,ARC 10,2015-05-19T13:59:09.000Z,18.3,43438,3.2,953,940,973,1010,1023,107,{1DE3E64C-5DF6-4306-A568-59AD1E2E7C15},323.4,33.4
49,13247060308,603.08,ARC 10,2015-05-19T13:59:09.000Z,16.7,43182,3.1,4350,4094,4433,4892,5205,1388,{59CE7093-99FC-4A4C-BBB4-6713AFC2F272},858.7,447.7
50,13247060405,604.05,ARC 10,2015-05-19T13:59:09.000Z,35.7,65704,17.8,508,435,559,633,688,321,{09567741-E508-480F-BF72-3B6522E86F96},90.6,18
