OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Square_Miles,Total_Jobs__2015,Total_Jobs__2020,Total_Jobs__2030,Total_Jobs__2035,Total_Jobs__2040,Change_in_Jobs__2015_2040,GlobalID,Pop_Change_per_SqMi_2000_2010,Chng_in_jobs_per_SqMi_2015_2040
125,13067030232,302.32,ARC 10,2015-05-19T13:59:09.000Z,44.2,89649,3.9,393,353,434,485,517,216,{C16E66F6-88B5-4F3D-8066-1605E0D5F5C0},231.8,55.4
126,13067030222,302.22,ARC 10,2015-05-19T13:59:09.000Z,48,73438,1.8,391,382,401,414,418,53,{A8581F67-4A7D-4F1F-96B9-96188AD1A214},-31.1,29.4
127,13067031118,311.18,ARC 10,2015-05-19T13:59:09.000Z,51.7,67149,2,1197,1125,1282,1369,1436,387,{073F9844-C7D2-49BA-B21B-135D8CBD8121},133,193.5
128,13067031117,311.17,ARC 10,2015-05-19T13:59:09.000Z,60.6,110870,2.4,202,194,215,222,227,47,{3F97EDA6-AAC4-4987-8742-CB5044976AC6},-182.5,19.6
129,13067031507,315.07,ARC 10,2015-05-19T13:59:09.000Z,25.9,44830,1.5,838,784,896,1361,1426,727,{0D7FCA69-7C6A-421F-98B8-435663ABD100},-124.7,484.7
130,13067031004,310.04,ARC 10,2015-05-19T13:59:09.000Z,8.6,38137,1.6,1168,1050,1287,1429,1537,630,{5BDE2662-DED8-4987-A5AF-045BBB2B3458},-449.4,393.8
131,13067030103,301.03,ARC 10,2015-05-19T13:59:09.000Z,38.5,71569,6.2,5334,5097,5551,5775,5912,1135,{8C333DD6-6449-4D60-A41B-C880577A1675},498.9,183.1
132,13067031404,314.04,ARC 10,2015-05-19T13:59:09.000Z,34.4,63426,3.4,1108,1047,1173,1258,1318,342,{FA631256-4027-4812-B0B7-8A4A6560661D},117.9,100.6
133,13067031306,313.06,ARC 10,2015-05-19T13:59:09.000Z,19.5,47992,2.2,979,904,1060,1144,1211,397,{52BBA144-568B-4262-AD5A-9B5147F57DF7},107.7,180.5
134,13067030101,301.01,ARC 10,2015-05-19T13:59:09.000Z,22,73603,11.9,2923,2740,3138,3389,3560,1067,{F6C73260-F789-47C1-841F-5E15F8279BCD},100.7,89.7
135,13067030104,301.04,ARC 10,2015-05-19T13:59:09.000Z,27,51140,1.5,794,755,833,887,908,209,{4EE64CF8-189A-4922-9690-E36248B457B5},150.7,139.3
136,13117130613,1306.13,ARC 20,2015-05-19T13:59:09.000Z,49,95217,3.1,1566,1454,1707,1857,1865,559,{6436813C-C4C3-4F9E-B2B1-924710C428C8},474.2,180.3
137,13117130408,1304.08,ARC 20,2015-05-19T13:59:09.000Z,27.7,53333,2.7,1514,1343,1732,1991,2145,967,{74E81B15-688C-4B91-BACC-B692E4CD1407},320.7,358.1
138,13117130612,1306.12,ARC 20,2015-05-19T13:59:09.000Z,60.8,141802,3.7,1623,1504,1667,1938,1954,615,{8533598F-A089-41A4-B712-BE0CA6E05226},734.3,166.2
139,13117130608,1306.08,ARC 20,2015-05-19T13:59:09.000Z,64.4,124531,3.4,4764,4673,5561,6138,6594,2467,{BFD27CFA-0EA2-44DE-B1FF-930BB91652DC},972.4,725.6
140,13117130307,1303.07,ARC 20,2015-05-19T13:59:09.000Z,36.3,85833,4.8,1661,1377,2018,2396,2688,1707,{591BBE5F-8C5A-4835-A629-211F87DF8102},246,355.6
141,13117130302,1303.02,ARC 20,2015-05-19T13:59:09.000Z,50.8,99464,4.6,1337,1123,1595,1871,2071,1208,{06F9FFA1-5779-4DD9-B114-B43D235AE9CF},482.6,262.6
142,13117130304,1303.04,ARC 20,2015-05-19T13:59:09.000Z,39.9,103438,4.8,1275,1088,1524,1788,1998,1191,{0525C1B2-A25D-43CE-A0A9-970D965F3010},138.3,248.1
143,13117130404,1304.04,ARC 20,2015-05-19T13:59:09.000Z,55.6,102384,2.5,1040,1042,1468,1713,1897,1126,{106A6492-BCFB-4FEB-9204-56008646DF4B},1065.2,450.4
144,13117130306,1303.06,ARC 20,2015-05-19T13:59:09.000Z,46.8,103947,3.2,1972,1703,2293,2658,2986,1629,{46107E1F-C7F7-4692-B158-4CCC7F26AD7B},544.7,509.1
145,13117130601,1306.01,ARC 20,2015-05-19T13:59:09.000Z,55.5,85497,6.7,5800,5475,6687,7504,7919,3450,{AE06EDBC-6F25-453E-A040-967B1886332E},281.9,514.9
146,13117130510,1305.10,ARC 20,2015-05-19T13:59:09.000Z,38.8,99531,7.1,4725,4368,5168,5838,5803,1908,{62767090-2FFF-4FDF-833E-881C029BD773},473.7,268.7
147,13117130406,1304.06,ARC 20,2015-05-19T13:59:09.000Z,43.3,70261,2.7,2415,2198,2708,3032,3245,1376,{65272F2B-1DFD-45AC-83A4-D47A304FD533},1310,509.6
148,13117130410,1304.10,ARC 20,2015-05-19T13:59:09.000Z,32.9,46816,2.9,8803,8311,9565,10384,10815,3591,{29DBE02E-0B7F-4208-97FA-72B0B7042178},703.1,1238.3
149,13117130203,1302.03,ARC 20,2015-05-19T13:59:09.000Z,20.1,74100,12.2,633,538,748,861,972,591,{05E0FF33-B1E4-4961-A7D1-3C621AE0632A},91.5,48.4
150,13117130204,1302.04,ARC 20,2015-05-19T13:59:09.000Z,36.1,63125,6.7,631,532,744,869,969,588,{08A2D1B5-12E7-42C4-8DDC-2EA7F4D46287},470,87.8
151,13117130202,1302.02,ARC 20,2015-05-19T13:59:09.000Z,48.3,94821,6,1629,1467,2036,2356,2627,1541,{540547CE-445F-4340-854C-DCF558AD7D97},402.2,256.8
152,13117130509,1305.09,ARC 20,2015-05-19T13:59:09.000Z,38.6,66284,3.8,3100,2687,3349,3721,3942,1753,{77CBA86E-1824-4DFE-8C2B-6C99CC0A97CB},-2.4,461.3
153,13117130403,1304.03,ARC 20,2015-05-19T13:59:09.000Z,25.7,68456,11.3,2393,1947,2912,3460,3947,2610,{D43F4686-CCD1-45B1-B9D1-43E6DBA0EE38},154.5,231
154,13067031506,315.06,ARC 10,2015-05-19T13:59:09.000Z,25.3,53906,3.6,819,756,897,982,1038,374,{FEA9BB45-A570-47E2-B431-1FF0C107E09D},92.2,103.9
155,13067031508,315.08,ARC 10,2015-05-19T13:59:09.000Z,37.6,70882,4.8,1229,1081,1391,1573,1735,862,{03843EB1-3D90-4A04-96E4-F818212D08EF},257.7,179.6
156,13067031116,311.16,ARC 10,2015-05-19T13:59:09.000Z,17,39228,1.1,1060,977,1150,1256,1325,452,{D6E3E3CB-0C62-4CF6-B1E5-A433E62A8A5A},-264.5,410.9
157,13067031115,311.15,ARC 10,2015-05-19T13:59:09.000Z,44.9,57560,1.4,281,266,301,319,330,84,{F2E20E81-2114-48E8-B36B-8A7326310EE7},425,60
158,13067030223,302.23,ARC 10,2015-05-19T13:59:09.000Z,42.5,65453,1.7,1515,1517,1971,2666,2872,1647,{BBF921D3-2CD4-45F3-8DBA-1B87F8D6E9D8},661.2,968.8
159,13067031312,313.12,ARC 10,2015-05-19T13:59:09.000Z,44.7,61176,4.9,3615,3285,3994,4434,4762,1980,{DBA68155-C51C-49FA-A916-6CDA8199DFE3},689.6,404.1
160,13067031313,313.13,ARC 10,2015-05-19T13:59:09.000Z,70.9,107841,6,3894,3630,4205,4543,4776,1552,{078D5431-037D-4DE4-8F67-8A6B70F6F31C},975,258.7
161,13067031309,313.09,ARC 10,2015-05-19T13:59:09.000Z,24,52714,3.1,1314,1146,1487,1675,1825,914,{218F4BC5-709D-49EF-B1E8-C86AB379C076},307.1,294.8
162,13117130101,1301.01,ARC 20,2015-05-19T13:59:09.000Z,29.4,80040,10.1,2054,1707,2331,2628,3074,2061,{0BFDA734-6E93-4F10-90C1-5BA46D1B9217},148.6,204.1
163,13117130104,1301.04,ARC 20,2015-05-19T13:59:09.000Z,34,71382,11.4,878,735,1070,1277,1357,835,{775B1A58-8DBF-4B77-92A1-1A84942F80EC},147.6,73.2
164,13117130506,1305.06,ARC 20,2015-05-19T13:59:09.000Z,40.1,70313,4.1,1518,1343,1862,2178,2436,1427,{02BAB2E5-537D-4527-826E-9F4751536400},309,348
165,13067031509,315.09,ARC 10,2015-05-19T13:59:09.000Z,26.3,68125,9.4,1244,1124,1413,1579,1713,824,{A5EF4A87-78DD-4A88-A951-5E50B0A5DE39},435.1,87.7
166,13067031113,311.13,ARC 10,2015-05-19T13:59:09.000Z,33.6,29523,0.4,2354,2093,2638,2935,3151,1439,{027EE6A2-98D8-477D-9DFF-D2B6DF6BC05C},-757.5,3597.5
167,13067031114,311.14,ARC 10,2015-05-19T13:59:09.000Z,39.5,41880,1.1,3958,3837,4101,4263,4318,660,{4F622C8E-8BA7-4594-8CC0-221EAF7CE2BC},1146.4,600
168,13067030345,303.45,ARC 10,2015-05-19T13:59:09.000Z,56.5,50553,1.7,18432,17571,19673,20978,21912,5356,{9D45F263-B1CB-446D-BA49-300454331AE9},491.8,3150.6
169,13067030344,303.44,ARC 10,2015-05-19T13:59:09.000Z,42.5,43037,0.9,6079,5861,6258,6481,6543,906,{FF694F8A-6CD4-41C4-8264-52DC497CDC63},-662.2,1006.7
170,13067030411,304.11,ARC 10,2015-05-19T13:59:09.000Z,16.6,27417,0.8,3641,3408,3889,4145,4329,1241,{8EDA284E-7798-4C90-9906-B8401056E60A},-593.8,1551.3
171,13067030412,304.12,ARC 10,2015-05-19T13:59:09.000Z,28.7,37917,0.8,2750,2513,3035,3361,3619,1411,{CD1734D8-5B78-4AD9-B30B-0B4642AD5889},-1303.8,1763.8
172,13067030414,304.14,ARC 10,2015-05-19T13:59:09.000Z,18.1,27681,1,10220,9150,11482,12841,14000,6342,{000701AF-C47C-4A99-9CD8-E9F13AD3162E},-659,6342
173,13067030413,304.13,ARC 10,2015-05-19T13:59:09.000Z,32.2,34180,0.6,2344,2136,2587,2837,3021,1199,{6748DEF8-84EC-447D-A342-3D90EC387D69},-1313.3,1998.3
174,13067030239,302.39,ARC 10,2015-05-19T13:59:09.000Z,51.8,107622,7.5,1807,1767,1854,1898,1902,202,{0B26D412-6728-4CF6-B3D0-780E2BD1585C},228.4,26.9
175,13067030238,302.38,ARC 10,2015-05-19T13:59:09.000Z,48.9,101607,4.3,982,828,1160,1351,1504,874,{D778C0AC-5B31-43F3-A80A-98AEC1C18E79},350.9,203.3
176,13067030236,302.36,ARC 10,2015-05-19T13:59:09.000Z,59,130867,2.1,294,288,302,309,305,25,{88ECB4C5-0BC3-4132-8A17-3CF73729578F},370.5,11.9
177,13067030407,304.07,ARC 10,2015-05-19T13:59:09.000Z,60.7,67138,1.7,429,413,443,462,468,79,{346DAB01-FB6A-4C28-BC37-3CEE52EBD37A},-70.6,46.5
178,13067030408,304.08,ARC 10,2015-05-19T13:59:09.000Z,59.8,65682,0.9,815,794,836,856,854,81,{D3CCFC7E-D3C7-4605-9B14-6303213B15BE},7.8,90
179,13067030410,304.10,ARC 10,2015-05-19T13:59:09.000Z,46.8,43352,1.7,1190,1120,1245,1321,1372,332,{4AED7023-A96E-4C82-BC45-A6D2D2F99174},-34.1,195.3
180,13067030409,304.09,ARC 10,2015-05-19T13:59:09.000Z,61.1,110494,1.4,461,429,496,532,565,175,{CD2ECBA1-2302-469C-B2EA-38BBC47B0AC5},198.6,125
181,13067030343,303.43,ARC 10,2015-05-19T13:59:09.000Z,64.4,114712,1.8,903,822,993,1097,1164,454,{18A663B7-09F1-4A09-87DD-86B13A10CD37},71.7,252.2
182,13067030342,303.42,ARC 10,2015-05-19T13:59:09.000Z,61.9,113075,1.9,545,490,605,680,735,316,{5974D3B1-75EB-46F1-81EB-2D0524BDDA69},62.1,166.3
183,13067030340,303.40,ARC 10,2015-05-19T13:59:09.000Z,66.5,130263,1.7,1329,1312,1349,1374,1384,204,{01EBA83E-0C15-4C18-99DD-329D2D397599},-179.4,120
184,13067030341,303.41,ARC 10,2015-05-19T13:59:09.000Z,51.7,95469,1.8,546,507,587,638,674,213,{43DAE2B0-E5EB-4F13-A4CE-D790C4785C8A},30.6,118.3
185,13067031409,314.09,ARC 10,2015-05-19T13:59:09.000Z,20.6,46234,5.5,2139,2059,2224,2303,2344,412,{5CF71BFD-6886-4BC8-A285-6CA8CA9653F3},14,74.9
186,13067031408,314.08,ARC 10,2015-05-19T13:59:09.000Z,20.5,44708,5.4,2149,1966,2322,2509,2651,955,{EA0BF131-677E-4508-9B3D-80795E2000E5},211.3,176.9
187,13067030107,301.07,ARC 10,2015-05-19T13:59:09.000Z,43,77780,1.6,114,108,118,125,127,29,{87271E8F-7412-40AD-BDCE-FF60BED69106},725.6,18.1
188,13067030106,301.06,ARC 10,2015-05-19T13:59:09.000Z,21.1,44878,1.4,452,436,461,474,473,54,{0A2F07CB-A4A5-4D9C-AA5A-040F55F0AB5F},1167.9,38.6
189,13067030505,305.05,ARC 10,2015-05-19T13:59:09.000Z,29.4,34185,2,3956,3752,4164,4409,4508,1086,{0913EFC3-7086-4833-AA23-954794776DFA},395.5,543
190,13067030800,308,ARC 10,2015-05-19T13:59:09.000Z,22.7,35233,2,13997,12949,14968,16727,18038,6204,{A8172A61-5DF1-48B3-8B2A-0812DFFDA9A1},-498,3102
191,13067030902,309.02,ARC 10,2015-05-19T13:59:09.000Z,26.3,33438,2,2421,2310,2523,2652,2722,547,{C3201D51-6A0D-4CBE-878F-24828D714138},-704.5,273.5
192,13067031311,313.11,ARC 10,2015-05-19T13:59:09.000Z,22.2,34503,3.2,3209,2948,3545,3923,4210,1665,{DF0C519E-A354-4E23-B220-CF64668F0078},592.5,520.3
193,13067031406,314.06,ARC 10,2015-05-19T13:59:09.000Z,25.8,37840,2.4,8003,7249,8819,9514,11429,4651,{CEC8E366-66B7-4F49-8408-3F84C2DCDD7D},892.1,1937.9
194,13067031405,314.05,ARC 10,2015-05-19T13:59:09.000Z,29.8,64291,3.9,2120,1917,2361,2637,2871,1196,{A83F376E-C499-4B4E-93CD-AD4FC2CFC1C7},5.1,306.7
195,13067030320,303.20,ARC 10,2015-05-19T13:59:09.000Z,74,80463,3.6,10000,9663,10363,10760,10933,1867,{67EB8E2E-4C5E-4FCB-BE50-F6F5E31C397D},357.5,518.6
196,13067030318,303.18,ARC 10,2015-05-19T13:59:09.000Z,71.7,124779,4.6,2613,2352,2903,3208,3471,1429,{7976869A-7976-4A8E-9982-086461705957},67.4,310.7
197,13067031005,310.05,ARC 10,2015-05-19T13:59:09.000Z,21.3,47470,2,938,811,1076,1248,1355,696,{F486C2B9-8223-4DD5-B221-3FB9FDF89219},445,348
198,13067031002,310.02,ARC 10,2015-05-19T13:59:09.000Z,9.5,27755,1.8,1132,1005,1277,1453,1607,719,{5351457A-9285-4C32-9837-AD9B838A2DAB},579.4,399.4
199,13067030904,309.04,ARC 10,2015-05-19T13:59:09.000Z,21.5,38118,1.3,366,339,390,419,434,132,{5F7249C6-3580-4F71-A51A-FC7DBEAC44B7},-38.5,101.5
200,13067030901,309.01,ARC 10,2015-05-19T13:59:09.000Z,50.5,59979,4.1,650,616,675,710,728,150,{1C03B62B-2A8C-4D38-8410-C820EEA7CFF4},-19.3,36.6
201,13067031503,315.03,ARC 10,2015-05-19T13:59:09.000Z,29.1,60441,4.5,479,407,558,656,738,406,{2221FEEA-3BA0-4FDE-9052-1721E1B2257E},78.4,90.2
202,13067031307,313.07,ARC 10,2015-05-19T13:59:09.000Z,49.5,75669,4,1011,950,1063,1125,1155,291,{CE2C6425-0DB5-47DE-8424-F97CAEC86F96},28.5,72.8
203,13067031308,313.08,ARC 10,2015-05-19T13:59:09.000Z,16.3,41953,2.5,511,490,536,559,567,106,{8F4669D5-6AB2-45FB-9410-871A86034008},114.8,42.4
204,13067030319,303.19,ARC 10,2015-05-19T13:59:09.000Z,64.9,94219,2.9,324,314,329,335,333,31,{5B1B8E4E-FBD3-4089-9B57-0AF2D63712A5},-9.3,10.7
205,13067030333,303.33,ARC 10,2015-05-19T13:59:09.000Z,68.1,113987,3,518,487,553,599,622,173,{5BC8BE5A-7B77-43DC-A02E-2368D5BA12E1},28.3,57.7
206,13067030332,303.32,ARC 10,2015-05-19T13:59:09.000Z,65.5,105000,1.4,2933,2873,2985,3044,3056,264,{62DAACBB-0D70-4029-9ACB-444CFDAD6B04},-35.7,188.6
207,13067030335,303.35,ARC 10,2015-05-19T13:59:09.000Z,73.3,112112,2,309,261,345,399,434,235,{7E2CD264-5BA6-4851-B66F-CD4653B746C3},-173,117.5
208,13067031106,311.06,ARC 10,2015-05-19T13:59:09.000Z,34,63228,3.5,1460,1386,1544,1631,1684,402,{1EC376EC-0049-4E97-8005-5E4105112DAE},258.6,114.9
209,13067030331,303.31,ARC 10,2015-05-19T13:59:09.000Z,64.1,106549,2.5,353,328,381,410,435,137,{DD7FC410-4FE9-4EB7-BE0A-61C04B041449},-73.6,54.8
210,13067030322,303.22,ARC 10,2015-05-19T13:59:09.000Z,46,97054,1.4,478,460,494,512,521,83,{5A0CF3B2-49D4-464B-9080-C194EFEA6E30},-15.7,59.3
211,13067031112,311.12,ARC 10,2015-05-19T13:59:09.000Z,62,71842,1.6,2048,1907,2406,3106,3497,1989,{668D1F2A-DBF4-4178-8E4A-C2205F2666EC},10,1243.1
212,13067030504,305.04,ARC 10,2015-05-19T13:59:09.000Z,43.2,59844,2.6,2937,2578,3348,3808,4163,2096,{0AAF032C-876C-4385-817A-C46C278A0BBB},189.2,806.2
213,13067030327,303.27,ARC 10,2015-05-19T13:59:09.000Z,55.3,98241,1.9,793,727,877,957,1014,372,{D54FA46F-0481-48D2-BD7D-C728EB40F90A},18.4,195.8
214,13067030329,303.29,ARC 10,2015-05-19T13:59:09.000Z,56.6,98988,1.7,290,260,317,349,368,138,{72B2BC1C-6C8E-42D2-9C6F-21A9C90F17DA},-97.6,81.2
215,13067030339,303.39,ARC 10,2015-05-19T13:59:09.000Z,62.8,56409,1.8,13920,13382,14523,15218,15632,3151,{7BF28441-9C5B-4B4D-8A1A-17DE52BB6427},607.2,1750.6
216,13067030314,303.14,ARC 10,2015-05-19T13:59:09.000Z,54.1,91137,3.1,1266,1121,1449,1676,1855,896,{1965EDE0-E75C-4AAE-A163-AC7E822B9BF6},271.6,289
217,13067030336,303.36,ARC 10,2015-05-19T13:59:09.000Z,77.4,145483,3,2742,2649,2842,2948,2983,448,{C452F989-B75B-4F75-85ED-A3C6A3F9A613},-159.3,149.3
218,13063040411,404.11,ARC 10,2015-05-19T13:59:09.000Z,28.3,56258,7,597,520,672,761,829,390,{B08B47BE-E095-4A50-8A86-782084124AB2},679.1,55.7
219,13063040512,405.12,ARC 10,2015-05-19T13:59:09.000Z,20.5,36655,1.7,1112,1077,1161,1203,1366,329,{C57599E7-A657-4DF4-9700-06A0AFE3ABD8},360,193.5
220,13063040608,406.08,ARC 10,2015-05-19T13:59:10.000Z,24,63848,17.4,1711,1588,1853,2026,2143,734,{4231BE61-F7F3-42F0-B206-516199B70E29},339.3,42.2
221,13063040614,406.14,ARC 10,2015-05-19T13:59:10.000Z,32.2,65607,5.4,514,476,561,608,953,512,{7B92A9DB-4BAC-4414-B36E-0AAEE4F068F0},-135.2,94.8
222,13063040606,406.06,ARC 10,2015-05-19T13:59:10.000Z,13.6,42692,9.6,1480,1361,1595,1724,2165,941,{8715299B-E21A-4EC7-9AE8-E326DC2F1CA6},22.7,98
223,13063040612,406.12,ARC 10,2015-05-19T13:59:10.000Z,7.7,37052,2.7,8221,7993,8046,8670,8228,505,{72632DFF-FAC3-4FF7-95FE-9A539ACD957E},969.3,187
224,13063040609,406.09,ARC 10,2015-05-19T13:59:10.000Z,29.5,56493,3.6,4398,4191,4602,4833,5007,1048,{A629A98D-8C72-496B-B04D-6006054AC960},362.2,291.1
225,13063040412,404.12,ARC 10,2015-05-19T13:59:10.000Z,18,46772,3.1,4439,4377,4392,4548,5055,802,{F6408560-A8D4-4FBE-9227-9BAAB8A46922},142.9,258.7
226,13063040413,404.13,ARC 10,2015-05-19T13:59:10.000Z,22.8,38835,2.1,138,112,166,198,332,237,{CC8FF0A2-83CB-4292-8583-B6B788E1092E},569.5,112.9
227,13063040613,406.13,ARC 10,2015-05-19T13:59:10.000Z,30.1,58246,5.3,1488,1448,1519,1566,1585,185,{54C712DE-ADBF-4A3F-817E-026A7BC17EBC},264.7,34.9
228,13063040408,404.08,ARC 10,2015-05-19T13:59:10.000Z,21.1,39607,2.6,2436,2330,2555,2676,2858,659,{C14A358F-E8D4-43FD-BC30-9205F45B1ABB},80.8,253.5
229,13063040409,404.09,ARC 10,2015-05-19T13:59:10.000Z,12,45833,1.4,733,640,839,943,1050,513,{161891A0-05D1-4C28-8BD6-1FC8ED096A1C},170,366.4
230,13063040410,404.10,ARC 10,2015-05-19T13:59:10.000Z,13,40107,8.6,6859,6492,7170,7506,7694,1793,{8D6A98AD-9A44-485C-959B-B75153A74472},150.5,208.5
231,13063040303,403.03,ARC 10,2015-05-19T13:59:10.000Z,6.8,28264,2.3,2039,1946,2121,2203,2446,609,{E7BB9F0D-00A7-4E16-A1A7-F0ACC4467865},-348.3,264.8
232,13063040302,403.02,ARC 10,2015-05-19T13:59:10.000Z,5.9,33030,2.2,2833,2672,3063,3308,3475,1056,{E6B19846-77FF-4DA7-88F6-E9F012B36BEA},-646.8,480
233,13063040611,406.11,ARC 10,2015-05-19T13:59:10.000Z,11,29464,2.4,2301,2199,2426,2775,2990,921,{4D5C30EF-E061-490E-A53B-28DDF9E74CF8},155,383.8
234,13063040407,404.07,ARC 10,2015-05-19T13:59:10.000Z,11.8,42500,3.5,3957,3648,4258,4602,5271,2032,{708D6428-E1C9-4141-8981-4BB32FE8840B},94,580.6
235,13063040510,405.10,ARC 10,2015-05-19T13:59:10.000Z,16.1,41012,1.2,457,456,456,456,451,-4,{8F2C9287-7396-4431-B1A1-D7B8D45165EF},-286.7,-3.3
236,13063040514,405.14,ARC 10,2015-05-19T13:59:10.000Z,23.1,41477,1.9,870,842,897,926,1046,228,{714EC79A-E474-41F3-B214-01771B48926B},988.4,120
237,13063040307,403.07,ARC 10,2015-05-19T13:59:10.000Z,13.7,34162,1.2,192,189,196,202,202,25,{6F09F4F4-7937-4FD2-9B58-EE415971721F},495,20.8
238,13063980000,9800,ARC 10,2015-05-19T13:59:10.000Z,,,,39907,37582,42450,45089,45795,8836,{A112DB8B-3863-4F48-A9B2-9F794E0D2C6D},,
239,13063040622,406.22,ARC 10,2015-05-19T13:59:10.000Z,23.9,44246,3.2,455,394,523,602,662,340,{75A49E1C-B3EF-49F2-AC46-8FE8E2CA6055},-87.8,106.3
240,13063040621,406.21,ARC 10,2015-05-19T13:59:10.000Z,21.9,56374,3.1,827,795,867,909,929,179,{4083CFC2-88D7-4EAE-A3F7-878D45F45C1F},1229,57.7
241,13063040619,406.19,ARC 10,2015-05-19T13:59:10.000Z,20.6,47778,1.4,208,195,219,230,239,59,{51A70BC1-7DE6-4ACF-A18B-5681F9429DBA},142.9,42.1
242,13063040523,405.23,ARC 10,2015-05-19T13:59:10.000Z,14.8,42540,1,1591,1558,1618,1641,1641,148,{76DDEC25-F256-4A72-87CD-DE06212E967B},978,148
243,13063040522,405.22,ARC 10,2015-05-19T13:59:10.000Z,15.7,30298,1.9,5559,4933,6311,7127,8322,4027,{0D587DF6-ABDC-4E02-9608-C4A92CB73FD4},-504.7,2119.5
244,13063040520,405.20,ARC 10,2015-05-19T13:59:10.000Z,15.3,29650,0.8,843,815,863,887,963,212,{52F480DD-E513-494E-8080-386BA3830C87},-523.8,265
245,13063040519,405.19,ARC 10,2015-05-19T13:59:10.000Z,17.4,24979,0.6,147,138,157,168,178,56,{BE028AED-657F-49BF-90D3-CDB31AA8829C},1263.3,93.3
246,13063040417,404.17,ARC 10,2015-05-19T13:59:10.000Z,17.8,23364,2,2798,2827,2966,3049,2986,272,{53EE5CDF-3994-439E-AB24-AF8DFE27F036},12.5,136
247,13063040203,402.03,ARC 10,2015-05-19T13:59:10.000Z,14.6,36458,1.1,751,744,760,771,1187,456,{FDD67629-D6B9-4FEA-BA69-FC0906178B94},117.3,414.5
248,13063040617,406.17,ARC 10,2015-05-19T13:59:10.000Z,0.6,31227,0.4,379,380,383,387,385,10,{43E2822F-F243-410E-AD36-0B9DE87598C7},520,25
249,13063040615,406.15,ARC 10,2015-05-19T13:59:10.000Z,25.2,41094,1.3,189,179,202,215,325,162,{F56AD5A3-C4D5-4B94-98B5-054879A10CD9},138.5,124.6
250,13063040521,405.21,ARC 10,2015-05-19T13:59:10.000Z,10.7,54135,1,503,446,567,637,906,515,{938B158D-376D-46C8-8A06-CE9FD8E25D0E},-113,515
251,13063040415,404.15,ARC 10,2015-05-19T13:59:10.000Z,10.8,33271,1.6,1659,1591,1723,1791,1922,435,{F5A8E4D3-ABCF-4434-8AA6-8ABB2EC52BD4},-703.1,271.9
252,13063040414,404.14,ARC 10,2015-05-19T13:59:10.000Z,11.9,33421,0.8,625,550,714,826,922,459,{DC0D53D7-8EE8-4432-BDFF-866CEBF98827},403.8,573.8
253,13063040204,402.04,ARC 10,2015-05-19T13:59:10.000Z,17.8,35938,1.1,2813,2746,2842,2878,2959,307,{481386C4-B5E6-4739-9CF9-9C2BCCD29896},-625.5,279.1
254,13063040308,403.08,ARC 10,2015-05-19T13:59:10.000Z,6.9,30893,3.6,13472,13017,14744,15609,16096,4400,{215B9C60-4270-4274-BD49-301D08398589},-215.3,1222.2
255,13063040620,406.20,ARC 10,2015-05-19T13:59:10.000Z,16.6,63274,3.5,576,547,599,633,655,144,{E63D9D31-234E-4934-855D-81B9E885D856},366.3,41.1
256,13063040616,406.16,ARC 10,2015-05-19T13:59:10.000Z,22.9,36671,2.6,1067,1055,1083,1093,1072,49,{955D6A4E-C75A-44B2-9D4B-F25E1C4AE326},613.8,18.8
257,13063040526,405.26,ARC 10,2015-05-19T13:59:10.000Z,14.6,43682,2,154,134,180,212,235,118,{9217B1DB-80FA-4365-829F-C41E09B43B04},-89.5,59
258,13063040525,405.25,ARC 10,2015-05-19T13:59:10.000Z,18.6,42705,0.9,102,78,131,167,306,247,{A1996F44-FA75-4243-BDF4-C60D8C12055B},-22.2,274.4
259,13063040524,405.24,ARC 10,2015-05-19T13:59:10.000Z,19.3,42679,2.1,181,173,189,190,198,31,{214B6536-F59D-4A97-89E7-67566F71A96F},-362.9,14.8
260,13063040416,404.16,ARC 10,2015-05-19T13:59:10.000Z,3.7,36531,1.5,1995,2172,2217,2229,2185,76,{92904CD1-262D-4882-B1EE-84D44A575556},-444.7,50.7
261,13063040306,403.06,ARC 10,2015-05-19T13:59:10.000Z,8.8,24254,1.7,4760,4560,4911,5096,5463,1023,{F04782BA-EB11-44AD-A796-F5E49AFADE49},-125.9,601.8
262,13063040516,405.16,ARC 10,2015-05-19T13:59:10.000Z,13.7,30273,1.7,258,251,261,263,261,19,{9B814A23-68E6-4DC1-9F94-27FEA81D1128},755.3,11.2
263,13063040509,405.09,ARC 10,2015-05-19T13:59:10.000Z,21.4,63750,2,130,124,135,143,147,30,{BE70EDED-17C6-4035-883F-690260625B09},-9,15
264,13063040202,402.02,ARC 10,2015-05-19T13:59:10.000Z,10.2,30606,3.9,5515,5279,5735,5968,6196,1280,{5943E25C-8660-4E62-B8CE-7248EE1F706D},-415.1,328.2
265,13063040518,405.18,ARC 10,2015-05-19T13:59:10.000Z,15.7,30640,1.4,63,56,66,70,73,22,{9D1C8668-9780-4F5D-9242-8481FD87270A},344.3,15.7
266,13063040515,405.15,ARC 10,2015-05-19T13:59:10.000Z,20.6,41290,2.3,912,820,1029,1159,1366,672,{6B9BC860-0455-49A5-A711-E1EAB10A87B3},-111.7,292.2
