X,Y,OBJECTID_1,Name,County,Address_Li,City,ZIP,Source,GlobalID,last_edited_date,Subtype,Type
-84.11876923667154,34.071338706443214,3781,Chattahoochee Pointe Park,Forsyth,2500 Bettis Tribble Gap Rd,,30040,ACFB,{E47779D7-5F5D-4153-B98D-C2B3048C748B},2017-03-31T16:41:03.000Z,,Orchard
-84.383944824840057,33.750010552756635,3782,Georgia State University Child Development,Fulton,197 Deactur Street,Atlanta,30303,Captain Planet Foundation_ Project Learning Garden,{DB22717D-A99E-4D5A-9E58-80F43E2F63A5},2017-02-13T16:26:34.000Z,,Garden
-84.067559123097112,34.305350964561626,3783,Butterfly Garden,Forsyth,5345 Settingdown Road,,,ACFB,{6248AB24-77B9-4385-9CA5-FD8EC26F8048},2017-03-31T15:18:49.000Z,,Garden
-84.570956495529288,33.899177220119441,3784,Center for Children and Young Adults,Cobb,2221 Austell Road,,30008,Georgia Organics,{51950C74-9895-4F25-AA14-C07FC4763BCF},2017-03-31T14:55:05.000Z,,Garden
-84.500119041087146,33.758091245581738,3785,Margaret A. Fain Elementary,Fulton,101 Hemphill School Road,Atlanta,30331,Captain Planet Foundation_ Project Learning Garden,{539268CA-AA0B-4884-ACDD-0DB96BE31317},2017-02-13T16:41:58.000Z,,Garden
-84.452257660798978,33.861832600407638,3786,The Lovett School,Fulton,4075 Paces Ferry Road NW,Atlanta,30327,Captain Planet Foundation_ Project Learning Garden,{6C7F3F90-AB54-4DF8-9525-DA31C2084BA1},2017-02-13T17:17:18.000Z,,Garden
-84.403089649659137,33.695392246330243,3787,Urban Sprouts Farm,Fulton,Reynolds Drive,Atlanta,,ALFI Orchard Project,{73F7D6C9-7299-4178-AB2B-C3C444903D63},2017-03-31T16:57:43.000Z,,Orchard
-84.364956243482084,33.928517306342599,3788,Cumberland Academy of Georgia,Fulton,650 Mount Vernon HWY,Atlanta,30328,Captain Planet Foundation_ Project Learning Garden,{7142A8A9-B0E4-4CEB-A0F7-A92E5137DD28},2017-02-13T16:06:32.000Z,,Garden
-84.413015481606692,33.723454356762943,3789,Beltline Farm - Aluma Farm,Fulton,1150 Allene Avenue SW,Atlanta,30310,UGA Extension,{5DF34856-B403-442B-9598-584AFB68757D},2017-02-13T15:50:49.000Z,Urban Farm,Farm
-84.194203168077706,34.181631328075639,3790,GA Native Trailhead,Forsyth,5120 Bethelview Rd,,,ACFB,{BE0CF0B2-976E-4AFA-9243-A710EB9D06AC},2017-03-31T16:50:47.000Z,,Garden
-84.290774833621242,33.849023004693152,3791,The GLOBE Academy,Dekalb,2225 heritage Dr,Atlanta,30345,Captain Planet Foundation_ Project Learning Garden,{0F0FFACC-34AB-468F-A67D-939B1F3392C0},2017-02-13T17:08:33.000Z,,Garden
-84.368099180508011,33.804512939296387,3792,Rock Spring Preschool,Fulton,1824 Piedmon Avenue NE,Atlanta,30324,Captain Planet Foundation_ Project Learning Garden,{8C91522D-78F7-4159-8A67-F4CB4F69BE66},2017-02-13T17:01:18.000Z,,Garden
-84.220814663542626,34.205227612244698,3793,Poetry Garden,Forsyth,5010 Post Road,,30040,ACFB,{E15D6722-AE4C-4074-89B3-07DA7C3B0CF8},2017-03-31T16:34:28.000Z,,Garden
-84.417754279891653,33.83708401316693,3794,Trinity Early Learning Center,Fulton,3003 Howell Mill RD. NW,Atlanta,30327,Captain Planet Foundation_ Project Learning Garden,{4A23C8FB-76EA-4370-84DF-DCF29A4A6A60},2017-02-13T17:31:29.000Z,,Garden
-84.13873780884137,34.244900433154385,3795,Louise Mashburn/ Sawnee Mountain,Forsyth,2500 Bettis-Tribble Gap Road,,,ACFB,{91101A2A-FD94-493E-AD66-F43FFFA618A0},2017-03-31T16:37:52.000Z,,Garden
-84.389136687181178,33.749778722755593,3796,Central Presbyterian Preschool,Fulton,201 Washington Street,Atlanta,30303,Captain Planet Foundation_ Project Learning Garden,{4BC0B1EE-45EB-40DC-A752-D541F494FA7D},2017-02-13T16:04:10.000Z,,Garden
-84.384824833876792,33.753551667938495,3797,GSU Child Development Program Suttles Center,Fulton,30 Courtland Street SE,Atlanta,30303,Captain Planet Foundation_ Project Learning Garden,{1487800A-BFDC-4D19-935C-3568A5C5928C},2017-02-13T16:27:25.000Z,,Garden
-84.25862304919724,33.85647344309325,3798,Henderson Mill Elementary School,DeKalb,2408 henderson mill road,Atlanta,30345,Captain Planet Foundation_ Project Learning Garden,{8CF2CC12-650F-44ED-9423-D7D1DAAA7D85},2017-02-13T16:34:28.000Z,,Garden
