OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,COUNTY_NM,PLNG_REGIO,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,SD10,SD_Name,Total_Households__2015,Total_Population__2015,Total_Households__2020,Total_Population__2020,Total_Households__2030,Total_Population__2030,Total_Households__2040,Total_Population__2040,Density__Population_per_Sq_Mile,Density__Population_per_Sq_Mi_1,Change__Population_per_Sq_Mile_,Change__Households__2015_2040,Change__Population__2015_2040,last_edited_date,GlobalID
167,13,089,020801,13089020801,DeKalb,ARC 10,343.412994,0,343.412994,0.536583,0,0.536583,45,Atlanta-DeKalb,1132,2801,1168,2835,1418,3416,1629,3839,5602,7678,2076,497,1038,2016-06-22T20:22:23.000Z,{28173392-0969-4BA6-B8DF-BBFECB4335B8}
168,13,089,021812,13089021812,DeKalb,ARC 10,503.209015,0,503.209015,0.786264,0,0.786264,44,NE DeKalb,939,2231,950,2236,977,2255,1039,2373,2788.8,,177.5,100,142,2016-06-22T20:22:23.000Z,{A4B55940-5F05-42DA-BB10-C1469DAC1870}
169,13,089,021214,13089021214,DeKalb,ARC 10,1380.579956,12.3918,1392.969971,2.15716,0.019362,2.17652,41,Chamblee,2033,5391,2041,5392,2141,5619,2388,6214,2450.5,,374.1,355,823,2016-06-22T20:22:23.000Z,{F04882DA-7B1A-4279-8F7A-0B69CD1200D4}
170,13,089,021810,13089021810,DeKalb,ARC 10,1604.97998,26.695,1631.670044,2.50778,0.041711,2.54948,44,NE DeKalb,2312,5081,2357,5121,2716,5746,3311,6845,2032.4,2738,705.6,999,1764,2016-06-22T20:22:23.000Z,{6B250F1D-F8B5-4275-B2C4-BD0622CE5976}
171,13,089,021809,13089021809,DeKalb,ARC 10,2120.620117,34.1922,2154.810059,3.31347,0.053425,3.36689,44,NE DeKalb,2683,6664,2719,6707,2792,6825,2968,7256,1960,,174.1,285,592,2016-06-22T20:22:23.000Z,{4C142E34-5DD6-483D-8A47-1153EE9096D8}
172,13,089,021808,13089021808,DeKalb,ARC 10,739.924988,11.1558,751.080994,1.15613,0.017431,1.17356,44,NE DeKalb,1757,4612,1768,4614,1804,4649,1843,4705,3843.3,,77.5,86,93,2016-06-22T20:22:23.000Z,{E485B88B-AF91-41EC-A7C1-465155B36F13}
173,13,089,021806,13089021806,DeKalb,ARC 10,2757.77002,3.27711,2761.050049,4.30902,0.00512,4.31414,44,NE DeKalb,2424,6587,2508,6768,3448,9151,4547,11979,1531.9,,1254,2123,5392,2016-06-22T20:22:23.000Z,{C5D6DDE9-7ACF-45CD-BE1C-763693C9B015}
174,13,089,021805,13089021805,DeKalb,ARC 10,1564.290039,1.62225,1565.910034,2.4442,0.002535,2.44673,44,NE DeKalb,2434,6144,2460,6160,2588,6418,2736,6655,2560,,212.9,302,511,2016-06-22T20:22:23.000Z,{83E24FE7-81A4-4EFE-8030-51E2C3C78980}
175,13,089,021704,13089021704,DeKalb,ARC 10,1766.130005,3.04804,1769.180054,2.75958,0.004763,2.76434,44,NE DeKalb,2226,4851,2260,4872,2365,4987,2490,5177,1732.5,,116.4,264,326,2016-06-22T20:22:23.000Z,{099BE970-0CF6-4616-9ACF-B1F388509397}
176,13,089,021703,13089021703,DeKalb,ARC 10,1288.969971,12.3481,1301.319946,2.01402,0.019294,2.03331,44,NE DeKalb,1888,4555,1942,4631,2624,6154,3302,7647,2277.5,,1546,1414,3092,2016-06-22T20:22:23.000Z,{6F6D94FC-DE44-451D-AA2C-A37B63125F74}
177,13,089,021705,13089021705,DeKalb,ARC 10,1261.380005,0,1261.380005,1.97091,0,1.97091,44,NE DeKalb,2338,5068,2431,5212,3239,6830,4093,8469,2534,,1700.5,1755,3401,2016-06-22T20:22:23.000Z,{7CBF99E5-FC48-4AD9-98CA-892776BC0D3C}
178,13,089,021908,13089021908,DeKalb,ARC 10,829.991028,23.7817,853.771973,1.29686,0.037159,1.33402,44,NE DeKalb,2029,5378,2072,5385,2120,5418,2197,5525,4136.9,4250,113.1,168,147,2016-06-22T20:22:23.000Z,{CF7B9B84-DB19-4098-88E6-54AD1CDAFA59}
179,13,089,023309,13089023309,DeKalb,ARC 10,1272.73999,9.63217,1282.369995,1.98866,0.01505,2.0037,48,SE DeKalb,3477,9334,3539,9357,3715,9642,3910,10017,4667,,341.5,433,683,2016-06-22T20:22:23.000Z,{FE246FA9-520B-489B-9258-CC61FD3850A1}
180,13,089,023211,13089023211,DeKalb,ARC 10,613.929993,1.77669,615.70697,0.959266,0.002776,0.962042,48,SE DeKalb,1183,3277,1211,3320,1389,3753,1619,4309,3277,4309,1032,436,1032,2016-06-22T20:22:23.000Z,{18759678-FBD6-4D66-9D57-9165CFBC763E}
181,13,089,023212,13089023212,DeKalb,ARC 10,867.58197,9.14216,876.723999,1.3556,0.014285,1.36988,48,SE DeKalb,1265,3617,1291,3624,1400,3867,1614,4372,2583.6,,539.3,349,755,2016-06-22T20:22:23.000Z,{160FFAF5-2D25-4C9E-BB42-35760C6A4758}
182,13,089,023306,13089023306,DeKalb,ARC 10,2984.949951,67.462196,3052.409912,4.66398,0.10541,4.76939,48,SE DeKalb,2241,7129,2265,7141,2424,7521,2627,8024,1485.2,,186.5,386,895,2016-06-22T20:22:23.000Z,{EAF2E614-02FA-47D4-B1B2-9C0AE56D99FD}
183,13,089,023303,13089023303,DeKalb,ARC 10,4732.080078,157.440002,4889.52002,7.39388,0.246,7.63987,48,SE DeKalb,2715,7397,2840,7605,3705,9774,4532,11765,973.3,1548,574.7,1817,4368,2016-06-22T20:22:23.000Z,{024DE2DA-2969-4627-9632-261492AAAFA2}
184,13,089,021706,13089021706,DeKalb,ARC 10,1273.630005,10.0132,1283.650024,1.99005,0.015646,2.0057,44,NE DeKalb,2711,6583,2746,6586,2835,6705,2973,6960,3291.5,3480,188.5,262,377,2016-06-22T20:22:23.000Z,{B236BCF4-0C73-4F5E-8894-D3729BD3F20D}
185,13,089,021211,13089021211,DeKalb,ARC 10,1213.880005,29.6798,1243.560059,1.89669,0.046375,1.94306,41,Chamblee,1887,4458,1892,4481,2039,4784,2234,5203,2346.3,,392.1,347,745,2016-06-22T20:22:23.000Z,{DA841B84-2903-4C79-A63C-F4789769E2D4}
186,13,089,021210,13089021210,DeKalb,ARC 10,1556.459961,15.877,1572.329956,2.43197,0.024808,2.45677,41,Chamblee,2019,5266,2038,5294,2259,5853,2386,6136,2106.4,,348,367,870,2016-06-22T20:22:23.000Z,{49334880-54F0-46EC-8A31-CA5361D420AB}
187,13,089,021213,13089021213,DeKalb,ARC 10,744.080994,0,744.080994,1.16263,0,1.16263,41,Chamblee,1176,3152,1177,3159,1199,3206,1254,3330,2626.7,2775,148.3,78,178,2016-06-22T20:22:23.000Z,{B263D470-BDB9-4E3E-A6CD-5BECBEB13E22}
188,13,089,021303,13089021303,DeKalb,ARC 10,1083.51001,0,1083.51001,1.69298,0,1.69298,41,Chamblee,1856,6414,1866,6425,1989,6826,2262,7576,3772.9,,683.5,406,1162,2016-06-22T20:22:23.000Z,{4AA703B6-DCF5-46FA-B688-223915BF6335}
