OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,COUNTY_NM,PLNG_REGIO,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,SD10,SD_Name,Total_Households__2015,Total_Population__2015,Total_Households__2020,Total_Population__2020,Total_Households__2030,Total_Population__2030,Total_Households__2040,Total_Population__2040,Density__Population_per_Sq_Mile,Density__Population_per_Sq_Mi_1,Change__Population_per_Sq_Mile_,Change__Households__2015_2040,Change__Population__2015_2040,last_edited_date,GlobalID
827,13,121,011618,13121011618,Fulton,ARC 10,1279.540039,12.1887,1291.719971,1.99928,0.019045,2.01831,1,N Fulton,1614,4229,1638,4263,1675,4304,1720,4335,2114.5,,53,106,106,2016-06-22T20:22:26.000Z,{3160F1F5-F91F-4DED-91C1-67B12ED66FF1}
828,13,121,011610,13121011610,Fulton,ARC 10,1159.670044,7.48729,1167.160034,1.81198,0.011699,1.82369,1,N Fulton,2035,5485,2090,5597,2182,5801,2250,5880,3047.2,,219.4,215,395,2016-06-22T20:22:26.000Z,{F78633DF-AA0D-4A23-89F9-7D0F5E84E17C}
829,13,121,011614,13121011614,Fulton,ARC 10,2087.469971,14.0835,2101.560059,3.26167,0.022006,3.28369,1,N Fulton,6174,11302,6340,11562,6626,12043,6931,12320,3424.8,,308.5,757,1018,2016-06-22T20:22:26.000Z,{6180962C-E409-4ABC-8198-559C7574713F}
830,13,121,011620,13121011620,Fulton,ARC 10,1827.22998,92.490303,1919.719971,2.85505,0.144516,2.99956,1,N Fulton,3314,9490,3356,9590,3447,9782,3591,10022,3163.3,,177.3,277,532,2016-06-22T20:22:26.000Z,{1B5E27DB-D1E8-4939-8A0E-5808AAED10F4}
831,13,121,011420,13121011420,Fulton,ARC 10,410.312988,0.769486,411.083008,0.641114,0.001202,0.642317,2,Roswell,2282,7087,2340,7162,2406,7226,2463,7346,11811.7,,431.7,181,259,2016-06-22T20:22:26.000Z,{2AAC8BA3-DCFB-4D82-8110-59239ED7E4CC}
832,13,121,011613,13121011613,Fulton,ARC 10,1611.599976,5.94709,1617.550049,2.51813,0.009292,2.52742,1,N Fulton,2366,6944,2386,6987,2416,7008,2462,7045,2777.6,2818,40.4,96,101,2016-06-22T20:22:26.000Z,{CC997110-8DD0-49DF-AF70-04FE6DC3358E}
833,13,121,011426,13121011426,Fulton,ARC 10,363.369995,0,363.369995,0.567766,0,0.567766,2,Roswell,791,2596,814,2650,842,2704,850,2714,4326.7,,196.7,59,118,2016-06-22T20:22:26.000Z,{44E23F8C-A548-4DF8-B061-B68303FF1E73}
834,13,121,011425,13121011425,Fulton,ARC 10,2640.649902,116.295998,2756.949951,4.12602,0.181712,4.30773,2,Roswell,2402,7515,2450,7616,2527,7757,2573,7796,1747.7,1813,65.3,171,281,2016-06-22T20:22:26.000Z,{DD34B72B-0C32-4513-B2B0-D5ED94E7802C}
835,13,121,011423,13121011423,Fulton,ARC 10,1598.109985,19.9879,1618.099976,2.49705,0.031231,2.52828,2,Roswell,1992,5180,2031,5239,2085,5288,2158,5399,2072,,87.6,166,219,2016-06-22T20:22:26.000Z,{5FAD37E9-BAA2-42A0-8342-4893AAD564E8}
836,13,121,011418,13121011418,Fulton,ARC 10,2629.590088,55.303699,2684.889893,4.10873,0.086412,4.19514,2,Roswell,2329,5919,2423,6098,2550,6344,2611,6434,1409.3,,122.6,282,515,2016-06-22T20:22:26.000Z,{C5107FF8-8CDD-4BC2-BB28-317BBBB32552}
