X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Percent_1Unit_Detached,Housing_units_built_since_2000,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Pct_Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,GlobalID,last_edited_date
-83.381654417426205,34.725761448791175,26,Tallulah Falls,5462.18994141,8.53468037, , ,65,32,49.2,33,50.8,0,0,64,98.5,3,4.6,17,26.2,45,69.2,{BA76D6CF-F471-4C6E-9B90-ACA3B8CFD879},
-81.473948043333195,31.145000103476431,27,Brunswick,16186.29980469,25.29100037, , ,7161,5869,82,1292,18,0.9,3.1,4874,68.1,572,8,1252,17.5,5337,74.5,{17546989-7A99-48FD-B003-F282538CF3D8},
-81.717460195513794,30.959513869691396,28,Woodbine,1645.86999512,2.57167006, , ,597,522,87.4,75,12.6,1.2,7.1,368,61.6,82,13.7,225,37.7,290,48.6,{8699710B-25C8-4149-AAAA-56E94FEFE04E},
-81.57215523099002,30.756670879395642,29,St. Marys,15951,24.92340088, , ,7412,6488,87.5,924,12.5,1.7,8.7,5032,67.9,2037,27.5,3393,45.8,1982,26.7,{301351CF-0396-45A6-B5E7-EC97526173A2},
-81.721747618684333,30.81938988424136,30,Kingsland,28812.5,45.01959991, , ,6475,5803,89.6,672,10.4,3.6,6.6,4309,66.5,2372,36.6,3238,50,865,13.4,{F706C002-A2BC-47FF-AD25-B416B715DC5C},
-85.044201695657492,34.010275416089883,31,Rockmart,3653.76000977,5.70900011, , ,1885,1670,88.6,215,11.4,3.3,13,1442,76.5,310,16.4,343,18.2,1232,65.4,{0505663A-0D2E-477C-9BCA-8D71DF91C827},
-85.250086914761596,34.021563224803607,32,Cedartown,5582.02978516,8.72192001, , ,3952,3270,82.7,682,17.3,9,10.5,2546,64.4,356,9,836,21.2,2760,69.8,{0EE11036-F37E-46BC-950D-6505137957C5},
-85.057081949250133,34.045694458802309,33,Aragon,731.47399902,1.14293003, , ,553,485,87.7,68,12.3,8.6,7.7,471,85.2,156,28.2,97,17.5,300,54.2,{1E9566B7-B929-45C0-B905-41B51D4D70BE},
-83.611275845059367,33.626303117910538,34,Rutledge,2115.2199707,3.30503988, , ,392,317,80.9,75,19.1,1.9,32.4,330,84.2,44,11.2,120,30.6,228,58.2,{9B3557E4-8B60-41AB-92EF-71CCDBE58AE7},
-83.475834636871738,33.57908875704647,35,Madison,5621.20996094,8.78314018, , ,1731,1407,81.3,324,18.7,0,9.4,1267,73.2,340,19.6,676,39.1,715,41.3,{7DC5543F-8C2E-4F8F-A758-088CBAF66F68},
-83.362311742670897,33.568458472341518,36,Buckhead,513.20898438,0.801889, , ,112,97,86.6,15,13.4,0,0,88,78.6,6,5.4,39,34.8,67,59.8,{4967A30B-19E8-41FF-AB46-90A5958938FD},
-83.514963823408692,33.737807252310098,37,Bostwick,2009.42004395,3.13970995, , ,195,179,91.8,16,8.2,0,0,187,95.9,28,14.4,80,41,87,44.6,{A55EF740-59E7-4196-82B8-7D8AD799FBDC},
-84.560624633719087,32.787680700104318,38,Woodland,505.98699951,0.79060501, , ,234,167,71.4,67,28.6,4.8,18.6,160,68.4,19,8.1,91,38.9,124,53,{2FFC4B5E-98ED-41FF-835A-3E876A0823F4},
-84.540597882672756,32.67727423634534,39,Talbotton,1999.56005859,3.12431002, , ,582,484,83.2,98,16.8,4.7,3.9,252,43.3,32,5.5,291,50,259,44.5,{F70EAA6E-B51B-4713-ADA1-C793367939C2},
-84.457354411116995,32.603171618165696,40,Junction City,1584.93005371,2.47645998, , ,81,61,75.3,20,24.7,11.1,13.3,43,53.1,4,4.9,29,35.8,48,59.3,{5DD1C20A-A381-407F-99E5-E2CB2F12E257},
-84.551618930841585,32.578961087544528,41,Geneva,503.5289917,0.78676498, , ,44,36,81.8,8,18.2,0,0,33,75,2,4.5,17,38.6,25,56.8,{5AEC6DCA-BC5C-4743-B8AF-8A14254404AA},
-84.633019519734859,32.856563103206277,42,Manchester,5150.77001953,8.04806995, , ,1892,1483,78.4,409,21.6,4.9,0,1312,69.3,117,6.2,326,17.2,1449,76.6,{87178F57-B875-4326-8DA8-12DBC5B06757},
-84.308900636849515,32.238023966845518,43,Ellaville,2031.85998535,3.17478991, , ,983,849,86.4,134,13.6,0,6.9,618,62.9,64,6.5,342,34.8,577,58.7,{33B1A938-648D-4F84-A72E-83D8C5543606},
-83.954768637741594,34.876060180016673,44,Blairsville,711.4630127,1.11166, , ,322,261,81.1,61,18.9,11.2,15.3,122,37.9,40,12.4,123,38.2,159,49.4,{C23A2A55-2638-4DBC-997C-6A3FC5B40D83},
-83.456885379915988,31.948772381252436,45,Rochelle,1220.30004883,1.90673006, , ,602,461,76.6,141,23.4,2.6,0,337,56,32,5.3,155,25.7,415,68.9,{7F077F77-897A-46A4-A7C5-8A82878BE8FA},
-83.541760432341846,31.946189657576681,46,Pitts,512.6630249,0.801036, , ,198,167,84.3,31,15.7,0,0,133,67.2,26,13.1,29,14.6,143,72.2,{4506B006-4D45-499B-AF60-B5B1214F0A9A},
-83.503012139293929,32.1084913904551,47,Pineview,1250.7199707,1.95424998, , ,229,176,76.9,53,23.1,3.3,0,138,60.3,14,6.1,95,41.5,120,52.4,{59F1EC64-C80B-4AB2-95C0-5EDB7EB0F4CB},
-83.306784752237647,31.992521537870257,48,Abbeville,1979.06994629,3.09229994, , ,457,372,81.4,85,18.6,0,6.1,245,53.6,9,2,222,48.6,226,49.5,{B33AE76F-2F33-4F93-8542-B9B02C432CFD},
-82.357947817525755,31.21090364262232,49,Waycross,7645.64013672,11.94629955, , ,7545,6033,80,1512,20,7.9,6.1,5031,66.7,711,9.4,1258,16.7,5576,73.9,{D14A8403-995D-43A5-A135-B5FDA601D1EE},
-83.281478850598504,33.966629882992827,50,Winterville,1693.66003418,2.64634991, , ,470,434,92.3,36,7.7,0,0,420,89.4,32,6.8,203,43.2,235,50,{07A4099D-E7FD-4769-9A1B-864AC2136CD5},
-83.533468441995979,33.947381185490876,51,Bogart,1522.33996582,2.37864995, , ,520,442,85,78,15,0,5.5,417,80.2,40,7.7,173,33.3,307,59,{389DE7E1-585C-4335-879C-1D36C83A2B5A},
-83.996615817512804,33.664558946519954,52,Conyers,7552.85009766,11.80130005,yes,yes,6082,5072,83.4,1010,16.6,5.5,15.9,2306,37.9,1758,28.9,2764,45.4,1560,25.6,{09F15A6F-AFAE-48ED-A27C-E9C80EEDC409},
-83.957954430172748,33.890201890712085,53,Grayson,1594.05004883,2.49071002,yes,yes,839,800,95.4,39,4.6,5.3,0,820,97.7,484,57.7,307,36.6,48,5.7,{91DB43BB-5D0C-4A1C-8E94-EE97D0B7B36D},
-83.53741548238628,33.002388034566387,54,Gray,2489.23999023,3.88943005, , ,1178,1071,90.9,107,9.1,0,4.2,839,71.2,438,37.2,279,23.7,461,39.1,{CEDF198B-B538-4E71-BA7B-3BD2C09BCB90},
-85.149536953027905,33.708750574041105,55,Bremen,6763.83984375,10.56849957,yes, ,2668,2376,89.1,292,10.9,5.2,4.1,2064,77.4,561,21,591,22.2,1516,56.8,{D46C77C1-5DE6-4ECD-A829-0EC654A1FA95},
-84.766784007615655,34.82660415775154,56,Eton,771.23101807,1.20504999, , ,337,284,84.3,53,15.7,5.7,22.8,262,77.7,162,48.1,98,29.1,77,22.8,{0FF164B3-144A-4C35-9155-C0E0D8831B62},
-84.783395764576539,34.780713373819175,57,Chatsworth,3407.64990234,5.32446003, , ,1915,1668,87.1,247,12.9,2.5,9.6,1242,64.9,334,17.4,936,48.9,645,33.7,{58F9488E-14D0-4C62-9992-290B5FA4C0D0},
-82.3152714928151,32.382145788657994,58,Oak Park,4626.79003906,7.22937012, , ,247,225,91.1,22,8.9,0,0,114,46.2,24,9.7,98,39.7,125,50.6,{AD1EDF1D-B563-4541-8199-1F1912EC9DEC},
-82.346664065201821,32.4919654270048,59,Nunez,858.39697266,1.34124994, , ,33,33,100,0,0,0,0,27,81.8,4,12.1,0,0,29,87.9,{DB720D1A-E636-4925-967C-6E175094E135},
-82.09623167322934,32.649546023215727,60,Garfield,509.23300171,0.79567599, , ,97,84,86.6,13,13.4,6.8,0,69,71.1,8,8.2,24,24.7,65,67,{6B4050B8-BC97-4171-8503-71BBDE8AC29B},
-82.59202957019258,32.530597001562974,61,Adrian,908.57397461,1.41964996, , ,259,221,85.3,38,14.7,0,0,203,78.4,17,6.6,32,12.4,210,81.1,{14208168-741C-4D87-BCB9-451DE10B41B2},
-82.313800827010425,33.41544431731495,62,Harlem,2904.93994141,4.53896999, , ,1267,1118,88.2,149,11.8,0,0,976,77,361,28.5,349,27.5,557,44,{DC9EFC66-0CD6-423A-8264-592BE9B654F9},
-82.206478711341262,33.449473541795562,63,Grovetown,3095.32006836,4.83644009, , ,4612,3914,84.9,698,15.1,9.5,13.5,3323,72.1,2465,53.4,1546,33.5,601,13,{0515A564-00C6-45CA-9CEA-F8F0B1C98046},
-83.241225717631522,33.087538974197045,64,Milledgeville,13158.90039063,20.56080055, , ,7495,6126,81.7,1369,18.3,2,9.9,3880,51.8,1410,18.8,2255,30.1,3830,51.1,{C9F00BF2-3245-497D-8436-D283639FC466},
-85.289752828786519,34.974753474803975,65,Rossville,1157.32995605,1.80832005, , ,1874,1626,86.8,248,13.2,6.7,8.1,1307,69.7,141,7.5,272,14.5,1461,78,{4AB1ADA4-E7E8-4CCB-B53E-19A7FC2C83FA},
-85.362199190103738,34.966418683353282,66,Lookout Mountain,1701.83996582,2.6591301, , ,697,607,87.1,90,12.9,0,10.1,623,89.4,19,2.7,99,14.2,579,83.1,{EC5FE6F7-73FD-43B6-81AD-43102B3F0D5E},
-85.281534059918798,34.708660576835079,67,LaFayette,5229.18017578,8.1705904, , ,3550,2993,84.3,557,15.7,3,7.6,2564,72.2,409,11.5,848,23.9,2293,64.6,{BEAF028E-C40D-4E64-BDE7-0F725FEF2A9B},
-85.289012626203217,34.874407602839703,68,Chickamauga,1651.41003418,2.5803299, , ,1426,1234,86.5,192,13.5,4.3,4.1,1094,76.7,183,12.8,409,28.7,834,58.5,{00DF4991-8727-4EB5-B60F-F234B201D024},
