X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Percent_1Unit_Detached,Housing_units_built_since_2000,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Pct_Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,GlobalID,last_edited_date
-82.228946156355477,33.237439468747873,115,Keysville,689.13800049,1.07677996, , ,108,84,77.8,24,22.2,0,0,50,46.3,15,13.9,36,33.3,57,52.8,{53FA56C2-7144-4143-81A0-3017F3A23ACA},
-82.403340633454278,32.213365122020335,116,Vidalia,11290,17.6406002, , ,4764,4178,87.7,586,12.3,2.3,10.3,3205,67.3,373,7.8,1380,29,3011,63.2,{57D9E7F7-7ED3-4767-BF08-EF6106D26C46},
-82.32973262805676,32.171267229557742,117,Santa Claus,118.60299683,0.18531699, , ,105,95,90.5,10,9.5,0,10,81,77.1,0,0,28,26.7,77,73.3,{5F75DBF7-C737-4121-81FD-9DF1793244F4},
-82.321484843021011,32.205265647399585,118,Lyons,5373.89013672,8.3967104, , ,1870,1587,84.9,283,15.1,3.2,7.6,1147,61.3,36,1.9,641,34.3,1193,63.8,{B65D1548-5ABE-4695-A5DF-64201D5A9C21},
-83.937953525309595,33.034741581115348,119,Forsyth,3772.26000977,5.89415979, , ,1584,1424,89.9,160,10.1,1.8,12.4,921,58.1,80,5.1,536,33.8,968,61.1,{0574B4B0-DFC9-4D97-A117-CABADF477754},
-84.09397346096101,32.863195841485776,120,Culloden,508.3460083,0.79429102, , ,113,85,75.2,28,24.8,0,0,90,79.6,10,8.8,23,20.4,80,70.8,{8C683FD6-69A7-4B4B-9074-C91455A7B3BE},
-82.741963171387042,31.038584958368478,121,Homerville,2244.97998047,3.50779009, , ,1110,994,89.5,116,10.5,0,2.9,686,61.8,92,8.3,258,23.2,760,68.5,{0B635887-5A92-4FAD-9C76-FA6A57EF9138},
-82.572059374556972,30.688080067283366,122,Fargo,1765.01000977,2.7578299, , ,182,136,74.7,46,25.3,0,0,107,58.8,26,14.3,70,38.5,86,47.3,{9B172C24-AA24-40D7-A6D5-66EE2995D595},
-82.648878952020098,31.073219627348145,123,Argyle,1100.81994629,1.72002995, , ,110,54,49.1,56,50.9,0,0,48,43.6,15,13.6,51,46.4,44,40,{98BB0353-D6D9-48DB-B274-D58A1B2C436D},
-81.712179355767532,33.039956847216352,124,Girard,2050.07006836,3.20323992, , ,77,64,83.1,13,16.9,0,17.9,37,48.1,9,11.7,12,15.6,56,72.7,{343E555A-FAC4-4772-99B4-EA4D222F8169},
-82.202659241743433,33.301141015763186,125,Blythe,1811.68005371,2.83074999, , ,313,257,82.1,56,17.9,0.4,27.3,152,48.6,70,22.4,145,46.3,98,31.3,{7C86EB40-4018-4D29-A91A-FBBD639C8DC2},
-81.621748580766067,31.771642082963552,126,Walthourville,2471.05004883,3.86102009, , ,1994,1609,80.7,385,19.3,0,18.8,1188,59.6,351,17.6,1237,62,406,20.4,{8981F71D-9C02-4689-8202-A260F3C2F638},
-81.443784465609554,31.726436697167767,127,Riceboro,7284.56982422,11.38210011, , ,397,335,84.4,62,15.6,0,11.1,219,55.2,99,24.9,173,43.6,125,31.5,{9010E951-DB0C-4792-98DB-422603BB40D4},
-81.419132048241124,31.800413227515584,128,Midway,4136.24023438,6.46288013, , ,801,701,87.5,100,12.5,2.1,0,552,68.9,396,49.4,311,38.8,94,11.7,{C1A12F3F-636C-42E1-8354-CA58B740A521},
-81.621543345484753,31.826913467702919,129,Hinesville,13531.40039063,21.14290047, , ,15104,12747,84.4,2357,15.6,3.5,14.6,9534,63.1,3137,20.8,7950,52.6,4017,26.6,{83504F66-C758-4378-B1F5-56B1C4BFB735},
-81.560452138446223,31.850564777313423,130,Flemington,3043.37988281,4.75528002, , ,353,293,83,60,17,0,33.9,278,78.8,110,31.2,193,54.7,50,14.2,{40FF4EEA-536F-4082-95FD-EA81B7B765B1},
-81.607719173160817,31.784049580810269,131,Allenhurst,709.18701172,1.10810006, , ,253,226,89.3,27,10.7,0,12.6,161,63.6,36,14.2,181,71.5,36,14.2,{44C63A0A-9B63-46C0-BE45-8F078441E800},
-83.292929885997893,34.172925455784728,132,Ila,493.30999756,0.77079701, , ,195,147,75.4,48,24.6,8.6,7.8,131,67.2,10,5.1,56,28.7,129,66.2,{33A2FEDC-6002-4D43-915C-954B58B532BD},
-83.293951044134715,34.015410785259,133,Hull,204.90899658,0.320171, , ,115,73,63.5,42,36.5,0,37.1,83,72.2,7,6.1,26,22.6,82,71.3,{670BCF78-EDCC-4840-A8E6-FAEE37C9973D},
-83.220142178231825,34.123290395795117,134,Danielsville,955.43200684,1.49285996, , ,368,294,79.9,74,20.1,0,7,280,76.1,76,20.7,125,34,167,45.4,{8E4141A1-3F91-4810-9A16-DE22ADC04711},
-83.126345209105196,34.062505248887611,135,Comer,2088.7800293,3.26372004, , ,560,436,77.9,124,22.1,3.5,17.6,403,72,123,22,180,32.1,257,45.9,{CE162CE8-98AD-41A8-B843-C02BA34715F2},
-83.213852923969498,34.037049941807751,136,Colbert,654.65997314,1.02291, , ,366,300,82,66,18,8.3,8.9,251,68.6,32,8.7,117,32,217,59.3,{14FFFB10-1AA5-43DF-AAF3-8D14D716AD15},
-83.038521414984245,34.042660753204856,137,Carlton,645.96002197,1.00931001, , ,160,126,78.8,34,21.3,0,30.4,147,91.9,20,12.5,16,10,124,77.5,{CF4ACF6F-D7B0-44E8-8573-83DAA1294215},
-83.407309454537014,33.86121799438439,138,Watkinsville,2114.80004883,3.30437994, , ,1101,1016,92.3,85,7.7,5.5,0,958,87,350,31.8,359,32.6,392,35.6,{83BCDB8E-1910-4F0E-AA95-64773343A024},
-83.501545826008623,33.827348217760672,139,North High Shoals,1595.23999023,2.49255991, , ,241,202,83.8,39,16.2,2.6,0,223,92.5,46,19.1,117,48.5,78,32.4,{763B3077-7B06-4BA1-AD57-923078CD4862},
-83.437176296089063,33.817148123837413,140,Bishop,505.40200806,0.78969002, , ,102,82,80.4,20,19.6,8.5,0,85,83.3,27,26.5,17,16.7,58,56.9,{419E0CC2-0502-4473-BF3C-B023C19642F2},
-82.021194590528367,30.86027759194199,141,Homeland,1579.51000977,2.46797991, , ,388,310,79.9,78,20.1,0,15.8,152,39.2,88,22.7,149,38.4,151,38.9,{462CF709-CFA8-428A-8ED6-8B01894FEB33},
-82.007250843294685,30.839254892721545,142,Folkston,2684.97998047,4.19528008, , ,1449,1329,91.7,120,8.3,1.8,10.6,830,57.3,186,12.8,500,34.5,763,52.7,{620B4DD2-2761-4FD1-9794-8D0045F71789},
-83.440530540702483,31.169337460060131,143,Sparks,2648.95996094,4.13898993, , ,933,782,83.8,151,16.2,2.3,3.3,463,49.6,117,12.5,382,40.9,434,46.5,{06DD0330-1DC4-4F8D-8BE6-71E22E65E26C},
-83.467197057584897,31.267261924610054,144,Lenox,1039.22998047,1.62380004, , ,357,290,81.2,67,18.8,0,17.2,190,53.2,19,5.3,177,49.6,161,45.1,{3E72D98C-D53D-4EB0-BEEE-5F3A0D1505B7},
-83.390708196269429,31.046578522553055,145,Cecil,622.86700439,0.97322899, , ,157,116,73.9,41,26.1,0,7.3,87,55.4,19,12.1,82,52.2,56,35.7,{50DF5137-6E20-4256-9D00-AD682E41ACF6},
-83.425030299531798,31.131651734273799,146,Adel,5272.99023438,8.23904037, , ,2272,1872,82.4,400,17.6,1.9,9.7,1657,72.9,446,19.6,516,22.7,1310,57.7,{126F852C-3C0E-4529-B1F5-3C8C2210C643},
-83.196856722726423,31.075660811639722,147,Ray City,570.49102783,0.89139199, , ,603,492,81.6,111,18.4,0,9.8,379,62.9,165,27.4,171,28.4,267,44.3,{BB1F380F-60A9-43F2-BEB7-0A4770341007},
-83.24857448472838,31.205147233283618,148,Nashville,3010.81005859,4.70439005, , ,2190,1854,84.7,336,15.3,2,0,1465,66.9,139,6.3,535,24.4,1516,69.2,{4415CE11-7E31-4D9E-BDCF-9154803EE32E},
-83.329024152991053,31.407612620467621,149,Enigma,2101.30004883,3.28326988, , ,489,376,76.9,113,23.1,0,5.9,162,33.1,55,11.2,262,53.6,172,35.2,{8CAC5128-72BD-4AC5-A8A4-27207966B1D5},
-83.223707115691639,31.383140222501396,150,Alapaha,657.05102539,1.02664006, , ,320,231,72.2,89,27.8,0,0,131,40.9,18,5.6,144,45,158,49.4,{99442F3D-306F-4050-B200-28C79503A04D},
-82.137122308158496,31.385285766687069,151,Patterson,1696.07995605,2.65013003, , ,395,299,75.7,96,24.3,0,6.8,369,93.4,34,8.6,123,31.1,238,60.3,{0C8AE638-FB4A-4C72-B355-B71AFEBA65CF},
-82.11319617826652,31.40883230659189,152,Offerman,2098.77001953,3.27933002, , ,190,166,87.4,24,12.6,0,0,142,74.7,52,27.4,50,26.3,88,46.3,{F8ED459F-3051-4064-8134-C58C476270FD},
-82.243011321746337,31.298911825827791,153,Blackshear,2876.04003906,4.49382019, , ,1687,1338,79.3,349,20.7,0,0,1313,77.8,105,6.2,370,21.9,1212,71.8,{97B95050-708F-48A0-A0BC-49DBC5405D89},
-84.982264762118376,31.090060891355961,154,Jakin,793.72601318,1.24020004, , ,87,63,72.4,24,27.6,0,8,46,52.9,11,12.6,29,33.3,47,54,{FBBC6763-26A0-494B-82D1-E0849EC2D12E},
-84.71698907218412,31.298862585285853,155,Damascus,1132.14001465,1.76897001, , ,132,104,78.8,28,21.2,0,3.6,94,71.2,9,6.8,25,18.9,98,74.2,{9F513466-591F-4061-BEA1-0340DE5C66DA},
-84.094517585735446,32.560789526606904,156,Reynolds,1281.04003906,2.00162005, , ,578,519,89.8,59,10.2,0,0,478,82.7,60,10.4,105,18.2,413,71.5,{FE8B5980-3DB8-46DE-A423-DF3A34B0C288},
-84.237718958843942,32.557035365373267,157,Butler,2089.52001953,3.26487994, , ,950,783,82.4,167,17.6,3.6,1.5,531,55.9,26,2.7,337,35.5,587,61.8,{1392EAEC-513F-4064-ADB4-628EA5B3C450},
-84.124158240808299,34.436920629676159,158,Dawsonville,5251.16015625,8.20493031, , ,1068,911,85.3,157,14.7,3.6,8.6,751,70.3,711,66.6,180,16.9,177,16.6,{5E7536CB-46A3-40E9-A668-DCA7824C2279},
-82.719718273767796,32.726512628549038,159,Wrightsville,2307.27001953,3.60510993, , ,1298,1055,81.3,243,18.7,5.6,6,890,68.6,23,1.8,398,30.7,877,67.6,{183E2B5A-2837-48B3-9D4E-353C3C34D778},
-82.51352305415287,32.692186695680505,160,Kite,519.13299561,0.81114501, , ,140,92,65.7,48,34.3,0,9.3,125,89.3,5,3.6,11,7.9,124,88.6,{4D03C1CE-FF6C-4C94-BF52-E1EBF68E1EF8},
-84.922748347289883,31.382666107792989,161,Blakely,11303.59960938,17.66189957, , ,2180,1904,87.3,276,12.7,2.2,2,1535,70.4,275,12.6,504,23.1,1401,64.3,{05F19493-DE6B-43CB-9DD2-14B38AE13431},
-84.725398648571229,31.437807120762063,162,Arlington,2645.47998047,4.13356018, , ,700,482,68.9,218,31.1,2.1,23,418,59.7,53,7.6,226,32.3,421,60.1,{E40FAFDE-F9F0-4E0C-B554-9284517ACC83},
-83.786454578134368,32.092503695560772,163,Vienna,3513.45996094,5.48978996, , ,1776,1374,77.4,402,22.6,3.2,11.1,936,52.7,141,7.9,724,40.8,911,51.3,{B5DAEFCA-5A38-46AD-853A-FC460E97719F},
-83.735620910335584,32.258273085514915,164,Unadilla,3891.67993164,6.08076, , ,930,716,77,214,23,1.7,2.5,536,57.6,9,1,303,32.6,618,66.5,{9969B458-C457-42E5-AE64-D59C6F4D9735},
-83.759659084318443,32.195573579552352,165,Pinehurst,652.81097412,1.02002001, , ,224,201,89.7,23,10.3,4.7,0,150,67,22,9.8,46,20.5,156,69.6,{B3016D8C-0EE9-4943-8086-97F0B750302C},
-83.877467631544448,32.146540845210183,166,Lilly,385.16799927,0.601825, , ,128,101,78.9,27,21.1,0,0,49,38.3,6,4.7,55,43,67,52.3,{5BD27717-36FA-4D2F-9E25-EAC6FECCD467},
-83.928928427409673,32.22998236591301,167,Dooling,296.08099365,0.46262601, , ,136,117,86,19,14,0,14.3,47,34.6,9,6.6,91,66.9,36,26.5,{4ED13F45-2A53-4F61-AAC3-2FE19BA63B16},
-83.907242733746074,32.201638722050149,168,Byromville,231.59700012,0.36186999, , ,273,219,80.2,54,19.8,5,7.8,177,64.8,23,8.4,66,24.2,184,67.4,{E2F036EE-9B49-40D0-B38A-C0C9695E1EF1},
-82.742581616551661,33.735541383769856,169,Washington,4963.49023438,7.75544977, , ,2187,1845,84.4,342,15.6,0,0,1624,74.3,171,7.8,404,18.5,1612,73.7,{3DE174AC-A00A-4633-9BA9-574D0A16AA80},
-84.255178940936844,31.901107042870063,170,Smithville,1627.76000977,2.54338002, , ,274,212,77.4,62,22.6,8,0,148,54,12,4.4,96,35,166,60.6,{788DEF7A-47AB-4D99-9766-B8E01C52AE3D},
-84.16873151237742,31.732485899136158,171,Leesburg,3192.2199707,4.98784018, , ,989,942,95.2,47,4.8,0,2.8,826,83.5,332,33.6,336,34,321,32.5,{4B0DC419-440C-415D-8A18-2895F91643F5},
-82.741985521397751,33.867370335925983,172,Tignall,1787.18994141,2.79249001, , ,244,203,83.2,41,16.8,0,8.3,130,53.3,12,4.9,77,31.6,155,63.5,{BD7CE9F3-5E32-4A21-A7D6-495724188547},
-82.903145834136581,33.79024859515004,173,Rayle,668.21099854,1.04408002, , ,81,52,64.2,29,35.8,0,37.3,27,33.3,2,2.5,33,40.7,46,56.8,{50CF9B3D-7A49-4DDC-90D4-9589961C39E4},
-84.192587173540943,33.117815815038583,174,Milner,1282.84997559,2.0044601, , ,382,359,94,23,6,0,2.8,244,63.9,132,34.6,120,31.4,130,34,{0605AC65-03E2-4EAA-B65B-C9DD2AE55D07},
-84.152611211434362,33.05105954956106,175,Barnesville,3904.5,6.10077, , ,2615,2138,81.8,477,18.2,0.9,16.2,1829,69.9,260,9.9,507,19.4,1848,70.7,{F40861EE-5A2A-48E5-B532-8457E0BFBF32},
-84.175988674016921,33.050914992717509,176,Aldora,165.79100037,0.25904801, , ,48,43,89.6,5,10.4,,0,47,97.9,0,0,19,39.6,29,60.4,{0C06DC04-5997-46F5-B4BF-9C04206BA0EC},
-85.189220572916227,33.702590788146097,177,Waco,1177.44995117,1.83976996, , ,226,226,100,0,0,0,0,173,76.5,19,8.4,37,16.4,170,75.2,{4FF6EF02-860D-4302-A3DF-A0720ADFD283},
-85.285836343287826,33.733465012965418,178,Tallapoosa,6434.77978516,10.05430031, , ,1595,1203,75.4,392,24.6,10.8,16.6,949,59.5,185,11.6,404,25.3,1006,63.1,{2DB32AAD-062D-4722-AA80-A4EF826A8DCF},
-84.957425184973047,33.980590125957008,179,Braswell,2549.60009766,3.9837501,yes, ,111,105,94.6,6,5.4,0,0,110,99.1,84,75.7,16,14.4,11,9.9,{0A93D548-0593-4DB9-AB7D-DCC9052DCE28},
-83.77200936904886,34.478401013118884,180,Clermont,1855.34997559,2.8989799,yes, ,379,335,88.4,44,11.6,2.7,10.8,287,75.7,117,30.9,90,23.7,172,45.4,{ED822245-1552-4B24-AE27-48F7C0DCD3A6},
-84.285225195751494,33.383344464013682,181,Hampton,3516.64990234,5.49476004,yes,yes,1928,1821,94.5,107,5.5,0,6.5,1641,85.1,1045,54.2,609,31.6,274,14.2,{C088E375-39BE-4315-B1F3-E2B12FFFCBEF},
-85.181398814958669,33.640789202680892,182,Mount Zion,5875.99023438,9.18124008,yes, ,647,577,89.2,70,10.8,6.2,0,519,80.2,200,30.9,212,32.8,235,36.3,{07D03B53-CD4E-4C32-A2A7-B59CD5027227},
-84.462872879561473,33.44784150090986,183,Fayetteville,7014.47021484,10.96010017,yes,yes,6436,6058,94.1,378,5.9,0.9,3.7,4772,74.1,2049,31.8,3447,53.6,940,14.6,{ED094690-E888-47F9-92EF-EEAE38FCFF77},
-84.411419799677887,33.362747275485248,184,Woolsey,537.23199463,0.83942503,yes,yes,83,63,75.9,20,24.1,2.7,,83,100,15,18.1,27,32.5,41,49.4,{91823823-7650-49DD-BCA0-2D82232ADD1C},
-83.735353318185062,33.517825077122879,185,Mansfield,671.8460083,1.04975998,yes, ,141,130,92.2,11,7.8,0,5.9,134,95,15,10.6,41,29.1,85,60.3,{ACBC01D3-A195-4233-87A3-102CBA4ED280},
-85.180279374858941,33.803106667950892,186,Buchanan,1082.38000488,1.69121003, , ,409,356,87,53,13,7.1,4.2,270,66,22,5.4,89,21.8,298,72.9,{721AC23F-7B42-46CB-87C2-77BEE677598E},
-82.703137081920829,33.219887893722621,187,Mitchell,949.56799316,1.48370004, , ,99,66,66.7,33,33.3,7,0,88,88.9,8,8.1,11,11.1,80,80.8,{D8C3868D-66AA-4EDA-9C84-DD5116697807},
-82.595864064829186,33.23334181456881,188,Gibson,665.35498047,1.03962004, , ,307,243,79.2,64,20.8,2.1,6.5,192,62.5,7,2.3,65,21.2,235,76.5,{18099D32-9B79-48B7-A4CB-4E489425E092},
-82.638686513400287,31.519156978760947,189,Nicholls,1185.88000488,1.85293996, , ,434,345,79.5,89,20.5,0,2.5,251,57.8,29,6.7,154,35.5,251,57.8,{272BEAC5-39D9-4B5B-A328-7F9A758FFFFB},
-82.854321423723633,31.507330203451076,190,Douglas,8935.88964844,13.9623003, , ,4989,4221,84.6,768,15.4,5.7,5.5,3219,64.5,752,15.1,1383,27.7,2854,57.2,{D27C82EA-6EFD-4DB2-9CCB-E1163AEB55FA},
-82.887714670713549,31.624799544126741,191,Broxton,2149.81005859,3.35908008, , ,555,440,79.3,115,20.7,0,3.7,338,60.9,71,12.8,165,29.7,319,57.5,{D711DA6E-C919-465D-B1DE-B3D41C06BB82},
-83.013718908425304,31.594447996491969,192,Ambrose,2006.40002441,3.13499999, , ,187,157,84,30,16,0,0,80,42.8,16,8.6,99,52.9,72,38.5,{979E9E85-B6BE-4B48-9D7D-CB1D5967DF52},
-83.343327100485979,32.686303571156586,193,Jeffersonville,2347.19995117,3.66750002, , ,527,350,66.4,177,33.6,4.9,4.8,324,61.5,28,5.3,146,27.7,353,67,{63C89877-1208-4321-9B89-8B3016ABAAA5},
-83.246061236578768,32.606019521072078,194,Danville,504.94299316,0.78897399, , ,128,92,71.9,36,28.1,0,0,72,56.3,35,27.3,19,14.8,74,57.8,{2E7794F5-5980-4866-A72F-8E6CEBA7B669},
-82.099470477394306,33.290730720146001,195,Hephzibah,12410.79980469,19.39189911, , ,1481,1273,86,208,14,5.6,0,969,65.4,343,23.2,646,43.6,492,33.2,{BEBDAA83-4C90-41D2-B528-367C2463A284},
-85.310768069088425,34.547950852173884,196,Trion,2462,3.84687996, , ,899,736,81.9,163,18.1,3.7,8.8,710,79,48,5.3,102,11.3,749,83.3,{30D6B04E-B992-4402-A349-3F28F063F475},
-85.349076013501971,34.478757427070846,197,Summerville,2568.88989258,4.01388979, , ,2316,1894,81.8,422,18.2,0,20.9,1370,59.2,127,5.5,707,30.5,1482,64,{92F8F5D7-6CF8-4BE3-BB50-4261C226572E},
-85.477615831921966,34.48349752598142,198,Menlo,501.21899414,0.78315401, , ,265,216,81.5,49,18.5,0,7.8,190,71.7,14,5.3,38,14.3,213,80.4,{1241CB1F-9D49-4B30-8DF2-9398D9FEEB3D},
-85.404096720908186,34.403438604131772,199,Lyerly,480.91799927,0.75143403, , ,214,185,86.4,29,13.6,7.7,11.7,149,69.6,16,7.5,54,25.2,144,67.3,{86DCF182-4370-48CF-AB3A-B064EACCE1C3},
-83.720230302376265,34.704404264635343,200,Helen,1391.58996582,2.17436004, , ,769,147,19.1,622,80.9,48.2,58.8,399,51.9,74,9.6,570,74.1,125,16.3,{00151607-3779-45C2-BBC4-0AB226D5B6F2},
-83.761670786339579,34.597494588204874,201,Cleveland,2469.31005859,3.85828996, , ,1729,1410,81.6,319,18.4,11.3,7.1,834,48.2,365,21.1,1059,61.2,305,17.6,{8E8A951B-CD2D-43DF-A820-1F47D73D888A},
-84.731878980630029,31.17413725034416,202,Colquitt,5293.18994141,8.27060032, , ,929,796,85.7,133,14.3,6.4,6.3,640,68.9,121,13,172,18.5,636,68.5,{BF2CB39B-8F7E-4342-81E0-473481D1BFFC},
-84.582123496323248,32.984757494191427,203,Woodbury,1319.34997559,2.06148005, , ,477,349,73.2,128,26.8,4.5,0,322,67.5,22,4.6,72,15.1,383,80.3,{5F5EE4A1-520F-4DAD-96B3-F27EC735EC87},
-84.67661195912379,32.885224344138905,204,Warm Springs,884.76300049,1.38243997, , ,319,241,75.5,78,24.5,0,10.8,196,61.4,65,20.4,88,27.6,166,52,{2FBFEACB-D7AC-44AB-936E-9E3E0AF1184F},
-84.744269591486912,33.209589543180563,205,Luthersville,2039.0300293,3.18598008, , ,415,371,89.4,44,10.6,0,6.4,306,73.7,66,15.9,137,33,212,51.1,{02AED052-8A0D-4A50-B9BF-0F081CADD863},
-84.817335383689283,33.172358541984039,206,Lone Oak,399.84899902,0.62476301, , ,58,41,70.7,17,29.3,30,0,49,84.5,17,29.3,9,15.5,32,55.2,{0EF1D7C9-7CDF-443A-B418-654797E4F03B},
-84.716227964607342,33.03224109574451,207,Greenville,1508.89001465,2.35765004, , ,425,334,78.6,91,21.4,4.2,10,303,71.3,91,21.4,123,28.9,211,49.6,{37E78915-FF6D-40B3-BF31-93AF414F2C91},
-84.575475752433945,33.093664269269034,208,Gay,552.29998779,0.86296803, , ,43,42,97.7,1,2.3,0,0,43,100,4,9.3,4,9.3,35,81.4,{1C1FC8CC-3DB3-496E-95BB-E5B25301EC68},
-84.853070959412364,32.852385396001672,209,Pine Mountain,1912.95996094,2.98900008, , ,789,583,73.9,206,26.1,9.2,6.8,622,78.8,235,29.8,283,35.9,271,34.3,{AAD96F89-2FE6-4A4B-89D9-7A3E4E9B19AF},
-84.021381370923777,31.262563418791164,210,Sale City,1174.54003906,1.83521998, , ,171,157,91.8,14,8.2,0,4.9,91,53.2,26,15.2,64,37.4,81,47.4,{2A0C1565-185E-44B6-96ED-EF70D06FFDDE},
-84.151462731227411,31.126644628430473,211,Pelham,2609.07006836,4.07667017, , ,1754,1639,93.4,115,6.6,0,0,1155,65.8,156,8.9,279,15.9,1319,75.2,{2B28C102-506A-4E4D-85C2-A675A6B56FF8},
-84.092203278409642,31.071383471107715,212,Meigs,1023.90997314,1.59985995, , ,420,374,89,46,11,3.5,0,221,52.6,46,11,96,22.9,278,66.2,{F56794CB-2CF0-4F53-87BD-457F68D7516E},
-84.207139983367426,31.235880495545338,213,Camilla,3979.4699707,6.21792984, , ,2197,1971,89.7,226,10.3,5.9,4.7,1588,72.3,72,3.3,714,32.5,1411,64.2,{01EF08E9-E51C-4098-BD20-DE6CA908793F},
-84.159188651043721,31.380385279386434,214,Baconton,1248.83996582,1.95131004, , ,326,270,82.8,56,17.2,3.8,4.1,197,60.4,79,24.2,88,27,159,48.8,{D8CE7EBA-29E4-4474-97DC-A5137F2C2064},
-83.106351567728936,33.671442663025495,215,Woodville,3136.85009766,4.90131998, , ,180,142,78.9,38,21.1,3.9,0,147,81.7,17,9.4,48,26.7,115,63.9,{7E594892-FE7C-4027-9D71-5D1745AF7B66},
-83.036516914322647,33.481550018917304,216,White Plains,3019.45996094,4.71790981, , ,142,81,57,61,43,0,12.5,89,62.7,10,7,41,28.9,91,64.1,{E80D6A56-F278-4FC3-9D2F-6B17D4B998A6},
-83.075741585814285,33.617897418204748,217,Union Point,1224.75,1.91366994, , ,789,593,75.2,196,24.8,2.3,18.1,580,73.5,41,5.2,171,21.7,577,73.1,{07720256-2994-4B26-8453-EEC9A7ACA9DF},
-83.081228528597549,33.536595062538126,218,Siloam,794.37200928,1.24120998, , ,147,122,83,25,17,0,6.7,103,70.1,17,11.6,46,31.3,84,57.1,{04565C64-5DA5-43F1-9866-E5DDCD6243D8},
-83.187750709028293,33.567802225499229,219,Greensboro,4348.99023438,6.79530001, , ,1378,1230,89.3,148,10.7,0,6,1024,74.3,102,7.4,426,30.9,850,61.7,{72B51CFA-9B96-44AF-BD7D-A363427FDB69},
-84.616309311728699,31.757061077536036,220,Shellman,2065.5300293,3.22738004, , ,481,415,86.3,66,13.7,0,0,336,69.9,56,11.6,151,31.4,274,57,{0F3F609B-BFFE-487A-A32E-554FDEF7156B},
-84.794037310209177,31.771348277055974,221,Cuthbert,1957.72998047,3.05894995, , ,1740,1390,79.9,350,20.1,0,0,1269,72.9,88,5.1,661,38,991,57,{116DF415-8904-4D96-96C1-9AAC0883F438},
-84.394532110349985,32.03307612975572,222,Plains,521.02001953,0.81409401, , ,216,208,96.3,8,3.7,3.4,0,154,71.3,16,7.4,66,30.6,134,62,{CCB3860F-82D2-4F69-925D-E164B6FD3A22},
-84.086413144390704,31.954515253575849,223,Leslie,1134.75,1.77304006, , ,197,161,81.7,36,18.3,0,0,136,69,10,5.1,72,36.5,115,58.4,{9A963480-F06F-4980-BA4B-701D12401320},
-84.063643193022074,31.954795972564266,224,De Soto,521.84301758,0.81537902, , ,116,91,78.4,25,21.6,0,0,77,66.4,28,24.1,46,39.7,42,36.2,{935C9B2A-3054-4D60-BC6A-90170D46BE0B},
-84.145479407311512,32.19654505015076,225,Andersonville,889.97900391,1.39058995, , ,127,73,57.5,54,42.5,0,0,60,47.2,12,9.4,44,34.6,71,55.9,{A4E95635-8E66-48AD-B1F7-D00353DBD579},
-84.224757600806981,32.073540334216432,226,Americus,7332.97021484,11.45779991, , ,7299,6287,86.1,1012,13.9,4.7,7.1,4295,58.8,509,7,2297,31.5,4493,61.6,{EDF46EFD-5F83-4A92-8326-D94501679FC1},
-83.481863094725512,32.295808147708861,227,Hawkinsville,3264.7199707,5.10113001, , ,2118,1731,81.7,387,18.3,0,9.6,1647,77.8,226,10.7,486,22.9,1406,66.4,{BE30B3CB-072B-461D-A9F4-3D35F67AD356},
-83.109635812196075,34.285957276122033,228,Royston,2177.08007813,3.40169001, , ,1224,1071,87.5,153,12.5,0,4,659,53.8,144,11.8,307,25.1,773,63.2,{E3C62BDE-E904-46C2-8355-67E8733EBBC5},
-83.198258648089549,34.485583717478328,229,Martin,1620.54003906,2.53209996, , ,177,133,75.1,44,24.9,0,6.8,109,61.6,32,18.1,42,23.7,103,58.2,{6E4829FA-C380-4D1A-B9F3-89BF9E091CEC},
-83.108135125053806,34.4344131508769,230,Lavonia,2937.54003906,4.58990002, , ,1046,827,79.1,219,20.9,0,12.4,538,51.4,134,12.8,284,27.2,628,60,{8CE59859-AFA4-43AA-8764-71E6D032CEC7},
-83.145903126700617,34.284030448210217,231,Franklin Springs,1405.81994629,2.19658995, , ,272,238,87.5,34,12.5,0,0,228,83.8,12,4.4,47,17.3,213,78.3,{12AEFB57-3BD4-4EBA-9D24-0C759D8E6A44},
-83.232873708427036,34.371589403734447,232,Carnesville,1692.18994141,2.64404011, , ,265,207,78.1,58,21.9,0,12.3,172,64.9,25,9.4,78,29.4,162,61.1,{B9D774CD-D5D5-45D5-953C-79781D863E31},
-83.110740883065915,34.345537156950655,233,Canon,2001.64001465,3.1275599, , ,362,277,76.5,85,23.5,4,7.7,159,43.9,32,8.8,150,41.4,180,49.7,{53AE4527-92CE-49F6-BD42-78AAB48F18F4},
-83.560321541865619,30.784867776342661,234,Quitman,2654.35009766,4.14742994, , ,2022,1552,76.8,470,23.2,2.3,2.7,1504,74.4,200,9.9,335,16.6,1487,73.5,{851CD479-6540-4035-A7B0-C3D3F04355FD},
