X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon
-84.379011,33.923721,9001,906326,906326,ROSWELL RD NE@MT VERNON HWY NE,33.923721,-84.379011
-84.37278,33.781361,9002,906327,906327,CHARLES ALLEN DR @ 10TH ST,33.781361,-84.37278
-84.184715,33.818904,9003,906329,906329,E PONCE DE LEON AVE@ROCK MOUNTAIN B,33.818904,-84.184715
-84.379009,33.925374,9004,906330,906330,ROSWELL RD NE@JOHNSON FERRY RD NE,33.925374,-84.379009
-84.37906,33.92717,9005,906331,906331,ROSWELL RD NE@SANDY SPRINGS CIR NE,33.92717,-84.37906
-84.37919,33.929308,9006,906332,906332,ROSWELL RD NE@VERNON WOODS DR NE,33.929308,-84.37919
-84.370666,33.923119,9007,906333,906333,JOHNSON FERRY RD@KAYRON DR,33.923119,-84.370666
-84.379042,33.920108,9008,906334,906334,ROSWELL RD NE @ SANDY SPRINGS PL,33.920108,-84.379042
-84.378537,33.905167,9009,906335,906335,ROSWELL RD NE @ 5491,33.905167,-84.378537
-84.327896,34.057182,9010,906337,906337,ALPHARETTA HWY@11450,34.057182,-84.327896
-84.329323,34.055408,9011,906338,906338,ALPHARETTA HWY@11442,34.055408,-84.329323
-84.331345,34.053848,9012,906339,906339,ALPHARETTA HWY@MANSELL PL,34.053848,-84.331345
-84.304719,34.066297,9013,906341,906341,MAIN ST@BRADY PL,34.066297,-84.304719
-84.301102,34.067867,9014,906342,906342,MAIN ST@MAXWELL RD,34.067867,-84.301102
-84.519256,33.749987,9015,906344,906344,TARRAGON WAY@ESTER DR,33.749987,-84.519256
-84.336954,33.825585,9016,906346,906346,EXECUTIVE PARK DR @ SHERIDAN RD,33.825585,-84.336954
-84.336834,33.8258,9017,906347,906347,EXECUTIVE PARK DR NE @ SHERIDAN RD NE,33.8258,-84.336834
-84.351328,33.988584,9018,906352,906352,ROSWELL RD@HIGHTOWER TRL,33.988584,-84.351328
-84.365335,33.959077,9019,906353,906353,ROSWELL RD @ TROWBRIDGE RD,33.959077,-84.365335
-84.363388,33.965988,9020,906354,906354,ROSWELL RD@7730,33.965988,-84.363388
-84.361366,33.968826,9021,906355,906355,ROSWELL RD@MORGAN FALLS RD,33.968826,-84.361366
-84.35406,33.97491,9022,906356,906356,ROSWELL RD@ISON RD,33.97491,-84.35406
-84.351561,33.977017,9023,906357,906357,ROSWELL RD @ NORTHRIDGE CROSSING DR,33.977017,-84.351561
-84.350815,33.978828,9024,906358,906358,ROSWELL RD@8215,33.978828,-84.350815
-84.350197,33.981735,9025,906359,906359,ROSWELL RD@NORTHRIDGE RD,33.981735,-84.350197
-84.379717,33.934417,9026,906360,906360,ROSWELL RD NE @ 6509,33.934417,-84.379717
-84.379279,33.916179,9027,906361,906361,ROSWELL RD NE @ CLIFTWOOD DR NE,33.916179,-84.379279
-84.377367,33.924369,9028,906362,906362,MT VERNON HWY@BOYLSTON DR,33.924369,-84.377367
-84.370644,33.923038,9029,906363,906363,JOHNSON FERRY RD@KAYRON DR,33.923038,-84.370644
-84.26085,33.785291,9030,906368,906368,CEDAR ST @ 3RD AVE,33.785291,-84.26085
-84.387414,33.789669,9031,906369,906369,ARTS CENTER STATION,33.789669,-84.387414
-84.387272,33.788828,9032,906370,906370,ARTS CENTER STATION,33.788828,-84.387272
-84.326084,33.892253,9033,906371,906371,JOHNSON FERRY RD @ DONALDSON DR,33.892253,-84.326084
-84.201054,33.786326,9034,906373,906373,ROCKBRIDGE RD @ THOMAS JEFFERSON DR,33.786326,-84.201054
-84.233675,33.76431,9035,906374,906374,HOLCOMBE RD@TRAVIS TRACE,33.76431,-84.233675
-84.643138,33.535597,9036,906386,906386,ROOSEVELT HWY@WILKERSON MILL RD,33.535597,-84.643138
-84.663621,33.526647,9037,906387,906387,MAIN ST@GRIFFITH DR,33.526647,-84.663621
-84.665416,33.523399,9038,906388,906388,MAIN ST@SIMS ST,33.523399,-84.665416
-84.660799,33.528321,9039,906389,906389,ROOSEVELT HWY @ PHIPPS RD,33.528321,-84.660799
-84.66598,33.523095,9040,906390,906390,MAIN ST@ HARRIS AVE,33.523095,-84.66598
-84.66711,33.521283,9041,906391,906391,MAIN ST@JACKSON AVE,33.521283,-84.66711
-84.669803,33.517397,9042,906392,906392,MAIN ST @ TOOMBS ST,33.517397,-84.669803
-84.64173,33.53603,9043,906393,906393,ROOSEVELT HWY @ TATUM RD,33.53603,-84.64173
-84.626017,33.537684,9044,906394,906394,ROOSEVELT HWY@GULLATT RD,33.537684,-84.626017
-84.658906,33.528898,9045,906395,906395,ROOSEVELT HWY@WALNUT WAY,33.528898,-84.658906
-84.664682,33.524559,9046,906396,906396,MAIN ST@PARK ST,33.524559,-84.664682
-84.663474,33.526527,9047,906397,906397,MAIN ST@GRIFFITH DR,33.526527,-84.663474
-84.625431,33.538074,9048,906398,906398,ROOSEVELT HWY@GULLATT RD,33.538074,-84.625431
-84.197426,33.754574,9049,906402,906402,S HAIRSTON RD @ 1365,33.754574,-84.197426
-84.373902,33.696888,9050,906403,906403,HARPER RD @ BROWNS MILL RD,33.696888,-84.373902
-84.213623,33.843742,9051,906407,906407,IDLEWOOD RD @ 2052,33.843742,-84.213623
-84.446198,33.640553,9052,906647,906647,AIRPORT STATION,33.640553,-84.446198
-84.265895,34.060519,9053,906734,906734,NORTH POINT PKY @ 4501,34.060519,-84.265895
-84.269956,34.090757,9054,906745,906745,DEERFIELD PKWY @ MORRIS RD,34.090757,-84.269956
-84.256477,34.08848,9055,906797,906797,NORTH POINT PKY@WINDWARD PKY,34.08848,-84.256477
-84.358235,33.845388,9056,906827,906827,LENOX STATION,33.845388,-84.358235
-84.446197,33.640294,9057,906837,906837,AIRPORT STATION,33.640294,-84.446197
-84.460114,33.709611,9058,906878,906878,DELOWE DR@1700,33.709611,-84.460114
-84.407717,33.831977,9059,907247,907247,NORTHSIDE DR @ KINGSWOOD LN,33.831977,-84.407717
-84.173988,33.80719,9060,907455,907455,W MOUNTAIN ST @ FOREST AVE,33.80719,-84.173988
-84.18035,33.806713,9061,907457,907457,W MOUNTAIN ST @ 5105,33.806713,-84.18035
-84.38717,33.77191,9062,907473,907473,NORTH AVE STATION,33.77191,-84.38717
-84.376199,33.736721,9063,907666,907666,GEORGIA AVE SE @ GRANT ST SE,33.736721,-84.376199
-84.402089,33.736918,9064,907683,907683,RALPH DAVID ABERNATH BLVD@MCDANIEL,33.736918,-84.402089
-84.365421,33.68281,9065,907703,907703,JONESBORO RD @ 2640,33.68281,-84.365421
-84.443634,33.675514,9066,907709,907709,WASHINGTON AVE @ EAST POINT ST,33.675514,-84.443634
-84.357275,33.94495,9067,907766,907766,NORTH SPRINGS STATION,33.94495,-84.357275
-84.369313,33.823501,9068,907775,907775,LINDBERGH CENTER STATION,33.823501,-84.369313
-84.369324,33.823447,9069,907823,907823,LINDBERGH CENTER STATION,33.823447,-84.369324
-84.387595,33.758082,9070,907842,907842,PEACHTREE CENTER STATION,33.758082,-84.387595
-84.395741,33.748696,9071,907843,907843,GARNETT STATION,33.748696,-84.395741
-84.448612,33.650282,9072,907844,907844,COLLEGE PARK STATION,33.650282,-84.448612
-84.351069,33.931671,9073,907845,907845,SANDY SPRINGS STATION,33.931671,-84.351069
-84.35096,33.931564,9074,907846,907846,SANDY SPRINGS STATION,33.931564,-84.35096
-84.445568,33.753247,9075,907906,907906,WEST LAKE STATION,33.753247,-84.445568
-84.469824,33.754517,9076,907907,907907,HAMILTON E HOLMES STATION,33.754517,-84.469824
-84.387258,33.771472,9077,907913,907913,NORTH AVENUE STATION,33.771472,-84.387258
-84.387204,33.771741,9078,907914,907914,NORTH AVENUE STATION,33.771741,-84.387204
-84.469302,33.754553,9079,907933,907933,HAMILTON E HOLMES STATION,33.754553,-84.469302
-84.428873,33.772159,9080,907960,907960,BANKHEAD STATION,33.772159,-84.428873
-84.428906,33.772436,9081,907961,907961,BANKHEAD STATION,33.772436,-84.428906
-84.445329,33.753328,9082,908023,908023,WEST LAKE STATION,33.753328,-84.445329
-84.344268,33.92113,9083,908047,908047,DUNWOODY STATION,33.92113,-84.344268
-84.344213,33.920862,9084,908051,908051,DUNWOODY STATION,33.920862,-84.344213
-84.369357,33.823385,9085,908054,908054,LINDBERGH CENTER STATION,33.823385,-84.369357
-84.369324,33.823492,9086,908055,908055,LINDBERGH CENTER STATION,33.823492,-84.369324
-84.339245,33.860329,9087,908186,908186,BROOKHAVEN-OGLETHORPE STATION,33.860329,-84.339245
-84.339397,33.859989,9088,908187,908187,BROOKHAVEN-OGLETHORPE STATION,33.859989,-84.339397
-84.42503,33.7173,9089,908301,908301,OAKLAND CITY STATION,33.7173,-84.42503
-84.425138,33.716978,9090,908302,908302,OAKLAND CITY STATION,33.716978,-84.425138
-84.386342,33.781247,9091,908374,908374,MIDTOWN  STATION,33.781247,-84.386342
-84.386353,33.781355,9092,908375,908375,MIDTOWN STATION,33.781355,-84.386353
-84.397215,33.756179,9093,908435,908435,DOME-GWCC-PHILIPS ARENA-CNN STATION,33.756179,-84.397215
-84.375675,33.749951,9094,908436,908436,KING MEMORIAL STATION,33.749951,-84.375675
-84.352762,33.757451,9095,908437,908437,INMAN PARK-REYNOLDSTOWN STATION,33.757451,-84.352762
-84.281487,33.775554,9096,908438,908438,AVONDALE STATION,33.775554,-84.281487
-84.295417,33.774699,9097,908475,908475,DECATUR STATION,33.774699,-84.295417
-84.340825,33.761803,9098,908476,908476,EDGEWOOD-CANDLER PARK STATION,33.761803,-84.340825
-84.357253,33.944377,9099,908480,908480,NORTH SPRINGS STATION,33.944377,-84.357253
-84.228906,33.769856,9100,908515,908515,INDIAN CREEK STATION,33.769856,-84.228906
-84.229874,33.769893,9101,908516,908516,INDIAN CREEK STATION,33.769893,-84.229874
-84.312937,33.765241,9102,908566,908566,EAST LAKE STATION,33.765241,-84.312937
-84.313426,33.765196,9103,908567,908567,EAST LAKE STATION,33.765196,-84.313426
-84.448656,33.650577,9104,908599,908599,COLLEGE PARK STATION,33.650577,-84.448656
-84.395545,33.748938,9105,908600,908600,GARNETT STATION,33.748938,-84.395545
-84.387596,33.758189,9106,908601,908601,PEACHTREE CENTER STATION,33.758189,-84.387596
-84.305556,33.887929,9107,908603,908603,CHAMBLEE STATION,33.887929,-84.305556
-84.306362,33.887517,9108,908604,908604,CHAMBLEE STATION,33.887517,-84.306362
