OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_6__Annual_Transit_Trips,GlobalID,last_edited_date,Pop_Chng_per_SqMi_2000_2010,Tp6_HousTranspCosts_Pct_Income,Tp6_HousingCosts_Pct_Income,Tp6_TransportCosts_Pct_Income,Tp6_AnnualVehMilesTraveled
1,13045910103,9101.03,ARC 20,57188,21.57,{51EEE78B-9200-457E-B387-B321F925DA1C},2015-06-02T12:58:45.000Z,100.3,98.93,51.27,47.66,23041
2,13045910104,9101.04,ARC 20,54987,63.76,{A5939CF0-0572-4C87-A15D-D52BF2FAAAC6},2015-06-02T12:58:45.000Z,201.1,98.62,50.85,47.77,23196
3,13045910502,9105.02,ARC 20,18975,153.92,{85F0A473-CEC2-4BB6-A767-17B05CB62FF1},2015-06-02T12:58:45.000Z,-368.8,87.3,50.54,36.76,18397
4,13045910800,9108,ARC 20,50194,28.84,{04E0C61A-C337-4BA4-BAF4-5EA693B5B96F},2015-06-02T12:58:45.000Z,1.1,98.79,49.85,48.94,23393
5,13045910101,9101.01,ARC 20,46840,50.05,{0FBFB524-1447-48C3-AF4A-02C14A75B178},2015-06-02T12:58:45.000Z,397.3,93.67,50.24,43.43,20759
6,13045910200,9102,ARC 20,46942,50.88,{6E203E39-66F6-4577-AA11-4F96B06B7DC7},2015-06-02T12:58:45.000Z,93.9,98.43,49.85,48.58,23686
7,13045910900,9109,ARC 20,56964,31.42,{FAF4D499-9600-43EA-A63D-8E006F632E68},2015-06-02T12:58:45.000Z,7.8,97.28,48.53,48.75,23326
8,13045910300,9103,ARC 20,42287,11.19,{145DD928-603C-4593-90EA-FCAA4F9E3998},2015-06-02T12:58:45.000Z,17.1,95.91,47.68,48.23,22990
9,13045911100,9111,ARC 20,42438,45.74,{C898DBF0-48B8-4CD8-9D3B-4788AA0B148F},2015-06-02T12:58:45.000Z,24.2,92.83,50.42,42.41,19443
10,13045911000,9110,ARC 20,45026,42.58,{D0780D6F-7DC3-4910-B65D-F197E6022962},2015-06-02T12:58:45.000Z,27.2,94.64,49.8,44.85,21204
11,13045910701,9107.01,ARC 20,44002,56.62,{9ED5404B-67A4-44EE-8BA4-A42E5C750B02},2015-06-02T12:58:45.000Z,116.1,97.25,52.03,45.23,21057
12,13045910703,9107.03,ARC 20,43517,65.55,{D564CC1D-3391-4B4D-902D-6B9DADBEE0C0},2015-06-02T12:58:45.000Z,68.9,94.39,49.36,45.03,21745
13,13045910600,9106,ARC 20,48420,38.25,{E6D58F3E-5F78-479B-809A-5A9F3D2BFC87},2015-06-02T12:58:45.000Z,70.5,99.66,53.73,45.92,21725
14,13045910501,9105.01,ARC 20,30625,88.53,{5F254A97-DE07-4E7D-A25D-18CF63EEC0A2},2015-06-02T12:58:45.000Z,153.2,88.44,47.93,40.5,20265
15,13045910702,9107.02,ARC 20,62459,65.15,{A4B8A464-5146-404D-9472-0E6E1C64F80D},2015-06-02T12:58:45.000Z,104.1,101.45,51.43,50.02,24264
16,13045911200,9112,ARC 20,38525,28.68,{68220E38-BC7A-4A84-B9CD-7551B066619B},2015-06-02T12:58:45.000Z,2.8,95.46,47.38,48.09,22489
17,13045910400,9104,ARC 20,37646,33.18,{1A920FF1-4EAC-4314-B0F7-A408C2A9CEE6},2015-06-02T12:58:45.000Z,-8.5,96.05,48.29,47.76,22597
18,13113140207,1402.07,ARC 10,105288,137.95,{172E2B37-3751-449E-95E0-E02AEA07B62E},2015-06-02T12:58:45.000Z,49,120.77,75.22,45.55,21311
19,13113140208,1402.08,ARC 10,74214,81.66,{B5436720-0D4D-437A-A5D1-1ECCD3816DCB},2015-06-02T12:58:45.000Z,435.5,101.69,57.29,44.4,20795
20,13113140303,1403.03,ARC 10,78010,74.05,{722A7C79-003C-45F3-B05A-0118A5FE0667},2015-06-02T12:58:45.000Z,-88.6,105.7,59.77,45.93,21541
21,13113140304,1403.04,ARC 10,70740,95.25,{E04BF1D0-66DE-48AC-BA52-DF1070F71E6E},2015-06-02T12:58:45.000Z,-109.8,108.97,62.29,46.68,22107
22,13113140307,1403.07,ARC 10,145086,100.48,{8925A087-A70C-42FC-BE86-38616E3C7FD3},2015-06-02T12:58:45.000Z,123.4,133.42,81.66,51.76,24468
23,13113140408,1404.08,ARC 10,72200,76.66,{F161E07D-51FC-4A16-976C-AD277724BCE3},2015-06-02T12:58:45.000Z,-26.1,106.89,56.55,50.34,23857
24,13113140407,1404.07,ARC 10,63433,98.2,{6A4A8673-8B03-4DF9-8BB0-AFCBA8601252},2015-06-02T12:58:45.000Z,195.1,97.45,52.38,45.07,21265
25,13113140405,1404.05,ARC 10,85278,80.68,{04FD84C6-137C-44A6-AB20-855FC6EF632D},2015-06-02T12:58:45.000Z,14.3,106.66,56.36,50.31,23779
26,13113140404,1404.04,ARC 10,77888,111.29,{2F082AD5-6496-4BC8-AD4A-0872C39C839E},2015-06-02T12:58:45.000Z,179.3,102.55,56.33,46.22,21610
27,13113140206,1402.06,ARC 10,105966,86.03,{AB23BFE1-5394-49F3-89C9-599313AA659B},2015-06-02T12:58:45.000Z,161.4,130.2,82.86,47.34,21936
28,13113140203,1402.03,ARC 10,83935,55.51,{D10E53A6-F543-4221-B036-E03C3791F194},2015-06-02T12:58:45.000Z,216.4,108.31,59.05,49.26,22864
29,13113140204,1402.04,ARC 10,76681,72.64,{5432B8CB-0EEE-431B-9656-5F6EE0098995},2015-06-02T12:58:45.000Z,42.5,110.67,61.65,49.02,22863
30,13113140305,1403.05,ARC 10,97955,78.54,{534C0EC6-9A5B-4EDE-90BA-BB5D145A5B09},2015-06-02T12:58:45.000Z,247.1,119.34,70.45,48.89,22594
