OBJECTID,Name,Acres,Sq_Miles,County20,County10,GlobalID,last_edited_date
564,Rochelle,1220.30938114,1.90673341,no,no,{000ED470-691A-4923-9932-437291BD1281},2017-09-26T15:14:36.000Z
565,Pitts,512.66478722,0.80103873,no,no,{EE9D9A35-253B-4222-9102-D97E0ADBF8F4},2017-09-26T15:14:36.000Z
566,Pineview,1250.72329245,1.95425514,no,no,{32EF044F-379F-4ABF-A2A9-F04F4F20F28D},2017-09-26T15:14:36.000Z
567,Abbeville,1979.08237464,3.09231621,no,no,{29176065-140D-428A-8513-6756FDE16F2B},2017-09-26T15:14:36.000Z
568,Waycross,7645.67214935,11.94636273,no,no,{0844CC09-5894-404D-AB46-0CB5B86EFE03},2017-09-26T15:14:36.000Z
569,Eton,771.23424658,1.20505351,no,no,{09F05A5D-B30F-4C49-A0D5-81A95BD88D0B},2017-09-26T15:14:36.000Z
570,Chatsworth,3407.66634574,5.32447867,no,no,{F9EBCAC0-9449-4810-8E57-CCD68B09CB7E},2017-09-26T15:14:36.000Z
571,Oak Park,4626.81264869,7.22939476,no,no,{328614CD-1AC0-4FD4-9FF0-D5A5122547B7},2017-09-26T15:14:37.000Z
572,Nunez,858.40025611,1.3412504,no,no,{E22511B6-142D-4D75-A7C9-05FDDED15B69},2017-09-26T15:14:37.000Z
573,Garfield,509.23491511,0.79567955,no,no,{22C24314-70A1-4F48-A513-31F14812C1AA},2017-09-26T15:14:37.000Z
574,Adrian,908.57762222,1.41965253,no,no,{59018B90-B467-4CEB-98E0-51EC3102E42D},2017-09-26T15:14:37.000Z
575,Harlem,2904.95500945,4.5389922,no,no,{4C3F91EF-BB54-4EC7-9C51-4B6AD59C65D2},2017-09-26T15:14:37.000Z
576,Grovetown,3095.33368434,4.83645888,no,no,{F4C73F43-A7B6-4790-901F-83715224FB6F},2017-09-26T15:14:37.000Z
577,Milledgeville,13158.96952846,20.56088989,no,no,{84464063-66D9-4327-A5AA-43F69FD21C61},2017-09-26T15:14:37.000Z
578,Rossville,1157.33199236,1.80833124,no,no,{84D52BD3-8ECB-4B02-B59D-4C3C4EE5CB19},2017-09-26T15:14:37.000Z
579,Lookout Mountain,1701.84865483,2.65913852,no,no,{A8D0CD03-6BFB-437E-9BFD-AF590FEC9ECD},2017-09-26T15:14:37.000Z
580,LaFayette,5229.19936718,8.17062401,no,no,{700EB1E2-DE97-45A7-B80C-6FEDFDD35991},2017-09-26T15:14:37.000Z
581,Chickamauga,1651.4200284,2.58034379,no,no,{5AB74CB9-65D7-4DED-B588-34F15569C0FB},2017-09-26T15:14:37.000Z
582,Fort Oglethorpe,8891.30246252,13.8926601,no,no,{2EE04441-95FD-4557-846D-0383AB2E7287},2017-09-26T15:14:37.000Z
583,Twin City,2314.06786702,3.61573104,no,no,{2ACBE57A-489A-4236-AB10-EC5D7BAE506A},2017-09-26T15:14:37.000Z
584,Swainsboro,8288.48605146,12.95075946,no,no,{7B49DD0E-2C60-4BE9-9F57-4EED52E814B0},2017-09-26T15:14:37.000Z
585,Summertown,506.35101611,0.79117346,no,no,{80DBED15-231A-4EED-8DBA-7050491E458D},2017-09-26T15:14:37.000Z
586,Stillmore,2049.15031121,3.20179736,no,no,{EB169E93-7359-4984-BF2A-7A6E8828ABCA},2017-09-26T15:14:37.000Z
587,Ellijay,2267.76226848,3.54337854,no,no,{7CFA8F52-05D6-4C66-B8FE-E39B2595A6C3},2017-09-26T15:14:37.000Z
588,East Ellijay,2177.23028546,3.40192232,no,no,{CABC85CE-004D-4F29-B988-77674F490EB7},2017-09-26T15:14:37.000Z
589,Ocilla,1633.94386131,2.55303728,no,no,{122EA606-051E-44B2-83C3-F14E6E6259BB},2017-09-26T15:14:37.000Z
590,Fitzgerald,5763.50164713,9.00547132,no,no,{590818FC-A3E6-4FE5-8BF1-6728BE9DEFA9},2017-09-26T15:14:37.000Z
591,Bowman,2009.71643844,3.14018194,no,no,{1B3915F5-E621-4BC8-8302-E006155259FC},2017-09-26T15:14:37.000Z
592,Nahunta,1814.88423052,2.83575661,no,no,{C64B0CF7-3BD9-47D9-A8B2-9018DC23FB70},2017-09-26T15:14:37.000Z
593,Hoboken,2206.24697389,3.4472609,no,no,{48EA375D-8489-4F2B-887C-8772C46CE47E},2017-09-26T15:14:37.000Z
594,Vernonburg,262.21367902,0.40970887,no,no,{4E54265D-22CD-4C76-BD24-38BDBABA7807},2017-09-26T15:14:37.000Z
595,Tybee Island,2053.34292494,3.20834832,no,no,{43B7D90A-AC0B-44AC-8066-ABD7A493BC67},2017-09-26T15:14:37.000Z
596,Thunderbolt,899.36497194,1.40525777,no,no,{23EE9B40-B4F5-4C0D-B926-08613D75DC30},2017-09-26T15:14:37.000Z
597,Savannah,69709.98785034,108.92185603,no,no,{13032642-7232-4430-88C1-C26988495AA4},2017-09-26T15:14:37.000Z
598,Port Wentworth,10640.15678331,16.62524498,no,no,{4EC6A4AC-C4B9-4797-8259-1767D3ED95B8},2017-09-26T15:14:37.000Z
599,Newborn,1033.28751971,1.61451175,yes,no,{C1D78520-E5EE-46EF-94ED-E36C8BAA554F},2017-09-26T15:14:37.000Z
600,Gillsville,914.13212658,1.42833145,yes,no,{52DD005B-C850-492A-92B1-5B8D62D0FFE0},2017-09-26T15:14:38.000Z
601,Union City,12493.07354883,19.52042742,yes,yes,{1AF72486-38C0-41EF-81AF-285CF7EFA5C1},2017-09-26T15:14:38.000Z
602,Social Circle,9967.31511485,15.57392987,yes,no,{F5EA4852-40AA-4A9D-B015-E03CEE2C77A9},2017-09-26T15:14:38.000Z
603,Porterdale,1506.30820452,2.35360657,yes,no,{E57438C6-B6A2-43F6-A513-380544C9E45F},2017-09-26T15:14:38.000Z
604,Covington,9907.02278132,15.4797231,yes,no,{1771066A-497F-449C-864D-4D8DAD0232CC},2017-09-26T15:14:38.000Z
605,Oxford,1399.20547343,2.18625855,yes,no,{0D84EAB2-7DAA-49D3-B8A0-513483AA2A39},2017-09-26T15:14:38.000Z
606,Kennesaw,6181.43387749,9.65849043,yes,yes,{B32C3327-8788-427B-A613-2B125CEA82FE},2017-09-26T15:14:38.000Z
607,Fort Valley,4802.78132323,7.50434582,no,no,{13DC60AE-0F29-4E48-A3A1-8E6D590B287F},2017-09-26T15:14:38.000Z
608,Warner Robins,22624.45792818,35.35071552,no,no,{9D723133-C2C3-4D3B-BC92-F887D42BC772},2017-09-26T15:14:38.000Z
609,Buford,10837.47152008,16.93354925,yes,yes,{37D9D46D-B7DC-41CA-9E48-A5B2CD1179CF},2017-09-26T15:14:38.000Z
610,Fairburn,10900.00399988,17.03125625,yes,yes,{4D6AC56C-E78E-46EF-A7BA-7B37EA79727D},2017-09-26T15:14:38.000Z
611,Perry,16831.76060945,26.29962596,no,no,{20A62652-7A11-4A5C-A489-AA548B48FD4B},2017-09-26T15:14:38.000Z
