X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Pop_wHealth_Insurance,Pct_Pop_wHealth_Ins,Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins,Population_with_public_coverage,Pct_Pop_with_public_coverage,Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins,Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins,Pop_18to64_Employed,Pop_18to64_Empl_wNo_Health_Ins,Pct_Pop_18to64_Emp_wNo_Hlth_Ins,Pop_18to64_Unemployed,Pop_18to64_Unemp_wNo_Health_Ins,Pct_Pop_18to64_Unemp_No_HlthIns,Pop_18to64_Not_in_Labor_Force,Pop_18to64_Not_LabFor_NoHlthIns,PctPop_18to64_NotLFor_NoHlthIns,GlobalID,last_edited_date
-82.471160747733549,32.88157883049292,23,Bartow,723.83300781,1.13099003, , ,255,84.7,164,54.5,133,44.2,46,15.3,0,0,111,21,18.9,19,15,78.9,61,10,16.4,{3EB9DB1E-9344-41F4-91C6-B79A38A47F07},
-82.528735497220637,33.193429094923637,24,Avera,416.13699341,0.65021503, , ,284,92.8,195,63.7,102,33.3,22,7.2,0,0,144,14,9.7,13,6,46.2,42,2,4.8,{DD9A1972-0B28-446B-8A7F-E8AA4E2DE3F5},
-83.401722256014793,34.87760884382832,25,Clayton,2095.66992188,3.2744801, , ,1220,66.4,716,39,734,39.9,618,33.6,134,30.4,672,343,51,91,59,64.8,266,82,30.8,{62D74FA5-F188-4751-918F-1FB5CE24062A},
-83.381654417426205,34.725761448791175,26,Tallulah Falls,5462.18994141,8.53468037, , ,92,71.3,76,58.9,33,25.6,37,28.7,2,11.8,72,26,36.1,4,4,100,29,5,17.2,{BA76D6CF-F471-4C6E-9B90-ACA3B8CFD879},
-81.473948043333195,31.145000103476431,27,Brunswick,16186.29980469,25.29100037, , ,10660,71.2,5474,36.5,6662,44.5,4317,28.8,398,10.4,5910,2465,41.7,1177,732,62.2,2236,698,31.2,{17546989-7A99-48FD-B003-F282538CF3D8},
-81.717460195513794,30.959513869691396,28,Woodbine,1645.86999512,2.57167006, , ,1085,81.2,789,59.1,523,39.1,251,18.8,45,11.6,442,58,13.1,73,49,67.1,220,96,43.6,{8699710B-25C8-4149-AAAA-56E94FEFE04E},
-81.57215523099002,30.756670879395642,29,St. Marys,15951,24.92340088, , ,14452,88.2,12070,73.7,4168,25.4,1930,11.8,225,4.8,6555,1069,16.3,899,336,37.4,2328,279,12,{301351CF-0396-45A6-B5E7-EC97526173A2},
-81.721747618684333,30.81938988424136,30,Kingsland,28812.5,45.01959991, , ,13197,86.3,11409,74.6,3345,21.9,2090,13.7,426,8.8,6389,944,14.8,640,314,49.1,2179,406,18.6,{F706C002-A2BC-47FF-AD25-B416B715DC5C},
-85.044201695657492,34.010275416089883,31,Rockmart,3653.76000977,5.70900011, , ,3464,83.2,2675,64.3,1196,28.7,697,16.8,0,0,1649,296,18,451,265,58.8,602,136,22.6,{0505663A-0D2E-477C-9BCA-8D71DF91C827},
-85.250086914761596,34.021563224803607,32,Cedartown,5582.02978516,8.72192001, , ,6401,68.3,3149,33.6,4247,45.3,2969,31.7,215,7.5,2785,1326,47.6,591,393,66.5,1902,1006,52.9,{0EE11036-F37E-46BC-950D-6505137957C5},
