OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_user,Percent_BA_or_Higher,Median_household_income,Change_in_Total_Jobs__2015_2040,GlobalID,Pop_Chng_per_SqMi_2000_2010,Chng_AgForFshHnt_jobs_2015_2040,Change_Mining_jobs_2015_2040,Chng_Util_Sect_jobs_2015_2040,Chng_Const_jobs_2015_2040,Chng_Manuf_jobs_2015_2040,Chng_Whlsl_Trade_jobs_2015_2040,Chng_Retail_Trad_jobs_2015_2040,Chng_Trans_Wareh_jobs_2015_2040,Chng_Info_jobs_2015_2040,Chng_Finance_jobs_2015_2040,Chng_RealEs_Rent_jobs_2015_2040,Chng_ProSciTech_jobs_2015_2040,Chng_Mgmt_Comps_jobs_2015_2040,Chng_Ad_Wst_Mgmt_jobs_2015_2040,Chng_Educ_Svcs_jobs_2015_2040,Chng_HealthSocAs_jobs_2015_2040,Chng_ArtsEntRec_jobs_2015_2040,Chng_AccFoodSvcs_jobs_2015_2040,Chg_OthrNotPubAd_jobs_2015_2040,Chng_PubAdmin_jobs_2015_2040,Chg_Pct_AgFoFiHu_jobs_2015_2040,Chng_Pct_Mining_jobs_2015_2040,Chg_Pct_Util_Sec_jobs_2015_2040,Chng_Pct_Const_jobs_2015_2040,Chng_Pct_Manuf_jobs_2015_2040,Chng_Pct_WhlslTr_jobs_2015_2040,Chg_Pct_RetailTr_jobs_2015_2040,Chg_Pct_TranspWH_jobs_2015_2040,Chng_Pct_Info_jobs_2015_2040,Chng_Pct_Finance_jobs_2015_2040,ChgPct_RlEs_Rent_jobs_2015_2040,ChgPct_ProSciTec_jobs_2015_2040,ChgPct_MgmtComps_jobs_2015_2040,ChgPct_AdWstMgmt_jobs_2015_2040,ChgPct_EducSvcs_jobs_2015_2040,ChgPct_HlthSocAs_jobs_2015_2040,ChgPct_ArtEntRec_jobs_2015_2040,ChgPct_AcFoodSvc_jobs_2015_2040,ChPct_OthNotPubAd_job_2015_2040,ChgPct_PubAdmin_jobs_2015_2040
207,13067030335,303.35,ARC 10,SDE,73.3,112112,235,{38399191-A516-4E72-BBA6-356D73B6D4B5},-173,0,0,0,23,1,7,3,0,-1,17,9,145,0,26,0,0,2,0,3,0,0,0,0,2.3,-2.7,-1.4,0.4,-0.8,-1.3,-2.7,0.7,7.6,0,0,-0.8,-0.3,-0.3,0,-0.7,0
208,13067031106,311.06,ARC 10,SDE,34,63228,402,{1B0F965B-82D7-4A36-B66E-D5D7989A0E9F},258.6,0,0,0,65,0,3,-5,0,0,-3,2,4,0,28,145,149,-2,15,1,0,0,0,0,2.4,-0.1,0,-3.3,0,0,-0.6,0.1,-0.1,0,-0.2,3.9,5.5,-4.4,-2.7,-0.2,-0.2
209,13067030331,303.31,ARC 10,SDE,64.1,106549,137,{6143471A-5B91-4C3C-9ECB-6C3E1F2995F0},-73.6,0,0,0,15,0,5,0,0,0,0,2,13,0,6,73,20,0,3,0,0,0,0,0,1.7,-0.2,-0.3,-0.3,-0.1,-0.2,-0.4,-0.2,-3.5,-0.4,-2.2,3.4,3.4,0,-0.2,-0.4,0
210,13067030322,303.22,ARC 10,SDE,46,97054,83,{417F202E-8CC9-4885-8076-3ED54D6C745C},-15.7,0,0,0,9,0,2,-2,1,0,-4,-7,-2,0,8,38,36,-1,5,0,0,0,0,0,1.3,-0.1,-1.4,-1,-0.3,0,-1.8,-2.6,-2.2,0,-0.5,3.8,5.4,-0.3,-0.3,-0.1,0
211,13067031112,311.12,ARC 10,SDE,62,71842,1989,{9C5EAAD5-6A63-470D-B6D2-B262951590D8},10,0,0,0,10,0,5,22,7,-6,104,104,182,0,253,9,1210,2,30,46,11,0,0,0,0.1,0,-0.2,-1.4,-0.3,-1.2,-3.6,-1,0.3,-0.1,-1.8,0,9.9,-0.1,-0.9,-0.1,0.3
212,13067030504,305.04,ARC 10,SDE,43.2,59844,2096,{F0E9600E-D948-45C9-B3C4-8111B3E12323},189.2,0,0,0,504,47,40,48,60,-9,75,75,432,1,495,4,118,28,43,131,4,0,0,0,6.1,-5.4,-3.2,-1.8,-0.8,-1.7,-0.2,0.2,3.3,0,1.8,0.1,1.8,-0.2,-0.6,0.6,0.1
213,13067030327,303.27,ARC 10,SDE,55.3,98241,372,{625D81FA-B9A6-4485-B971-31126233BDF2},18.4,0,0,0,21,-1,3,15,0,-3,4,2,14,0,57,201,1,1,31,3,23,0,0,0,1.3,-0.3,-0.1,-3.6,0,-1.7,0.1,0,0.7,0,0.8,4.2,0.1,-0.1,-1.3,0.3,-0.3
214,13067030329,303.29,ARC 10,SDE,56.6,98988,138,{E80527E7-4CFA-46A9-826A-C6250FB00830},-97.6,0,0,0,25,0,2,17,0,-2,13,5,14,0,20,3,16,0,2,21,2,0,0,0,4,-0.1,-0.3,-4.5,0,-0.9,0.1,-0.1,-0.3,0,-0.5,-0.2,2.8,0,-1.4,0.9,0.5
215,13067030339,303.39,ARC 10,SDE,62.8,56409,3151,{44733756-3F58-4B50-BBFB-236C926F212E},607.2,0,0,-8,276,2,123,8,6,-27,71,435,670,-3,531,19,994,-6,87,49,-76,0,0,-0.2,1.4,-0.1,0,-0.5,-0.1,-1.5,-3.7,0.7,0,-0.1,0.9,0.1,5.5,-0.3,-0.9,-0.3,-1.4
216,13067030314,303.14,ARC 10,SDE,54.1,91137,896,{2B1EA33C-5861-4E56-BEB7-CE2A1A9B797D},271.6,0,0,0,32,0,6,-8,0,0,3,28,117,0,71,53,509,65,4,14,2,0,0,0,0.3,0,-0.4,-9,0,0,-0.3,0.1,0,0,-2.5,-2.8,18,-1,-1.6,-0.9,0.1
217,13067030336,303.36,ARC 10,SDE,77.4,145483,448,{A1B30BB9-6A71-4E02-8BC4-9F47B3370D11},-159.3,0,0,0,23,-8,17,-66,0,-3,-20,-4,-5,-1,49,128,308,-2,22,10,0,0,0,0,0.6,-0.5,0.1,-6.6,0,-0.3,-1.5,-0.3,-1.1,-0.1,-0.2,2.6,8.9,-0.1,-0.8,-0.6,-0.1
218,13063040411,404.11,ARC 10,SDE,28.3,56258,390,{B61CB46F-2C24-4D13-A298-96C0AE2B64C5},679.1,0,0,0,70,0,0,17,32,0,5,23,16,0,26,58,60,0,18,48,17,0,0,0,4.6,0,-0.1,-8.7,1.9,0,-0.6,-0.7,0.8,0,-0.4,-1,4.5,0,-2.4,2.6,-0.7
219,13063040512,405.12,ARC 10,SDE,20.5,36655,329,{15170CE7-4734-4577-B8B9-875B925E0CEF},360,0,0,0,0,-1,0,-7,1,0,-16,-4,0,0,8,53,206,0,24,1,64,0,0,0,0,-0.3,0,-2.3,-0.5,0,-3.6,-1,-0.3,0,-0.7,1.5,14,0,-4.6,-0.5,-1.7
220,13063040608,406.08,ARC 10,SDE,24,63848,734,{6EA4B093-783B-423B-861F-A05E6AC88F99},339.3,0,0,0,90,0,0,-89,0,0,10,31,77,0,74,302,149,2,31,29,28,0,0,0,3.3,0,-1.2,-11.6,0,-2.2,0.1,0.1,2.6,0,-0.3,4.5,6.5,-1.8,-1.5,0.9,0.6
221,13063040614,406.14,ARC 10,SDE,32.2,65607,512,{10F19D3D-C8F0-484B-A371-89C10E49879E},-135.2,0,0,0,18,0,2,0,0,0,0,0,-1,0,3,0,482,-6,0,0,14,0,0,0,-1,0,-0.6,-1.4,0,-6.5,-3.1,-0.1,-4.2,-3.9,-1.9,0,33.6,-3.3,0,-0.6,-6.8
222,13063040606,406.06,ARC 10,SDE,13.6,42692,941,{B9DBBAA9-6117-4457-8A1B-20B548089A1A},22.7,0,0,0,274,1,0,0,2,0,18,10,22,0,35,0,425,0,37,19,98,0,0,-1.6,5.8,-0.5,-1.8,-0.8,-0.6,-1.9,0.1,-0.1,0.8,-1.8,-0.5,0,17.1,0,-1.9,-0.1,-12.1
223,13063040612,406.12,ARC 10,SDE,7.7,37052,505,{9F95C5C5-BC7B-4BDD-88CE-9D1C2554CDA7},969.3,0,0,-10,71,-44,4,-6,4,-8,-11,10,-1,0,45,89,460,0,75,27,-200,0,0,-0.1,0.7,-0.7,0.1,-0.3,0,-0.2,-0.1,0.1,-0.1,0,0.3,-0.5,5.5,0,0.7,0.3,-5.6
224,13063040609,406.09,ARC 10,SDE,29.5,56493,1048,{BFA8FF41-39FB-44F4-BE63-CB5481E95D73},362.2,0,0,0,142,0,12,1,0,-16,53,-1,34,4,161,195,656,3,3,2,-201,0,0,0,2,-0.1,0.1,-0.1,0,-1,0.5,-0.1,0.4,-0.1,1.4,-1,10.7,0.1,-1.5,-0.2,-11.5
225,13063040412,404.12,ARC 10,SDE,18,46772,802,{32ACFCB8-66FE-420F-B5D1-5B1B474940F4},142.9,0,0,0,57,-105,43,-147,3,-9,-10,-19,1,-13,36,43,905,-11,15,2,11,0,0,0,0.9,-3.8,0.2,-6.8,-0.2,-0.5,-0.5,-0.8,-0.2,-0.7,-0.2,0.6,16.9,-0.3,-2.1,0,-2.4
226,13063040413,404.13,ARC 10,SDE,22.8,38835,237,{252B6764-D23A-43A9-A044-64CB2BF44118},569.5,0,0,0,0,0,0,3,1,0,0,0,3,0,5,0,225,0,0,0,0,0,0,0,0,-0.8,0,-22.4,-2.7,-2.3,0,0,-1.4,0,-5.3,0,34.7,0,0,0,0
227,13063040613,406.13,ARC 10,SDE,30.1,58246,185,{2B3E6CB3-6932-4747-B61B-952116810070},264.7,0,0,-10,54,-5,6,-2,2,-1,-2,-10,-3,0,16,60,78,-1,0,3,0,0,0,-1.1,2.8,-0.5,-0.1,-0.4,-0.2,-0.1,-0.4,-1.1,-0.8,0,0.1,0.4,4.4,-0.1,0,-0.1,-3
228,13063040408,404.08,ARC 10,SDE,21.1,39607,659,{5EECA267-0597-4F19-B717-D81727C76A2E},80.8,0,0,0,9,-1,0,-30,1,0,-4,-1,1,0,31,522,162,0,14,2,-47,0,0,0,0.2,-0.1,0,-4.6,-0.2,-0.1,-0.3,-0.4,-0.1,0,-0.3,7.3,4.8,0,-0.9,-0.2,-5.1
229,13063040409,404.09,ARC 10,SDE,12,45833,513,{86E33162-E400-48DB-86C7-3C3004459F10},170,0,0,0,18,0,0,2,6,0,7,7,3,0,41,375,45,0,9,0,0,0,0,0,0.6,0,0,-0.8,-1.3,0,-0.7,0.1,0.3,0,-0.4,-0.3,3,0,-0.5,0,0
230,13063040410,404.10,ARC 10,SDE,13,40107,1793,{3C33F74C-A545-4ECF-8DB2-4D9222DC1485},150.5,0,7,0,102,-83,35,52,911,0,10,27,90,5,358,118,93,5,16,46,1,0,0,0,0.9,-3,0,-1.3,0.5,0,0.1,0.2,0.9,0.1,2.7,0.9,1.1,0.1,-0.1,0.3,-3.4
231,13063040303,403.03,ARC 10,SDE,6.8,28264,609,{9DC51CDC-B0E2-4B69-8C23-702E10263B99},-348.3,0,0,0,7,-7,29,-11,2,-3,0,4,28,1,45,115,352,-1,24,24,0,0,0,0,0.2,-0.8,-0.1,-3.2,-0.7,-1.2,-0.9,-3.4,0,-1.6,0.5,1.3,12.2,-0.2,-1.8,0,0
232,13063040302,403.02,ARC 10,SDE,5.9,33030,1056,{05E98C7A-BCBE-4B97-886A-6C321CA6A98A},-646.8,0,0,-2,37,-5,56,30,354,0,15,28,122,2,196,25,76,4,61,53,4,0,0,-0.1,0.7,-1.5,-1.5,-0.6,-6.1,-0.1,0.2,0.5,2.2,-0.1,2.8,0.4,1.8,0.1,0.3,0.9,0.1
233,13063040611,406.11,ARC 10,SDE,11,29464,921,{B28B51F3-9399-453F-8E70-CFBB4D71D8D2},155,0,0,0,0,-5,120,-15,14,-7,-4,-11,1,0,23,70,780,0,16,0,-61,0,0,0,0,-0.5,0,-4,-2.7,-0.9,-0.9,-1.6,-0.5,0,-1.1,0,20,0,-1.5,-0.3,-5.8
234,13063040407,404.07,ARC 10,SDE,11.8,42500,2032,{C3BC6682-5E31-4C4B-92CF-553932689298},94,0,0,0,220,-73,155,-16,39,0,1,0,3,0,104,27,946,0,8,7,611,0,0,0,1,-5,-4.1,-2.6,-4.6,-0.9,0,-1,-0.2,-0.6,-4.8,-0.2,15.3,-0.6,-1,-1.4,10.5
235,13063040510,405.10,ARC 10,SDE,16.1,41012,-4,{02799032-7682-4138-8800-8E1E27E46A52},-286.7,0,0,0,1,0,1,-1,0,0,-3,-1,-2,0,1,0,13,0,0,1,-14,0,0,0,0.3,0,0.2,-0.2,0,0,-0.6,0,-0.4,0,0.5,0,3,0.1,0,0.2,-3
236,13063040514,405.14,ARC 10,SDE,23.1,41477,228,{2A3B2F33-ABFA-46E3-84C3-1FF2CA4A4473},988.4,0,0,0,3,0,0,0,0,0,-1,0,2,0,0,63,146,0,7,3,5,0,0,0,0.2,0,-0.5,0,0,0,-0.6,-3.6,-0.8,0,-4.5,1.7,12.6,-0.2,-0.4,-0.3,-3.5
237,13063040307,403.07,ARC 10,SDE,13.7,34162,25,{DE40AEC3-43BE-4B85-8B33-050305BD62C7},495,0,0,0,9,0,0,-2,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,3.8,0,-0.1,-5.5,-0.1,0,0,-0.5,1.7,0,0.9,0,0,0,0,0,0
238,13063980000,9800,ARC 10,SDE,,,8836,{067F9602-F6C0-4549-9038-A0EFFF9611FD},,0,0,0,239,0,12,29,4241,-2,122,492,218,14,1833,4,36,12,1283,75,228,0,0,0,0.4,0,0,0,-5,0,0.1,0.1,0.4,-0.1,2.5,0,0.1,0,1.2,0.1,0.3
239,13063040622,406.22,ARC 10,SDE,23.9,44246,340,{7BCAA44F-CBC5-483E-8F40-FF0BA7CEA28D},-87.8,0,0,0,76,0,6,7,2,0,7,44,4,0,22,96,49,0,2,25,0,0,0,0,3.2,0,-0.7,-3.6,-0.1,0,-0.7,-1.3,0.3,0,-0.8,-0.9,5,0,0,-0.2,0
240,13063040621,406.21,ARC 10,SDE,21.9,56374,179,{639E4DFF-C41C-4375-8A36-14012308D3ED},1229,0,0,0,5,0,0,15,5,0,2,0,3,0,23,57,9,2,54,4,0,0,0,0,0.4,0,0,-2.6,0.1,0,0,-3.5,0.2,-1.3,1.5,4.2,0.9,-1.2,1.6,0.2,-0.5
241,13063040619,406.19,ARC 10,SDE,20.6,47778,59,{4409FB53-9449-4F8F-AEBD-1469C8D91489},142.9,0,0,0,8,-4,5,-1,0,0,0,0,0,0,2,47,0,-1,0,1,2,0,0,0,2.3,-4,-0.6,-2.4,0,0,-0.2,0,-0.3,0,-0.9,7.6,0,-0.9,0,-0.1,-0.6
242,13063040523,405.23,ARC 10,SDE,14.8,42540,148,{680AC3B2-F727-41A7-B32A-887E2A90BD5B},978,0,0,-3,0,0,5,-160,0,0,-3,-1,2,0,12,81,202,0,11,2,0,0,0,-0.2,0,0,0.2,-13.8,0,0,-0.3,-0.7,-0.1,-0.3,-0.2,3.6,11.9,0,0,0,0
243,13063040522,405.22,ARC 10,SDE,15.7,30298,4027,{8C054328-61AC-46FD-8956-F086DBCA22EF},-504.7,0,0,0,15,0,78,-14,0,-2,-9,-6,1,0,48,69,3963,-1,-131,4,12,0,0,0,0,0,-2.3,-2.5,-0.1,-0.2,-0.9,-0.5,-0.6,0,-2.6,-0.4,19,-0.1,-8.4,0,-0.4
244,13063040520,405.20,ARC 10,SDE,15.3,29650,212,{4E598249-616B-46B7-B4F1-67962C670D95},-523.8,0,18,0,0,-1,6,1,52,0,3,3,10,0,16,0,88,0,14,2,0,0,0.9,0,0,-0.5,-1.1,-2.9,-5.3,0,-0.5,0,0.1,0,0.3,0,8.9,0,-0.2,0.1,0
245,13063040519,405.19,ARC 10,SDE,17.4,24979,56,{B21FB8F2-F97D-423D-B664-CA2C684E12E5},1263.3,0,0,0,8,0,0,1,0,0,0,0,0,0,4,43,0,0,0,0,0,0,0,0,2.7,0,0,-2.5,0,0,0,0,0,0,-0.3,0.2,0,0,0,0,0
246,13063040417,404.17,ARC 10,SDE,17.8,23364,272,{1F443780-3842-490F-9577-E65CEF310510},12.5,0,0,0,132,-23,82,-107,6,-2,1,6,17,0,53,46,35,0,14,12,0,0,0,0,3.9,-3.4,1.6,-5.7,-0.1,-0.2,-0.2,0,0.3,0,1.1,1.2,1,0,0.2,0.2,0
247,13063040203,402.03,ARC 10,SDE,14.6,36458,456,{554DCF27-04E9-49C9-890F-55EDE47FB9AF},117.3,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,43,412,0,1,0,0,0,0,0,0,0,0,-0.4,0,-0.2,0,-0.2,0,0,-0.8,-3.7,5.4,0,0,-0.1,0
248,13063040617,406.17,ARC 10,SDE,0.6,31227,10,{6AD01EED-DC46-4D36-B144-0A1BE7B17357},520,0,0,0,0,0,0,-1,0,0,0,0,0,0,3,6,0,-1,3,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,0.7,1.5,0,-0.2,-1.4,0,0
249,13063040615,406.15,ARC 10,SDE,25.2,41094,162,{B05C5CDB-4E8C-473B-9E50-A8B1E179F7D6},138.5,0,0,0,0,0,0,-6,0,0,1,-1,1,0,2,0,165,0,0,0,0,0,0,0,0,0,-0.6,-26.9,-0.6,0,0,-1.9,-1.5,0,-3.1,0,35.2,0,0,-0.6,0
250,13063040521,405.21,ARC 10,SDE,10.7,54135,515,{10B2B439-C535-481D-B2B8-FA7EFABC2BF2},-113,0,0,0,0,0,0,0,0,0,0,0,0,0,4,104,392,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3,-12.8,22.2,0,0,-1.3,-4.7
251,13063040415,404.15,ARC 10,SDE,10.8,33271,435,{B89A4A91-D60D-4713-B9D6-2BC948C73A4E},-703.1,0,0,0,27,-24,3,-20,1,0,-4,-6,2,-13,14,45,392,0,17,5,-4,0,0,0,0.9,-2.7,0,-5.6,-0.2,-0.6,-1,-0.9,0,-3.3,-1.1,1.1,15,0,-1,-0.3,-0.4
252,13063040414,404.14,ARC 10,SDE,11.9,33421,459,{C82107D7-EDCA-45CF-8FF5-F57C2B9F0A52},403.8,0,0,0,13,0,2,4,0,0,14,0,50,0,49,0,193,0,131,3,0,0,0,0,0.3,0,-0.2,-1.3,0,0,-1.4,0,0.8,0,-0.7,0,14.3,0,-11.9,0.1,0
253,13063040204,402.04,ARC 10,SDE,17.8,35938,307,{CECB1F4C-A650-4280-B040-A679AE58B788},-625.5,0,0,0,7,0,19,-14,25,0,-64,-12,-6,-11,35,66,259,0,3,0,0,0,0,0,0.2,0,0.3,-1,-2,0,-3.7,-0.6,-0.5,-0.9,-0.7,1.4,7.7,0,-0.1,-0.1,0
254,13063040308,403.08,ARC 10,SDE,6.9,30893,4400,{691F13A9-B38D-4515-9EC4-89922E33FD76},-215.3,0,0,-159,493,-223,269,3,778,0,183,53,69,0,399,139,712,10,23,95,1556,0,0,-2.8,2.1,-4,-2.7,-0.4,-3.1,0,-0.1,0.1,0.3,-0.1,0.8,0.4,4.1,0.1,-0.1,0.2,4.9
255,13063040620,406.20,ARC 10,SDE,16.6,63274,144,{A8CD4234-035A-4611-8535-E6CBD3DE3731},366.3,0,0,0,17,-6,16,-3,1,0,0,0,2,0,4,48,63,-3,4,1,0,0,0,0,1.6,-2,-0.6,-2,-0.3,-2.2,-0.1,-2.2,0,-2.2,-0.3,3.4,8,-0.9,0,-0.3,-0.1
256,13063040616,406.16,ARC 10,SDE,22.9,36671,49,{F2B083AC-258D-4715-BF2C-65F838A8EACE},613.8,0,0,0,28,0,0,-35,0,0,-1,-2,1,0,11,19,15,-11,20,4,0,0,0,0,2.5,0,0,-5.2,0,0,-0.2,-0.6,0,0,0.7,1.6,1.3,-1.5,1.1,0.2,0
257,13063040526,405.26,ARC 10,SDE,14.6,43682,118,{D7E12380-EC36-4963-BC72-F5C14D47FB13},-89.5,0,0,0,3,0,3,1,2,0,3,17,6,0,9,0,56,0,18,0,0,0,0,0,0,0,-2.1,-2.6,-1.3,0,-1.3,-1.7,0,0,0,0,16.1,0,-7,0,0
258,13063040525,405.25,ARC 10,SDE,18.6,42705,247,{05743230-F28E-4BE4-A78F-F4CAF4AB941A},-22.2,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,228,0,0,12,1,0,0,0,-1,0,0,0,0,0,-2.4,0,0,0,-4.2,0,18.4,0,0,-11.1,0.3
259,13063040524,405.24,ARC 10,SDE,19.3,42679,31,{9D0C42F1-0B39-4864-91FA-F0AC319A4E06},-362.9,0,0,-3,2,-2,0,-2,0,0,0,-1,1,0,4,0,32,0,0,0,0,0,0,-2.4,0.7,-1.8,0,-1.7,0,-3.9,0,-5.9,0.1,0,1.1,0,14,0,0,-0.4,0
260,13063040416,404.16,ARC 10,SDE,3.7,36531,76,{08DF3951-A7A6-420D-87AB-2ABA76200465},-444.7,0,0,0,3,0,12,-292,0,-1,-12,-11,-1,0,36,18,293,-4,33,2,0,0,0,0,0.2,-0.1,0.6,-15,0,-0.1,-0.6,-0.6,-0.1,0,1.2,0.7,13.2,-0.3,0.9,0,0
261,13063040306,403.06,ARC 10,SDE,8.8,24254,1023,{590760FA-EB58-4D71-B213-58F4C9732182},-125.9,0,0,0,7,-43,138,4,237,-12,4,7,22,0,171,0,472,2,10,4,0,0,0,0,0.1,-1.7,0.4,-0.6,-7.1,-0.6,-0.5,0.1,0.2,-0.2,1.6,0,8.3,0.1,0.1,0,0
262,13063040516,405.16,ARC 10,SDE,13.7,30273,19,{30DDF368-C2B2-4801-BD05-DCFD3BA451BA},755.3,0,0,-15,1,0,1,-1,0,0,0,-4,0,0,2,20,15,0,0,0,0,0,0,-7.7,0.3,0,0.3,-0.8,0,0,0,-2,0,0,0.3,4.9,4.9,0,-0.1,-0.2,0
263,13063040509,405.09,ARC 10,SDE,21.4,63750,30,{897348B6-F41B-4CD2-B495-B60D9BEA2CF0},-9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18,9,0,1,0,0,0,0,0,0.5,0,0,-0.6,-0.6,0,0,-1.7,0,0,-0.6,-0.6,4,0,-0.6,0,0
264,13063040202,402.02,ARC 10,SDE,10.2,30606,1280,{C82A38C3-066D-4C77-AEC3-865853F9E467},-415.1,0,48,0,367,-88,144,10,268,-11,11,4,89,2,162,44,163,0,28,43,-4,0,0.5,0,4.3,-3.1,0.1,-0.3,-3.6,-0.5,-0.3,-0.3,0.7,-0.7,0.5,0.4,2.6,-0.1,0,0.1,-0.6
265,13063040518,405.18,ARC 10,SDE,15.7,30640,22,{ED957D6E-63D5-4A9C-8154-F960196080BB},344.3,0,0,0,14,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,11.5,0,0,0,0,0,1.4,-11.8,1.4,0,-6.5,0,4.1,0,0,0,0
266,13063040515,405.15,ARC 10,SDE,20.6,41290,672,{70E29D90-C21E-43A4-A5A7-4E157E36C948},-111.7,0,0,0,38,0,0,40,20,0,5,79,12,0,230,74,34,4,92,42,2,0,0,0,1,0,0,-5.5,-1.4,0,-0.3,-0.1,0.6,-0.2,7.8,0.1,1.7,0,-4.3,0.4,0.1
267,13063040513,405.13,ARC 10,SDE,20.9,60798,65,{32831C18-D536-462C-9ACB-FB0650050959},-77.8,0,0,0,0,0,3,1,0,-1,4,0,3,0,3,0,31,0,12,9,0,0,0,0,0,0,0.3,-5.2,-0.1,-0.4,-1.2,-0.5,0.5,0,-1.2,0,5.4,0,1.1,1.2,0
268,13151070403,704.03,ARC 10,SDE,20,64861,1928,{82F7AFAA-0F06-4747-8A57-5B989DA50944},204,0,0,0,427,137,29,45,67,0,70,70,443,0,372,152,66,7,5,38,0,0,0,0,6.4,-3.2,-3.2,-0.1,0.4,0,0.2,0.2,6,0,2,-9.9,1.2,0.2,-0.4,0.3,0
269,13151070307,703.07,ARC 10,SDE,30.2,72361,465,{98FCF129-F5DA-40DC-811B-1D26BD40CC2F},624.1,0,0,0,32,0,0,1,0,0,3,67,33,0,58,0,128,41,5,57,40,0,0,0,2.3,0,-0.3,-1.2,-0.5,0,-0.1,-3.6,1.3,0,-2.4,0,7.1,-0.1,-1.3,-3.9,2.9
270,13151070113,701.13,ARC 10,SDE,15.4,40982,898,{867C60FA-338A-4F83-A8CE-098D99408795},6.9,0,0,0,70,-1,6,143,2,-2,54,219,109,1,89,12,70,3,56,67,0,0,0,0,1.7,-0.1,-0.1,-0.7,-0.2,-0.5,-5.7,4.1,1.8,-0.2,1,0.2,2.3,0.1,0.2,1,-5.1
271,13151070501,705.01,ARC 10,SDE,19.1,43145,584,{E59DBB02-74B2-46F2-98C6-F28E61DC237C},150.7,0,0,0,87,-113,86,3,33,-5,17,9,63,0,81,53,83,0,13,84,90,0,0,0,1.9,-5.4,0.7,-0.3,0.4,-0.2,0.3,0.2,1.5,0,1.2,1.1,2,0,0.2,1.9,-5.5
272,13151070502,705.02,ARC 10,SDE,29,69662,2637,{43FBFF98-098A-43BF-8CD6-A3AE90D3EAB1},270.4,0,0,0,330,12,7,142,32,0,109,27,143,9,564,403,314,207,289,49,0,-0.1,0,0,4.3,0.1,-0.2,-0.3,-0.1,0,-0.7,-0.1,1.7,0.2,0.7,-5,3.9,-0.3,-0.9,0.1,-3.4
273,13151070311,703.11,ARC 10,SDE,22.2,42330,1878,{58359A68-CA30-4B27-947D-29AC047DA0AA},1014.1,0,0,0,94,0,20,56,8,-5,44,126,53,7,401,145,276,5,152,476,20,0,0,0,1,0,-0.4,-6.6,-0.1,-0.4,-1.8,-0.5,0.3,-0.3,2.8,0.1,4.2,0.2,-6.1,7.2,0.4
274,13151070404,704.04,ARC 10,SDE,21,60868,5565,{5EFD5119-12FF-4AD4-BE1A-08F93AEDBCF9},165.4,0,0,0,185,9,94,34,886,0,104,166,78,8,658,262,622,70,212,61,2116,0,0,0,0.7,-5,-3.5,-6.7,-4.1,0,-0.9,-0.1,0.5,0,-0.9,-1,5.5,-0.1,-2.4,-0.2,18.4
275,13151070204,702.04,ARC 10,SDE,23.1,78669,651,{B26CB008-3EFB-4B46-9B97-ECE737A05734},81.3,0,0,0,215,-4,1,1,21,0,27,0,121,0,66,101,75,0,27,0,0,0,0,0,12.3,-2.2,-0.1,-4,0.9,0,1.4,-17.9,6.7,0,0.7,-2.6,5.3,0,-0.5,0,0
276,13151070310,703.10,ARC 10,SDE,19.6,55682,1294,{8C9FBB19-6AA5-47A8-9DB9-FE9FD832CBC1},-157.9,0,1,0,217,7,1,55,16,-15,52,25,64,0,133,40,138,100,73,189,198,0,-0.1,0,4.4,-0.8,-0.1,-1.5,-0.3,-4.3,-0.5,-0.3,-0.4,-0.1,-0.5,-0.5,3.5,-1.6,-2.1,1.4,3.7
277,13151070205,702.05,ARC 10,SDE,27.9,58099,1734,{7F92F399-B5FA-4E2F-B5E4-759DB9E4EDB3},342.1,0,0,0,28,-2,5,122,30,0,8,128,117,6,302,132,360,53,305,140,0,0,0,0,0.1,-0.6,-0.2,-3.2,0,-0.2,-0.7,0.4,1.2,-1.8,-0.1,-5.7,7.6,0.6,2.7,1.3,-1.3
278,13151070309,703.09,ARC 10,SDE,46.6,81503,1558,{22C103A6-0C4F-4392-A2F0-418F79136175},792,0,2,0,103,0,7,20,22,-18,14,53,529,0,236,117,291,0,69,109,4,0,0,-5,1.7,0,-1,-0.1,0.2,-2.2,0.1,0.6,8.9,0,-3.3,-5.6,3.9,-0.1,0.3,1.5,0.1
279,13151070114,701.14,ARC 10,SDE,39.4,41624,9846,{BF8970C0-3251-46D1-9099-B6C440235E3F},437.7,0,45,0,219,-19,18,80,83,-18,54,254,327,12,615,179,7148,223,166,229,231,0,-0.3,0,0,-1.8,-0.2,-1.2,-1,-0.8,-5.6,-0.8,0,-0.5,-1.7,-0.3,18.7,-1.1,-2.7,-1.4,0.7
