OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_1__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp1_HousTranCsts_Pct_Income,Tp1_HousCosts_Pct_Income,Tp1_TranspCosts_Pct_Income,Tp1_AnnVehicleMilesTraveled
186,13067031408,314.08,ARC 10,44708,9.7,{22255023-FBDC-4A0E-82B9-502E48BDBEC2},211.3,48.93,29.02,19.91,22750
187,13067030107,301.07,ARC 10,77780,75.67,{F53D4F49-B74F-4C8F-B9C4-C0B8893660E6},725.6,52.15,31.78,20.37,23245
188,13067030106,301.06,ARC 10,44878,129.74,{4AD18F69-4C46-47CC-BF30-4ACE0435D27E},1167.9,46.27,28.37,17.9,20844
189,13067030505,305.05,ARC 10,34185,149.95,{DFE0E3AD-966F-4062-B041-0E72A5BA0D8F},395.5,41.3,26.54,14.76,16292
190,13067030800,308,ARC 10,35233,79.93,{5FD4A73D-D09E-4E1E-9B9D-9EE9F87E7F96},-498,41.72,26.43,15.29,16853
191,13067030902,309.02,ARC 10,33438,148.57,{8F6D9932-8864-428B-80E6-BE3CCAD5D759},-704.5,42.96,27.05,15.91,17940
192,13067031311,313.11,ARC 10,34503,121.32,{AC666BBD-5560-49C3-AFDA-98AAD2BF6498},592.5,44.4,27.22,17.18,19241
193,13067031406,314.06,ARC 10,37840,100.07,{18F743C7-6D8A-4CE1-8B5A-BE1C3F59E10B},892.1,44.69,27.82,16.87,18821
194,13067031405,314.05,ARC 10,64291,67.15,{FE37B939-2E93-4B74-9747-15187E09A471},5.1,51.32,31.66,19.65,22216
195,13067030320,303.20,ARC 10,80463,145.36,{A407BC75-1B42-47D0-A96B-23BD4B065FDD},357.5,48.95,32.16,16.79,18191
196,13067030318,303.18,ARC 10,124779,88.69,{839C5D29-4565-4F22-92C6-8DAD52ADE631},67.4,58.7,38.56,20.14,21709
197,13067031005,310.05,ARC 10,47470,56.17,{97F4E95D-63FC-4BEB-9471-DE27D97920AA},445,49.88,30.22,19.66,21996
198,13067031002,310.02,ARC 10,27755,119.09,{C4755A7B-C8CB-4E68-820A-4390B3D33420},579.4,41.26,25.34,15.92,17997
199,13067030904,309.04,ARC 10,38118,154.83,{9C25D299-997D-4658-A7A6-740ADB461EE3},-38.5,44.31,28.29,16.01,17703
200,13067030901,309.01,ARC 10,59979,119.99,{632A45A1-A125-4C32-905E-B350AFE1BB11},-19.3,50.13,31.76,18.37,20384
201,13067031503,315.03,ARC 10,60441,44.5,{511657BA-67C2-4F5B-81EC-094B0CFC2DE3},78.4,51.01,30.83,20.18,22959
202,13067031307,313.07,ARC 10,75669,38.99,{B6D2DA76-2D18-4ADC-8FB6-57A177DD900C},28.5,51.52,31.63,19.89,22006
203,13067031308,313.08,ARC 10,41953,35.97,{B8BC4B7A-92F9-47B2-92AD-13C0826E35A9},114.8,47.56,28.42,19.13,21457
204,13067030319,303.19,ARC 10,94219,124.89,{0F75C476-F5CD-4C31-B714-636FCE9DF92B},-9.3,54.02,35.04,18.98,20744
205,13067030333,303.33,ARC 10,113987,77.34,{B2683D9E-E7AE-4D66-8E6D-A043276B7B94},28.3,55.18,35.09,20.09,21848
206,13067030332,303.32,ARC 10,105000,98.7,{97729874-14E5-4812-9646-1137E40E2757},-35.7,56.14,36.19,19.95,21476
207,13067030335,303.35,ARC 10,112112,79.63,{7C880427-35FB-4F9E-A64E-59BCCF52E907},-173,55.61,35.2,20.4,22101
208,13067031106,311.06,ARC 10,63228,71.54,{771FE136-73CE-4D31-869E-02EB03F4395A},258.6,49.81,30.79,19.01,21271
209,13067030331,303.31,ARC 10,106549,90.73,{47B1655D-9DF5-4A9D-9749-168E981DFB65},-73.6,54.66,34.46,20.2,22091
210,13067030322,303.22,ARC 10,97054,72.53,{DDE727D7-99C9-4111-A717-BA8BFD648E7E},-15.7,54.83,34.24,20.59,22275
211,13067031112,311.12,ARC 10,71842,125.44,{C44A155C-4B22-47FC-9590-914E5FA61662},10,49.58,32.04,17.54,18896
212,13067030504,305.04,ARC 10,59844,124.64,{49EE1792-3909-477D-A1EE-49480B7E7D97},189.2,48.97,30.83,18.15,20154
213,13067030327,303.27,ARC 10,98241,62.53,{D2910106-4846-46DA-8E76-28E08EA106F5},18.4,54.02,33.54,20.47,22366
214,13067030329,303.29,ARC 10,98988,85.53,{E425C5F6-C9C2-4D9B-9946-49740B22A166},-97.6,53.2,33.12,20.08,22112
215,13067030339,303.39,ARC 10,56409,187.06,{A0DAEE49-2065-4223-B722-8161CA918CC8},607.2,41.74,27.99,13.75,14711
216,13067030314,303.14,ARC 10,91137,77.68,{3A1DBE6B-A223-4C6C-B05E-4D84BA3202CB},271.6,53.88,33.59,20.29,22097
217,13067030336,303.36,ARC 10,145483,93.25,{C2117EE6-65D5-4CD3-8D7A-3004F668FBAF},-159.3,59.17,38.86,20.32,21667
218,13063040411,404.11,ARC 10,56258,49.2,{ADEE85A4-B531-4899-AE92-243CD3B4210E},679.1,50.78,30.4,20.38,23230
219,13063040512,405.12,ARC 10,36655,97.2,{82EBD2EA-8650-4371-88B2-21B0E3238D34},360,46.85,28.94,17.91,20609
220,13063040608,406.08,ARC 10,63848,22.18,{9F7E81FB-873D-40F7-A754-72321CEC4D1E},339.3,50.58,29.3,21.29,24626
221,13063040614,406.14,ARC 10,65607,27.03,{844F07C3-3B4C-4744-BACF-CF2F41B7902F},-135.2,50.76,30.26,20.5,23369
222,13063040606,406.06,ARC 10,42692,29.41,{33B86A18-1411-466D-964F-BE32B86324C4},22.7,50.29,29.85,20.44,24177
223,13063040612,406.12,ARC 10,37052,48.9,{D671600E-7290-4C2D-9546-78C2C059833B},969.3,48.38,29.94,18.43,20846
224,13063040609,406.09,ARC 10,56493,53.09,{AF7447E0-1991-4652-8A0F-CD99F469691E},362.2,49.44,30.42,19.02,21479
225,13063040412,404.12,ARC 10,46772,67.26,{44FD744B-3C0A-48CA-A539-DE8DC5A4339F},142.9,45.06,27.62,17.45,19490
226,13063040413,404.13,ARC 10,38835,79.1,{3FED02B6-1F8B-4E2B-9BFD-538839C68196},569.5,51.08,31.59,19.49,22093
227,13063040613,406.13,ARC 10,58246,53.53,{1AA73EFC-C98F-4120-96FB-B098EAD491E1},264.7,51.72,30.97,20.74,23665
228,13063040408,404.08,ARC 10,39607,86.63,{E0C9A412-2311-4299-A8B3-D11006384CFF},80.8,42.83,25.54,17.29,19557
229,13063040409,404.09,ARC 10,45833,73.91,{EF96CD35-F7F5-4DD5-AC85-0E416A5DD8B8},170,49.68,30.67,19.01,21551
230,13063040410,404.10,ARC 10,40107,35.87,{AB072463-2EB9-483F-A666-2C74D8A16CD7},150.5,49.03,29.54,19.49,22050
231,13063040303,403.03,ARC 10,28264,101.2,{2AC30F8E-60D3-4A1A-857F-71632728E0FC},-348.3,41.96,24.44,17.52,19905
232,13063040302,403.02,ARC 10,33030,83.32,{05B9EEC3-2284-43AD-B697-DBAC790AA890},-646.8,42.07,25.06,17.01,19381
233,13063040611,406.11,ARC 10,29464,107.69,{9F727915-0519-4B6F-BAD5-BFEA9F8B6430},155,42.22,25.63,16.59,19285
234,13063040407,404.07,ARC 10,42500,23.07,{EF9336C6-94EF-4A58-BBEE-8435EB045DA1},94,48.05,28.93,19.11,21452
235,13063040510,405.10,ARC 10,41012,104.69,{7F879E05-421F-4485-A85B-3699DDD9AB1C},-286.7,48.07,29.81,18.26,20515
236,13063040514,405.14,ARC 10,41477,130.35,{D91A62E7-0897-4A63-B3D5-ACC2B21C3321},988.4,46.51,28.97,17.54,20302
237,13063040307,403.07,ARC 10,34162,59.74,{9122F098-6569-4685-9096-1D180445B05A},495,48.66,29.87,18.79,21186
238,13063980000,9800,ARC 10,,,{505BEC91-CF55-483D-B8C0-B94977CDE913},,,,,
239,13063040622,406.22,ARC 10,44246,73.58,{973746F1-7E0B-4BED-8AAE-CAB09F03D6A3},-87.8,49.57,29.52,20.05,23586
240,13063040621,406.21,ARC 10,56374,65.59,{74401469-C76E-4D5F-90E9-1B4DA92FD493},1229,52.06,31,21.05,24560
241,13063040619,406.19,ARC 10,47778,63.74,{8F6D4310-B882-4173-8AE7-35AD9956DF11},142.9,50.69,31.24,19.45,22395
242,13063040523,405.23,ARC 10,42540,66.53,{9D56B381-274A-4B1A-8D72-42E28EC63484},978,48.88,30.85,18.03,20401
243,13063040522,405.22,ARC 10,30298,90.23,{1AD0CAAD-0889-4BC0-A68C-23CAF445F60C},-504.7,43.56,26.47,17.09,19228
244,13063040520,405.20,ARC 10,29650,226.08,{27A58B09-E24B-4ACE-85EC-5E07D15C4D02},-523.8,38.53,23.78,14.76,16935
245,13063040519,405.19,ARC 10,24979,262.08,{4AA9184D-1F00-4FF8-AB6D-CAC96D1F7AED},1263.3,36.3,22.56,13.74,15961
246,13063040417,404.17,ARC 10,23364,126.15,{A616CC8A-5373-4778-9B4E-810014C6B4BE},12.5,40.46,24.57,15.89,18102
247,13063040203,402.03,ARC 10,36458,170.91,{900A3334-E1A8-4521-B071-0F838F1D4515},117.3,45.06,28.97,16.09,18282
248,13063040617,406.17,ARC 10,31227,122.35,{5250E2BA-1E41-4580-AE16-919DC9FFCC0D},520,34.1,16.79,17.31,20225
249,13063040615,406.15,ARC 10,41094,33.13,{C2D0D11C-7C08-4C04-BCAB-13525FB61927},138.5,53.29,32.46,20.83,23481
250,13063040521,405.21,ARC 10,54135,52.48,{8B3EF980-29AB-4677-8E4B-D97C491369A7},-113,46.46,28,18.46,20954
251,13063040415,404.15,ARC 10,33271,161.42,{28DAB310-ECDB-4C3B-B408-ECCB6BE4FDB5},-703.1,40.06,24.45,15.6,18006
252,13063040414,404.14,ARC 10,33421,52.34,{5115E4E2-A459-4185-9D73-B34325FEAA48},403.8,45.72,27.19,18.53,21113
253,13063040204,402.04,ARC 10,35938,187.48,{F9089AD4-E716-4097-B4B3-63488030A2D4},-625.5,39.24,23.45,15.79,18247
254,13063040308,403.08,ARC 10,30893,51.77,{119BD8ED-3E15-4BF8-B362-390C52E2C4B0},-215.3,41.84,24.66,17.18,19712
255,13063040620,406.20,ARC 10,63274,47.09,{43E5E3A1-6310-4391-8F61-F4DDC0A2BC3F},366.3,53.17,31.6,21.57,25116
256,13063040616,406.16,ARC 10,36671,108.17,{964E0232-81CE-418D-9B00-DC7D745859F4},613.8,43.13,26.15,16.98,19339
257,13063040526,405.26,ARC 10,43682,61.5,{CD0F645A-AA90-4A31-B27A-D5DE1EC5A98C},-89.5,48.53,28.94,19.59,22810
258,13063040525,405.25,ARC 10,42705,86.82,{89A4437D-97FB-475B-9946-8C38977E0F63},-22.2,49.36,29.1,20.26,23548
259,13063040524,405.24,ARC 10,42679,87.66,{8274CDD0-4035-4FA7-B9C0-ED30D116870B},-362.9,47.03,28.94,18.09,20676
260,13063040416,404.16,ARC 10,36531,28.37,{E3A4C769-C04F-4B3A-A2EE-9A19600EEB5E},-444.7,48.42,29.61,18.81,20494
261,13063040306,403.06,ARC 10,24254,171.87,{D4B25B75-FA56-4ADF-B3FB-4FC94D0D85DC},-125.9,34.87,19.91,14.96,17340
262,13063040516,405.16,ARC 10,30273,86.59,{06497475-C80D-4B15-8BB3-8D591BA87D88},755.3,48.74,29.4,19.34,22064
263,13063040509,405.09,ARC 10,63750,66.05,{03CD7C18-3CE2-4D8A-80E6-B01A6BDB31DE},-9,50.5,30.78,19.72,22315
264,13063040202,402.02,ARC 10,30606,68.79,{7ADA2B3F-E092-4D4A-9255-1655D8EB168C},-415.1,41.38,24.76,16.62,19053
265,13063040518,405.18,ARC 10,30640,72.77,{3E48F07D-8921-4D4A-AE99-5953D80DF982},344.3,47.28,28.34,18.94,21936
266,13063040515,405.15,ARC 10,41290,73.08,{8BB194A4-D781-4A8F-857A-3273C85C099E},-111.7,48.06,29.53,18.53,21328
267,13063040513,405.13,ARC 10,60798,29.45,{D09A80F4-2A0E-4C36-BB0E-C93BEFEB685F},-77.8,51.22,30.65,20.57,23477
268,13151070403,704.03,ARC 10,64861,18.45,{E0531342-2E22-4F98-A3BF-257D481627D4},204,51.57,29.51,22.05,26506
269,13151070307,703.07,ARC 10,72361,61.62,{99178811-F412-4F02-878F-EA9A14503E3B},624.1,53.65,32.04,21.61,25460
270,13151070113,701.13,ARC 10,40982,27.66,{8360CD64-66C2-4009-AC82-723D06A624A0},6.9,46.98,27.52,19.47,22356
271,13151070501,705.01,ARC 10,43145,4.67,{9AC04F3C-9417-4038-92F7-411BD7572AE4},150.7,49.3,28.04,21.26,25063
272,13151070502,705.02,ARC 10,69662,14.25,{A309EF4D-5795-4024-9979-BE6CFD00C22C},270.4,51.62,29.47,22.15,26294
273,13151070311,703.11,ARC 10,42330,84.08,{E7900CF9-1D5A-4041-A8FD-268788DC26A4},1014.1,45.54,27.58,17.96,20981
274,13151070404,704.04,ARC 10,60868,16.52,{A20D858D-D290-443F-9655-FD4A62C7E0DE},165.4,51.45,29.71,21.74,26126
275,13151070204,702.04,ARC 10,78669,32.98,{02BAB2C2-4BA2-407F-8486-591A79B4C77D},81.3,53.2,31.16,22.04,25877
276,13151070310,703.10,ARC 10,55682,18.45,{E1E15010-1AAB-4C00-BBE8-381268D3B758},-157.9,51.82,30.65,21.17,24963
277,13151070205,702.05,ARC 10,58099,37.91,{E73348F7-01B0-453E-B27E-3D3D34590170},342.1,50.91,30.52,20.4,23854
278,13151070309,703.09,ARC 10,81503,61.68,{A3982C53-B6E9-4FCD-BFCE-89F2795E80DB},792,52.86,31.73,21.13,24489
279,13151070114,701.14,ARC 10,41624,52.82,{18EF4DC8-40CB-47CF-BD90-289F8FA5336C},437.7,48.19,30.24,17.95,20884
280,13151070111,701.11,ARC 10,44290,41.72,{3010D3C1-7BB5-429C-8E44-E76324492BD5},578.6,46.88,27.93,18.95,22108
281,13151070107,701.07,ARC 10,73967,48.03,{B551C187-1F25-4928-81D6-5B81F8CF86CB},136.8,52.81,31.36,21.45,25044
282,13151070109,701.09,ARC 10,69362,39.54,{6A574793-F6BF-4A3A-8EFC-0D2CB3E1E173},102.7,52.96,31.51,21.45,25015
283,13151070110,701.10,ARC 10,67588,11.79,{59C45C8F-55FD-4322-9F96-82A000093B4A},108.4,51.16,29.81,21.34,24695
284,13151070108,701.08,ARC 10,56061,33.52,{42CE4BC9-8A10-4C9F-8E06-33062FD43327},337.6,50.35,29.83,20.52,23569
285,13151070306,703.06,ARC 10,65311,3.71,{011470CA-22D8-46F2-AE07-0E7B962CCB7D},461.8,50.43,29.63,20.8,24137
286,13151070104,701.04,ARC 10,59686,18.37,{67C2ED7E-A787-44FA-853E-E3C95CDFE203},718.3,50.68,30.6,20.08,23074
287,13151070202,702.02,ARC 10,81520,38.32,{F148FCF2-174B-407C-8E22-08E22FC67863},256.4,53.74,31.33,22.42,26504
288,13151070305,703.05,ARC 10,73719,26.66,{EBAD4B13-53AF-4AAB-BE98-959519AF4964},180.5,53.36,31.59,21.77,25087
289,13151070304,703.04,ARC 10,38261,37.53,{1F622B84-469D-44CD-AA7E-4B5E2F4B55F6},533.3,48.63,29.64,18.98,22399
290,13151070106,701.06,ARC 10,52314,8.34,{CBC5929B-E31D-4E7A-AE9B-B5FB164BB63E},120,50.67,30.2,20.47,23509
291,13151070203,702.03,ARC 10,80566,32.59,{EF8F781F-A588-42BE-89FD-FFDF79664566},223.8,53.33,30.72,22.61,26749
292,13151070402,704.02,ARC 10,61583,13.97,{7DFAD1C2-D64F-47AC-BEB7-CC2C963866D6},158.9,51.83,29.19,22.64,27244
293,13015960101,9601.01,ARC 20,74848,1.62,{29051A5E-F939-43AF-B42F-E198751FE708},12.2,52.23,29.35,22.88,27391
294,13015960402,9604.02,ARC 20,43032,8.29,{9B7CD47A-BCCF-43F6-B5CA-8A15F16656D2},154.4,47.49,27.18,20.31,24413
295,13015960901,9609.01,ARC 20,45375,14.09,{CC8D0A83-1030-4C44-B5BB-B632E2F30B5A},6,48.37,27.39,20.98,25255
296,13015960102,9601.02,ARC 20,59920,0,{BEC03CB1-F1F7-464B-8C3B-048E0EAB89BB},24.6,50.78,28.61,22.17,26416
297,13015960802,9608.02,ARC 20,23381,56.36,{6F334D64-7928-4538-93EC-21516749B749},57.9,48.64,28.7,19.94,24002
298,13015961000,9610,ARC 20,64450,32.46,{10C211E3-89E0-41D8-8889-D7A208F4DD09},31.8,52.72,30.04,22.67,27330
299,13015960801,9608.01,ARC 20,50481,37.56,{FF201724-6AD1-4A13-A1F1-6D523E7A8F54},43.9,51.85,30.41,21.44,25730
300,13015960300,9603,ARC 20,58203,15.78,{B9E5F70F-4C4F-4DC8-8DD8-5EB0793C954E},41.6,52.04,29.69,22.34,26767
301,13015960902,9609.02,ARC 20,57540,27.7,{4904FF9D-CDB2-4752-9275-873A98D9F871},78,50.87,29.11,21.76,26118
302,13015960500,9605,ARC 20,40651,22.65,{6FBA2498-D9B0-4839-B7AE-A12D4FB4A1EA},231.2,46.73,27.13,19.6,23338
303,13015960600,9606,ARC 20,41764,34.61,{7263D026-03C6-4588-9A38-9EA348715113},140.7,47.94,28.55,19.38,22800
304,13015960200,9602,ARC 20,44905,18.77,{E68EC375-2AF9-4110-B2E2-653620BCBA53},44.7,48.56,27.39,21.16,25364
305,13015960401,9604.01,ARC 20,45718,33.72,{CCC6E9A8-7E63-4982-B576-D37660FD7537},425.7,45.8,26.82,18.98,22410
306,13015960803,9608.03,ARC 20,48558,8.27,{7E18182B-9832-4369-BE04-E95B54B0E45D},22.8,49.18,28.3,20.88,24851
307,13015960700,9607,ARC 20,37589,18.77,{CBC9534D-E01E-455A-ABB3-B5A89B0F2AF1},53.3,43.79,25.09,18.7,22009
308,13135050319,503.19,ARC 10,38545,129.19,{604CEDB1-B0C8-40D8-B728-9D4DCA22ED79},-660,44.86,29,15.85,17744
309,13135050219,502.19,ARC 10,67209,114.6,{72359ADF-2B56-41CA-897C-A563F500E49D},-331.8,50.04,32.01,18.03,20104
310,13135050211,502.11,ARC 10,30067,164.19,{C0F9F862-5BA5-4262-82B5-E89B1CAB27E4},-947.7,40.26,26.09,14.16,15651
311,13135050215,502.15,ARC 10,50850,11.12,{23168D41-6C14-4ABB-84A1-9F66FC972454},444.6,46.32,30.61,15.7,17387
312,13135050216,502.16,ARC 10,103000,55.14,{6D1247DF-6B2B-4E5D-A4AE-D923D99CFC7A},637.8,55.37,35.71,19.65,21698
313,13135050527,505.27,ARC 10,73125,84.73,{970E12F2-7465-4447-9F78-4D4408FB1317},76.5,54.77,34.02,20.75,23449
314,13135050549,505.49,ARC 10,64672,83.61,{FDC42FBD-49B8-4724-A336-ACE17B7C31CA},235.3,53.39,33.33,20.06,22352
315,13135050540,505.40,ARC 10,52607,138.77,{8E67E24F-26C4-4AF8-9E9E-F6DF40A3F48B},544.1,46.86,30.01,16.86,19019
316,13135050722,507.22,ARC 10,59609,46.03,{F48C21F4-B7A8-4F6D-B596-C6C1A121B43D},422.9,53.19,32.22,20.98,23629
317,13135050729,507.29,ARC 10,49063,76.89,{E08963FF-73AE-4F82-8B1F-7737F23857AE},222,49.37,30.77,18.59,21186
318,13135050725,507.25,ARC 10,62092,67.69,{F961B04C-2C39-4D3B-B701-0A2D21FAEEED},280,52.76,32.36,20.4,23259
319,13135050730,507.30,ARC 10,68792,54.29,{35FC48EB-8158-4BC2-BB19-26C7B38CC354},613.3,53.43,32.26,21.16,24335
320,13135050728,507.28,ARC 10,72409,47.21,{BEF4B0EC-12CF-4A86-827D-CCB449CFD4D2},629.2,54.25,32.53,21.72,24868
321,13135050731,507.31,ARC 10,69423,53.61,{E2BFB2DC-D705-4E23-8902-6FE154C68C36},753.9,53.35,31.91,21.45,25214
322,13135050609,506.09,ARC 10,77059,40.47,{FBE3D9BE-13DC-4BD0-89F2-3F2BEB950189},591.4,54.15,32.03,22.12,25556
323,13135050610,506.10,ARC 10,92233,47.8,{1958D30F-1343-4C2A-BFCF-EDA1AE378131},593.4,55.33,33.31,22.02,24993
324,13135050541,505.41,ARC 10,31194,210.21,{F5FC0385-471D-4ED7-8CF6-A43179905AAB},442,36.65,23.66,12.99,14239
325,13135050524,505.24,ARC 10,43182,112.88,{84FAB16B-61DF-463B-9D9B-4BC98044D8AE},348.5,49.36,32.01,17.35,19534
326,13135050547,505.47,ARC 10,81607,43.37,{C94C753E-4670-4194-B512-B53654D8F627},323.3,53.54,32.54,21,24116
327,13135050523,505.23,ARC 10,50336,125.36,{A6083CA1-0713-41B0-A8D0-876C4D469D0E},691,44.11,27.48,16.63,18807
328,13135050724,507.24,ARC 10,58232,45.91,{BF27212D-1740-4888-84DE-ACE45AACCE4C},962.5,52.77,32.16,20.62,23303
329,13135050543,505.43,ARC 10,75458,73.31,{CD0FD967-610F-43F2-8893-624F0D9E5069},1206.5,53,32.71,20.29,23015
330,13135050545,505.45,ARC 10,52641,75.07,{D11F2B35-6E95-41C0-850A-DD253109399C},1447.5,51.07,31.15,19.92,22907
331,13135050727,507.27,ARC 10,88889,61.73,{A4E1E70F-50C1-4B5C-8148-F6B055D53B3B},613.8,55.02,33.48,21.54,24599
332,13135050548,505.48,ARC 10,81417,62.97,{8BD5A1C4-2CC9-4163-9D0B-039FCFBAF042},626.2,55.76,34.3,21.46,24589
333,13135050546,505.46,ARC 10,67764,76.15,{2BC9F833-CDDA-4048-9E61-0A7800B8828B},1339.1,53.19,32.21,20.97,23848
334,13135050726,507.26,ARC 10,69406,23.23,{7C506417-4409-4943-BEEA-897CCD18B259},379.3,53.17,31.26,21.91,25707
335,13135050608,506.08,ARC 10,66935,11.25,{931EA742-470A-4659-B92B-C74D3FCA38EB},228.3,53.05,30.98,22.07,25533
336,13135050607,506.07,ARC 10,77500,35.17,{D66FF444-D40D-4A18-BC30-652BEB9BF83B},930.9,53.91,32.29,21.63,24718
337,13135050542,505.42,ARC 10,45020,88.33,{4C036FFA-5288-43FC-994C-703D61BB6EFA},1649.3,40.91,26.23,14.68,16402
338,13135050536,505.36,ARC 10,55875,68.11,{FBB0EBD1-E20F-4FB1-8139-E42E04D1D9F9},239.7,50.01,31.4,18.61,20990
339,13135050537,505.37,ARC 10,34273,111.33,{0B4EB88F-DC4A-425D-B66A-C90CAF4A7ED6},660,40.1,25.2,14.9,16963
340,13135050539,505.39,ARC 10,42944,114.27,{F300532B-DD29-4C7C-8A1C-8B45EB9A92FA},1246.7,46.17,28.97,17.2,19098
341,13135050544,505.44,ARC 10,67736,83.57,{E10872F6-6B8F-42A8-8C2E-1B63B64A5ED5},1249.2,52.57,32.69,19.88,21992
342,13135050535,505.35,ARC 10,50947,67.24,{28F89343-CDE0-43C7-9872-5DDD051452F4},551.2,50.67,31.41,19.25,21465
343,13135050532,505.32,ARC 10,51467,90.99,{6F4452BE-890B-4714-B6D3-47A6DE4F3B0F},1328.2,50.81,31.66,19.16,21565
344,13135050534,505.34,ARC 10,53898,103.42,{DA352342-8AFB-48BE-AFB9-E95A515E62D4},1034.4,48.86,30.39,18.47,20319
345,13135050723,507.23,ARC 10,66667,46.86,{D2B83645-08A3-4E26-BB03-A13E48998B26},284.7,53.99,33.07,20.92,23616
346,13135050435,504.35,ARC 10,50625,60.49,{359FD4CB-539C-4BB0-874F-A89AA798F68D},68.8,47.21,29.47,17.74,19893
347,13135050531,505.31,ARC 10,51603,49.71,{13958BB9-D4CE-47EC-959D-C2876CF2ABCA},560.7,50.14,30.71,19.43,21454
348,13135050533,505.33,ARC 10,60631,59.87,{0B805285-413E-4119-B865-FA8074CB4764},776.8,51.37,31.78,19.59,21870
349,13135050436,504.36,ARC 10,42972,136.49,{2481E639-264E-4520-81C7-577AEEE014E9},684.1,44.03,27.28,16.75,18636
350,13135050433,504.33,ARC 10,34298,137.49,{F15F4FCF-2A42-4933-8600-FE03F354B9D2},450,45.28,28.74,16.54,18344
351,13135050432,504.32,ARC 10,56946,66.73,{1F9DBDF2-FE4E-4996-86BA-BEB70E92F66C},243.2,51.88,32.5,19.38,21279
352,13135050434,504.34,ARC 10,35357,205.26,{40B6EE78-EEA5-41AB-9317-C9E2DBC356F2},720,42.37,27.21,15.17,17033
353,13135050321,503.21,ARC 10,114444,126.97,{6377CA76-9EBD-4BA5-90AB-77AE0D25BD20},-12,56.33,36.36,19.96,21813
354,13217100903,1009.03,ARC 20,60469,9.31,{8FBCD2C8-BA4C-4171-98BC-A96B903EDB53},344,50.73,29.29,21.44,25178
355,13217100902,1009.02,ARC 20,48775,44.73,{4E23939E-892E-442F-928D-31B9DDF207BE},287.8,52.1,30.24,21.86,26521
356,13217100901,1009.01,ARC 20,51640,22.2,{250BDD4A-5F52-4AFE-A375-7184A7E6C49A},205.7,52.9,30.37,22.53,27009
357,13217100201,1002.01,ARC 20,60647,2.51,{E3E92842-E6F1-4AC7-B277-C7EAD8614ED2},31.4,50.93,28.53,22.4,26555
358,13217100501,1005.01,ARC 20,55838,48.03,{3073ED1B-4299-4A4D-B14E-EEDB1764F6B8},1071.6,49.75,29.13,20.62,24284
359,13217100800,1008,ARC 20,47014,6,{408A6D4C-612A-49E8-B502-DF77535056DD},98.4,51.86,29.48,22.38,26867
360,13217100202,1002.02,ARC 20,62986,11.37,{D1CE5ADF-B095-4204-988F-BE5AC6158F36},32.7,52.24,29.59,22.66,26545
361,13217100700,1007,ARC 20,30509,29.49,{D4B89B33-7EB0-4483-97B4-13AF0AA0611A},146.8,45.85,26.55,19.3,23197
362,13217100600,1006,ARC 20,38938,1.71,{63477951-B265-4985-B2FE-BAA12162C1A0},190.1,48.38,27.57,20.8,25201
363,13217100502,1005.02,ARC 20,38957,28.46,{8DBB6B08-3508-4229-BD5D-A761CA12B37E},434.9,49.29,28.96,20.33,24623
364,13217100400,1004,ARC 20,30438,3.25,{B6D256A6-6F46-41C9-BBB3-0B3E45917DF9},34.8,46.8,27.28,19.52,23497
365,13217100300,1003,ARC 20,50670,8.77,{80B7C409-B068-4BEE-B822-E8548E08D487},190,47.18,27.3,19.88,23409
366,13217100100,1001,ARC 20,67500,14.98,{2D924729-5116-4079-B0CC-FF4436202DB3},77,52.33,30.11,22.22,26438
367,13135050322,503.22,ARC 10,126414,106.91,{3CF43B48-5CAC-4FA3-B38C-B17A4FB79470},-170.5,56.08,35.91,20.17,21740
368,13135050318,503.18,ARC 10,51786,268.85,{32838233-4D6B-4CD9-8FE3-C1F3B39E1A8C},-76.7,42.4,28.62,13.78,15278
369,13135050320,503.20,ARC 10,32642,109.56,{20B1DACE-B486-480B-A325-95592380AE66},165.7,44.79,28.31,16.48,18302
370,13135050317,503.17,ARC 10,35457,256.75,{F20E540D-D133-4F6E-9B1B-FB398451F0FA},-1340,37.49,24.33,13.16,14915
371,13135050220,502.20,ARC 10,46215,163.68,{720A1D7D-1DFA-48D3-AC30-9D725AEE8FAF},573.3,43.55,28.14,15.41,17183
372,13135050214,502.14,ARC 10,80833,66.95,{7507D44A-0B49-4691-8CF2-4C61A8758562},212.9,52.66,32.76,19.9,21861
373,13135050218,502.18,ARC 10,66365,43.92,{BAD1EFA4-C7BF-4B9A-8403-2AC19A090D42},81.5,49.99,31.39,18.6,20540
374,13135050209,502.09,ARC 10,46154,82.46,{C85DF966-7BA6-4ECD-AB4F-33502754A84B},699.6,48.74,31.83,16.91,18304
375,13135050217,502.17,ARC 10,71127,71.55,{5C9CCC17-DFBB-4821-9DD1-7DC825684630},1133.6,51.34,33.49,17.85,19460
376,13135050529,505.29,ARC 10,59830,67.18,{86C01FB7-CC79-4671-9B10-56737BF0508E},86.7,48.79,30.15,18.63,21010
377,13135050530,505.30,ARC 10,73365,125.34,{60904A72-B367-4C8E-BC88-C51C94D26BD2},892.1,52.94,33.68,19.26,21137
378,13135050538,505.38,ARC 10,75438,105.44,{9F2A6264-364B-4CB1-B80C-B28718FDD6BD},163.5,53.95,34.15,19.79,22116
