OBJECTID,Acres,LCI_Name,Year,Name,yr_gf,Study_Type,GlobalID,last_edited_date
187,437,Conyers,2000,Conyers,2000,Town Center,{C885AE9C-E7A0-4D8C-9484-4DD765ECBBBA},2015-09-01T14:09:51.000Z
188,324,Dallas,2006,Dallas,2006,Town Center,{41BEEF6F-6EB9-445F-AF28-4719C7897668},2015-09-01T14:09:51.000Z
189,2075,BeltLine Subarea 7,2014,BeltLine Subarea 7,GF,BeltLine,{E0F003E3-75B6-45B5-9C27-00D5EC7A5823},2015-09-01T14:09:51.000Z
190,1205,Palmetto Town Center,2008,Palmetto Town Center,2008,Town Center,{39335565-8B42-40A2-8874-FE699E9C53B2},2015-09-01T14:09:51.000Z
191,640,Ponce de Leon,2007,Ponce de Leon,GF,Corridor,{46E20B2D-D129-4E84-BD94-F409EAF2DE28},2015-09-01T14:09:51.000Z
192,384,Peachtree City,2000,Peachtree City,2000,Activity Center,{820E0B25-5F09-4A7E-B25A-EB56ED55922D},2015-09-01T14:09:51.000Z
193,1264,Buford,2004,Buford,2004,Town Center,{975F90D9-E7BF-4F85-B708-7DB2B6838F30},2016-01-06T19:17:27.000Z
194,529,Sugar Hill,2006,Sugar Hill,GF,Town Center,{038EB703-4BD5-4537-8368-3D94A0870CF7},2015-09-01T14:09:51.000Z
195,806,Morrow - Southlake Mall,2010,Morrow,2010,Activity Center,{566ADCA2-B5EC-4C3F-90F6-F11AAF553769},2015-09-01T14:09:51.000Z
196,862,Marietta Univ. District,2012,Marietta Univ. District,2012,Activity Center,{FC0820C7-47F5-47B5-8BA0-5C1ED6B62D43},2015-11-13T18:33:20.000Z
197,2172,Delk Road TOD,2004,Delk Road TOD,2004,Activity Center,{C2A55F85-1EFC-448F-AA7B-B9A87BF5083C},2015-09-01T14:09:51.000Z
198,1040,Jimmy Carter Boulevard,2007,Jimmy Carter Boulevard,GF,Corridor,{F2D87285-E6A5-4829-A59C-3CF1462C4AC1},2015-09-01T14:09:51.000Z
199,1823,North Point,2007,North Point,2007,Activity Center,{6F0989DE-FE31-45C9-BF45-384D799329B6},2015-09-01T14:09:51.000Z
200,870,Kensington Station,2002,Kensington Station,2002,Activity Center,{AFC60815-CEE0-4A00-B4C4-377111743939},2015-09-01T14:09:51.000Z
201,1778,Marietta,2000,Marietta,2000,Town Center,{A8BCAA92-1C27-4361-9BE8-1B589398A574},2015-09-01T14:09:51.000Z
202,21,Morrow,2000,Morrow,2000,Activity Center,{303347E2-43CF-415D-9EA5-6E8622E89FA1},2015-09-01T14:09:51.000Z
203,684,Clarkston,2004,Clarkston,2004,Town Center,{243FD232-0604-4BFF-9E09-7647F5C89A37},2015-09-01T14:09:51.000Z
204,497,Acworth,2001,Acworth,2001,Town Center,{67D72C5E-FAA4-44F2-9A98-71839A0931DE},2015-09-01T14:09:51.000Z
205,1059,Hapeville,2005,Hapeville,2005,Town Center,{7298F058-E426-4A63-8723-C404D1838906},2015-09-01T14:09:51.000Z
206,533,Bankhead,2005,Bankhead,2005,Activity Center,{F9029ACE-D43A-476C-B544-8A1FA2B23AB3},2015-09-01T14:09:51.000Z
207,519,H.E. Holmes,2002,H.E. Holmes,2002,Activity Center,{8FC255A1-0E30-4D31-AA6C-8B129031FF40},2015-09-01T14:09:51.000Z
208,,Powder Springs,,Powder Springs,,,{E7C27DE0-E6B2-493E-ADD1-25123A5E6D12},2015-11-13T18:34:26.000Z
209,962,Riverdale,2006,Riverdale,2006,Town Center,{7567BC0A-A8EB-448E-ACC1-34E0CF785BA1},2015-09-01T14:09:51.000Z
210,8410,Gwinnett,2001,Gwinnett,2001,Activity Center,{19EA4520-E537-487B-8776-E69DFEC3A147},2015-09-01T14:09:51.000Z
211,723,West Lake,2006,West Lake,2006,Activity Center,{E2D27CE1-6BF5-4D15-8ADF-851A3381534C},2015-09-01T14:09:51.000Z
212,2011,Sandy Springs,2000,Sandy Springs,2000,Town Center,{4D1CE03B-C614-49E2-A850-F87A99508A62},2015-09-01T14:09:51.000Z
