OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Population__2010,Population__2000,Population_Change__2000_2010,Square_Miles,GlobalID,Pop_Chng_per_SqMi_2000_2010,Pct_Pop_Chng_2000_2010,Pop_Density_per_SqMi_2010,PopChng_per_SqMi_2000_2010
811,022800,13089022800,228,ARC 10,2015-05-27T14:29:59.000Z,3648,3738,-90,1,{F851EA42-5A8C-4A2C-9B0E-E111C0EDAF12},-90,-2.4,3648,-90
812,022600,13089022600,226,ARC 10,2015-05-27T14:29:59.000Z,5795,5081,714,1.2,{F9C3E597-2162-4FA7-B51C-E6806A6CE753},595,14.1,4829.2,595
813,022500,13089022500,225,ARC 10,2015-05-27T14:29:59.000Z,5361,5194,167,1.1,{7A5D09D7-9444-4A29-84A7-E98D2A7240F5},151.8,3.2,4873.6,151.8
814,022100,13089022100,221,ARC 10,2015-05-27T14:29:59.000Z,3654,3682,-28,1.3,{8F143132-8060-4B0F-A349-F5098966B321},-21.5,-0.8,2810.8,-21.5
815,022005,13089022005,220.05,ARC 10,2015-05-27T14:29:59.000Z,3855,4755,-900,1.3,{9763AC9A-D655-44EF-AC69-E090CA5D74A1},-692.3,-18.9,2965.4,-692.3
816,023214,13089023214,232.14,ARC 10,2015-05-27T14:29:59.000Z,5125,4636,489,2.6,{57EDE519-0726-495E-90CA-2452CE3F1EA8},188.1,10.5,1971.2,188.1
817,022203,13089022203,222.03,ARC 10,2015-05-27T14:29:59.000Z,2275,1744,531,1.1,{6152FB24-4A7C-4239-ACDC-2A62392C5851},482.7,30.4,2068.2,482.7
818,022009,13089022009,220.09,ARC 10,2015-05-27T14:29:59.000Z,5595,6383,-788,0.7,{AB5C4535-7AA7-46F6-A72B-E1E09BD974F3},-1125.7,-12.3,7992.9,-1125.7
819,021913,13089021913,219.13,ARC 10,2015-05-27T14:29:59.000Z,4388,5383,-995,1.2,{189F2CBF-B66F-41B7-BB41-AC20BA2CB774},-829.2,-18.5,3656.7,-829.2
820,021813,13089021813,218.13,ARC 10,2015-05-27T14:29:59.000Z,2631,2232,399,0.2,{84BE46FF-AE32-4BCE-A014-408711F1F6B6},1995,17.9,13155,1995
821,021605,13089021605,216.05,ARC 10,2015-05-27T14:29:59.000Z,5639,5251,388,1.4,{084B1062-3733-4418-B7B5-E63F00CED376},277.1,7.4,4027.9,277.1
822,021308,13089021308,213.08,ARC 10,2015-05-27T14:29:59.000Z,4379,5102,-723,1,{A1503813-D681-4333-882B-D83943A06718},-723,-14.2,4379,-723
823,022004,13089022004,220.04,ARC 10,2015-05-27T14:29:59.000Z,5409,5752,-343,1.4,{80DF2ADC-0372-4104-83A1-496C442BD14E},-245,-6,3863.6,-245
824,022008,13089022008,220.08,ARC 10,2015-05-27T14:29:59.000Z,7250,7604,-354,0.9,{5E441AF0-5B06-4BB4-8369-3A1512C41C5B},-393.3,-4.7,8055.6,-393.3
825,021909,13089021909,219.09,ARC 10,2015-05-27T14:29:59.000Z,5800,7269,-1469,1.3,{C7CBCE75-90DF-47E4-BBD6-C1B8C4EFB78C},-1130,-20.2,4461.5,-1130
826,022001,13089022001,220.01,ARC 10,2015-05-27T14:29:59.000Z,4125,3707,418,1.7,{9122A15F-5773-4F6F-89AF-A0997989FF44},245.9,11.3,2426.5,245.9
827,023108,13089023108,231.08,ARC 10,2015-05-27T14:29:59.000Z,4241,5139,-898,1.4,{9DA96A87-009A-4E90-BF47-6D7220E9AAB9},-641.4,-17.5,3029.3,-641.4
828,020200,13089020200,202,ARC 10,2015-05-27T14:29:59.000Z,1943,2202,-259,0.6,{54415EC5-B36F-4D7F-8ABA-3D0FBC767074},-431.7,-11.8,3238.3,-431.7
829,021306,13089021306,213.06,ARC 10,2015-05-27T14:29:59.000Z,5177,5796,-619,2,{1F98AF1C-6F8E-4B02-84C5-DE56765E30B3},-309.5,-10.7,2588.5,-309.5
830,021305,13089021305,213.05,ARC 10,2015-05-27T14:29:59.000Z,4941,4976,-35,1,{88034EDA-EBC4-4836-AF06-31FD14CE0C31},-35,-0.7,4941,-35
831,021417,13089021417,214.17,ARC 10,2015-05-27T14:29:59.000Z,5827,5576,251,0.7,{8FBE0CAB-D9E3-465D-9E2B-AC0A1E0A3EE7},358.6,4.5,8324.3,358.6
832,021415,13089021415,214.15,ARC 10,2015-05-27T14:29:59.000Z,3855,3124,731,0.8,{C2D712CB-BE30-47BE-854D-2C0C67B0E401},913.8,23.4,4818.8,913.8
833,021102,13089021102,211.02,ARC 10,2015-05-27T14:29:59.000Z,4774,5517,-743,1.4,{2F65FF24-E91B-4E2B-8438-39F9513BB7A8},-530.7,-13.5,3410,-530.7
834,021307,13089021307,213.07,ARC 10,2015-05-27T14:29:59.000Z,3975,3989,-14,1.4,{57CB32C5-8395-49EE-876B-52061FC47543},-10,-0.4,2839.3,-10
835,023601,13089023601,236.01,ARC 10,2015-05-27T14:29:59.000Z,2502,3108,-606,0.7,{F91E9E04-EEA6-48E7-9C8D-8E11B2FBE5BF},-865.7,-19.5,3574.3,-865.7
836,021412,13089021412,214.12,ARC 10,2015-05-27T14:29:59.000Z,3486,3390,96,1.2,{A2AC2F80-1724-4EF9-A85D-0B37A478BCE5},80,2.8,2905,80
837,023208,13089023208,232.08,ARC 10,2015-05-27T14:29:59.000Z,5916,6873,-957,1.8,{CF69A448-E0E5-4DCA-BFC1-D136BC3B1BFC},-531.7,-13.9,3286.7,-531.7
838,023310,13089023310,233.10,ARC 10,2015-05-27T14:29:59.000Z,9425,7434,1991,3,{F30B77F0-0B03-4FF5-BE98-361B21339965},663.7,26.8,3141.7,663.7
839,020801,13089020801,208.01,ARC 10,2015-05-27T14:29:59.000Z,2444,2710,-266,0.5,{FA2189AF-356E-42A3-92B0-CB9B5057ACD4},-532,-9.8,4888,-532
