OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Population__2010,Population__2000,Population_Change__2000_2010,Square_Miles,GlobalID,Pop_Chng_per_SqMi_2000_2010,Pct_Pop_Chng_2000_2010,Pop_Density_per_SqMi_2010,PopChng_per_SqMi_2000_2010
840,021812,13089021812,218.12,ARC 10,2015-05-27T14:29:59.000Z,2372,2222,150,0.8,{E289961A-F14D-4A98-9858-D18460F9261E},187.5,6.8,2965,187.5
841,021214,13089021214,212.14,ARC 10,2015-05-27T14:29:59.000Z,5852,5604,248,2.2,{4923DEE3-5F4F-4D58-B2A9-4B01E3C7508B},112.7,4.4,2660,112.7
842,021810,13089021810,218.10,ARC 10,2015-05-27T14:29:59.000Z,4984,4144,840,2.5,{92DD8187-B28A-40A4-B07A-BBF1D7163AEC},336,20.3,1993.6,336
843,021809,13089021809,218.09,ARC 10,2015-05-27T14:29:59.000Z,6877,6655,222,3.4,{1BEBD5DD-931D-4ACC-AB39-A3C1D1961FCB},65.3,3.3,2022.6,65.3
844,021808,13089021808,218.08,ARC 10,2015-05-27T14:29:59.000Z,4679,4634,45,1.2,{67C9F1A2-3047-432E-8FC8-025E5D4BAB13},37.5,1,3899.2,37.5
845,021806,13089021806,218.06,ARC 10,2015-05-27T14:29:59.000Z,5969,5469,500,4.3,{B300C472-41B1-413D-9B47-DFE9DFF8909E},116.3,9.1,1388.1,116.3
846,021805,13089021805,218.05,ARC 10,2015-05-27T14:29:59.000Z,6065,6416,-351,2.4,{74CD4776-6E11-4F87-96CC-1E0F5955B54F},-146.3,-5.5,2527.1,-146.3
847,021704,13089021704,217.04,ARC 10,2015-05-27T14:29:59.000Z,5417,5113,304,2.8,{5C2AC393-1696-4E54-9810-618A43128324},108.6,5.9,1934.6,108.6
848,021703,13089021703,217.03,ARC 10,2015-05-27T14:29:59.000Z,4672,4545,127,2,{279DD8C3-1FB3-4884-8E95-87691E498923},63.5,2.8,2336,63.5
849,021705,13089021705,217.05,ARC 10,2015-05-27T14:29:59.000Z,5051,4998,53,2,{0E17E383-E4C1-4C4C-99D1-23B309EE0E03},26.5,1.1,2525.5,26.5
850,021908,13089021908,219.08,ARC 10,2015-05-27T14:29:59.000Z,5213,4876,337,1.3,{4DA897D5-2F98-4B01-B857-088E389833D2},259.2,6.9,4010,259.2
851,023309,13089023309,233.09,ARC 10,2015-05-27T14:29:59.000Z,9553,7472,2081,2,{42AF3865-7740-42DF-88A3-A9125D22DB7A},1040.5,27.9,4776.5,1040.5
852,023211,13089023211,232.11,ARC 10,2015-05-27T14:29:59.000Z,2984,3795,-811,1,{6F2ECEE8-E973-41B6-A51D-94B46792A592},-811,-21.4,2984,-811
853,023212,13089023212,232.12,ARC 10,2015-05-27T14:29:59.000Z,3556,3878,-322,1.4,{446831F0-A8CD-4A60-B4DB-35B350278F3D},-230,-8.3,2540,-230
854,023306,13089023306,233.06,ARC 10,2015-05-27T14:29:59.000Z,6877,5282,1595,4.8,{FAB52803-C6B0-45DF-9390-4D9DB6C9BAED},332.3,30.2,1432.7,332.3
855,023303,13089023303,233.03,ARC 10,2015-05-27T14:29:59.000Z,6503,4605,1898,7.6,{A7687F94-90C3-428D-ADDC-0B6309B408B1},249.7,41.2,855.7,249.7
856,021706,13089021706,217.06,ARC 10,2015-05-27T14:29:59.000Z,6155,5501,654,2,{EAB96307-41E3-47BC-9B80-31243CA336B5},327,11.9,3077.5,327
857,021211,13089021211,212.11,ARC 10,2015-05-27T14:29:59.000Z,4598,4549,49,1.9,{092FC916-B683-4CEF-A83A-D99FD5F16198},25.8,1.1,2420,25.8
858,021210,13089021210,212.10,ARC 10,2015-05-27T14:29:59.000Z,5509,5169,340,2.5,{73559FA4-E018-41AD-AAAA-5310F28C51FC},136,6.6,2203.6,136
859,021213,13089021213,212.13,ARC 10,2015-05-27T14:29:59.000Z,3382,3178,204,1.2,{9B273241-CE1D-47E0-BDB9-71CD58F81556},170,6.4,2818.3,170
860,021303,13089021303,213.03,ARC 10,2015-05-27T14:29:59.000Z,6418,6078,340,1.7,{6252CFC7-0AEA-46DF-8ACC-8F53662DBD4C},200,5.6,3775.3,200
861,021301,13089021301,213.01,ARC 10,2015-05-27T14:29:59.000Z,3932,3664,268,1.4,{59FC7B0D-6EB5-4A7C-9B12-0FE958657707},191.4,7.3,2808.6,191.4
862,021209,13089021209,212.09,ARC 10,2015-05-27T14:29:59.000Z,5249,5267,-18,1.9,{743F5B29-D826-47F8-96C9-0B10F893FF80},-9.5,-0.3,2762.6,-9.5
863,021405,13089021405,214.05,ARC 10,2015-05-27T14:29:59.000Z,4232,3646,586,0.9,{4D73F724-1690-4D2C-B1DA-541F4BE51C85},651.1,16.1,4702.2,651.1
864,021208,13089021208,212.08,ARC 10,2015-05-27T14:29:59.000Z,3200,2337,863,1.4,{031B1031-D708-43E7-9AE5-13C131F673E4},616.4,36.9,2285.7,616.4
865,021204,13089021204,212.04,ARC 10,2015-05-27T14:29:59.000Z,4561,5673,-1112,1.8,{925D903D-2749-4B62-9FC1-D48CD80C5805},-617.8,-19.6,2533.9,-617.8
866,021202,13089021202,212.02,ARC 10,2015-05-27T14:29:59.000Z,6745,5458,1287,2.8,{22073761-D21B-4612-9814-C20742624406},459.6,23.6,2408.9,459.6
867,023210,13089023210,232.10,ARC 10,2015-05-27T14:29:59.000Z,6558,7276,-718,1.6,{CA55D6E6-C7BE-4030-A491-E1801C63CC0A},-448.8,-9.9,4098.8,-448.8
868,023209,13089023209,232.09,ARC 10,2015-05-27T14:29:59.000Z,4962,5777,-815,1.8,{D2A8B1EB-2642-48CC-AB90-0D21FD0334ED},-452.8,-14.1,2756.7,-452.8
869,023603,13089023603,236.03,ARC 10,2015-05-27T14:29:59.000Z,3483,4435,-952,1.1,{3C4B966E-D22B-4E70-A3C2-245A25D164A9},-865.5,-21.5,3166.4,-865.5
870,021603,13089021603,216.03,ARC 10,2015-05-27T14:29:59.000Z,5145,5523,-378,1.5,{B28F6954-E083-4E80-8567-EB18815B7B7F},-252,-6.8,3430,-252
871,090905,13057090905,909.05,ARC 10,2015-05-27T14:29:59.000Z,3908,2829,1079,1.6,{1D18A163-DBDB-4AA7-B8C1-36B14DFB2A06},674.4,38.1,2442.5,674.4
872,090904,13057090904,909.04,ARC 10,2015-05-27T14:29:59.000Z,7544,5373,2171,4.9,{0CE79F02-70CF-4426-80C5-381F39735FC2},443.1,40.4,1539.6,443.1
873,091007,13057091007,910.07,ARC 10,2015-05-27T14:29:59.000Z,6618,6210,408,3.7,{0651856F-35E9-40F8-9F34-61D12B9DBD8C},110.3,6.6,1788.6,110.3
874,090803,13057090803,908.03,ARC 10,2015-05-27T14:29:59.000Z,9858,5069,4789,9.4,{D831B565-566E-4E50-94D5-1F67534F7444},509.5,94.5,1048.7,509.5
875,090804,13057090804,908.04,ARC 10,2015-05-27T14:29:59.000Z,8585,6023,2562,10.5,{8113FE66-D754-49F7-80AA-84885CF988B9},244,42.5,817.6,244
876,091008,13057091008,910.08,ARC 10,2015-05-27T14:29:59.000Z,8676,6393,2283,3.8,{AAA3BDC5-C91C-4968-8B1D-E16245C12A51},600.8,35.7,2283.2,600.8
877,090802,13057090802,908.02,ARC 10,2015-05-27T14:29:59.000Z,6642,5348,1294,17.4,{E8E1B40C-A8FE-4B40-B969-4A591C7BF63E},74.4,24.2,381.7,74.4
878,090501,13057090501,905.01,ARC 10,2015-05-27T14:29:59.000Z,5877,3387,2490,37.5,{D1933AEE-2308-4D70-A934-F913157C3277},66.4,73.5,156.7,66.4
879,090902,13057090902,909.02,ARC 10,2015-05-27T14:29:59.000Z,13319,7375,5944,7.3,{67D6C4AD-70BE-443C-A23C-CB6C52156BF3},814.2,80.6,1824.5,814.2
880,091001,13057091001,910.01,ARC 10,2015-05-27T14:29:59.000Z,3665,2283,1382,3.5,{607830DA-E0B4-488B-95B8-F6562D32FA8F},394.9,60.5,1047.1,394.9
881,091003,13057091003,910.03,ARC 10,2015-05-27T14:29:59.000Z,7627,6372,1255,3.9,{5ED7B9D2-297E-41FF-9DEA-6F15C26665D9},321.8,19.7,1955.6,321.8
882,091102,13057091102,911.02,ARC 10,2015-05-27T14:29:59.000Z,8383,7078,1305,4.3,{4A80787A-EC81-4C7B-A3A5-8811320F864A},303.5,18.4,1949.5,303.5
883,091101,13057091101,911.01,ARC 10,2015-05-27T14:29:59.000Z,5557,5441,116,7.1,{787C9021-A34F-4DEA-8EC4-D2EBB69CF3A8},16.3,2.1,782.7,16.3
884,091103,13057091103,911.03,ARC 10,2015-05-27T14:29:59.000Z,8019,7135,884,10.8,{539C2232-9FEF-4159-97FF-8EABA576124B},81.9,12.4,742.5,81.9
885,090701,13057090701,907.01,ARC 10,2015-05-27T14:29:59.000Z,19523,7071,12452,15.6,{7D2FF21A-E85E-430E-B168-E69F3FC86E76},798.2,176.1,1251.5,798.2
886,110601,13297110601,1106.01,ARC 20,2015-05-27T14:29:59.000Z,4764,3343,1421,14.2,{1DC3D37B-34CB-4064-9235-4863E1BE9EEE},100.1,42.5,335.5,100.1
887,110507,13297110507,1105.07,ARC 20,2015-05-27T14:29:59.000Z,6872,3804,3068,11.3,{EDB4B956-2314-427B-B983-5D695B76AC78},271.5,80.7,608.1,271.5
888,110506,13297110506,1105.06,ARC 20,2015-05-27T14:29:59.000Z,5316,3533,1783,13.3,{87E5E2B2-C3C0-4532-BE50-A33E11A03B2A},134.1,50.5,399.7,134.1
889,110603,13297110603,1106.03,ARC 20,2015-05-27T14:29:59.000Z,4950,4010,940,11.7,{6C52B1B5-AD6E-47D8-874D-2D392A49A545},80.3,23.4,423.1,80.3
890,110602,13297110602,1106.02,ARC 20,2015-05-27T14:29:59.000Z,5076,3577,1499,35,{90AB2CE2-08C8-471B-8189-5D662B186880},42.8,41.9,145,42.8
891,110504,13297110504,1105.04,ARC 20,2015-05-27T14:29:59.000Z,4342,3922,420,5.3,{6920B55F-C116-4D52-8F5B-E78F42D5BC71},79.2,10.7,819.2,79.2
892,110508,13297110508,1105.08,ARC 20,2015-05-27T14:29:59.000Z,4661,3228,1433,8.6,{D8A6B94A-126C-4D7C-8198-3283C0D2900B},166.6,44.4,542,166.6
893,110503,13297110503,1105.03,ARC 20,2015-05-27T14:29:59.000Z,3355,2003,1352,7.6,{A2D4C3F3-D4EB-4A54-9C57-B955B2793A68},177.9,67.5,441.4,177.9
894,110505,13297110505,1105.05,ARC 20,2015-05-27T14:29:59.000Z,4251,2602,1649,9,{C4611DD1-4EFA-47EF-B5BA-B146AA874CA3},183.2,63.4,472.3,183.2
895,110800,13297110800,1108,ARC 20,2015-05-27T14:29:59.000Z,6739,5648,1091,50,{4E3660C9-CB03-4C0A-A39E-33577BB5553E},21.8,19.3,134.8,21.8
896,110700,13297110700,1107,ARC 20,2015-05-27T14:29:59.000Z,7305,5212,2093,25.2,{1EDFA910-9F69-4D0C-8558-7342FF31EC0D},83.1,40.2,289.9,83.1
897,110400,13297110400,1104,ARC 20,2015-05-27T14:29:59.000Z,6351,6007,344,13.4,{1DA6CF12-C91B-4142-BAC6-DAA2D94832E7},25.7,5.7,474,25.7
898,110300,13297110300,1103,ARC 20,2015-05-27T14:29:59.000Z,6875,5518,1357,13.6,{74947806-72A2-4FE5-AB58-624AAA2C9AC8},99.8,24.6,505.5,99.8
899,110200,13297110200,1102,ARC 20,2015-05-27T14:29:59.000Z,4457,3177,1280,63.6,{4AFA7FFA-40E0-429D-A06A-703C89D865DC},20.1,40.3,70.1,20.1
900,110100,13297110100,1101,ARC 20,2015-05-27T14:29:59.000Z,8454,5102,3352,48.3,{8AEADA42-B85E-44A1-820B-A25362E380E3},69.4,65.7,175,69.4
901,091005,13057091005,910.05,ARC 10,2015-05-27T14:29:59.000Z,7284,6913,371,2.9,{D2A9723A-73C7-4DF4-86C8-84AFAD1D184E},127.9,5.4,2511.7,127.9
902,091006,13057091006,910.06,ARC 10,2015-05-27T14:29:59.000Z,5085,4948,137,1.9,{B1325AEB-6A53-4141-A89F-C119110F2B2F},72.1,2.8,2676.3,72.1
903,090400,13057090400,904,ARC 10,2015-05-27T14:29:59.000Z,8928,4653,4275,17.9,{95269881-2D29-4829-9D89-E55C052B1711},238.8,91.9,498.8,238.8
904,090601,13057090601,906.01,ARC 10,2015-05-27T14:29:59.000Z,6841,4717,2124,8.5,{DC0FE117-6C98-40A1-B45C-AA47D71E636D},249.9,45,804.8,249.9
905,090901,13057090901,909.01,ARC 10,2015-05-27T14:29:59.000Z,7119,6019,1100,8.7,{F71CD924-1B54-44C6-BC01-642EADEE7720},126.4,18.3,818.3,126.4
906,090602,13057090602,906.02,ARC 10,2015-05-27T14:29:59.000Z,8376,5520,2856,14.1,{6C7847AD-0BC9-416E-B3AC-7637F3072E25},202.6,51.7,594,202.6
907,090200,13057090200,902,ARC 10,2015-05-27T14:29:59.000Z,7772,5673,2099,85.8,{BAA6E0EF-0C90-491B-B42C-16B596FFAA79},24.5,37,90.6,24.5
908,090702,13057090702,907.02,ARC 10,2015-05-27T14:29:59.000Z,7180,5833,1347,6.2,{D8400610-4223-40B4-B441-A80191A2253A},217.3,23.1,1158.1,217.3
909,090502,13057090502,905.02,ARC 10,2015-05-27T14:29:59.000Z,12065,5890,6175,31.4,{810DCA0E-A065-458B-BD21-D28B2772140E},196.7,104.8,384.2,196.7
910,090100,13057090100,901,ARC 10,2015-05-27T14:29:59.000Z,8340,5249,3091,69.4,{741338D9-7E43-430E-B7C9-CA9DE19AACCB},44.5,58.9,120.2,44.5
911,090300,13057090300,903,ARC 10,2015-05-27T14:29:59.000Z,11555,3122,8433,46.4,{2655847A-56E9-47F8-910D-6048BC24A0F2},181.7,270.1,249,181.7
912,180206,13013180206,1802.06,ARC 20,2015-05-27T14:29:59.000Z,2887,2459,428,2.7,{1CF3017C-4329-41B7-A1AF-07E6A956958B},158.5,17.4,1069.3,158.5
913,180205,13013180205,1802.05,ARC 20,2015-05-27T14:29:59.000Z,4042,3639,403,4.3,{ACA7DA8D-DFA7-4FB1-A7FB-06817BEE8D24},93.7,11.1,940,93.7
914,180402,13013180402,1804.02,ARC 20,2015-05-27T14:29:59.000Z,5993,3766,2227,16,{DCDF3B3E-083C-484A-999A-C2A37C371244},139.2,59.1,374.6,139.2
915,180303,13013180303,1803.03,ARC 20,2015-05-27T14:29:59.000Z,4229,2846,1383,11.1,{B8FE12AE-1803-4EBF-8185-A4DF36DB5B8B},124.6,48.6,381,124.6
916,180106,13013180106,1801.06,ARC 20,2015-05-27T14:29:59.000Z,2624,2818,-194,4.8,{58844F7D-3990-4896-8789-959D54D8CE50},-40.4,-6.9,546.7,-40.4
917,180103,13013180103,1801.03,ARC 20,2015-05-27T14:29:59.000Z,4668,1620,3048,11.9,{E8EE8AE8-8060-4C3D-B6F2-0F6C3702DE90},256.1,188.1,392.3,256.1
918,180401,13013180401,1804.01,ARC 20,2015-05-27T14:29:59.000Z,5191,1866,3325,21.8,{BEB0006C-9C3A-4BCC-8FAF-A520B0DA42CE},152.5,178.2,238.1,152.5
919,180203,13013180203,1802.03,ARC 20,2015-05-27T14:29:59.000Z,3187,2773,414,2.2,{58731D26-B515-4B26-AE43-6CFD7AA1E062},188.2,14.9,1448.6,188.2
920,180503,13013180503,1805.03,ARC 20,2015-05-27T14:29:59.000Z,5404,2382,3022,9,{51924144-05A3-429A-9C8A-6093CA504BC8},335.8,126.9,600.4,335.8
921,180502,13013180502,1805.02,ARC 20,2015-05-27T14:29:59.000Z,4534,2751,1783,17.7,{DF17C3BA-CC60-497E-9D02-F11E53C7D6F2},100.7,64.8,256.2,100.7
922,180204,13013180204,1802.04,ARC 20,2015-05-27T14:29:59.000Z,2416,1868,548,6.2,{FE0020BE-C96F-4A7A-B95E-A670B1C4D55D},88.4,29.3,389.7,88.4
923,180501,13013180501,1805.01,ARC 20,2015-05-27T14:29:59.000Z,5079,2469,2610,10.4,{831183C4-0234-43B1-B403-EEAF53938145},251,105.7,488.4,251
924,180301,13013180301,1803.01,ARC 20,2015-05-27T14:29:59.000Z,2062,1339,723,8.4,{CED03199-7305-4768-8D98-CA0DE4EA4B93},86.1,54,245.5,86.1
925,180302,13013180302,1803.02,ARC 20,2015-05-27T14:29:59.000Z,5749,2886,2863,11.7,{FBF8BEDF-B40C-4039-9D82-BB49AA5F97D7},244.7,99.2,491.4,244.7
926,180105,13013180105,1801.05,ARC 20,2015-05-27T14:29:59.000Z,2501,2023,478,6.3,{0E33B792-9794-45A0-82EB-C423A482B329},75.9,23.6,397,75.9
927,180104,13013180104,1801.04,ARC 20,2015-05-27T14:29:59.000Z,2016,2004,12,3.2,{8D143CBF-D5CA-4ACA-9400-327CE364FED8},3.8,0.6,630,3.8
928,180107,13013180107,1801.07,ARC 20,2015-05-27T14:29:59.000Z,3854,3669,185,7.5,{F2D80D14-DA19-4AB2-8D2A-F4EBC5DD7550},24.7,5,513.9,24.7
929,180108,13013180108,1801.08,ARC 20,2015-05-27T14:29:59.000Z,2931,2966,-35,8,{525A8865-12C6-43E5-9D23-332D8450599D},-4.4,-1.2,366.4,-4.4
930,120104,13223120104,1201.04,ARC 20,2015-05-27T14:29:59.000Z,2827,1459,1368,45.5,{7FC9C1F0-4C4E-47C1-BF78-F13F1048C089},30.1,93.8,62.1,30.1
931,120604,13223120604,1206.04,ARC 20,2015-05-27T14:29:59.000Z,5189,3673,1516,6.7,{0A56C0E2-FA0D-4824-8DD1-BB74AA070CDE},226.3,41.3,774.5,226.3
932,120601,13223120601,1206.01,ARC 20,2015-05-27T14:29:59.000Z,4740,2982,1758,4.8,{D40AB11B-AB41-4B57-B57B-04B465A29F42},366.3,59,987.5,366.3
933,120603,13223120603,1206.03,ARC 20,2015-05-27T14:29:59.000Z,5934,4180,1754,6.1,{5B9A34AD-4710-4B9E-BE84-691808F458DB},287.5,42,972.8,287.5
934,120501,13223120501,1205.01,ARC 20,2015-05-27T14:29:59.000Z,6457,3751,2706,8.8,{0AAA352E-F39A-4E2B-8D3F-EC929E71D0C5},307.5,72.1,733.8,307.5
935,120203,13223120203,1202.03,ARC 20,2015-05-27T14:29:59.000Z,5270,4353,917,4.5,{05AC2FF2-531B-4E92-84AD-554944B076B4},203.8,21.1,1171.1,203.8
936,120101,13223120101,1201.01,ARC 20,2015-05-27T14:29:59.000Z,12406,4412,7994,16.1,{1DF439B6-C267-4BFF-A8C3-399492E0128E},496.5,181.2,770.6,496.5
937,120502,13223120502,1205.02,ARC 20,2015-05-27T14:29:59.000Z,9418,7706,1712,9.8,{875E9A62-8DA1-4943-BC3B-070CC1D38D74},174.7,22.2,961,174.7
938,120503,13223120503,1205.03,ARC 20,2015-05-27T14:29:59.000Z,4838,2989,1849,8,{B481C78B-BC77-4CA1-8886-02A9C8EBAE28},231.1,61.9,604.8,231.1
939,120605,13223120605,1206.05,ARC 20,2015-05-27T14:29:59.000Z,5643,3736,1907,11.6,{7F71D3F3-9273-403A-A0A4-92F4067906C4},164.4,51,486.5,164.4
940,120602,13223120602,1206.02,ARC 20,2015-05-27T14:29:59.000Z,10000,7204,2796,9,{F0D8D098-B2C1-453C-8284-C1A2F0AA2D83},310.7,38.8,1111.1,310.7
941,120204,13223120204,1202.04,ARC 20,2015-05-27T14:29:59.000Z,6385,3968,2417,5.9,{877BCBA7-F03C-4F6A-B17C-4E1B2B2B3BE9},409.7,60.9,1082.2,409.7
942,120301,13223120301,1203.01,ARC 20,2015-05-27T14:29:59.000Z,5523,3601,1922,8,{736DA468-676B-4D9E-9FD7-3A0061DDD0AC},240.3,53.4,690.4,240.3
943,120303,13223120303,1203.03,ARC 20,2015-05-27T14:29:59.000Z,1787,1596,191,5.8,{7D4FEB25-6506-4174-A36F-7072AA0736BB},32.9,12,308.1,32.9
944,120102,13223120102,1201.02,ARC 20,2015-05-27T14:29:59.000Z,11271,4849,6422,13.1,{DBC7B316-DC70-4553-8895-C952D391A5F2},490.2,132.4,860.4,490.2
945,120103,13223120103,1201.03,ARC 20,2015-05-27T14:29:59.000Z,8567,3671,4896,25.9,{F0935450-45E8-4D51-88CF-BE4DB6B5DD0B},189,133.4,330.8,189
946,120302,13223120302,1203.02,ARC 20,2015-05-27T14:29:59.000Z,11896,6596,5300,21.8,{D5F8EA43-40D2-4AD3-AD83-7942BCFA9F5C},243.1,80.4,545.7,243.1
947,120202,13223120202,1202.02,ARC 20,2015-05-27T14:29:59.000Z,7157,3915,3242,7,{73F77C32-AA99-4EAC-8EB9-D91448BF149D},463.1,82.8,1022.4,463.1
948,120400,13223120400,1204,ARC 20,2015-05-27T14:29:59.000Z,17016,6863,10153,95.9,{8B08B3D9-9B06-415E-919A-ED7CE1AA11BE},105.9,147.9,177.4,105.9
