OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,TOTAL_JOBS_2014,JOBS_PER_SQ_MILE_2014,JOB_TO_WORKER_RATIO_2014,JOBS_AGE_29_YNGR_2014,JOBS_AGE_30_54_2014,JOBS_AGE_55_OLDR_2014,PCT_JOBS_AGE_29_YNGR_2014,PCT_JOBS_AGE_30_54_2014,PCT_JOBS_AGE_55_OLDR_2014,JOBS_EARN_1250_MO_LESS_2014,JOBS_EARN_1251_3333_MO_2014,JOBS_EARN_MORE_3333_MO_2014,PCT_JOBS_EARN_1250_MO_LESS_2014,PCT_JOBS_EARN_1251_3333_MO_2014,PCT_JOBS_EARN_MORE_3333_MO_2014,JOBS_NAICS_11_AG_FOR_FISH_2014,JOBS_NAICS_21_MINE_OIL_GAS_2014,JOBS_NAICS_22_UTILITIES_2014,JOBS_NAICS_23_CONSTRUCTION_2014,JOBS_NAICS_31_33_MANUFACT_2014,JOBS_NAICS_42_WHOLESALE_2014,JOBS_NAICS_44_45_RETAIL_2014,JOBS_NAICS_48_49_TRANS_WHS_2014,JOBS_NAICS_51_INFORMATION_2014,JOBS_NAICS_52_FINANCE_INS_2014,JOBS_NAICS_53_REAL_ESTATE_2014,JOBS_NAICS_54_PRO_SCI_TECH_2014,JOBS_NAICS_55_MANAGEMENT_2014,JOBS_NAICS_56_ADMIN_WASTE_2014,JOBS_NAICS_61_EDUCATION_2014,JOBS_NAICS_62_HEALTH_SOC_2014,JOBS_NAICS_71_ARTS_ENT_REC_2014,JOBS_NAICS_72_ACCOMM_FOOD_2014,JOBS_NAICS_81_OTHER_SERV_2014,JOBS_NAICS_92_PUBLIC_ADMIN_2014,TOTAL_JOBS_2015,JOBS_PER_SQ_MILE_2015,JOB_TO_WORKER_RATIO_2015,JOBS_AGE_29_YNGR_2015,JOBS_AGE_30_54_2015,JOBS_AGE_55_OLDR_2015,JOBS_EARN_1250_MO_LESS_2015,JOBS_EARN_1251_3333_MO_2015,JOBS_EARN_MORE_3333_MO_2015,PCT_JOBS_AGE_29_YNGR_2015,PCT_JOBS_AGE_30_54_2015,PCT_JOBS_AGE_55_OLDR_2015,PCT_JOBS_EARN_1250_MO_LESS_2015,PCT_JOBS_EARN_1251_3333_MO_2015,PCT_JOBS_EARN_MORE_3333_MO_2015,JOBS_NAICS_11_AG_FOR_FISH_2015,JOBS_NAICS_21_MINE_OIL_GAS_2015,JOBS_NAICS_22_UTILITIES_2015,JOBS_NAICS_23_CONSTRUCTION_2015,JOBS_NAICS_31_33_MANUFACT_2015,JOBS_NAICS_42_WHOLESALE_2015,JOBS_NAICS_44_45_RETAIL_2015,JOBS_NAICS_48_49_TRANS_WHS_2015,JOBS_NAICS_51_INFORMATION_2015,JOBS_NAICS_52_FINANCE_INS_2015,JOBS_NAICS_53_REAL_ESTATE_2015,JOBS_NAICS_54_PRO_SCI_TECH_2015,JOBS_NAICS_55_MANAGEMENT_2015,JOBS_NAICS_56_ADMIN_WASTE_2015,JOBS_NAICS_61_EDUCATION_2015,JOBS_NAICS_62_HEALTH_SOC_2015,JOBS_NAICS_71_ARTS_ENT_REC_2015,JOBS_NAICS_72_ACCOMM_FOOD_2015,JOBS_NAICS_81_OTHER_SERV_2015,JOBS_NAICS_92_PUBLIC_ADMIN_2015,GlobalID,last_edited_date
186,13067031408,13067,"Census Tract 314.08, Cobb County",5255,457,ARC 10,3433.82006836,8.69662952,3442.52001953,5.36534023,0.0135885,5.37894011,031408,Cobb,1645,304.6,0.7,401,974,270,24.4,59.2,16.4,361,621,663,21.9,37.8,40.3,0,0,0,103,308,130,298,437,61,15,4,6,8,4,58,117,0,82,10,4,1522,281.9,0.69,387,852,283,322,503,697,25.4,56,18.6,21.2,33,45.8,0,0,0,67,316,96,223,483,40,11,4,4,9,6,60,99,0,90,14,0,{62C9AF34-4EC3-4688-BEFA-D444D5053F5D},
187,13067030107,13067,"Census Tract 301.07, Cobb County",4822,308,ARC 10,1010.19000244,0.99805897,1011.17999268,1.57842004,0.00155947,1.57997,030107,Cobb,289,180.6,0.1,83,161,45,28.7,55.7,15.6,91,157,41,31.5,54.3,14.2,0,0,0,22,5,4,31,3,1,9,0,3,0,154,0,1,0,56,0,0,240,150,0.11,67,133,40,83,108,49,27.9,55.4,16.7,34.6,45,20.4,0,0,0,29,3,0,28,0,0,2,2,3,0,125,0,0,0,46,2,0,{F96490E2-A455-47CC-8209-8E7F8DB5567E},
188,13067030106,13067,"Census Tract 301.06, Cobb County",7536,576,ARC 10,892.39697266,8.34673023,900.74298096,1.39436996,0.0130418,1.40741003,030106,Cobb,645,460.7,0.2,203,326,116,31.5,50.5,18,264,251,130,40.9,38.9,20.2,0,0,0,25,92,39,166,6,8,13,17,30,0,29,0,10,0,177,33,0,743,530.7,0.34,235,388,120,263,303,177,31.6,52.2,16.2,35.4,40.8,23.8,0,0,0,10,103,113,196,4,4,26,14,34,0,23,0,5,0,192,19,0,{1FBA82EB-E414-4EB6-8681-1E966A78C425},
189,13067030505,13067,"Census Tract 305.05, Cobb County",7285,544,ARC 10,1290.81005859,14.84980011,1305.66003418,2.01689005,0.0232028,2.04009008,030505,Cobb,3340,1670,1.2,934,1837,569,28,55,17,964,1446,930,28.9,43.3,27.8,0,0,0,106,857,146,704,9,242,99,33,208,47,82,48,67,56,460,67,109,3252,1626,1.47,951,1744,557,869,1461,922,29.2,53.6,17.1,26.7,44.9,28.4,0,0,0,107,835,128,799,4,158,82,27,217,45,77,31,77,38,454,58,115,{778F561E-4451-4553-AC13-F4D8A9D39CFB},
190,13067030800,13067,"Census Tract 308, Cobb County",5605,618,ARC 10,1295.07995605,1.47448003,1296.55004883,2.02356005,0.00230388,2.02586007,030800,Cobb,8478,4239,6.7,1265,5213,2000,14.9,61.5,23.6,1724,3173,3581,20.3,37.4,42.2,0,0,0,261,138,318,258,713,120,288,55,668,15,460,3120,1311,22,400,216,115,8329,4164.5,3.77,1371,5098,1860,1266,3082,3981,16.5,61.2,22.3,15.2,37,47.8,0,0,0,225,171,369,295,947,110,280,39,657,5,499,2252,1717,16,436,201,110,{3CD60B2A-A22F-454D-9CF1-47F203FBC640},
191,13067030902,13067,"Census Tract 309.02, Cobb County",6341,625,ARC 10,1258.63000488,0.633331,1259.27001953,1.96660995,0.00098958,1.96761,030902,Cobb,2674,1337,1.3,617,1434,623,23.1,53.6,23.3,855,1040,779,32,38.9,29.1,0,0,0,174,44,59,424,7,23,84,54,144,30,116,777,74,49,554,54,7,2694,1347,1.22,581,1472,641,873,982,839,21.6,54.6,23.8,32.4,36.5,31.1,0,0,0,112,57,48,476,1,61,88,49,145,28,127,784,100,5,539,72,2,{57C4F2E6-0630-456E-8928-D7AD7ECC9913},
192,13067031311,13067,"Census Tract 313.11, Cobb County",9611,863,ARC 10,2023.48999023,25.65299988,2049.13989258,3.16170001,0.0400828,3.20178008,031311,Cobb,4890,1528.1,1.3,1932,2308,650,39.5,47.2,13.3,1846,1505,1539,37.8,30.8,31.5,0,0,0,481,57,898,851,25,9,15,89,25,4,53,362,51,1815,74,68,13,2989,934.1,1.35,673,1778,538,382,1214,1393,22.5,59.5,18,12.8,40.6,46.6,0,0,0,571,53,735,897,37,0,1,86,15,0,18,358,63,39,44,72,0,{32D1AAC1-3C17-4600-8F8E-9EDD051F7F55},
193,13067031406,13067,"Census Tract 314.06, Cobb County",7902,819,ARC 10,1540.89001465,0,1540.89001465,2.40763998,0,2.40763998,031406,Cobb,6152,2563.3,2.2,1366,3667,1119,22.2,59.6,18.2,1614,2212,2326,26.2,36,37.8,0,0,0,2,3,32,1196,2,64,64,15,94,34,97,140,3703,6,589,100,11,6763,2817.9,3.06,1606,3857,1300,1835,2596,2332,23.7,57,19.2,27.1,38.4,34.5,0,0,0,4,0,3,1884,2,22,57,23,18,21,55,130,3799,0,671,74,0,{D44A0D96-F118-40BC-B3E9-3EC9EB158518},
194,13067031405,13067,"Census Tract 314.05, Cobb County",8511,797,ARC 10,2500.79003906,7.97508001,2508.76000977,3.90748,0.0124611,3.91993999,031405,Cobb,1747,447.9,0.5,509,927,311,29.1,53.1,17.8,596,668,483,34.1,38.2,27.6,0,0,0,117,259,13,41,19,49,22,20,27,1,20,299,471,0,368,13,8,1587,406.9,0.72,505,803,279,581,561,445,31.8,50.6,17.6,36.6,35.3,28,0,0,0,90,145,19,35,15,47,17,10,27,0,13,290,421,0,394,64,0,{716DEC36-7CCC-4D9A-B595-86164A65C5C5},
195,13067030320,13067,"Census Tract 303.20, Cobb County",7792,507,ARC 10,2198.79003906,76.60189819,2275.39990234,3.43561006,0.11969,3.55531001,030320,Cobb,9018,2505,2.6,1362,6120,1536,15.1,67.9,17,602,1827,6589,6.7,20.3,73.1,0,0,36,304,778,1260,829,45,62,708,94,1484,1816,428,178,651,27,121,173,24,7789,2163.6,3.52,1189,5126,1474,508,1417,5864,15.3,65.8,18.9,6.5,18.2,75.3,0,0,38,312,837,1176,1015,49,9,754,114,1712,648,173,145,515,22,66,204,0,{E50D8FEA-586A-4284-95E8-ECCC48320FD3},
