OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,TOTAL_JOBS_2014,JOBS_PER_SQ_MILE_2014,JOB_TO_WORKER_RATIO_2014,JOBS_AGE_29_YNGR_2014,JOBS_AGE_30_54_2014,JOBS_AGE_55_OLDR_2014,PCT_JOBS_AGE_29_YNGR_2014,PCT_JOBS_AGE_30_54_2014,PCT_JOBS_AGE_55_OLDR_2014,JOBS_EARN_1250_MO_LESS_2014,JOBS_EARN_1251_3333_MO_2014,JOBS_EARN_MORE_3333_MO_2014,PCT_JOBS_EARN_1250_MO_LESS_2014,PCT_JOBS_EARN_1251_3333_MO_2014,PCT_JOBS_EARN_MORE_3333_MO_2014,JOBS_NAICS_11_AG_FOR_FISH_2014,JOBS_NAICS_21_MINE_OIL_GAS_2014,JOBS_NAICS_22_UTILITIES_2014,JOBS_NAICS_23_CONSTRUCTION_2014,JOBS_NAICS_31_33_MANUFACT_2014,JOBS_NAICS_42_WHOLESALE_2014,JOBS_NAICS_44_45_RETAIL_2014,JOBS_NAICS_48_49_TRANS_WHS_2014,JOBS_NAICS_51_INFORMATION_2014,JOBS_NAICS_52_FINANCE_INS_2014,JOBS_NAICS_53_REAL_ESTATE_2014,JOBS_NAICS_54_PRO_SCI_TECH_2014,JOBS_NAICS_55_MANAGEMENT_2014,JOBS_NAICS_56_ADMIN_WASTE_2014,JOBS_NAICS_61_EDUCATION_2014,JOBS_NAICS_62_HEALTH_SOC_2014,JOBS_NAICS_71_ARTS_ENT_REC_2014,JOBS_NAICS_72_ACCOMM_FOOD_2014,JOBS_NAICS_81_OTHER_SERV_2014,JOBS_NAICS_92_PUBLIC_ADMIN_2014,TOTAL_JOBS_2015,JOBS_PER_SQ_MILE_2015,JOB_TO_WORKER_RATIO_2015,JOBS_AGE_29_YNGR_2015,JOBS_AGE_30_54_2015,JOBS_AGE_55_OLDR_2015,JOBS_EARN_1250_MO_LESS_2015,JOBS_EARN_1251_3333_MO_2015,JOBS_EARN_MORE_3333_MO_2015,PCT_JOBS_AGE_29_YNGR_2015,PCT_JOBS_AGE_30_54_2015,PCT_JOBS_AGE_55_OLDR_2015,PCT_JOBS_EARN_1250_MO_LESS_2015,PCT_JOBS_EARN_1251_3333_MO_2015,PCT_JOBS_EARN_MORE_3333_MO_2015,JOBS_NAICS_11_AG_FOR_FISH_2015,JOBS_NAICS_21_MINE_OIL_GAS_2015,JOBS_NAICS_22_UTILITIES_2015,JOBS_NAICS_23_CONSTRUCTION_2015,JOBS_NAICS_31_33_MANUFACT_2015,JOBS_NAICS_42_WHOLESALE_2015,JOBS_NAICS_44_45_RETAIL_2015,JOBS_NAICS_48_49_TRANS_WHS_2015,JOBS_NAICS_51_INFORMATION_2015,JOBS_NAICS_52_FINANCE_INS_2015,JOBS_NAICS_53_REAL_ESTATE_2015,JOBS_NAICS_54_PRO_SCI_TECH_2015,JOBS_NAICS_55_MANAGEMENT_2015,JOBS_NAICS_56_ADMIN_WASTE_2015,JOBS_NAICS_61_EDUCATION_2015,JOBS_NAICS_62_HEALTH_SOC_2015,JOBS_NAICS_71_ARTS_ENT_REC_2015,JOBS_NAICS_72_ACCOMM_FOOD_2015,JOBS_NAICS_81_OTHER_SERV_2015,JOBS_NAICS_92_PUBLIC_ADMIN_2015,GlobalID,last_edited_date
1,13045910103,13045,"Census Tract 9101.03, Carroll County",4824,361,ARC 20,13733.90039063,211.03199768,13945,21.45919991,0.32973701,21.78910065,910103,Carroll,1257,57.7,0.6,419,627,211,33.3,49.9,16.8,545,488,224,43.4,38.8,17.8,0,22,0,76,7,19,525,10,7,9,1,52,0,5,149,78,11,251,34,1,1378,63.2,0.62,493,664,221,550,579,249,35.8,48.2,16,39.9,42,18.1,0,26,0,124,1,5,539,4,5,13,0,45,0,12,144,94,8,317,41,0,{05AEDD3E-A057-4AF5-BF88-8F482D12A6B9},
2,13045910104,13045,"Census Tract 9101.04, Carroll County",10068,865,ARC 20,10931.29980469,177.147995,11108.5,17.0802002,0.27679399,17.35700035,910104,Carroll,2515,144.5,0.7,495,1563,457,19.7,62.1,18.2,424,819,1272,16.9,32.6,50.6,0,21,0,121,996,446,91,132,4,9,10,20,1,271,143,40,0,140,28,42,2527,145.2,1.14,493,1548,486,406,786,1335,19.5,61.3,19.2,16.1,31.1,52.8,0,16,0,151,966,457,81,178,0,9,7,19,2,238,144,57,0,132,26,44,{8994B304-A68E-48F4-B9D1-11EC06E21DA6},
3,13045910502,13045,"Census Tract 9105.02, Carroll County",3339,523,ARC 20,1039.95996094,35.62200165,1075.58996582,1.62494004,0.0556594,1.68060994,910502,Carroll,559,328.8,0.6,143,277,139,25.6,49.6,24.9,150,253,156,26.8,45.3,27.9,0,0,0,26,102,68,105,40,0,0,22,38,0,6,0,38,0,5,30,79,531,312.4,0.24,135,278,118,152,235,144,25.4,52.4,22.2,28.6,44.3,27.1,1,0,32,37,110,68,116,41,0,0,26,32,0,3,0,34,0,2,29,0,{F77D1842-07DC-4F77-B75B-293150942C62},
4,13045910800,13045,"Census Tract 9108, Carroll County",4188,451,ARC 20,42136.6015625,437.87399292,42574.5,65.83840179,0.68417799,66.52269745,910800,Carroll,216,3.2,0.1,41,122,53,19,56.5,24.5,52,82,82,24.1,38,38,1,0,0,38,27,21,37,3,0,1,0,4,0,7,41,2,0,15,1,18,280,4.2,0.13,60,155,65,73,114,93,21.4,55.4,23.2,26.1,40.7,33.2,56,0,0,62,24,22,46,0,0,0,0,0,0,0,37,3,0,21,0,9,{388F20F3-E10D-4D8E-9AAE-E9629089D3E4},
5,13045910101,13045,"Census Tract 9101.01, Carroll County",6224,495,ARC 20,4104.14990234,16.12610054,4120.27001953,6.41273022,0.025197,6.43792009,910101,Carroll,2181,340.8,0.9,597,1184,400,27.4,54.3,18.3,740,887,554,33.9,40.7,25.4,22,0,0,123,91,95,271,223,7,88,20,66,1,93,149,323,0,397,89,123,3059,478,1.38,785,1754,520,837,1275,947,25.7,57.3,17,27.4,41.7,31,21,0,0,152,91,123,377,175,32,82,27,64,0,83,141,975,12,462,106,136,{DBA55F9C-E305-4226-819F-22D55368D131},
6,13045910200,13045,"Census Tract 9102, Carroll County",11669,1080,ARC 20,29329.30078125,392.24899292,29721.59960938,45.82699966,0.61288899,46.43999863,910200,Carroll,980,21.1,0.2,281,574,125,28.7,58.6,12.8,332,389,259,33.9,39.7,26.4,0,0,0,74,228,29,146,14,1,10,2,26,0,33,174,32,0,146,33,32,1232,26.6,0.56,306,769,157,323,519,390,24.8,62.4,12.7,26.2,42.1,31.7,0,0,0,63,501,26,143,16,0,12,4,21,0,36,161,29,0,137,41,42,{9F565431-FCAB-407D-9136-9691DF48D99D},
7,13045910900,13045,"Census Tract 9109, Carroll County",4064,348,ARC 20,32149.59960938,480.14801025,32629.69921875,50.2336998,0.75023103,50.98389816,910900,Carroll,294,5.8,0.2,62,173,59,21.1,58.8,20.1,92,122,80,31.3,41.5,27.2,0,0,0,85,1,10,58,7,1,2,5,10,2,14,70,3,1,1,20,4,255,5,0.12,48,151,56,80,99,76,18.8,59.2,22,31.4,38.8,29.8,0,0,0,51,0,10,62,3,0,0,4,10,0,12,76,2,0,1,20,4,{7BDABE53-13DC-4551-BA01-E47E1082152A},
8,13045910300,13045,"Census Tract 9103, Carroll County",5978,488,ARC 20,36344.8984375,214.26400757,36559.1015625,56.78889847,0.33478799,57.12360001,910300,Carroll,1476,25.8,0.6,472,730,274,32,49.5,18.6,596,566,314,40.4,38.3,21.3,0,0,0,318,15,19,500,26,0,1,10,19,1,55,85,26,0,387,2,12,1481,25.9,0.67,459,744,278,553,593,335,31,50.2,18.8,37.3,40,22.6,0,0,0,333,16,7,516,27,1,0,10,35,0,32,83,38,0,373,0,10,{2634B394-F916-46E2-A743-21A16981DF42},
9,13045911100,13045,"Census Tract 9111, Carroll County",7217,756,ARC 20,12758.70019531,138.08599854,12896.79980469,19.93549919,0.21575899,20.15119934,911100,Carroll,6196,306.7,2.3,1877,3322,997,30.3,53.6,16.1,2230,2332,1634,36,37.6,26.4,0,0,0,106,29,88,1124,13,693,187,43,142,2,203,772,1210,125,944,89,426,8442,417.9,3.82,2270,4706,1466,2406,3252,2784,26.9,55.7,17.4,28.5,38.5,33,0,0,0,153,29,55,1151,16,624,165,37,113,0,126,756,3532,143,1052,56,434,{60DA917A-9F2C-46D3-A75D-B14AB62DF590},
10,13045911000,13045,"Census Tract 9110, Carroll County",6083,761,ARC 20,12543,130.88600159,12673.79980469,19.59840012,0.204509,19.80279922,911000,Carroll,5221,263.7,2.1,1461,2780,980,28,53.2,18.8,1076,1251,2894,20.6,24,55.4,0,0,0,62,2324,69,313,2,11,39,24,72,1150,161,636,79,0,221,54,4,5071,256.1,2.29,1397,2738,936,1058,1065,2948,27.5,54,18.5,20.9,21,58.1,0,0,0,44,2197,67,339,0,2,28,33,47,1230,138,596,73,0,219,58,0,{50AFCA81-0A57-45F4-97FA-E046B38D4EF9},
11,13045910701,13045,"Census Tract 9107.01, Carroll County",9360,796,ARC 20,16111.20019531,125.41100311,16236.59960938,25.17370033,0.19595499,25.36969948,910701,Carroll,2029,79.9,0.6,526,1109,394,25.9,54.7,19.4,688,749,592,33.9,36.9,29.2,0,0,26,108,33,88,237,34,22,62,46,101,0,288,436,90,30,263,121,44,2261,89,1.02,671,1166,424,734,888,639,29.7,51.6,18.8,32.5,39.3,28.3,0,0,0,196,28,59,245,35,4,92,64,100,0,235,339,294,31,318,115,106,{9D99CFEE-F4A6-4BD7-933E-B207D9362C53},
12,13045910703,13045,"Census Tract 9107.03, Carroll County",8743,899,ARC 20,8591.16992188,261.16799927,8852.33984375,13.42370033,0.408075,13.83180046,910703,Carroll,1475,106.9,0.5,374,803,298,25.4,54.4,20.2,512,624,339,34.7,42.3,23,0,0,0,46,58,71,390,6,31,32,10,97,0,66,102,331,22,156,49,8,1352,98,0.61,397,668,287,518,529,305,29.4,49.4,21.2,38.3,39.1,22.6,0,0,0,52,51,48,386,3,19,34,15,79,0,53,100,257,23,147,81,4,{D4AF3A1F-3333-4C05-9CE9-39FB0B9611BA},
13,13045910600,13045,"Census Tract 9106, Carroll County",6391,522,ARC 20,8041.37988281,0.54437298,8041.91992188,12.56470013,0.00085058,12.56550026,910600,Carroll,2526,200.5,1.2,665,1374,487,26.3,54.4,19.3,616,1268,642,24.4,50.2,25.4,0,7,131,295,17,14,540,7,68,122,18,90,1,17,56,118,7,233,34,751,2545,202,1.15,658,1374,513,601,1263,681,25.9,54,20.2,23.6,49.6,26.8,0,7,131,290,15,6,467,1,77,146,13,95,0,0,62,135,5,274,53,768,{85E064BD-AFD8-4065-B161-B61752EC75D1},
14,13045910501,13045,"Census Tract 9105.01, Carroll County",8615,712,ARC 20,7382.89013672,0,7382.89013672,11.53579998,0,11.53579998,910501,Carroll,6440,560,2.8,1636,3636,1168,25.4,56.5,18.1,1292,3052,2096,20.1,47.4,32.5,1,0,0,482,1933,280,223,3,48,65,56,34,6,942,1879,52,7,392,33,4,6559,570.3,2.97,1666,3676,1217,1308,2792,2459,25.4,56,18.6,19.9,42.6,37.5,0,0,0,425,2121,339,179,6,38,59,48,26,4,844,1889,62,4,480,35,0,{26785037-B262-4092-A857-1F170DFE16A8},
15,13045910702,13045,"Census Tract 9107.02, Carroll County",8052,958,ARC 20,14868.5,304.74301147,15173.29980469,23.23200035,0.476161,23.70829964,910702,Carroll,616,26,0.2,84,420,112,13.6,68.2,18.2,115,189,312,18.7,30.7,50.6,0,0,0,30,29,7,39,8,0,0,13,45,2,395,4,6,0,18,19,1,877,37,0.4,200,541,136,165,324,388,22.8,61.7,15.5,18.8,36.9,44.2,0,0,0,36,32,13,53,12,0,0,11,36,0,560,2,5,14,18,85,0,{8DCC8932-3D7E-4260-BBF6-2C8414622862},
16,13045911200,13045,"Census Tract 9112, Carroll County",5615,622,ARC 20,41791.80078125,67.61920166,41859.5,65.29969788,0.105655,65.40550232,911200,Carroll,1388,21.2,0.6,316,774,298,22.8,55.8,21.5,357,831,200,25.7,59.9,14.4,1,0,0,109,625,39,209,9,2,7,0,14,1,28,79,141,2,57,8,57,1306,20,0.59,297,725,284,388,756,162,22.7,55.5,21.7,29.7,57.9,12.4,2,0,0,64,626,28,230,8,0,3,1,14,0,23,62,127,5,45,11,57,{95C1F67C-03B6-4C52-9869-82777BA731AF},
17,13045910400,13045,"Census Tract 9104, Carroll County",3326,320,ARC 20,27550.09960938,53.30459976,27603.40039063,43.04700089,0.0832884,43.13029861,910400,Carroll,304,7.1,0.2,77,170,57,25.3,55.9,18.8,109,108,87,35.9,35.5,28.6,47,0,0,25,8,1,21,15,5,17,1,7,0,9,84,7,0,50,7,0,293,6.8,0.13,62,177,54,86,106,101,21.2,60.4,18.4,29.4,36.2,34.5,55,0,0,46,5,1,27,15,3,13,2,5,0,2,68,4,0,40,7,0,{C5453D87-1A21-4E02-BD57-FB7EBF7E1E8A},
18,13113140207,13113,"Census Tract 1402.07, Fayette County",5652,400,ARC 10,1817.18005371,197.76800537,2014.94995117,2.83933997,0.30901301,3.14836001,140207,Fayette,1879,606.1,0.8,571,941,367,30.4,50.1,19.5,794,712,373,42.3,37.9,19.9,0,0,1,19,2,47,440,9,11,53,16,113,15,85,15,257,67,583,137,9,1832,591,0.83,562,913,357,746,718,368,30.7,49.8,19.5,40.7,39.2,20.1,0,0,0,10,4,32,492,0,7,55,12,146,9,60,2,271,2,590,139,1,{CEF96666-DE02-4F2F-A0D5-810779ED62A7},
19,13113140208,13113,"Census Tract 1402.08, Fayette County",7538,616,ARC 10,4174.27001953,123.97299957,4298.25,6.52229977,0.193708,6.71602011,140208,Fayette,5134,766.3,1.6,1301,2805,1028,25.3,54.6,20,1593,1822,1719,31,35.5,33.5,0,5,2,178,225,392,721,522,14,165,61,534,4,244,308,594,160,742,230,33,5600,835.8,2.53,1307,3082,1211,1588,2048,1964,23.3,55,21.6,28.4,36.6,35.1,0,7,1,198,618,389,747,520,2,162,51,578,0,235,321,632,116,781,242,0,{99A0529A-BB18-4033-8A4E-B4EE52071981},
20,13113140303,13113,"Census Tract 1403.03, Fayette County",4828,268,ARC 10,3397.15991211,234.27900696,3631.43994141,5.30806017,0.366061,5.67411995,140303,Fayette,5654,991.9,2.8,1197,3308,1149,21.2,58.5,20.3,1290,2067,2297,22.8,36.6,40.6,0,2,0,409,1559,887,724,173,53,35,110,109,19,49,248,113,56,485,314,309,6574,1153.3,2.97,1532,3710,1332,1517,2305,2752,23.3,56.4,20.3,23.1,35.1,41.9,0,0,0,526,1770,1038,762,273,68,45,96,131,17,14,239,111,45,684,382,373,{B1697C12-4207-49E0-9F61-F740938EDB55},
21,13113140304,13113,"Census Tract 1403.04, Fayette County",5927,416,ARC 10,3411.91992188,33.34960175,3445.27001953,5.33112001,0.0521088,5.38323021,140304,Fayette,1574,291.5,0.6,361,913,300,22.9,58,19.1,481,636,457,30.6,40.4,29,0,0,2,57,10,32,141,91,47,30,8,158,1,170,155,389,33,94,134,22,1786,330.7,0.81,473,992,321,547,650,589,26.5,55.5,18,30.6,36.4,33,0,0,0,56,9,84,291,228,26,29,5,178,0,179,146,313,32,146,64,0,{82C6FFFA-181F-4ED4-9736-2414DE2A751F},
22,13113140307,13113,"Census Tract 1403.07, Fayette County",5048,306,ARC 10,4196.87011719,96.89790344,4293.77001953,6.55761003,0.15140299,6.70902014,140307,Fayette,600,89.6,0.3,72,368,160,12,61.3,26.7,172,145,283,28.7,24.2,47.2,0,0,0,16,3,43,10,1,3,5,5,24,1,7,377,51,2,13,27,12,600,89.6,0.27,62,375,163,164,133,303,10.3,62.5,27.2,27.3,22.2,50.5,0,0,0,26,3,55,4,0,2,3,5,18,0,9,387,51,2,7,28,0,{3BE5CF6E-F2B6-4BC9-91A0-F29E15829E01},
23,13113140408,13113,"Census Tract 1404.08, Fayette County",3096,283,ARC 10,3867.0300293,57.24739838,3924.2800293,6.04223013,0.0894491,6.13169003,140408,Fayette,126,20.7,0.1,50,54,22,39.7,42.9,17.5,67,37,22,53.2,29.4,17.5,0,0,0,17,0,3,0,10,0,0,1,6,0,13,21,5,0,48,0,2,128,21,0.06,50,52,26,57,42,29,39.1,40.6,20.3,44.5,32.8,22.7,0,0,0,15,0,4,0,12,0,0,0,5,0,14,28,8,0,42,0,0,{29B60649-B0E2-4926-BBB3-1699828E9FB6},
24,13113140407,13113,"Census Tract 1404.07, Fayette County",8111,572,ARC 10,5399.68017578,120.4280014,5520.10986328,8.43700027,0.188169,8.62516975,140407,Fayette,860,100,0.3,164,477,219,19.1,55.5,25.5,213,366,281,24.8,42.6,32.7,0,1,0,263,17,36,47,23,4,25,23,81,1,98,0,115,3,9,99,15,981,114.1,0.44,213,525,243,251,349,381,21.7,53.5,24.8,25.6,35.6,38.8,0,0,0,317,17,26,77,31,3,32,20,109,0,105,0,122,1,23,90,8,{5A5DD026-7602-4B28-8947-7B1778CE8B2C},
25,13113140405,13113,"Census Tract 1404.05, Fayette County",3829,294,ARC 10,4918.27978516,133.022995,5051.31005859,7.68481016,0.207848,7.89267015,140405,Fayette,530,67.1,0.3,192,244,94,36.2,46,17.7,233,173,124,44,32.6,23.4,0,0,0,17,1,22,126,6,2,25,0,15,4,19,88,20,2,144,31,8,616,78,0.28,208,275,133,274,222,120,33.8,44.6,21.6,44.5,36,19.5,0,0,0,12,2,18,182,1,0,26,0,20,0,22,122,13,2,166,30,0,{E32C6BAA-D5DE-48EF-991E-DB897F246F8F},
26,13113140404,13113,"Census Tract 1404.04, Fayette County",5745,510,ARC 10,3411.18994141,108.55000305,3519.73999023,5.3299799,0.169609,5.49958992,140404,Fayette,5402,982.2,2.1,985,3156,1261,18.2,58.4,23.3,1478,1989,1935,27.4,36.8,35.8,0,0,1,29,16,116,301,165,106,167,45,237,23,124,1515,934,11,652,99,861,5235,951.8,2.37,879,3070,1286,1362,1837,2036,16.8,58.6,24.6,26,35.1,38.9,0,0,1,36,9,141,294,253,78,172,41,231,18,117,1466,779,21,557,85,936,{AF02ADAB-5E46-435A-B927-88E64E8353CE},
27,13113140206,13113,"Census Tract 1402.06, Fayette County",4543,391,ARC 10,3422.86010742,130.86700439,3553.72998047,5.34821987,0.20448001,5.55270004,140206,Fayette,2133,380.9,1.1,521,1104,508,24.4,51.8,23.8,896,663,574,42,31.1,26.9,0,0,0,86,2,110,397,154,9,73,13,167,97,42,199,331,3,356,79,15,1625,290.2,0.73,393,849,383,621,529,475,24.2,52.2,23.6,38.2,32.6,29.2,0,0,0,135,0,94,310,0,5,61,8,133,0,25,204,325,1,257,67,0,{D2E2C8CA-8CFC-45DC-A836-B43641939A1D},
28,13113140203,13113,"Census Tract 1402.03, Fayette County",5400,482,ARC 10,6488.79003906,169.83900452,6658.62011719,10.13869953,0.26537299,10.40410042,140203,Fayette,1617,155.5,0.6,373,936,308,23.1,57.9,19,525,615,477,32.5,38,29.5,0,0,0,248,115,115,199,20,7,79,61,94,63,22,32,142,53,183,141,43,1748,168.1,0.79,412,946,390,534,623,591,23.6,54.1,22.3,30.5,35.6,33.8,0,0,0,364,112,125,189,38,1,82,70,126,44,14,31,168,33,201,148,2,{CDBC50E4-4D4D-4F36-BF35-CCCC705BDC51},
29,13113140204,13113,"Census Tract 1402.04, Fayette County",5439,557,ARC 10,10142.70019531,228.47399902,10371.20019531,15.84799957,0.35699099,16.20499992,140204,Fayette,2431,150.1,1.2,331,1562,538,13.6,64.3,22.1,366,894,1171,15.1,36.8,48.2,0,0,0,95,16,29,43,29,19,7,16,79,4,37,338,1623,8,38,20,30,2485,153.4,1.12,345,1585,555,368,858,1259,13.9,63.8,22.3,14.8,34.5,50.7,0,0,0,81,18,48,39,12,19,3,37,138,7,48,352,1637,5,41,0,0,{B9CD1872-E881-4738-AEED-57ED914DF86E},
30,13113140305,13113,"Census Tract 1403.05, Fayette County",5108,420,ARC 10,6317.52001953,149.32000732,6466.83007813,9.87112999,0.23331299,10.10439968,140305,Fayette,485,48,0.2,107,254,124,22.1,52.4,25.6,173,138,174,35.7,28.5,35.9,0,0,0,14,3,12,100,3,3,10,9,73,0,26,105,94,1,23,7,2,532,52.7,0.24,112,286,134,173,172,187,21.1,53.8,25.2,32.5,32.3,35.2,0,0,0,57,2,7,101,0,1,13,5,67,0,20,122,100,0,32,5,0,{C5BA6A13-E47A-4F56-9067-8A84A2065B0F},
31,13113140403,13113,"Census Tract 1404.03, Fayette County",5245,426,ARC 10,3869.63989258,69.19960022,3938.84008789,6.04630995,0.108124,6.15443993,140403,Fayette,1678,270.6,0.7,550,808,320,32.8,48.2,19.1,839,562,277,50,33.5,16.5,0,0,0,30,3,54,678,15,4,80,19,65,1,40,34,298,3,319,24,11,1546,249.4,0.7,514,749,283,719,534,293,33.2,48.4,18.3,46.5,34.5,19,0,0,0,18,0,46,652,24,0,56,15,64,0,56,1,238,22,332,22,0,{85C1E209-8627-452B-8951-A8F34FE5B0B9},
32,13113140406,13113,"Census Tract 1404.06, Fayette County",3703,444,ARC 10,3291.55004883,58.01589966,3349.57006836,5.14305019,0.0906498,5.2336998,140406,Fayette,2412,463.8,1.6,693,1220,499,28.7,50.6,20.7,879,849,684,36.4,35.2,28.4,10,0,0,408,6,56,387,1,36,226,22,219,0,88,27,203,50,457,80,136,2606,501.2,1.18,743,1341,522,925,905,776,28.5,51.5,20,35.5,34.7,29.8,7,0,0,461,1,70,395,6,33,228,28,198,0,129,19,185,39,546,77,184,{D7C5568B-EA47-433E-9223-F28DAFE26438},
33,13113140306,13113,"Census Tract 1403.06, Fayette County",7752,573,ARC 10,3277.19995117,17.38680077,3294.59008789,5.12062979,0.0271669,5.14779997,140306,Fayette,1934,379.2,0.6,381,1189,364,19.7,61.5,18.8,372,454,1108,19.2,23.5,57.3,1,0,32,134,613,320,176,7,13,15,6,44,70,23,103,101,20,171,70,15,2108,413.3,0.95,424,1283,401,405,515,1188,20.1,60.9,19,19.2,24.4,56.4,0,0,34,114,778,292,172,4,45,16,3,57,55,10,127,131,0,197,73,0,{54B84416-D036-4FDE-B837-D8BA22291940},
34,13113140102,13113,"Census Tract 1401.02, Fayette County",5312,515,ARC 10,7621.85986328,108.15200043,7730.00976563,11.90919971,0.16898701,12.0781002,140102,Fayette,4595,379.8,2,1411,2437,747,30.7,53,16.3,1791,1755,1049,39,38.2,22.8,2,0,0,512,198,260,1715,59,63,51,50,169,4,149,51,524,191,428,159,10,4670,386,2.11,1444,2448,778,1831,1797,1042,30.9,52.4,16.7,39.2,38.5,22.3,2,0,0,532,153,179,1942,41,60,50,37,163,2,271,33,528,128,363,186,0,{832CC3A6-B843-431F-8431-8E2BDC4FEAA9},
35,13113140101,13113,"Census Tract 1401.01, Fayette County",7472,637,ARC 10,10301.79980469,226.91600037,10528.70019531,16.09659958,0.35455599,16.4510994,140101,Fayette,610,37,0.2,188,293,129,30.8,48,21.1,317,167,126,52,27.4,20.7,0,0,0,21,1,7,58,10,3,2,5,16,0,40,169,22,3,239,4,10,537,32.5,0.24,164,260,113,269,136,132,30.5,48.4,21,50.1,25.3,24.6,0,0,0,18,0,2,56,10,1,10,2,22,0,44,154,23,6,180,9,0,{DC546CAB-A422-43E2-8105-F02D0668B3F6},
36,13113140502,13113,"Census Tract 1405.02, Fayette County",3649,405,ARC 10,17381.80078125,481.39300537,17863.19921875,27.15909958,0.752177,27.91119957,140502,Fayette,96,3.4,0.1,20,54,22,20.8,56.3,22.9,29,42,25,30.2,43.8,26,0,0,0,50,7,6,1,1,0,3,7,7,1,8,0,0,0,1,1,3,174,6.2,0.08,34,103,37,34,87,53,19.5,59.2,21.3,19.5,50,30.5,0,0,0,98,8,10,4,0,0,4,8,12,1,11,0,2,0,7,1,8,{96BE3562-52FB-4CD2-943E-00FFCC035F05},
37,13113140501,13113,"Census Tract 1405.01, Fayette County",6098,377,ARC 10,17669.80078125,441.76998901,18111.5,27.60910034,0.69026601,28.29920006,140501,Fayette,588,20.8,0.2,84,331,173,14.3,56.3,29.4,177,201,210,30.1,34.2,35.7,19,0,0,45,2,18,32,13,10,13,32,38,4,59,204,8,64,2,23,2,542,19.2,0.25,56,341,145,147,183,212,10.3,62.9,26.8,27.1,33.8,39.1,20,0,0,56,1,10,35,19,10,12,47,26,2,61,229,4,0,0,10,0,{9BC575D8-4307-4EF3-AC61-F38B0FBFEC1B},
38,13247060404,13247,"Census Tract 604.04, Rockdale County",6028,462,ARC 10,3796.5,48.77640152,3845.27001953,5.9320302,0.0762131,6.00823021,060404,Rockdale,480,80,0.2,79,293,108,16.5,61,22.5,127,185,168,26.5,38.5,35,0,0,0,18,0,2,26,2,1,5,1,25,0,20,238,116,1,3,22,0,242,40.3,0.11,54,140,48,54,130,58,22.3,57.9,19.8,22.3,53.7,24,0,0,0,25,3,2,26,1,1,0,1,21,0,10,1,125,8,0,17,1,{3935D630-D59C-4540-B240-E11174A848E5},
39,13247060304,13247,"Census Tract 603.04, Rockdale County",5261,738,ARC 10,5097.10009766,60.16889954,5157.27001953,7.96422005,0.0940139,8.0582304,060304,Rockdale,11086,1368.6,5.3,2526,6397,2163,22.8,57.7,19.5,2898,3951,4237,26.1,35.6,38.2,2,3,45,994,2191,694,1501,138,156,473,235,388,43,981,697,703,39,1289,249,265,10243,1264.6,4.63,2521,5720,2002,2863,3770,3610,24.6,55.8,19.5,28,36.8,35.2,1,0,55,1215,1631,422,1561,112,162,356,306,476,24,1075,89,696,41,1435,302,284,{F920EA2F-3BC6-45B7-A28B-C218D345001F},
40,13247060101,13247,"Census Tract 601.01, Rockdale County",3205,544,ARC 10,6921.25976563,131.19799805,7052.45996094,10.81449986,0.204997,11.01949978,060101,Rockdale,170,15.5,0.1,28,103,39,16.5,60.6,22.9,47,54,69,27.6,31.8,40.6,0,0,0,39,0,6,15,1,2,0,0,8,0,6,74,16,0,2,0,1,107,9.7,0.05,26,59,22,30,43,34,24.3,55.1,20.6,28,40.2,31.8,0,0,0,47,1,5,18,1,0,0,0,16,0,4,0,15,0,0,0,0,{C9597827-B609-48D1-A1D4-6ECE74741F93},
41,13247060202,13247,"Census Tract 602.02, Rockdale County",10334,820,ARC 10,6994.12011719,101.35199738,7095.47021484,10.9282999,0.158362,11.08670044,060202,Rockdale,537,48.4,0.1,115,309,113,21.4,57.5,21,191,165,181,35.6,30.7,33.7,0,0,0,22,4,1,13,5,2,5,7,32,2,30,218,64,0,83,9,40,232,20.9,0.1,37,143,52,63,88,81,15.9,61.6,22.4,27.2,37.9,34.9,0,0,0,30,2,3,24,8,0,3,11,28,0,22,0,55,1,0,10,35,{0933B231-7504-4E6A-AEB3-0A8741AAB586},
42,13247060201,13247,"Census Tract 602.01, Rockdale County",4789,558,ARC 10,3131.2199707,161.72900391,3292.94995117,4.89252996,0.252702,5.14522982,060201,Rockdale,1067,209.2,0.8,193,639,235,18.1,59.9,22,217,468,382,20.3,43.9,35.8,22,0,7,325,114,107,112,111,11,10,15,15,0,41,2,19,0,73,70,13,1217,238.6,0.55,174,759,284,211,508,498,14.3,62.4,23.3,17.3,41.7,40.9,34,0,6,260,90,103,99,303,12,9,13,16,0,54,0,51,0,78,79,10,{37602CF0-C444-40D7-A2EF-26A6428D24A3},
