OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,GlobalID,Pop_Change_per_SqMi_2000_2010,Pct_HH_wBroadandAccess_5isBest
36,13113140502,1405.02,ARC 10,2015-05-19T14:17:34.000Z,32.1,73591,{ED6089F9-4C3C-40EB-A7C2-CB34F8801EDE},12.4,4
37,13113140501,1405.01,ARC 10,2015-05-19T14:17:34.000Z,38,84885,{E88D538E-AC65-4173-8E87-A6DFC8D4B26A},42.3,5
38,13247060404,604.04,ARC 10,2015-05-19T14:17:34.000Z,22.6,54146,{9B1E9E0D-81C0-4FA2-9EE7-DC1D28BB9776},-45.3,4
39,13247060304,603.04,ARC 10,2015-05-19T14:17:34.000Z,25,42554,{9DE7924E-536A-4554-9AE7-C9A75904E427},120.7,3
40,13247060101,601.01,ARC 10,2015-05-19T14:17:34.000Z,15.7,51356,{7388553B-6FA6-443E-AA26-86D5AFA1BB05},9.5,3
41,13247060202,602.02,ARC 10,2015-05-19T14:17:34.000Z,27.4,54345,{7A49A4B6-5F37-4810-97CE-540B17BF5D4E},174.6,4
42,13247060201,602.01,ARC 10,2015-05-19T14:17:34.000Z,12.1,35453,{775AD1EE-BF30-46EC-B0FB-A13834E517E9},31.8,3
43,13247060306,603.06,ARC 10,2015-05-19T14:17:34.000Z,28.9,65357,{A2458748-6B94-40B1-8DE4-9FCDF6595833},231.9,4
44,13247060407,604.07,ARC 10,2015-05-19T14:17:34.000Z,26.5,51714,{8AB6E660-AD98-4623-83F0-CD16D3E3F1DC},-84.8,4
45,13247060403,604.03,ARC 10,2015-05-19T14:17:34.000Z,38.2,69286,{2E8CC7E6-48DA-45BE-8494-4AB9F02E7F03},63.8,4
46,13247060406,604.06,ARC 10,2015-05-19T14:17:34.000Z,34,71833,{CAE2DD75-0F1F-48D1-A492-6E3000DFA81A},41.4,4
47,13247060305,603.05,ARC 10,2015-05-19T14:17:34.000Z,14.4,37067,{57FF318C-8D23-47FE-AC6B-38F8509BFFB1},138.2,3
48,13247060309,603.09,ARC 10,2015-05-19T14:17:34.000Z,18.3,43438,{4D9AFDE0-0B91-46B0-9380-3DF5D75CF82A},323.4,3
49,13247060308,603.08,ARC 10,2015-05-19T14:17:34.000Z,16.7,43182,{2CACE039-F26E-431C-9961-0368EBA0DC3D},858.7,3
50,13247060405,604.05,ARC 10,2015-05-19T14:17:34.000Z,35.7,65704,{02B2F9FA-8BEC-420A-BC48-DB083CC518C5},90.6,4
51,13247060307,603.07,ARC 10,2015-05-19T14:17:34.000Z,39.7,70478,{3CDD18EF-922C-4EA5-9B7A-BE2D52F9DD77},483.7,4
52,13247060102,601.02,ARC 10,2015-05-19T14:17:34.000Z,20.1,44469,{203801F3-B725-4AA9-A692-01FC95861EBE},35.7,4
53,13067030330,303.30,ARC 10,2015-05-19T14:17:35.000Z,57,91825,{0F00A3D6-03F3-4509-ABE4-985E02D27713},139.1,5
54,13067030328,303.28,ARC 10,2015-05-19T14:17:35.000Z,58.3,102594,{EFBB88BF-6B3D-44F6-B593-07C2408F725A},-113.8,5
55,13067030700,307,ARC 10,2015-05-19T14:17:35.000Z,25.5,38140,{597B051E-F106-4F96-A9C9-15E0DBF09970},-708.2,3
56,13067030324,303.24,ARC 10,2015-05-19T14:17:35.000Z,38.9,78363,{B7104B72-7580-4B30-A7F7-4F965DD3C7FE},-220.7,5
57,13067030312,303.12,ARC 10,2015-05-19T14:17:35.000Z,47.6,68452,{013866D2-7E9B-4FB8-BAED-52A92729E27A},-80.3,5
58,13067030228,302.28,ARC 10,2015-05-19T14:17:35.000Z,43.6,45275,{2F207D72-662F-4AF7-84E1-1FA9DF11993B},27.8,5
59,13067030231,302.31,ARC 10,2015-05-19T14:17:35.000Z,54.1,95714,{C335F0E7-75BD-4D72-9C93-57337C1A78CE},147,5
60,13067030230,302.30,ARC 10,2015-05-19T14:17:35.000Z,45.8,64554,{B6FA1BD3-723D-4B51-8C00-32081D8135BE},1275.2,4
61,13067030311,303.11,ARC 10,2015-05-19T14:17:35.000Z,48.7,90809,{6AB652EB-EB95-48A0-B4F6-441F1EBAA466},-90,5
62,13067031001,310.01,ARC 10,2015-05-19T14:17:35.000Z,5.7,30414,{0324B6D4-9EDE-4E32-B8FF-FF5AF4900F58},-50.5,2
63,13067030310,303.10,ARC 10,2015-05-19T14:17:35.000Z,36.2,68512,{024AC401-9988-43B5-83DF-557B079BC906},86.8,4
64,13067030215,302.15,ARC 10,2015-05-19T14:17:35.000Z,39.8,73646,{B2CF5904-E113-4FB1-8DB2-59B9719D6C40},364.3,4
65,13067030601,306.01,ARC 10,2015-05-19T14:17:35.000Z,53.4,48977,{C661C1E3-B442-46BD-9546-AD70878EB38C},1384.4,4
66,13067030227,302.27,ARC 10,2015-05-19T14:17:35.000Z,29,58446,{81902084-59EC-4781-BABE-1AD6DD675313},87.9,4
67,13067030602,306.02,ARC 10,2015-05-19T14:17:35.000Z,53,61891,{D99DAAD1-B2B3-4DA5-8341-0DA7ABE082C3},61,4
68,13067030506,305.06,ARC 10,2015-05-19T14:17:35.000Z,27.3,51922,{A6D1879F-C394-4F30-92B2-5D9258AEE8B7},267.1,4
69,13067030507,305.07,ARC 10,2015-05-19T14:17:35.000Z,39.7,61017,{5024F939-F75A-4582-AE6C-E67C0F548ADA},51.3,4
70,13067030229,302.29,ARC 10,2015-05-19T14:17:35.000Z,31.4,51905,{CD80D929-1D86-468D-AD6F-16F6EEF2C758},409.8,5
71,13067031208,312.08,ARC 10,2015-05-19T14:17:35.000Z,69.8,63125,{F03081A8-6E36-4C95-A4C3-BCEE7BB3DE5C},960.7,4
72,13067031207,312.07,ARC 10,2015-05-19T14:17:35.000Z,77.5,52945,{1770078E-02F1-47F4-9495-B4D3C833F00A},176.4,4
73,13067030226,302.26,ARC 10,2015-05-19T14:17:35.000Z,37.5,70357,{880D301B-ECAA-4CFA-BCF8-661960131A03},1151.9,4
74,13067031505,315.05,ARC 10,2015-05-19T14:17:35.000Z,37.3,62903,{FB7F7E06-6CD4-44F8-B210-B3E2358A4A29},-27.4,5
75,13067030313,303.13,ARC 10,2015-05-19T14:17:35.000Z,42.6,77872,{ABD60B18-0D4C-428C-9819-19770AC3EFC7},201.1,4
76,13067031310,313.10,ARC 10,2015-05-19T14:17:35.000Z,14.3,27802,{69C62EB4-740B-481B-97BF-7709B1DA76A2},244.1,3
77,13067030214,302.14,ARC 10,2015-05-19T14:17:35.000Z,36.7,74347,{0317C29E-40A1-450D-AADD-86D88CD29370},299,5
78,13067031212,312.12,ARC 10,2015-05-19T14:17:35.000Z,75.9,125000,{D708AB32-97D1-4563-A503-1C377348968F},-71.3,5
79,13067031211,312.11,ARC 10,2015-05-19T14:17:35.000Z,54.4,53891,{4FFB7A3B-424E-4D87-8633-5E7FF0EF93E9},-73.3,3
80,13067031209,312.09,ARC 10,2015-05-19T14:17:35.000Z,64.4,120987,{D6CC358C-965C-4642-A675-0BB423482A8E},600.8,5
81,13067030224,302.24,ARC 10,2015-05-19T14:17:35.000Z,46.4,69803,{F5E130A6-39B2-4E90-AEF2-6E8E285C7B84},1697.2,4
82,13067031205,312.05,ARC 10,2015-05-19T14:17:35.000Z,75.3,83000,{5C42835D-0008-44EE-8093-F5B1C63E096A},688.6,4
83,13067031206,312.06,ARC 10,2015-05-19T14:17:35.000Z,54.4,78214,{39BDF901-7378-4C09-A864-8454B246600B},1112.2,4
84,13067030220,302.20,ARC 10,2015-05-19T14:17:35.000Z,32.5,63523,{E4B93053-FF91-4770-B653-642EF402CAD5},-44.3,5
85,13067030905,309.05,ARC 10,2015-05-19T14:17:35.000Z,19.6,52669,{3C8237FA-B715-4886-91B8-47ED6AAE662A},398.3,4
86,13067030502,305.02,ARC 10,2015-05-19T14:17:35.000Z,47.8,83229,{ED07EF6D-7AF0-4F97-B480-3F8F6B431C15},114.1,4
87,13067030209,302.09,ARC 10,2015-05-19T14:17:35.000Z,49.9,82328,{CDC5629E-7DE8-4215-9CA6-C269095AA14D},253.6,5
88,13067030326,303.26,ARC 10,2015-05-19T14:17:35.000Z,61.3,122371,{174D4567-1C4F-4B5F-9E09-2324530A5A28},-70.4,5
89,13067031108,311.08,ARC 10,2015-05-19T14:17:35.000Z,37.7,35563,{EECB5955-697C-4C89-BAB0-902C4AABEB45},-380.8,3
90,13117130105,1301.05,ARC 20,2015-05-19T14:17:35.000Z,16.4,38306,{1F7B2B0F-5BD7-4065-94B9-E222747A156D},106.5,3
91,13117130205,1302.05,ARC 20,2015-05-19T14:17:35.000Z,25.1,65795,{5BD91846-ABFD-4E53-8E28-7ED5B7A2FB98},113.9,4
92,13117130603,1306.03,ARC 20,2015-05-19T14:17:35.000Z,62.6,118902,{1215C098-DEE7-4C99-8810-85E50EBB89E3},391.4,4
93,13117130610,1306.10,ARC 20,2015-05-19T14:17:35.000Z,67.3,120685,{0F106297-2051-467C-9D88-7A1BC3889509},125.9,3
94,13117130606,1306.06,ARC 20,2015-05-19T14:17:35.000Z,63.5,116714,{A032BA8D-AF93-44D2-87D9-EDDA7E0EB56A},263.5,4
95,13117130604,1306.04,ARC 20,2015-05-19T14:17:35.000Z,60.2,126058,{D92252FF-1AB1-4D14-AF50-A6C9E490DD0E},693.6,4
96,13117130611,1306.11,ARC 20,2015-05-19T14:17:35.000Z,47.7,127304,{C4101342-075E-4944-B5A7-653214A81DE7},633.3,4
97,13117130609,1306.09,ARC 20,2015-05-19T14:17:35.000Z,75.1,125688,{73999C81-F1E7-42B0-8470-53E45B20C4CE},1147.7,4
98,13117130607,1306.07,ARC 20,2015-05-19T14:17:35.000Z,59.7,120000,{1ECB7FB4-FC16-40FE-A25A-B1BE026F9056},1206.3,5
99,13117130605,1306.05,ARC 20,2015-05-19T14:17:35.000Z,60.2,99028,{45003418-9882-4AD8-851F-5AE324044A64},684.5,5
100,13117130602,1306.02,ARC 20,2015-05-19T14:17:35.000Z,52.4,83445,{257A5F67-343E-4C5F-BAA0-E39CCE3580BE},810.9,3
101,13117130508,1305.08,ARC 20,2015-05-19T14:17:35.000Z,56.8,104912,{6701D285-6C4E-4B13-A33B-C34F08451CB2},491.8,5
102,13117130507,1305.07,ARC 20,2015-05-19T14:17:35.000Z,40.8,71765,{81027ACC-6B17-401F-808B-DA01E24B6F30},80,5
103,13117130409,1304.09,ARC 20,2015-05-19T14:17:35.000Z,25.6,60962,{2FF0D1EF-E2E5-4FEA-B1DD-926153497447},201.7,4
104,13067030218,302.18,ARC 10,2015-05-19T14:17:35.000Z,50.3,114718,{83C8C4DB-2F23-4667-8981-3F9A03AB8015},455.4,5
105,13067030219,302.19,ARC 10,2015-05-19T14:17:35.000Z,50.4,118279,{F413D05D-3A78-45A2-87F6-5C293535C97F},572.9,5
106,13067030235,302.35,ARC 10,2015-05-19T14:17:35.000Z,47.8,98782,{AAAF6C89-F53D-4437-B580-CD755C534301},120.8,5
107,13067030234,302.34,ARC 10,2015-05-19T14:17:35.000Z,43.2,96625,{BECA5D9F-1B2B-4E9F-BFCC-EB77565D6786},376.7,5
108,13067030233,302.33,ARC 10,2015-05-19T14:17:35.000Z,49.4,97778,{E63B5B47-60AB-4F4E-8AF1-A9C36F72B936},-1.1,5
109,13067030337,303.37,ARC 10,2015-05-19T14:17:35.000Z,69.6,125556,{0218BD3B-D4AA-46C9-8218-CAE8AAF3C1F4},6.1,5
110,13067030334,303.34,ARC 10,2015-05-19T14:17:35.000Z,65.9,96214,{7018A4C2-5454-4322-B835-82498ACDD07B},-140,5
111,13067031111,311.11,ARC 10,2015-05-19T14:17:35.000Z,60.4,78706,{48212716-94C1-480A-BACB-43A99E5BCA39},-353.8,4
112,13067031110,311.10,ARC 10,2015-05-19T14:17:35.000Z,34,56472,{A58089FB-3F74-4238-9C4F-64447003516D},-166,4
113,13067030405,304.05,ARC 10,2015-05-19T14:17:35.000Z,29.6,39492,{A27E2FE5-E61C-4C68-9B04-BEFE02D03D69},-74,4
114,13067031101,311.01,ARC 10,2015-05-19T14:17:35.000Z,23.9,41907,{E61E9CCD-FE8E-47BB-A396-81B013192E4E},34.6,3
115,13117130305,1303.05,ARC 20,2015-05-19T14:17:35.000Z,46.5,94188,{5147DDE4-5552-45E4-BBE6-9438A190901C},610.3,5
116,13117130301,1303.01,ARC 20,2015-05-19T14:17:35.000Z,35.6,66842,{CD916864-7011-4115-AB78-32C4D75ADEBD},240.6,4
117,13117130405,1304.05,ARC 20,2015-05-19T14:17:35.000Z,38.9,81048,{12DFFEA6-A1A2-4F69-A48E-00CE668F360A},542.1,5
118,13117130504,1305.04,ARC 20,2015-05-19T14:17:35.000Z,32.3,66572,{1539E707-28F7-485B-90B7-36AE52FFB898},64.7,4
119,13117130505,1305.05,ARC 20,2015-05-19T14:17:35.000Z,32.8,74000,{74F5EB16-B794-4B76-87A6-93FA88000449},74.6,4
120,13117130503,1305.03,ARC 20,2015-05-19T14:17:35.000Z,43.4,82670,{20EE0CF3-C803-49B7-976D-632951F49370},70.7,4
121,13117130102,1301.02,ARC 20,2015-05-19T14:17:35.000Z,30,59929,{63F99FD7-ECA0-40A9-A9A1-9380A8059C48},207.4,4
122,13117130103,1301.03,ARC 20,2015-05-19T14:17:35.000Z,17.2,53941,{5AB6EEED-3AF0-4C3F-9AE6-3353A358E2D4},190.1,3
123,13117130303,1303.03,ARC 20,2015-05-19T14:17:35.000Z,29.1,85750,{6C767FB6-27BA-499D-A685-6A131D105995},111.4,4
124,13117130201,1302.01,ARC 20,2015-05-19T14:17:35.000Z,34,82137,{BAA37565-7E7A-439F-BA90-C6F38F37BB94},221.6,3
125,13067030232,302.32,ARC 10,2015-05-19T14:17:35.000Z,44.2,89649,{EAC8EF3F-E94C-4E90-B8EF-DE88B8B35F15},231.8,5
126,13067030222,302.22,ARC 10,2015-05-19T14:17:35.000Z,48,73438,{7BFAFCFD-555E-4C45-B1F0-22383570C569},-31.1,4
127,13067031118,311.18,ARC 10,2015-05-19T14:17:35.000Z,51.7,67149,{562526D5-57F1-4FCB-9457-348D7779F5F5},133,4
128,13067031117,311.17,ARC 10,2015-05-19T14:17:35.000Z,60.6,110870,{D680ED0F-E1B3-4975-9EBF-EE86FE057A3D},-182.5,4
129,13067031507,315.07,ARC 10,2015-05-19T14:17:35.000Z,25.9,44830,{633F24BB-1A1A-44EE-B209-894828131713},-124.7,4
130,13067031004,310.04,ARC 10,2015-05-19T14:17:35.000Z,8.6,38137,{B38F3B28-D7A2-474F-A8F4-EEE1C53E37D2},-449.4,3
131,13067030103,301.03,ARC 10,2015-05-19T14:17:35.000Z,38.5,71569,{49D612CD-DCA1-4741-92DD-A41B2B7D87E6},498.9,5
132,13067031404,314.04,ARC 10,2015-05-19T14:17:35.000Z,34.4,63426,{D50F065E-6F55-461E-A7CF-5A1148BB789C},117.9,4
133,13067031306,313.06,ARC 10,2015-05-19T14:17:35.000Z,19.5,47992,{2DB300BB-21BB-4CFB-A580-7A61E2D1E43D},107.7,3
134,13067030101,301.01,ARC 10,2015-05-19T14:17:35.000Z,22,73603,{4AD0CBDC-60FD-4EE6-9BBA-EF69BA2D1108},100.7,5
135,13067030104,301.04,ARC 10,2015-05-19T14:17:35.000Z,27,51140,{6D00E06A-F6F7-4317-9C35-497119F7BF1C},150.7,4
136,13117130613,1306.13,ARC 20,2015-05-19T14:17:35.000Z,49,95217,{AB7C1D05-C588-4A65-8739-A2DD224E2466},474.2,5
137,13117130408,1304.08,ARC 20,2015-05-19T14:17:35.000Z,27.7,53333,{79A6B35D-F929-414C-B123-AA8363E20CF5},320.7,3
138,13117130612,1306.12,ARC 20,2015-05-19T14:17:35.000Z,60.8,141802,{C87906AC-BFF5-4B6A-BFC0-67E285A6B693},734.3,3
139,13117130608,1306.08,ARC 20,2015-05-19T14:17:35.000Z,64.4,124531,{0D507613-FFD7-4DB4-978B-EFD64F02B3BB},972.4,5
140,13117130307,1303.07,ARC 20,2015-05-19T14:17:35.000Z,36.3,85833,{CB599D1E-768E-4EA2-A714-D72541E3AC4F},246,4
141,13117130302,1303.02,ARC 20,2015-05-19T14:17:35.000Z,50.8,99464,{018570E7-8758-4FEE-93D1-44551082E881},482.6,5
142,13117130304,1303.04,ARC 20,2015-05-19T14:17:35.000Z,39.9,103438,{7324226D-02E1-43BF-AFF8-3A534F520C09},138.3,5
143,13117130404,1304.04,ARC 20,2015-05-19T14:17:35.000Z,55.6,102384,{B8755A0A-315B-43E1-9090-AA18AF101752},1065.2,5
144,13117130306,1303.06,ARC 20,2015-05-19T14:17:35.000Z,46.8,103947,{3CCB06AA-688C-466F-A5DB-3CECDA570E4A},544.7,5
145,13117130601,1306.01,ARC 20,2015-05-19T14:17:35.000Z,55.5,85497,{889B9962-185A-497A-8C2E-1779E19354DD},281.9,5
146,13117130510,1305.10,ARC 20,2015-05-19T14:17:35.000Z,38.8,99531,{909306FE-8AA1-459E-B297-BA6D07B55EC9},473.7,4
147,13117130406,1304.06,ARC 20,2015-05-19T14:17:35.000Z,43.3,70261,{E0588C3A-D21D-4577-8C0D-E1CD7F89BDC5},1310,4
148,13117130410,1304.10,ARC 20,2015-05-19T14:17:35.000Z,32.9,46816,{F3ED3464-8D41-43C1-B13D-55C46E00CFF4},703.1,3
149,13117130203,1302.03,ARC 20,2015-05-19T14:17:35.000Z,20.1,74100,{1BFA0343-1F3D-44D3-8DB9-DB11A0F7CBE5},91.5,4
150,13117130204,1302.04,ARC 20,2015-05-19T14:17:35.000Z,36.1,63125,{958E7B24-ED59-4667-8BC4-878E60426C95},470,4
151,13117130202,1302.02,ARC 20,2015-05-19T14:17:35.000Z,48.3,94821,{387EAF7C-C8A8-47E6-B3F1-32EFAD1DF011},402.2,4
152,13117130509,1305.09,ARC 20,2015-05-19T14:17:35.000Z,38.6,66284,{CD64857E-37E0-45E6-B95F-0E0495D0F03D},-2.4,5
153,13117130403,1304.03,ARC 20,2015-05-19T14:17:35.000Z,25.7,68456,{1F08E314-1CB3-4F20-BEBC-FC87887C7CB3},154.5,5
154,13067031506,315.06,ARC 10,2015-05-19T14:17:35.000Z,25.3,53906,{6D42079B-7A59-4FA4-B4B6-D396605049AF},92.2,4
155,13067031508,315.08,ARC 10,2015-05-19T14:17:35.000Z,37.6,70882,{1A75995E-5720-430F-8A10-1D0D7DA6D0DE},257.7,4
156,13067031116,311.16,ARC 10,2015-05-19T14:17:35.000Z,17,39228,{362B5F9C-4E93-4C73-8D6F-D4B153910BE4},-264.5,2
157,13067031115,311.15,ARC 10,2015-05-19T14:17:35.000Z,44.9,57560,{AE545591-BD02-4A15-9597-AF3F4105FF67},425,4
158,13067030223,302.23,ARC 10,2015-05-19T14:17:35.000Z,42.5,65453,{4D0755F6-186B-4025-835C-B215C54C625B},661.2,3
159,13067031312,313.12,ARC 10,2015-05-19T14:17:35.000Z,44.7,61176,{1CE71994-F8AD-4F19-BAC5-FD0DB0B5144A},689.6,4
160,13067031313,313.13,ARC 10,2015-05-19T14:17:35.000Z,70.9,107841,{14DE4099-C819-407B-98E0-9A871640ABC7},975,5
161,13067031309,313.09,ARC 10,2015-05-19T14:17:35.000Z,24,52714,{51D0D26B-8BFC-4CBD-8EF0-0B739D1D2FFF},307.1,4
162,13117130101,1301.01,ARC 20,2015-05-19T14:17:35.000Z,29.4,80040,{14CBD0AF-D168-46C6-B764-054E04D66703},148.6,4
163,13117130104,1301.04,ARC 20,2015-05-19T14:17:35.000Z,34,71382,{5A3C0809-8C07-43CD-B4CF-DE7B6E79A7F3},147.6,5
164,13117130506,1305.06,ARC 20,2015-05-19T14:17:35.000Z,40.1,70313,{B0B11D88-7E69-44DD-83DA-9803DE4026C1},309,4
165,13067031509,315.09,ARC 10,2015-05-19T14:17:35.000Z,26.3,68125,{5EB877BB-D593-4C93-826D-E37DB24FD5A9},435.1,4
166,13067031113,311.13,ARC 10,2015-05-19T14:17:35.000Z,33.6,29523,{C913A072-D7A7-417A-A44F-E47EA01B6E4E},-757.5,3
167,13067031114,311.14,ARC 10,2015-05-19T14:17:35.000Z,39.5,41880,{E9C535A1-6216-4FE4-8977-1F66C9025C18},1146.4,4
168,13067030345,303.45,ARC 10,2015-05-19T14:17:35.000Z,56.5,50553,{FDABFC2B-3406-4D9A-85E5-46C4B20924CD},491.8,5
169,13067030344,303.44,ARC 10,2015-05-19T14:17:35.000Z,42.5,43037,{0BA81191-1AA8-442A-85A1-942AF7585154},-662.2,4
170,13067030411,304.11,ARC 10,2015-05-19T14:17:35.000Z,16.6,27417,{64042214-79A7-40B2-8F48-151A9B475611},-593.8,2
171,13067030412,304.12,ARC 10,2015-05-19T14:17:35.000Z,28.7,37917,{87FCA71E-FF7D-48F3-8507-0068257EDA9F},-1303.8,3
172,13067030414,304.14,ARC 10,2015-05-19T14:17:35.000Z,18.1,27681,{7A0EC9C6-B582-4E40-9E53-6C5E30C12599},-659,3
173,13067030413,304.13,ARC 10,2015-05-19T14:17:35.000Z,32.2,34180,{6D96A2CE-4990-4DE9-8B8A-1E5D2A0BA6F5},-1313.3,3
174,13067030239,302.39,ARC 10,2015-05-19T14:17:35.000Z,51.8,107622,{D7DA6278-4716-49E4-9766-AB7A0828DDC5},228.4,5
175,13067030238,302.38,ARC 10,2015-05-19T14:17:35.000Z,48.9,101607,{DA8F0625-52F4-4C50-B6D9-AAB26F8B9A0C},350.9,5
176,13067030236,302.36,ARC 10,2015-05-19T14:17:35.000Z,59,130867,{6A97F4DD-CE45-4C50-B2BD-F537DD4E3A0B},370.5,5
177,13067030407,304.07,ARC 10,2015-05-19T14:17:35.000Z,60.7,67138,{38954C6F-FA0E-49BD-BE72-FECB8D89060B},-70.6,4
178,13067030408,304.08,ARC 10,2015-05-19T14:17:35.000Z,59.8,65682,{3767BC09-3CE5-4E48-BADC-E4894C4089A8},7.8,5
179,13067030410,304.10,ARC 10,2015-05-19T14:17:35.000Z,46.8,43352,{A8B3876D-47A3-4476-988D-9BF84806F0F3},-34.1,3
