OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_8__Annual_Transit_Trips,GlobalID,last_edited_date,Pop_Chng_per_SqMi_2000_2010,Tp8_HousTranspCosts_Pct_Income,Tp8_HousingCosts_Pct_Income,Tp8_TransportCosts_Pct_Income,Tp8_AnnualVehMilesTraveled
35,13113140101,1401.01,ARC 10,64732,58.71,{56502CFB-AB5C-4DD6-8759-54CBFDB61EE0},2015-06-02T14:23:56.000Z,49.1,51.24,28.51,22.74,32186
36,13113140502,1405.02,ARC 10,73591,19.54,{F5BAB14B-8CA2-473A-A99F-320D1B9F75DF},2015-06-02T14:23:56.000Z,12.4,50,26.28,23.72,34346
37,13113140501,1405.01,ARC 10,84885,34.32,{870B2828-617B-4DDA-96CF-0EB79E4230AB},2015-06-02T14:23:56.000Z,42.3,51.57,27.82,23.75,33742
38,13247060404,604.04,ARC 10,54146,39.2,{51FBF2CC-988F-41FA-9445-9FD80DF9F909},2015-06-02T14:23:56.000Z,-45.3,49.07,26.85,22.22,31810
39,13247060304,603.04,ARC 10,42554,13.06,{0067E2F7-B173-44B1-9521-8A191E7A1B07},2015-06-02T14:23:56.000Z,120.7,44.21,24.72,19.49,27650
40,13247060101,601.01,ARC 10,51356,14.77,{F282039C-8370-45EF-9F18-08AA34C6E676},2015-06-02T14:23:56.000Z,9.5,48.31,25.85,22.46,32178
41,13247060202,602.02,ARC 10,54345,47.57,{42550E47-BE1A-4F7F-80A0-4F2D1C14A8F8},2015-06-02T14:23:56.000Z,174.6,48.06,26.29,21.77,31297
42,13247060201,602.01,ARC 10,35453,70.14,{3BD3F565-0C05-49C7-8A2E-F11CD877F319},2015-06-02T14:23:56.000Z,31.8,44.29,23.52,20.77,29787
43,13247060306,603.06,ARC 10,65357,0,{5DABE7F9-21F6-46A0-A8C3-82835BE8B7B0},2015-06-02T14:23:56.000Z,231.9,48.66,26.92,21.74,31059
44,13247060407,604.07,ARC 10,51714,48.36,{A261B448-52CC-47CF-9E70-EB7E95D8D09B},2015-06-02T14:23:56.000Z,-84.8,49.13,26.86,22.26,32111
45,13247060403,604.03,ARC 10,69286,19.48,{710CCF1D-FA1A-48D6-951B-2FC6C8D2AAF2},2015-06-02T14:23:56.000Z,63.8,51.33,28.11,23.22,32843
46,13247060406,604.06,ARC 10,71833,47.52,{A228B605-93A6-4686-ACFF-8DE596360B32},2015-06-02T14:23:56.000Z,41.4,50.66,27.86,22.79,32529
47,13247060305,603.05,ARC 10,37067,33.63,{4D0AFC57-E3FB-4030-8D12-A4C5AAD01C0C},2015-06-02T14:23:56.000Z,138.2,41.97,23.11,18.86,26838
48,13247060309,603.09,ARC 10,43438,61.47,{364AB635-33A0-4494-BE82-40E4DE75740C},2015-06-02T14:23:56.000Z,323.4,47.74,27.5,20.24,28599
49,13247060308,603.08,ARC 10,43182,66.42,{47C8487F-8582-4702-B810-A5BD67A7017D},2015-06-02T14:23:56.000Z,858.7,43.36,24.31,19.05,26984
50,13247060405,604.05,ARC 10,65704,32.57,{9751D979-E93F-420E-A827-23DAB8A58BAB},2015-06-02T14:23:56.000Z,90.6,50.74,27.52,23.22,33500
51,13247060307,603.07,ARC 10,70478,74.27,{ADC080D8-2322-4338-8F17-9D9121503D79},2015-06-02T14:23:56.000Z,483.7,49.42,28.24,21.17,29971
52,13247060102,601.02,ARC 10,44469,3.16,{97D5685F-4FC5-4470-85D0-E91ECC1961F0},2015-06-02T14:23:56.000Z,35.7,48.46,26.36,22.1,31926
53,13067030330,303.30,ARC 10,91825,98.87,{47D054F2-0289-452C-88BE-DFA6CFACB2CF},2015-06-02T14:23:56.000Z,139.1,50.86,29.77,21.09,28444
54,13067030328,303.28,ARC 10,102594,89.64,{D5EEA6D4-4ED2-4E6F-B18A-85B222A65568},2015-06-02T14:23:56.000Z,-113.8,51.2,29.85,21.35,28608
55,13067030700,307,ARC 10,38140,92.88,{F2373EFE-EA6E-47D0-9AEA-91E1641DCE06},2015-06-02T14:23:56.000Z,-708.2,41.9,24.67,17.23,23257
56,13067030324,303.24,ARC 10,78363,94.77,{629F48D1-A442-4850-AE91-17831D90760B},2015-06-02T14:23:56.000Z,-220.7,49.79,28.37,21.41,29852
