OBJECTID,NAME,TYPE,LCI_NAME,LCI_YEAR,Major_Act_,last_edited_date,GlobalID
93,Lawrenceville,Town Center,Not an LCI Center,N/A,,,{7C2EC4FC-39D8-4722-A30C-F7819924E4AE}
94,Marietta,Town Center,Marietta,2000,,,{D281AC4A-A15C-44B6-A643-A00CD9319090}
95,Gwinnett Place,Regional Center,Gwinnett Place,2001,,,{24D0396D-3F72-4A57-8F26-2E1441AF822A}
96,Berkeley Lake,Town Center,Not an LCI Center,N/A,,,{E0246FFC-EA5D-4D21-A8D4-5661391A4133}
97,Peachtree Corners,Regional Center,Not an LCI Center,N/A,,,{993E3504-1B7D-40C9-BF0F-C30C79869F89}
98,Dacula,Town Center,Not an LCI Center,N/A,,,{99669EA6-3111-4066-9C44-1092D090E737}
99,Duluth,Town Center,Duluth,2000,,,{C72A89AA-2CDC-420D-8CC7-D9CA96330B9B}
100,Gwinnett,Regional Center,Gwinnett,2001,,,{9F621D0D-CA02-41EF-9C1D-360EAFF87E2C}
101,Kennesaw,Town Center,Kennesaw,2003,,,{8BF66459-56D0-4E57-B9F0-F4BC096CB31C}
102,Roswell,Town Center,Roswell,2003,,,{96A16D53-B991-4254-A5FE-A9F31B5EED72}
103,Town Center,Regional Center,Town Center,2004,,,{CC0CC67C-F2A4-4DFF-AEB7-A59C25495585}
104,Auburn,Town Center,Not an LCI Center,N/A,,,{28917222-F3EB-4FA6-A70F-EB5B41F8061D}
105,North Point,Regional Center,Not an LCI Center,N/A,,,{5783A165-A6A5-423B-A622-907A8995F8B2}
106,Suwanee,Town Center,Suwanee,2001,,,{6409E1DE-C2A2-462D-94CF-9EA600BA72C4}
107,Acworth,Town Center,Acworth,2001,,,{F643C02B-3CCE-4910-8945-54B8B4B809FA}
108,Mall of Georgia,Regional Center,Not an LCI Center,N/A,,,{7A78E9E1-2EB7-4FF2-B678-6837D4B4B61E}
109,Alpharetta,Town Center,Not an LCI Center,N/A,,,{FEED7141-1508-416E-B663-024239EA2E05}
110,Mountain Park,Town Center,Not an LCI Center,N/A,,,{BB647C9F-465A-43D1-8FF5-59DB957553CA}
111,Windward,Regional Center,Not an LCI Center,N/A,,,{61D01665-FF3A-40B9-A5FD-F78A3CE529FE}
112,Woodstock,Town Center,"Woodstock
",2002,,,{F267FED3-FD5A-4563-B5C4-59C59F3F5E7F}
113,Sugar Hill,Town Center,Not an LCI Center,N/A,,,{1A9F413A-360C-4B54-818F-0BC9B318ECF5}
114,Buford,Town Center,Buford,2004, ,,{EE0DBFFD-4624-458A-B092-696850EFC33C}
115,Rest Haven,Town Center,Not an LCI Center,N/A,,,{4598005F-1ED1-4FC6-82D8-AD76C311403F}
116,Holly Springs,Town Center,Holly Springs,2004,,,{EA5CC6B3-57D9-4A0F-8133-D5F82C15A5D8}
117,Cumming,Town Center,Not an LCI Center,N/A,,,{5965E88B-B6F5-42D6-89B1-84603D485C19}
118,Canton,Town Center,Canton,2000,,,{359104FB-F2AA-4ADD-9DC3-0A1D4B767FDB}
119,Waleska,Town Center,Not an LCI Center,N/A,,,{AFC69A00-DD09-4B2B-8BE8-5C41127FA47B}
120,Ball Ground,Town Center,Not an LCI Center,N/A,,,{3F6A40A7-F317-46C3-83E1-415A8EC0DDD3}
121,Nelson,Town Center,Not an LCI Center,N/A,,,{184050F0-750B-4344-96B4-FBC025F04DCD}
122,Inman Park Reynoldstown,Station Community,Not an LCI Center,N/A,,,{2A59AC6A-4875-4124-A6DA-FB58B5600377}
123,Indian Creek,Station Community,Not an LCI Center,N/A,,,{030E25AB-FD1B-41CF-B349-5C34D1C16F48}
