OBJECTID,MAXGISID,FACILITY_ID,LAKENAME,SUBDIVISION_NAME,EST_DEPTH,ACCESSIBLE,ACCESS_REMARKS,INSTALLDATE,ABANDONED,JURISDICTION,LANDDISTRICT,LANDLOT,PLTBKNUM,PLTBKPG,FEMA_ZONE,EPD_REACH_NAME,EPD_CRITERION_VIOLATED,EPD_POTENTIAL_CAUSES,EPD_IMPAIRED_CATEGORY,EPD_IMPAIRED_PRIORITY,EPD_IMPAIRED_NOTES,EPD_305B_303D_LIST,EPD_IMPAIRED_WATERSHED,EPD_IMPAIRED_USE,LOCATIONVERIFIED,MAPDATE,IMAGES,BRE,REMARKS,EDITOR,EDITDATE,COLLECTED_BY,INVENTORY_DATE,SURVEY_METH,INSIDE_COBB_COUNTY,shapearea,shapelen
607502,,PD1800860001,Orr Pond,N/A,,,,,NO,PRIVATE,18,86,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:40.000Z,,,ORTHO,YES,11054.1247374199,403.279364166681
607503,,PD1801420001,Ingram No. 2 Pond,N/A,,,,,NO,PRIVATE,18,142,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:42.000Z,,,ORTHO,YES,41859.2443830053,839.456844018867
607504,,PD1801420002,Ingram No. 3 Pond,N/A,,,,,NO,PRIVATE,18,142,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:43.000Z,,,ORTHO,YES,28841.4319176319,910.768966929882
607505,,LK1803080001,Green Acres Lake,N/A,,,,,NO,PRIVATE,18,308,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:45.000Z,,,ORTHO,YES,52751.1919250094,896.493226823542
607506,,PD1803770001,Green Acres Pond,N/A,,,,,NO,PRIVATE,18,377,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Private Road is Dam,YAGADJ,2015-06-17T12:03:47.000Z,,,ORTHO,YES,14079.141811549,563.379330715918
607507,,PD1807770001,Mableton Lodge Pond,N/A,,,,,NO,PRIVATE,18,777,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:49.000Z,,,ORTHO,YES,38543.5499256557,835.000699360833
607508,,PD1807800001,Troon Circle Pond,N/A,,,,,NO,PRIVATE,18,780,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:55.000Z,,,ORTHO,YES,26162.4464017283,763.07311172182
607509,,LK1806960001,Six Flags Over Georgia No. 1 Lake,N/A,,,,,NO,PRIVATE,18,696,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:57.000Z,,,ORTHO,YES,109283.006813921,1440.48792337727
607510,,LK1806950001,Six Flags Over Georgia No. 2 Lake,N/A,,,,,NO,PRIVATE,18,695,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:59.000Z,,,ORTHO,YES,89978.8645083574,1494.31929875008
607511,,PD1803910001,Owens Pond,N/A,,,,,NO,PRIVATE,18,391,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:02.000Z,,,ORTHO,YES,20277.8712493032,654.76181201266
607512,,LK1703240001,Girl Scouts of Greater Atlanta Lake,N/A,,,,,NO,PRIVATE,17,324,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Private Road is Dam,YAGADJ,2015-06-17T12:04:04.000Z,,,ORTHO,YES,100485.012967178,1965.76484611412
607513,,PD1704710001,Chapman Pond,N/A,,,,,NO,PRIVATE,17,471,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:06.000Z,,,ORTHO,YES,10541.5380030034,468.66626124062
607514,,PD1705380001,Bledsoe No. 2 Pond,N/A,,,,,NO,PRIVATE,17,538,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:08.000Z,,,ORTHO,YES,10498.3908763221,442.580485382748
607515,,PD1706100001,Whitefield Academy Pond,N/A,,,,,NO,PRIVATE,17,610,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:10.000Z,,,ORTHO,YES,17820.3897211719,562.178790010086
607516,,PD1703300001,Lakeview at Vinings Pond,Lakeview at Vinings,,,,,NO,PRIVATE,17,330,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-06-17T12:04:12.000Z,,,ORTHO,YES,30574.329283556,814.842947312956
607517,,PD1703300002,Cobb County No. 3 Pond,Thompson Park,,YES,,,NO,CCPARKS,17,330,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Private Road is Dam,YAGADJ,2015-05-11T18:08:56.000Z,,,ORTHO,YES,43167.3697765687,872.326691401411
607518,,LK1700170001,Cobb County No. 3 Lake,N/A,,YES,,,NO,CCPARKS,17,17,,,Zone X Shaded,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T18:08:25.000Z,,,ORTHO,YES,108278.462150443,1311.03876775358
607519,,LK1905610001,Rustic Village Lake,Rustic Village,,YES,,,NO,PRIVATE,19,561,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-07-13T14:45:33.000Z,,,ORTHO,YES,49996.2804692235,841.356617202479
607520,,PD1905620001,Barringer Pond,N/A,,YES,,,NO,PRIVATE,19,562,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:23:58.000Z,,,ORTHO,YES,29888.5363485213,765.243279189007
607521,,LK1905490001,Mann Lake,N/A,,YES,,,NO,PRIVATE,19,549,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:23:59.000Z,,,ORTHO,YES,75809.0232269108,1145.48186316223
607522,,LK1904740001,Hammond Lake,N/A,,YES,,,NO,PRIVATE,19,474,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:24:02.000Z,,,ORTHO,YES,237926.244132369,2704.40251985512
607523,,LK1904190001,Charleston No. 1 Lake,N/A,,YES,,,NO,PRIVATE,19,419,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-07-13T14:39:50.000Z,,,ORTHO,YES,169491.241171062,2682.31059271244
607524,,PD1904190001,Charleston Pond,N/A,,YES,,,NO,PRIVATE,19,419,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-07-13T14:39:56.000Z,,,ORTHO,YES,41423.2575508036,934.696875541455
607525,,LK1904710001,Kamis Lake,N/A,,,,,NO,PRIVATE,19,471,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:39.000Z,,,ORTHO,YES,94435.0187402741,1370.97652188366
607526,,LK1904900001,Gazaway Lake,N/A,,,,,NO,PRIVATE,19,490,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:40.000Z,,,ORTHO,YES,67390.5924945646,1163.859677976
607527,,LK1905470001,Kahn Lake,N/A,,,,,NO,PRIVATE,19,547,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:41.000Z,,,ORTHO,YES,189753.10523194,2888.36841263662
607528,,PD1908370001,Meyer Pond,N/A,,,,,NO,PRIVATE,19,837,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:42.000Z,,,ORTHO,YES,42549.6688860042,986.663382175552
607529,,LK1908370002,Myer Lake,N/A,,,,,NO,PRIVATE,19,837,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:44.000Z,,,ORTHO,YES,127705.683031179,1801.14222797981
607530,,LK1908400001,Marathon Petroleum Lake,N/A,,,,,NO,PRIVATE,19,840,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:45.000Z,,,ORTHO,YES,167957.970594434,1925.25592434906
607531,,LK1907710001,Sheilds Lake,N/A,,,,,NO,PRIVATE,19,771,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road - Dam Breach Model,YAGADJ,2015-06-04T19:17:46.000Z,,,ORTHO,YES,193247.539406612,2073.39012462233
607532,,LK1907830001,Morgan Lake,Morgan,,,,,NO,PRIVATE,19,783,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road - Dam Breach Model,YAGADJ,2015-06-04T19:17:48.000Z,,,ORTHO,YES,64126.0185600519,1193.29475480439
607533,,LK1901710001,Halstead Lake Lake,Halstead Lake,,,,,NO,PRIVATE,19,171,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:51.000Z,,,ORTHO,YES,87472.268565903,1401.28054215064
607534,,PD1902830001,Tamarack Lakes No. 2 Pond,Tamarack Lakes,,,,,NO,PRIVATE,19,283,,,Zone X Shaded,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:53.000Z,,,ORTHO,YES,34577.625255863,722.453944193704
607535,,LK1902070001,Hill Lake,N/A,,,,,NO,PRIVATE,19,207,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:54.000Z,,,ORTHO,YES,65131.9302841984,1215.261930898
607536,,LK1902090001,Ivey Green Lake,Ivey Green,,,,,NO,PRIVATE,19,209,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:55.000Z,,,ORTHO,YES,92161.7973597277,1388.72969128128
607537,,LK1901620001,Tippins Lake 1,N/A,,,,,NO,PRIVATE,19,162,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:57.000Z,,,ORTHO,YES,80235.7264700804,1646.92794274266
607538,,PD1902370001,Lynn Pond,N/A,,,,,NO,PRIVATE,19,237,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:59.000Z,,,ORTHO,YES,30950.7399802435,917.48127683978
607539,,PD1901640001,Haddonfield West Pond,Haddonfield West,,,,,NO,PRIVATE,19,164,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-07-13T14:39:27.000Z,,,ORTHO,YES,24549.1027281512,631.297020803046
607540,,LK1901640002,Haddonfield West Lake ,Haddonfield West,,,,,NO,PRIVATE,19,164,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:18:02.000Z,,,ORTHO,YES,62054.0485405732,1227.11490990664
607541,,LK1904250001,McEachern Farms No. 1 Lake,McEachern Farms,,,,,NO,PRIVATE,19,425,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:16.000Z,,,ORTHO,YES,86607.5089744639,1498.18731769785
607542,,PD1904250002,McEachern Farms No. 2 Pond,McEachern Farms,,,,,NO,PRIVATE,19,425,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:19.000Z,,,ORTHO,YES,17930.626813192,541.680598165252
607543,,PD1904250001,Holtzclaw No. 2 Pond,N/A,,,,,NO,PRIVATE,19,425,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:21.000Z,,,ORTHO,YES,11528.5375647815,454.610507910295
607544,,LK1903890001,McEachern Farms No. 2 Lake,McEachern Farms,,,,,NO,PRIVATE,19,389,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:23.000Z,,,ORTHO,YES,76044.5218146384,1861.07787438372
607545,,PD1902100001,Darby Place Pond,Darby Place,,,,,NO,PRIVATE,19,210,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:25.000Z,,,ORTHO,YES,30768.5101153654,864.754246999224
607546,,LK1903060001,Mirror Lake Estates Lake,Mirror Lake Estates,,,,,NO,PRIVATE,19,306,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-06-17T12:04:27.000Z,,,ORTHO,YES,133228.615459224,1613.89947962515
607547,,LK1906760001,Country Cove Lake,Country Cove,,,,,NO,PRIVATE,19,676,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:30.000Z,,,ORTHO,YES,100703.37545148,1546.59231835161
607548,,LK1908950002,Eidson Lake,N/A,,,,,NO,PRIVATE,19,895,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:32.000Z,,,ORTHO,YES,69282.0208335632,1361.2821250915
607549,,LK1908800001,Kitchens Lake,N/A,,,,,NO,PRIVATE,19,880,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:34.000Z,,,ORTHO,YES,63975.2050751465,1088.6134145881
607550,,LK1908960001,Padgett Lake,N/A,,,,,NO,PRIVATE,19,896,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:36.000Z,,,ORTHO,YES,46985.5688324505,951.498061911754
607551,,LK1909700001,Puckett Lake,N/A,,,,,NO,PRIVATE,19,970,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:39.000Z,,,ORTHO,YES,79963.8446665881,1555.6453635848
607552,,PD1600340001,B. L. Land Partners Pond,N/A,,,,,NO,PRIVATE,16,34,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:40.000Z,,,ORTHO,YES,31175.0413905808,722.65954515262
607553,,LK1600360001,Jape Lane,N/A, ,,,,NO,PRIVATE,16,36,,,Zone AE,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-07-13T14:42:51.000Z,,,ORTHO,YES,76986.0909189478,1183.14650962886
607554,,LK1602320001,Kilpatrick Lake,N/A, ,,,,NO,PRIVATE,16,232,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:44.000Z,,,ORTHO,YES,49061.6030380387,995.256980932977
607555,,PD1602320001,Storck Pond,N/A,,,,,NO,PRIVATE,16,232,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:47.000Z,,,ORTHO,YES,6386.57756568565,314.404714601204
607556,,PD1602770001,New Life Baptist Church Pond,N/A,,,,,NO,PRIVATE,16,277,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:49.000Z,,,ORTHO,YES,20023.6735958488,740.705593227638
607557,,LK1604970001,Carter No. 1 Lake,N/A, ,YES,,,NO,PRIVATE,16,497,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-07-13T14:42:18.000Z,,,ORTHO,YES,53181.627152474,871.791113602158
607558,,LK1901990001,Addies Pond Lake,Addies Pond,,YES,,,NO,PRIVATE,19,199,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T18:25:19.000Z,,,ORTHO,YES,45761.4689121118,897.400660647584
607559,,LK1701320001,Ashton Windmill Lake,N/A,,YES,,,NO,PRIVATE,17,132,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Private Road is Dam - Dam Breach Model,YAGADJ,2015-05-11T18:25:45.000Z,,,ORTHO,YES,121500.111903179,1763.8831349931
607560,,PD1701560001,Summer Lake Pond,Summer Lake,,YES,,,NO,PRIVATE,17,156,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:05:28.000Z,,,ORTHO,YES,31585.0035442156,693.340393018298
607561,,LK1700920001,Pratt Lake,N/A,,YES,,,NO,PRIVATE,17,92,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:05:29.000Z,,,ORTHO,YES,67069.1372384938,1117.35140065519
607562,,LK1700930001,Williams Lake,N/A, ,YES,,,NO,PRIVATE,17,93,,,Zone A,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T17:49:40.000Z,,,ORTHO,YES,52519.1394364017,1099.26756829749
607563,,LK1700210001,Bridges Lake,N/A,,,,,,PRIVATE,17,21,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:59.000Z,,,ORTHO,YES,73337.3667764367,1419.65568902928
607564,,PD1701220001,Ferrell Pond,N/A,,,,,,PRIVATE,17,122,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:30:01.000Z,,,ORTHO,YES,26339.0198921969,644.665271663024
607565,,LK1700430001,Arnold Lake,N/A,,YES,,,NO,PRIVATE,17,43,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T18:25:37.000Z,,,ORTHO,YES,47820.3869296356,897.022715127412
607566,,LK1801540001,Freeman Lake,N/A,,,,,NO,PRIVATE,18,154,,,Zone AE,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-07-13T14:34:54.000Z,,,ORTHO,YES,178457.936122994,2402.54224639705
607567,,PD1904010001,Patterson Pond,N/A,,,,,NO,PRIVATE,19,401,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:30.000Z,,,ORTHO,YES,43007.5928167431,785.511022911161
607568,,LK2000530001,Paces Club Lake,Paces Club,,,,,NO,PRIVATE,20,53,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-06-17T12:03:32.000Z,,,ORTHO,YES,43822.5671919057,904.439799374352
607569,,LK1907280001,Rolfe Lake,N/A,,,,,NO,PRIVATE,19,728,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:34.000Z,,,ORTHO,YES,49311.1647398362,950.293955736551
607570,,PD1908020001,Bowen Pond,N/A,,YES,,,NO,PRIVATE,19,802,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:36.000Z,,,ORTHO,YES,16928.3245674724,651.748134419372
607571,,LK1908270001,Smith Lake 2,N/A,,YES,,,NO,PRIVATE,19,827,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:37.000Z,,,ORTHO,YES,86757.9073501248,1280.07380983267
607572,,LK1906550001,Lost Mountain Lakes No. 2 Lake,Lost Mountain Lakes,,YES,,,NO,PRIVATE,19,655,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-06-04T19:29:10.000Z,,,ORTHO,YES,102711.448169375,1536.4626290509
607573,,LK1906790001,Ingram Lake,N/A,,YES,,,NO,PRIVATE,19,679,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:28.000Z,,,ORTHO,YES,52393.2990602844,1167.37972276072
607574,,PD1907540001,Harrison No. 1 Pond,N/A,,YES,,,NO,PRIVATE,19,754,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:18.000Z,,,ORTHO,YES,17943.8559179004,560.192827689759
607575,,PD1907540002,Pembrooke Pond,Pembrooke,,YES,,,NO,PRIVATE,19,754,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:21.000Z,,,ORTHO,YES,23495.9167978294,717.197960677336
607576,,LK1908010001,GLKG Lake,N/A,,YES,,,NO,PRIVATE,19,801,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:23.000Z,,,ORTHO,YES,137022.227502096,1889.24915636184
607577,,LK1908030001,The Inheritance Lake,The Inheritance,,YES,,,NO,PRIVATE,19,803,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:25.000Z,,,ORTHO,YES,56728.6889931278,1944.24962610776
607578,,LK1908790001,Huddleston Lake,N/A,,YES,,,NO,PRIVATE,19,879,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-07-13T14:36:49.000Z,,,ORTHO,YES,99826.1852105637,1193.36387442942
607579,,PD1908790002,Durley Pond,N/A,,YES,,,NO,PRIVATE,19,879,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-07-13T14:36:52.000Z,,,ORTHO,YES,22748.0546752927,888.147309395189
607580,,PD1909000001,Porter Pond,N/A,,YES,,,NO,PRIVATE,19,900,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:34.000Z,,,ORTHO,YES,34384.5645603671,864.284258692401
607581,,PD1908950001,Speer Pond,N/A,,YES,,,NO,PRIVATE,19,895,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:36.000Z,,,ORTHO,YES,19197.5637643339,587.96529282055
607582,,PD1908940001,Small No. 1 Pond,N/A,,YES,,,NO,PRIVATE,19,894,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:38.000Z,,,ORTHO,YES,14533.7205388706,456.932930563493
607583,,LK1910310001,Defoors Farm No. 1 Lake,Defoors Farm,,YES,,,NO,PRIVATE,19,1031,,,Zone X Shaded,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:40.000Z,,,ORTHO,YES,142008.360874014,2073.93601849436
607584,,LK1909690001,Besch Lake,N/A,,YES,,,NO,PRIVATE,19,969,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:42.000Z,,,ORTHO,YES,68256.2671465869,1352.38271563767
607585,,PD1909670001,Defoors Farm Pond,Defoors Farm,,YES,,,NO,PRIVATE,19,967,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:44.000Z,,,ORTHO,YES,28999.2829475386,718.265311795784
607586,,LK1910320001,Caldwell No. 1 Lake,N/A,,YES,,,NO,PRIVATE,19,1032,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:46.000Z,,,ORTHO,YES,50756.459079391,896.006442103511
607587,,LK1910410001,Powder Ridge Lake,Powder Ridge,,YES,,,NO,PRIVATE,19,1041,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:48.000Z,,,ORTHO,YES,124936.425855878,1416.54632747768
607588,,LK1911150001,Schultz Lake,N/A,,YES,,,NO,PRIVATE,19,1115,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:29:50.000Z,,,ORTHO,YES,65335.6382647921,1027.39353225735
607589,,LK1911790001,Jones Lake,N/A,,,,,NO,PRIVATE,19,1179,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:30:07.000Z,,,ORTHO,YES,51643.8964463652,1158.4349360397
607590,,LK1800080001,Jett Lake,N/A,,YES,,,NO,PRIVATE,18,8,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:20:39.000Z,,,ORTHO,YES,80584.4518135033,1370.61109942134
607591,,PD1800080001,Cooley Pond,N/A,,YES,,,NO,PRIVATE,18,8,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-05-11T18:21:50.000Z,,,ORTHO,YES,26191.1467253622,644.152349919097
607592,,LK1800090001,Barnes Farms Lake,N/A,,YES,,,NO,PRIVATE,18,9,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:24:17.000Z,,,ORTHO,YES,114553.350544926,1495.56491332501
607593,,LK1911960001,Martins Farm Lake,Martins Farm,,,,,NO,PRIVATE,19,1196,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-06-04T19:30:04.000Z,,,ORTHO,YES,43647.0195138732,888.916931317414
607594,,LK1911730001,Chatham Lake,N/A,,,,,NO,PRIVATE,19,1173,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:30:09.000Z,,,ORTHO,YES,56911.0965875393,1011.14161094823
607595,,LK1910980001,RBC Bank Lake,N/A,,,,,NO,PRIVATE,19,1098,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:30:11.000Z,,,ORTHO,YES,52360.9975226671,988.236960231113
607596,,LK1709700001,Farmington Lake,N/A,,,,,NO,PRIVATE,17,970,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-06-04T19:30:13.000Z,,,ORTHO,YES,114809.182702026,1421.65151660896
607597,,LK1709670001,Beaver Pond Lake,N/A,,,,,NO,PRIVATE,17,967,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-07-13T14:51:12.000Z,,,ORTHO,YES,170405.506333611,2169.48312505994
607598,,PD0101020001,Edgewater Cove Pond,Edgewater Cove,,YES,,,NO,PRIVATE,1,102,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-06-04T19:24:29.000Z,,,ORTHO,YES,38315.2497087779,760.636785852418
607599,,LK0100560001,Chimney Springs No. 2 Lake,Chimney Springs, ,,,,,PRIVATE,1,56,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T18:23:03.000Z,,,ORTHO,YES,100775.228946084,1561.77490315378
607600,,LK0100950001,Heritage Trace Lake,Heritage Trace,  ,,,,,PRIVATE,1,95,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T17:46:56.000Z,,,ORTHO,YES,68655.1842558344,1218.64374538062
