OBJECTID,MAXGISID,FACILITY_ID,LAKENAME,SUBDIVISION_NAME,EST_DEPTH,ACCESSIBLE,ACCESS_REMARKS,INSTALLDATE,ABANDONED,JURISDICTION,LANDDISTRICT,LANDLOT,PLTBKNUM,PLTBKPG,FEMA_ZONE,EPD_REACH_NAME,EPD_CRITERION_VIOLATED,EPD_POTENTIAL_CAUSES,EPD_IMPAIRED_CATEGORY,EPD_IMPAIRED_PRIORITY,EPD_IMPAIRED_NOTES,EPD_305B_303D_LIST,EPD_IMPAIRED_WATERSHED,EPD_IMPAIRED_USE,LOCATIONVERIFIED,MAPDATE,IMAGES,BRE,REMARKS,EDITOR,EDITDATE,COLLECTED_BY,INVENTORY_DATE,SURVEY_METH,INSIDE_COBB_COUNTY,shapearea,shapelen
608197,,LK1900860001,Broadlands Lake,Broadlands,,,,,,PRIVATE,19,86,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,132209.264188313,2070.00388743428
608198,,PD1901560001,Woodward Pond,N/A,,,,,,PRIVATE,19,156,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,13689.2656235703,448.327117883933
608199,,LK1902130001,Amberton Lake,Amberton,,YES,,,NO,PRIVATE,19,213,,,Zone A,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T18:25:27.000Z,,,ORTHO,YES,71945.9337125133,1192.6572873377
608200,,PD1903090001,Thompson Pond,N/A,,,,,,PRIVATE,19,309,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,42513.4523811787,779.705767269433
608201,,LK1904280001,Dobbs Lake,N/A,,,,,,PRIVATE,19,428,,,Zone X Shaded,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,443348.32734576,4265.97722102583
608202,,LK1904300001,Phillips Hornsby Lake,N/A,,,,,,PRIVATE,19,430,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Cobb Road is Dam,YAGADJ,2015-07-13T14:37:33.000Z,,,ORTHO,YES,71700.7488353979,1322.02485410567
608203,,LK1904590001,Upper Werbell Lake,N/A,,,,,,PRIVATE,19,459,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-07-13T14:37:30.000Z,,,ORTHO,YES,64047.3127610611,1026.91673811932
608204,,LK1904590002,Lower Werbell Lake,N/A,,,,,,PRIVATE,19,459,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-07-13T14:37:25.000Z,,,ORTHO,YES,158217.52575354,1857.44192583861
608205,,PD1903820001,Davenport Pond,N/A,,,,,,PRIVATE,19,382,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,42930.1251129739,799.217693576446
608206,,LK1905830001,Banks Lake,N/A,,,,,,PRIVATE,19,583,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road ,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,951284.953373843,10984.8281015306
608207,,LK1904790001,North Georgia Fairgrounds Lake,Jim R. Miller Park,,YES,,,NO,CCPARKS,19,479,,,Zone A,,,,,,,Not on EPA List,,,ORTHO,,,,aka: North Georgia Fairgrounds Lake : Dam Not Road - Dam Breach Model,YAGADJ,2018-05-18T19:54:50.000Z,,,ORTHO,YES,363461.200199995,3443.1896647635
608208,,LK1701230001,Cindys Lake,N/A,,,,,,PRIVATE,17,123,,,Zone AE,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road - Dam Breach Model,YAGADJ,2015-05-11T18:23:07.000Z,,,ORTHO,YES,1070542.69866559,4468.95502247317
608209,,LK1901860002,The Landing at Reeves Lake Lake,The Landing at Reeves Lake,,,,,,PRIVATE,19,186,,,Zone X Shaded,,,,,,,Not on EPA List,,,,,,,Dam Not Road - aka: Reeves Lake,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,354039.406265951,3120.92327023604
608210,,LK1702200001,Pine Lake,N/A,,,,,,PRIVATE,17,220,,,Zone X Shaded,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-04-16T12:41:26.000Z,,,ORTHO,YES,144987.5204936,1847.36589321455
608211,,LK1901920001,McNeel Lake,N/A,,,,,,PRIVATE,19,192,,,Zone X Shaded,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,362304.574310923,3328.28293933879
608212,,LK1907270001,MaCedonia Road Lake,N/A,,,,,,PRIVATE,19,727,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,86398.1582126107,1325.96026557332
608213,,LK0100220001,Chimney Springs No. 1 Lake,Chimney Springs, 23,YES,,,NO,PRIVATE,1,22,,,Zone AE,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-07-13T14:43:16.000Z,,,ORTHO,YES,187182.393686124,2776.41755504518
608214,,LK1606840001,Edgemore Estates Lake,Edgemore Estates, ,,,,,PRIVATE,16,684,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-07-13T14:43:22.000Z,,,ORTHO,YES,142996.685980225,2067.09481505796
608215,,LK1608250001,Tall Pines Lake,Tall Pines,  ,,,,,PRIVATE,16,825,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-07-13T14:32:28.000Z,,,ORTHO,YES,52505.935968373,976.276340032508
608216,,LK1607570001,East Hampton Lake,East Hampton, ,,,,,PRIVATE,16,757,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-05-11T17:46:41.000Z,,,ORTHO,YES,124277.033325009,2065.68772784572
608217,,LK2003050001,Wyndam Lakes Lake,Wyndam Lakes,,,,,,PRIVATE,20,305,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Cobb Road is Dam,YAGADJ,2015-07-13T14:49:31.000Z,,,ORTHO,YES,127782.683427943,1781.75711193063
608218,,LK2003420002,Cambridge Lake Township Lake,Cambridge Lake Township,,,,,,PRIVATE,20,342,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-07-13T14:49:38.000Z,,,ORTHO,YES,74550.00277283,1198.67936961391
608219,,LK2002670001,the Enclave at Woodlore Lake,The Enclave at Woodlore,,,,,,PRIVATE,20,267,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-07-13T14:27:39.000Z,,,ORTHO,YES,150444.291986075,2199.2381691002
608220,,LK1900200001,Gahan Lake,N/A,,,,,,PRIVATE,19,20,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,312238.914393001,3018.32228289315
608221,,LK2003150001,Lake Somerset Lake,Lake Somerset,,,,,,PRIVATE,20,315,,,Zone X Shaded,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,713165.037308091,5160.52217778555
608222,,LK2003310001,Hardage Pointe Lake,Hardage Pointe,,,,,,PRIVATE,20,331,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,438484.122038036,3217.86279733119
608223,,LK2002940001,Custer Lake,N/A,,,,,,PRIVATE,20,294,,,Zone X Shaded,,,,,,,Not on EPA List,,,,,,,Dam Not Road ,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,331673.094296056,4235.88355493733
608224,,LK2002740001,Charles Kemp  +  F.K. Whitlow Lake,Charles Kemp Jr. + F. K. Whitlow,,,,,,PRIVATE,20,274,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road - aka :Lovinggood Lake,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,76164.749936416,1221.826879453
608225,,PD2002750001,Stone Lakes Pond,Stone Lakes,,,,,,PRIVATE,20,275,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-07-13T14:53:17.000Z,,,ORTHO,YES,32010.9215120047,1228.12130350525
608226,,LK2002750001,Stone Lakes North,Stone Lakes,,,,,,PRIVATE,20,275,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-07-13T14:53:12.000Z,,,ORTHO,YES,64032.4681742364,993.973544275322
608227,,LK2002370001,Samuel Lake,N/A,,,,,,PRIVATE,20,237,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,199303.975533653,2093.34822675692
608228,,LK2002370002,Godwin Lake,N/A,,,,,,PRIVATE,20,237,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,98893.8967944985,1325.52006894901
608229,,LK1900540001,Lake Wilderness Lake,Lake Wilderness , ,,,,,PRIVATE,19,54,,,Zone A,,,,,,,Not on EPA List,,,,,,,Cobb Road is Dam,YAGADJ,2015-05-11T17:47:01.000Z,,,ORTHO,YES,511953.791639057,4602.84763846336
608230,,LK1900530001,Stillwaters Lake,Stillwaters,,,,,,PRIVATE,19,53,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road - aka: Mud Creek Lake,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,303963.156917426,3837.51646498334
608231,,LK2003190001,Calvary  Lake lake,Calvary Lake,,,,,,PRIVATE,20,319,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road - aka: Brammett Lake,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,368093.593815651,2736.92664873495
608232,,LK2002790002,McAffe Farms Lake,McAffe Farms,,,,,,PRIVATE,20,279,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,167051.912145845,2560.07109257614
608233,,LK2002790003,Joan Lake,N/A,,,,,,PRIVATE,20,279,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,76870.5746121875,1553.92476743392
608234,,LK2002860001,Rebel Ridge Ranch Lake (Upper),N/A,,,,,,PRIVATE,20,286,,,Zone X Shaded,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-07T00:00:00.000Z,,,ORTHO,YES,205779.298638354,1929.15443996798
608235,,LK2002860002,Rebel Ridge Ranch Lake (Lower),N/A,,,,,,PRIVATE,20,286,,,Zone X Shaded,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,111598.099350892,1450.99303050842
608236,,LK1605920001,Tang Lake 1,N/A, ,,,,,PRIVATE,16,592,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-05-11T17:47:13.000Z,,,ORTHO,YES,96493.4199869478,1281.25536624711
608237,,LK1608100001,Holcombe Lake Lake,Holcombe Lake, ,,,,,PRIVATE,16,810,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-05-11T17:47:09.000Z,,,ORTHO,YES,94786.2605404766,1223.14670524667
608238,,LK1607450001,Saddle Ridge Lake Lake,Saddle Ridge Lake, ,,,,,PRIVATE,16,745,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-05-11T17:46:53.000Z,,,ORTHO,YES,127593.374811988,1746.79077920415
608239,,LK1606940001,Sumter Lake Lake,Sumter Lake, ,YES,,,NO,PRIVATE,16,694,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-05-11T17:49:44.000Z,,,ORTHO,YES,167727.743021425,2049.63420347824
608240,,LK1607650001,Wicks Lake Lake,Wicks Lake, ,,,,,PRIVATE,16,765,,,Zone A,,,,,,,Not on EPA List,,,,,,,Dam Not Road - Dam Breach Model,YAGADJ,2015-05-11T17:46:52.000Z,,,ORTHO,YES,208242.91106658,2620.76577995095
