OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_3__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp3_HousTranspCosts_Pct_Income,Tp3_HousingCosts_Pct_Income,Tp3_TransportCosts_Pct_Income,Tp3_AnnualVehMilesTraveled
20,13113140303,1403.03,ARC 10,78010,20.56,{8F20F312-1712-4CA3-B1B4-86B527D23E79},-88.6,97.42,57.52,39.9,19451
21,13113140304,1403.04,ARC 10,70740,33.49,{7CB119BD-8B76-478E-B816-CA59D363A1C5},-109.8,103.6,63.18,40.42,20094
22,13113140307,1403.07,ARC 10,145086,18.97,{C5CC8D71-BAB5-4AA7-B921-1631867A9903},123.4,133.03,87.8,45.24,22159
23,13113140408,1404.08,ARC 10,72200,5.39,{954EF662-CD85-4089-8CAB-2FB32FC1F646},-26.1,99.64,55.68,43.96,21578
24,13113140407,1404.07,ARC 10,63433,26.24,{C76FCA52-A87D-4D84-9EA9-CA17A0E6B0FB},195.1,87.73,48.43,39.3,19444
25,13113140405,1404.05,ARC 10,85278,5.84,{4AE4BCB2-6F9D-451B-A6DA-78F79023C3F1},14.3,101.85,58.05,43.81,21462
26,13113140404,1404.04,ARC 10,77888,34.83,{F119B3B1-7F2B-428B-A5E7-9633C1D5E6D4},179.3,96.83,56.82,40.02,19660
27,13113140206,1402.06,ARC 10,105966,11.2,{A415CF81-0384-478D-BA3B-12C68A35B20B},161.4,129.59,88.27,41.33,19935
28,13113140203,1402.03,ARC 10,83935,0.1,{3B15D4FF-1916-49FE-B416-3A348ED1F025},216.4,105.59,62.39,43.2,20636
29,13113140204,1402.04,ARC 10,76681,8.08,{B9860823-316D-47BD-8034-F6AD3FB386B7},42.5,105.94,62.98,42.96,20818
30,13113140305,1403.05,ARC 10,97955,2.07,{F5D61539-8013-4EA9-A655-BB04220415FD},247.1,117.18,74.54,42.64,20622
31,13113140403,1404.03,ARC 10,78324,10.29,{0584E37B-1BC5-46D7-9106-6B286A586E3F},122.7,109.45,66.61,42.84,20849
32,13113140406,1404.06,ARC 10,57438,12.43,{244559B8-C4F8-4CE1-81C0-CB228D73916D},37.3,89.65,49.71,39.93,19500
33,13113140306,1403.06,ARC 10,89699,21.63,{6FD7239E-E73D-4CFB-A3A4-9F524354C4F9},56.3,105.86,65.27,40.59,19718
34,13113140102,1401.02,ARC 10,72549,0.22,{7BE56E30-C864-4CAC-98BB-5F306498D160},-3.8,99.26,57.31,41.95,20465
35,13113140101,1401.01,ARC 10,64732,8.01,{DDD640D4-B1E0-43B8-A23C-841623CFC4AD},49.1,97.53,54.66,42.87,20991
36,13113140502,1405.02,ARC 10,73591,0,{A4DAB744-2AB9-40E7-98B6-52E8886E251D},12.4,101.67,56.36,45.32,22169
37,13113140501,1405.01,ARC 10,84885,0,{90DAA61E-2D7F-487C-8CA7-F0437D997F96},42.3,95.35,49.88,45.48,21807
38,13247060404,604.04,ARC 10,54146,3.98,{8B7E177D-F351-41EF-AB89-E6424B6041BD},-45.3,89.03,47.33,41.7,20691
39,13247060304,603.04,ARC 10,42554,5.63,{32A1CAA8-2DFB-4C24-AD13-5B9845681FD8},120.7,84.34,49.45,34.88,17184
40,13247060101,601.01,ARC 10,51356,0.46,{79298030-448C-4EDB-B8CD-5ED2E1AB1270},9.5,87.32,45.27,42.05,20532
41,13247060202,602.02,ARC 10,54345,10.53,{86B89823-D527-456A-BE89-F359FE4A8793},174.6,90.21,49.7,40.51,20283
42,13247060201,602.01,ARC 10,35453,42.6,{03883B57-FA84-4CBB-8698-ADA8BB71C057},31.8,83.09,44.86,38.22,19469
43,13247060306,603.06,ARC 10,65357,0,{A795FFFC-A535-440C-AA9E-5410D636F5E9},231.9,87.3,46.64,40.66,19952
44,13247060407,604.07,ARC 10,51714,20.19,{AAB32270-E2AC-470C-B9CD-1C45609102A9},-84.8,89.5,47.48,42.03,21120
45,13247060403,604.03,ARC 10,69286,0,{BE75CD14-861D-4114-B231-31FC89C9BEC4},63.8,104.35,60.33,44.03,21004
46,13247060406,604.06,ARC 10,71833,9.29,{DC346F74-DCCF-47A1-8ECA-C2BF22244FB0},41.4,92.8,49.48,43.33,21401
47,13247060305,603.05,ARC 10,37067,25.15,{65C97B58-2B82-439D-9CA9-44AC4546B503},138.2,78.05,44.52,33.54,16723
48,13247060309,603.09,ARC 10,43438,31.05,{63333CCA-D7E9-4FB3-A99D-E526505F7414},323.4,83.13,46.29,36.85,18309
49,13247060308,603.08,ARC 10,43182,45.39,{CC64D90B-3DE0-468A-88F7-FCC1F66EA7B3},858.7,81.29,47.34,33.95,16995
50,13247060405,604.05,ARC 10,65704,0,{EA308E74-BCE9-447C-A740-0BCBEE08E156},90.6,101.4,57.21,44.19,21882
51,13247060307,603.07,ARC 10,70478,38.95,{C3DC3CD7-730A-43B9-BFD6-2F1FABFBBD07},483.7,99.38,59.99,39.39,19583
52,13247060102,601.02,ARC 10,44469,0,{B83120F2-99A2-48B1-88DB-A46E61058536},35.7,88.84,47.58,41.25,20284
53,13067030330,303.30,ARC 10,91825,49.26,{0D4386EE-B7F9-45F2-84D9-7344D394C5FB},139.1,102.66,64.46,38.19,17828
54,13067030328,303.28,ARC 10,102594,39.92,{355F50DD-D060-4EA7-BEB4-BFBFDFA5D116},-113.8,96.9,57.81,39.1,18089
55,13067030700,307,ARC 10,38140,72.29,{434D0704-FBF5-4587-A334-5FDE46D32199},-708.2,73.72,45.11,28.61,13553
56,13067030324,303.24,ARC 10,78363,44.91,{8A9C010B-C40F-448F-A439-D718C473E2AC},-220.7,90.15,50.96,39.19,19134
57,13067030312,303.12,ARC 10,68452,12.5,{50A68362-E7A4-482C-91A9-F8160F42355E},-80.3,91.39,52.82,38.56,18167
58,13067030228,302.28,ARC 10,45275,95.92,{E0E88169-8040-4BA9-A933-DFD18771A71E},27.8,81.19,52.55,28.64,14147
59,13067030231,302.31,ARC 10,95714,37.31,{B91DA0A3-8173-4D9D-AA7E-C9CD3BE9C56F},147,94.85,54.64,40.2,19225
60,13067030230,302.30,ARC 10,64554,56.43,{F3521F90-BE05-42E5-80AC-71757948AEA4},1275.2,91.42,58.46,32.96,15838
61,13067030311,303.11,ARC 10,90809,20.58,{49ED70E5-1D57-4597-9A3B-BEEECDD4488F},-90,94.46,55.41,39.04,18692
62,13067031001,310.01,ARC 10,30414,60.65,{A241A53A-ADF6-4986-B1F3-BC3C070A6C10},-50.5,72.66,42.79,29.87,14110
63,13067030310,303.10,ARC 10,68512,13.33,{8740A3A9-4F41-48C4-8249-85CE6358E11A},86.8,95.71,57.02,38.69,18065
64,13067030215,302.15,ARC 10,73646,41.5,{0F7D89E2-FF6B-4C47-960E-4BA0E9816732},364.3,95.93,58.32,37.61,18241
65,13067030601,306.01,ARC 10,48977,81.19,{1FF5BDCE-FE32-46DE-B400-D03C5C8D76A6},1384.4,78.01,50.25,27.76,13232
66,13067030227,302.27,ARC 10,58446,15.79,{3A023F20-6E0E-43B9-981C-274025287061},87.9,92.66,57.76,34.9,16710
67,13067030602,306.02,ARC 10,61891,37.54,{AE4DC791-A743-450D-9AFC-78E35EEAAC52},61,88.64,55.69,32.95,15693
68,13067030506,305.06,ARC 10,51922,27.54,{9D21A2A5-911D-44FE-BA69-A2268FD4B6CD},267.1,78.94,46.94,32,15306
69,13067030507,305.07,ARC 10,61017,26.01,{2D99B677-4C7C-4A67-B81F-ACA06282BDF7},51.3,85.04,48.25,36.78,17529
70,13067030229,302.29,ARC 10,51905,12.64,{92B251B1-E4A2-46F5-92E8-5D549004DBE8},409.8,84.53,49.79,34.73,16475
71,13067031208,312.08,ARC 10,63125,160.77,{61E66D8D-7D84-48EF-98E4-6426365073D7},960.7,82.16,56.26,25.9,11918
72,13067031207,312.07,ARC 10,52945,187.18,{2984F4DE-A5DA-47D5-8D5B-2BC4E2AF1C4B},176.4,74.91,51.44,23.47,10877
73,13067030226,302.26,ARC 10,70357,66.52,{4FC80E2F-041D-40F2-98D2-2BDD6B92B874},1151.9,102.07,65.45,36.62,18211
74,13067031505,315.05,ARC 10,62903,15.51,{853BFC2A-2EE4-4D57-B974-DFEA177A3942},-27.4,90.78,51.81,38.96,19137
75,13067030313,303.13,ARC 10,77872,9.25,{CE94E363-FAC7-4C12-B4ED-C816236FB63B},201.1,98.72,60.77,37.95,17692
76,13067031310,313.10,ARC 10,27802,128.87,{B3206BDB-BE6E-48D4-BCF8-E38CCC95A0D1},244.1,74.38,44.78,29.6,14481
77,13067030214,302.14,ARC 10,74347,25.88,{694ABA3E-3FEB-4DDA-BE27-34E57D8CC165},299,96.62,57.59,39.03,19036
78,13067031212,312.12,ARC 10,125000,45.79,{B67DA7E9-53CC-442A-B344-9EFBD0029A7F},-71.3,100.49,65.31,35.18,16090
79,13067031211,312.11,ARC 10,53891,249.31,{858D026D-5DC7-4338-8864-C7723809FF41},-73.3,71.72,49.71,22.02,10629
80,13067031209,312.09,ARC 10,120987,71.44,{F5BCF80D-A96E-4B69-BC21-2C2DBBA906B8},600.8,127.74,93.04,34.69,15871
81,13067030224,302.24,ARC 10,69803,51.45,{922A1395-098B-45A4-A90F-D2F61E990AC7},1697.2,97.62,60.33,37.29,18055
82,13067031205,312.05,ARC 10,83000,133.03,{760EA3BB-1C3C-42CB-8370-EE08B86B4628},688.6,94.39,64.83,29.57,14465
83,13067031206,312.06,ARC 10,78214,92.83,{CA12E39D-557C-44C2-BD8D-3D50EDA1B66D},1112.2,92.87,62.89,29.98,14261
84,13067030220,302.20,ARC 10,63523,17.29,{D6F9AF15-45FE-4476-8C71-128DCF7A6D2D},-44.3,103.26,64.37,38.89,18108
85,13067030905,309.05,ARC 10,52669,57.73,{7B162716-3460-4EA5-A49C-9449437032F8},398.3,86.77,50.57,36.2,17719
86,13067030502,305.02,ARC 10,83229,40.53,{6E8B5991-8D8F-421A-83B8-7387786566AE},114.1,98.44,62.8,35.64,16881
87,13067030209,302.09,ARC 10,82328,7.88,{F1395779-CF55-4DBA-A9CB-BA822FD92D40},253.6,101.43,61.14,40.29,19265
88,13067030326,303.26,ARC 10,122371,24.7,{9A5DB606-7274-41B5-BF40-55004293E6AF},-70.4,133.54,92.41,41.13,19423
89,13067031108,311.08,ARC 10,35563,158.08,{45BD3CD4-18F2-4840-9898-3D72D2C63DAD},-380.8,72.72,45.88,26.84,13200
90,13117130105,1301.05,ARC 20,38306,0,{39C8734E-900D-4278-AECD-79CA57325B3F},106.5,81.49,41.27,40.21,19477
91,13117130205,1302.05,ARC 20,65795,0,{F9D767E5-6AA5-47F3-B64F-B8F022F20FBC},113.9,108.4,65.93,42.47,20732
92,13117130603,1306.03,ARC 20,118902,47.86,{99D39F63-384D-43B7-898D-F2D961384139},391.4,131.83,92.74,39.08,18946
93,13117130610,1306.10,ARC 20,120685,38.51,{EA47FAD7-CF40-44EC-878C-ADAD8D810536},125.9,135.39,93.77,41.61,19575
94,13117130606,1306.06,ARC 20,116714,52.89,{71427ECF-5F54-4684-B72E-A101D44ECC05},263.5,126.25,87.67,38.58,18096
95,13117130604,1306.04,ARC 20,126058,50.26,{98060F07-6858-4914-B9D8-B1EA14FA0885},693.6,108.73,68.3,40.42,18852
96,13117130611,1306.11,ARC 20,127304,46.89,{31FB24B7-69E8-419B-94DB-D743C8589E17},633.3,129.14,87.43,41.71,19916
97,13117130609,1306.09,ARC 20,125688,27.55,{A12411E2-F220-472D-B91F-840C89BCBC8F},1147.7,130.66,88.85,41.81,19740
98,13117130607,1306.07,ARC 20,120000,34.98,{40D3E9B0-DCA0-4846-87DC-984FCCF87BF1},1206.3,126.22,85.54,40.68,19942
99,13117130605,1306.05,ARC 20,99028,35.46,{8475BE9A-AE2D-4A85-9DA9-20C00D248A18},684.5,106.28,64.41,41.87,19776
100,13117130602,1306.02,ARC 20,83445,65.03,{074BBF29-3C9A-4767-AB32-D7BE993C6525},810.9,100.06,62.53,37.53,18566
101,13117130508,1305.08,ARC 20,104912,35.1,{E3F321B0-999F-4E48-AD2A-DEFDBF0C0533},491.8,110.67,68.22,42.45,20421
102,13117130507,1305.07,ARC 20,71765,5,{D43C1258-26EC-4788-BA96-9EEBB6437D70},80,104.96,64.37,40.6,20139
103,13117130409,1304.09,ARC 20,60962,6.8,{A9BC0910-A959-440A-A0A6-5A87C32819AE},201.7,88.02,49.7,38.31,19169
104,13067030218,302.18,ARC 10,114718,39.69,{4173E713-7FB6-48EF-A2E6-6ED2B3C12B97},455.4,126.94,85.82,41.12,19717
105,13067030219,302.19,ARC 10,118279,27.4,{07487C39-E968-481B-AED6-67EF9CFEE9CC},572.9,126.04,83.52,42.52,20506
106,13067030235,302.35,ARC 10,98782,0.69,{24EEC79D-BFC4-4CA6-B5BE-552605DF08C1},120.8,105.37,63.54,41.83,19691
107,13067030234,302.34,ARC 10,96625,7.47,{0548E2D4-1084-408C-A1BD-BD135AB3C876},376.7,119.08,76.94,42.13,20262
108,13067030233,302.33,ARC 10,97778,29.87,{C2663136-0086-4F84-A6E5-75B5308210B4},-1.1,111.86,71.35,40.51,19559
109,13067030337,303.37,ARC 10,125556,59.19,{5E9BA56C-F26B-4107-B4A4-06E1FE8042A6},6.1,119.63,81.7,37.94,17610
110,13067030334,303.34,ARC 10,96214,28.56,{5D05D9EB-6D1C-47D8-8A95-5D52ADD8D10C},-140,97.31,59.67,37.64,17027
111,13067031111,311.11,ARC 10,78706,153.31,{CD6AAB6D-C12A-4CF6-BE36-0180C2C970CE},-353.8,86.82,58.1,28.72,14478
112,13067031110,311.10,ARC 10,56472,67.5,{919E71B2-0878-4FC8-AF61-011494E35188},-166,80.59,48.66,31.93,14915
113,13067030405,304.05,ARC 10,39492,141.23,{8F4D442E-B364-404F-BA33-607A298A93C2},-74,75.83,48.54,27.29,13189
114,13067031101,311.01,ARC 10,41907,72.97,{F42EF264-AA8D-4DD1-AE9F-3F30270562B3},34.6,76.79,45.56,31.23,14830
115,13117130305,1303.05,ARC 20,94188,43.98,{F1D9D6C3-28BF-41D8-8524-39EE46103CA0},610.3,109.02,65.73,43.29,21336
116,13117130301,1303.01,ARC 20,66842,6.03,{88D6E264-0D70-488C-8766-989939821B9B},240.6,96.85,54.96,41.89,21071
117,13117130405,1304.05,ARC 20,81048,2.3,{8BF26167-4193-47E7-9868-E36802171A70},542.1,92.53,50.34,42.19,20356
118,13117130504,1305.04,ARC 20,66572,2.73,{68DC199D-7ABD-4AB6-8812-5CCC691621C4},64.7,87.38,46.83,40.54,19802
119,13117130505,1305.05,ARC 20,74000,14.5,{7F4169D1-F49C-42AA-B79E-261271982CE9},74.6,93.74,50.64,43.09,21376
120,13117130503,1305.03,ARC 20,82670,1.1,{787E335E-69E3-48FA-88B1-EE4F8C4D0633},70.7,95.84,53.01,42.83,20902
121,13117130102,1301.02,ARC 20,59929,1.28,{AD14D6DE-CCC8-425D-A54B-51E7D6066F87},207.4,93.98,50.36,43.62,22037
122,13117130103,1301.03,ARC 20,53941,0,{E2BF39FB-C48B-495F-A70A-356EFE3B6692},190.1,88.46,46.22,42.24,21327
