X,Y,OBJECTID,FACNAME,FACTYPE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,AREACODE,PHONE,CONTACT,TITLE,FIPS,TYPE,NAME,METHOD,updated,draw,GlobalID,last_edited_date
-84.429714083706457,34.171634703838883,1621,Sequoyah High School,13,4485 Hickory Road, ,Canton,Georgia,30115,770,721-3200,Elliott Berman,Principal,13057,"High School, Public",Cherokee,GPS,2011-12-22T00:00:00.000Z,,{2B51B7D6-35D4-4B54-AB54-AFBB44545B45},2016-02-09T21:21:23.000Z
-84.501232629780077,34.233329387199866,1623,Cherokee High School,13,930 Marietta Hwy, ,Canton,Georgia,30114,770,479-4112,Debra Murdock,Principal,13057,"High School, Public",Cherokee,GPS,2011-12-22T00:00:00.000Z,,{95A06013-3111-45CB-B52F-FDC218DA025D},2016-02-03T18:25:18.000Z
-84.541748460222578,34.101064244620098,1624,Woodstock High School,13,2010 Town Lake Hills South Drive, ,Woodstock,Georgia,30189,770,721-3000,Bill Sebring,Principal,13057,"High School, Public",Cherokee,GPS,2011-12-22T00:00:00.000Z,,{2856F3C4-5CDE-4329-870D-79DFB4E889ED},2016-02-16T15:23:23.000Z
-84.564382737630808,34.116965640137259,1625,Etowah High School,13,6565 Putnam Ford Rd, ,Woodstock,Georgia,30189,770,926-4411,Keith Ball,Principal,13057,"High School, Public",Cherokee,GPS,2011-12-22T00:00:00.000Z,,{91250049-7B27-4D03-9242-19CF3FF5E90F},2016-02-03T19:01:09.000Z
-84.542914882557497,34.101027532568146,1626,Polaris Evening School,13,2010 Towne Lake Hills South Drive, ,Woodstock,Georgia,30189,770,721-3100,Bob Hahn,Principal,13057,"High School, Public",Cherokee,GPS,2011-12-22T00:00:00.000Z, ,{1B4213E6-71B2-47B0-B445-BAC978239890},2016-02-09T18:38:47.000Z
-84.498995472974755,33.769624968622537,1548,Harper-Archer Middle School,31,3399 Collier Dr NW, ,Atlanta,Georgia,30331,404,802-6500,Wallace Bibbs,Principal,13121,Middle School,Fulton,GPS,2012-01-19T00:00:00.000Z,,{09DF4490-CE0C-4D5B-B278-257B469777B7},2016-06-16T20:36:19.000Z
-84.557531901826337,33.954897847955117,1605,Marietta Middle School,13,121 Winn Street NW, ,Marietta,Georgia,30064,770,422-0311,Darlene Darby,Principal,13067,Middle School,Cobb,GPS,2012-01-05T00:00:00.000Z, ,{30C5155B-4863-46A5-99D0-F19C039EBF10},2016-06-16T20:36:19.000Z
-84.529293392736761,34.338801322437142,2360,R. M. Moore Elementary School,30,1375 Puckett Road, ,Waleska,Georgia,30183,770,479-3798,Jan Adamson,Principal,13057,Elementary School,Cherokee,Local,2011-12-22T00:00:00.000Z, ,{C23C3C69-1740-409A-8993-C03917ACA88C},
-84.452460646956951,34.274633764801983,2361,Crossroads Christian,20,2861 Ball Ground Hwy, ,Canton,Georgia,30114,770,479-7638,,Principal,13057,Private School,Cherokee,Photo,2011-12-22T00:00:00.000Z, ,{8E8E676F-45C5-4D7A-9E7D-78E55D922F40},
-84.553959264676593,34.172655958341359,2363,Sixes Elementary School,30,20 Ridge Road, ,Canton,Georgia,30114,770,345-3070,John Hultquist,Principal,13057,Elementary School,Cherokee,Local,2011-12-22T00:00:00.000Z, ,{C50FB27E-EEAB-4CB3-9B10-360A7C19DBD6},
-84.612077370275188,34.09636982696027,2366,Oak Grove Elementary School,30,6118 Woodstock Road, ,Acworth,Georgia,30102,770,974-6682,jennifer Scrivner,Principal,13057,Elementary School,Cherokee,Local,2011-12-22T00:00:00.000Z, ,{5E982257-5FFB-4DB6-A7BD-A868E2D5FFF3},
-84.577763215254464,34.130812581566943,2371,Bascomb Elementary School,30,1335 Wyngate Parkway, ,Woodstock,Georgia,30189,770,592-1091,Ruth Flowers,Principal,13057,Elementary School,Cherokee,Local,2011-12-22T00:00:00.000Z, ,{065CF5B0-04C5-4A27-B454-60BEEFECFFC4},
-84.50424030254581,34.17696434914275,2372,Crossroads High/Middle School,13,3921 Holly Springs Parkway, ,Holly Springs,Georgia,30142,770,345-2005,Jeff Garrett,Principal,13057,"High School, Public",Cherokee,GPS,2011-12-22T00:00:00.000Z, ,{F8F96659-4EA4-45B4-88EF-3400BA2AAE5E},
