X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,In_School,In_Pre_School,Pct_In_Pre_School,In_Kindergarten,Pct_In_Kindergarten,In_Elementary,Pct_In_Elementary,In_High_School,Pct_In_High_School,In_College_or_Grad_School,Pct_In_College_or_Grad_School,GlobalID,last_edited_date
-85.040599847312308,34.847767825494756,433,Tunnel Hill,1026.69995117,1.60422003, , ,255,8,3.1,40,15.7,93,36.5,50,19.6,64,25.1,{78980C1E-ACF7-478F-89BE-BCD2D9F90813},
-84.970975198523675,34.768969097221074,434,Dalton,13155,20.55470085, , ,9530,537,5.6,504,5.3,4805,50.4,1556,16.3,2128,22.3,{70776450-4063-40BA-8EB8-D0B5C52F511A},
-84.959041029403423,34.953855891994884,435,Cohutta,3023.7199707,4.72455978, , ,167,0,0,5,3,83,49.7,30,18,49,29.3,{063B6E39-7997-452D-9A7D-6FB74987F823},
-83.497493687627127,34.521815550976669,436,Mount Airy,1656.56994629,2.58839011, , ,331,12,3.6,15,4.5,150,45.3,81,24.5,73,22.1,{289444DD-C0EE-4F02-AA0F-85C1AA0CBDA0},
-83.54239322468311,34.564878839827038,437,Demorest,1454.02001953,2.27190995, , ,842,9,1.1,13,1.5,127,15.1,60,7.1,633,75.2,{4F4AEA01-8991-4987-BF56-C06875CAC6AB},
-83.530799781608977,34.516268252030059,438,Cornelia,2548.37988281,3.98184991, , ,1278,108,8.5,86,6.7,697,54.5,387,30.3,0,0,{DE85C12B-8D91-40FB-B54D-595FA92106EE},
-83.528366093529414,34.610226603817729,439,Clarkesville,1592.70996094,2.48861003, , ,538,39,7.2,17,3.2,232,43.1,153,28.4,97,18,{337E7085-0716-4BC4-AABD-93D93CA0088C},
-84.21225615868893,33.185105651556761,440,Orchard Hill,229.94200134,0.35928401,yes, ,44,0,0,0,0,22,50,21,47.7,1,2.3,{4A3BC0B9-6ED8-46F0-B84E-0241A7043EFB},
-83.830027971562785,34.289816636956495,441,Gainesville,21492.30078125,33.58169937,yes, ,10262,764,7.4,502,4.9,4560,44.4,1880,18.3,2556,24.9,{3A9D651D-3B66-4EE4-BF93-10FD6507A7FE},
-83.88468062757741,34.224253971405382,442,Oakwood,3038.7199707,4.74800014,yes, ,1051,33,3.1,35,3.3,345,32.8,195,18.6,443,42.2,{525EC19E-F121-4A40-896C-7B7B888C7804},
-84.922017989002697,34.371339296457023,443,Adairsville,5773.89990234,9.02171993,yes, ,1501,41,2.7,190,12.7,659,43.9,358,23.9,253,16.9,{DBCA2EC7-39FB-4124-BB40-5768CADDBC9E},
-84.800719220063428,34.163044841304604,444,Cartersville,18589.30078125,29.04579926,yes, ,5040,432,8.6,248,4.9,2935,58.2,893,17.7,532,10.6,{0F254E3D-E6BC-4A8E-B51D-2F0E965A1A25},
-84.743951065563849,34.12921314736888,445,Emerson,4520.04003906,7.06256008,yes, ,241,3,1.2,10,4.1,120,49.8,46,19.1,62,25.7,{E86EDF85-0FCD-4B7E-8411-52BA82431956},
-84.104920206491641,33.342971746240458,446,Locust Grove,6320.72021484,9.8761301,yes,yes,1588,22,1.4,11,0.7,1058,66.6,302,19,195,12.3,{0CEC062F-F458-4FB2-BCE8-C93541AFEFB2},
-84.229304375183133,33.526630510962455,447,Stockbridge,8467.58007813,13.23060036,yes,yes,9780,507,5.2,480,4.9,3868,39.6,1947,19.9,2978,30.4,{ED8AC0EC-8B48-4E1D-9FF6-4D2C636CC403},
-84.594055158203389,33.475292274261513,448,Tyrone,8237.28027344,12.87069988,yes,yes,2054,81,3.9,101,4.9,662,32.2,575,28,635,30.9,{9B651B98-51A7-4AF2-A1C1-1716D4B08A3D},
-84.3397633311411,33.581643165243413,449,Morrow,2139.9699707,3.34370995,yes,yes,2047,127,6.2,76,3.7,490,23.9,388,19,966,47.2,{7084DA73-D0A7-43D1-B103-739215B39C91},
-84.409712629988434,33.564813505928633,450,Riverdale,2903.9699707,4.53745985,yes,yes,4602,193,4.2,192,4.2,2061,44.8,985,21.4,1171,25.4,{4007FD9A-AC60-45F6-97C5-8656FC033605},
-83.66507464233149,34.395308134882995,451,Lula,2681.41992188,4.18972015,yes, ,809,60,7.4,65,8,404,49.9,156,19.3,124,15.3,{FB470B78-10C7-4678-81EF-39A1225838F2},
-84.291084540662524,33.34206386867934,452,Sunny Side,129.58900452,0.202483,yes, ,7,0,0,0,0,3,42.9,0,0,4,57.1,{5BFBA452-EC6F-48A5-A2D5-11E7FCF71AE0},
-83.81286656433943,34.004530142286285,453,Carl,706.07897949,1.10325003,yes, ,65,6,9.2,2,3.1,38,58.5,8,12.3,11,16.9,{3227E955-DCB2-4485-993E-2CC778FAE305},
-84.707179420904893,33.738212215987538,454,Douglasville,14281.59960938,22.31489944,yes,yes,9813,651,6.6,483,4.9,4087,41.6,2479,25.3,2113,21.5,{20D085D7-B9ED-4005-9B7E-E5909790ADD3},
-84.150777027118821,33.439847612069862,455,McDonough,8167.25976563,12.76130009,yes,yes,7027,621,8.8,480,6.8,2851,40.6,1462,20.8,1613,23,{99EC43F6-3D73-4F5E-BF7B-CB988F5D659A},
-84.912282641326428,33.492146250830558,456,Whitesburg,1609.04003906,2.51413012,yes, ,113,9,8,0,0,64,56.6,18,15.9,22,19.5,{11684293-A419-4377-8BAC-8C0DCBEC27D6},
-84.13572877789737,34.207635866585001,457,Cumming,3736.07006836,5.83760977,yes, ,1431,74,5.2,158,11,494,34.5,415,29,290,20.3,{D457353F-BDA4-4503-9636-EFC88304E203},
-83.80449371549301,33.817758959478475,458,Between,775.99102783,1.21248996,yes, ,136,19,14,7,5.1,64,47.1,23,16.9,23,16.9,{3C07E475-12FD-477B-9807-F93F41F87037},
-83.609389955774702,33.7849911394296,459,Good Hope,1195.81005859,1.86846006,yes, ,125,26,20.8,12,9.6,36,28.8,46,36.8,5,4,{4D15C2ED-B8BF-489D-9C6A-23C763E7EE51},
-84.917273333672227,33.729733927511077,460,Villa Rica,9317.03027344,14.55790043,yes,yes,4042,230,5.7,239,5.9,2087,51.6,637,15.8,849,21,{D6447701-D8AD-4148-8CDF-D4D2C2448BC5},
-85.131257965995303,33.456975255882099,461,Roopville,505.50698853,0.789855,yes, ,70,1,1.4,2,2.9,34,48.6,16,22.9,17,24.3,{FD758F56-9CFE-4DF6-A6BA-3557A2FCF333},
-83.812030758229866,34.108753566551663,462,Braselton,7783.25976563,12.16129971,yes,yes,2425,116,4.8,227,9.4,1103,45.5,483,19.9,496,20.5,{891EDB4C-1930-4C77-AB1F-271FE65259A4},
-84.341169353598247,33.606458668050152,463,Lake City,1178.94995117,1.84210002,yes,yes,675,32,4.7,23,3.4,247,36.6,140,20.7,233,34.5,{D08FF197-DDDA-41CE-9BDE-8DB302334EC6},
-84.358988642061618,33.620921013595755,464,Forest Park,6003.24023438,9.3800602,yes,yes,5442,367,6.7,328,6,2853,52.4,1102,20.2,792,14.6,{2EAE1127-A9F0-49C9-B8F2-64588A8EBC71},
-84.549977386829084,34.317295467618052,465,Waleska,942.78900146,1.47310996,yes,yes,484,2,0.4,1,0.2,23,4.8,7,1.4,451,93.2,{80602152-C27D-45EB-8A34-CB28ADD72597},
-84.413287882982118,34.083152248603916,466,Mountain Park,331.47601318,0.517932,yes,yes,101,6,5.9,0,0,41,40.6,17,16.8,37,36.6,{4BFD14DD-503E-40D0-A76E-1D75451865DA},
-84.409512592250209,33.660854072152105,467,Hapeville,1517.29003906,2.37075996,yes,yes,1871,105,5.6,98,5.2,900,48.1,316,16.9,452,24.2,{0FFA6F6E-2FE1-40C5-B088-222CBB1D8565},
-84.370149040165941,33.936920482430288,468,Sandy Springs,24833.19921875,38.80189896,yes,yes,23707,1818,7.7,1345,5.7,9327,39.3,4257,18,6960,29.4,{06DEDF84-E1C1-459C-969F-F79F92A1682C},
-84.273847165920444,34.070356993043319,469,Alpharetta,17436.69921875,27.24480057,yes,yes,18745,1910,10.2,675,3.6,8083,43.1,4518,24.1,3559,19,{B7DC73E8-E5C9-4095-9BDC-7A8DEFB2681D},
-84.42316614682484,33.762812073755256,470,Atlanta,85712,133.92500305,yes,yes,122789,8267,6.7,4424,3.6,34694,28.3,16181,13.2,59223,48.2,{8366FFBE-C926-4D65-AAB5-BE2BC5431149},
-84.667873809369837,33.531336274575118,471,Palmetto,7635.18994141,11.93000031,yes,yes,1635,127,7.8,113,6.9,651,39.8,482,29.5,262,16,{B59F0A12-876A-4130-8E4E-A97B9D798878},
-84.202698618795651,34.033210419270148,472,Johns Creek,20090.19921875,31.39089966,yes,yes,26058,2259,8.7,1152,4.4,11604,44.5,6897,26.5,4146,15.9,{289E95AF-F973-416C-83ED-ADBEC8A9BE52},
-84.751560217564958,33.560435897708508,473,Chattahoochee Hills,32774.3984375,51.21009827,yes,yes,433,50,11.5,36,8.3,146,33.7,114,26.3,87,20.1,{56BD7F45-4CC8-44E6-ABBE-F7B0CB74B717},
-84.459869073807198,33.638531744496255,474,College Park,6427.58984375,10.04310036,yes,yes,3963,419,10.6,218,5.5,2027,51.1,547,13.8,752,19,{54B04D1A-655A-4C7C-8D2A-EEA5E8E2A99B},
-84.31388036807401,34.135286005142028,475,Milton,25062.90039063,39.16080093,yes,yes,11714,849,7.2,644,5.5,5412,46.2,2489,21.2,2320,19.8,{39E43E0C-A2CF-4992-8AF4-8246F5B5D135},
-84.470067790512857,33.669695190130447,476,East Point,9422.79003906,14.72309971,yes,yes,9345,597,6.4,426,4.6,3503,37.5,2007,21.5,2812,30.1,{A298BC33-C20C-400A-8AA1-BF40C36D5AC7},
