X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Under_18_years,Pct_Under_18_years,Num_18_29_years,Pct_18_29_years,Num_30_44_years,Pct_30_44_years,Num_45_64_years,Pct_45_64_years,Num_65_years_and_over,Pct_65_years_and_over,Median_Age,White,Pct_White,Black_African_American,Pct_Black_African_American,Asian,Pct_Asian,Other_two_races,Pct_Other_two_races,Hispanic_Latino_all_races,Pct_Hispanic_Latino_all_races,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-82.400017055872013,32.995542996466327,22,Louisville,2355.08007813,3.67981005, , ,691,29.3,354,15,439,18.6,549,23.3,325,13.8,36,632,26.8,1700,72.1,0,0,7,0.3,19,0.8,{E5663CF8-51D9-4103-907F-DF5B5CBEBACA},,,,
-82.471160747733549,32.88157883049292,23,Bartow,723.83300781,1.13099003, , ,37,14.3,35,13.3,37,14,95,36.2,58,22.3,52.4,123,46.8,139,53.2,0,0,0,0,0,0,{E50E2409-B1D0-4ECC-AF56-0594B72013ED},,,,
-82.528735497220637,33.193429094923637,24,Avera,416.13699341,0.65021503, , ,62,26.8,43,18.6,31,13.4,77,33,19,8.2,34.5,225,96.4,4,1.6,1,0.3,4,1.6,0,0,{8132FE13-FF63-4799-BD47-DEDFC9817B33},,,,
-83.401722256014793,34.87760884382832,25,Clayton,2095.66992188,3.2744801, , ,507,22.7,398,17.8,257,11.5,550,24.6,523,23.4,42,1673,74.9,114,5.1,0,0,63,2.8,384,17.2,{583F7946-A21D-45F2-9811-43A5DE1ADC1D},,,,
-83.381654417426205,34.725761448791175,26,Tallulah Falls,5462.18994141,8.53468037, , ,22,13.2,61,36.4,24,14,52,31,9,5.4,35.2,138,82.2,0,0,0,0,0,0,30,17.8,{740C68A8-A582-46D1-87AD-5EF88779EFEE},,,,
-81.473948043333195,31.145000103476431,27,Brunswick,16186.29980469,25.29100037, , ,3958,24.5,3118,19.3,3086,19.1,3845,23.8,2133,13.2,34.6,3684,22.8,10260,63.5,32,0.2,436,2.7,1745,10.8,{E56A47A4-3B92-4235-85E1-E8F69B325291},,,,
-81.717460195513794,30.959513869691396,28,Woodbine,1645.86999512,2.57167006, , ,330,25.7,247,19.2,244,19,280,21.8,182,14.2,32.8,616,47.9,573,44.6,28,2.2,0,0,68,5.3,{B4960F2F-A129-41CA-82CB-E20FBDD7F339},,,,
-81.57215523099002,30.756670879395642,29,St. Marys,15951,24.92340088, , ,4779,26.6,4079,22.7,3144,17.5,3953,22,2030,11.3,30.5,12829,71.4,3450,19.2,216,1.2,593,3.3,880,4.9,{235413CD-ADB5-4DF0-995C-5E3A3C7D4423},,,,
-81.721747618684333,30.81938988424136,30,Kingsland,28812.5,45.01959991, , ,4963,30.1,3264,19.8,3413,20.7,3611,21.9,1253,7.6,30.1,11096,67.3,2968,18,247,1.5,775,4.7,1401,8.5,{647AF2AF-D604-4682-B63F-53149DF3D90F},,,,
-85.044201695657492,34.010275416089883,31,Rockmart,3653.76000977,5.70900011, , ,959,22.3,722,16.8,998,23.2,1066,24.8,555,12.9,41.4,3264,75.9,916,21.3,125,2.9,0,0,0,0,{5E5E2760-2F23-464A-9B0E-A8AECA63BA7A},,,,
-85.250086914761596,34.021563224803607,32,Cedartown,5582.02978516,8.72192001, , ,2903,29.5,1840,18.7,1860,18.9,1830,18.6,1407,14.3,32.4,3917,39.8,2263,23,69,0.7,197,2,3385,34.4,{BFFD4CC3-D2E6-43C8-878F-17809FD1975A},,,,
-85.057081949250133,34.045694458802309,33,Aragon,731.47399902,1.14293003, , ,286,23,296,23.8,235,18.9,321,25.8,106,8.5,31.3,997,80.2,221,17.8,0,0,1,0.1,24,1.9,{80F7E5E3-4AFB-46DE-B4EB-396067D722D1},,,,
-83.611275845059367,33.626303117910538,34,Rutledge,2115.2199707,3.30503988, , ,115,14.5,84,10.6,108,13.6,332,41.9,154,19.4,52.7,500,63.1,280,35.3,13,1.6,0,0,0,0,{B32D0C4E-C973-46FC-937D-7810DD03EC33},,,,
-83.475834636871738,33.57908875704647,35,Madison,5621.20996094,8.78314018, , ,978,24.3,548,13.6,608,15.1,1228,30.5,668,16.6,41.4,2102,52.2,1751,43.5,0,0,36,0.9,137,3.4,{EECF0E09-B4ED-4334-8351-B2DBC49F22FD},,,,
-83.362311742670897,33.568458472341518,36,Buckhead,513.20898438,0.801889, , ,30,17.7,33,19.1,34,19.6,50,29.2,25,14.4,40.2,114,66.5,53,31.1,0,0,0,0,4,2.4,{2F6D54FB-C7B7-40FC-8C79-E3EB400EB0B1},,,,
-83.514963823408692,33.737807252310098,37,Bostwick,2009.42004395,3.13970995, , ,116,31.4,29,7.8,81,21.9,107,28.9,37,10,35.4,341,92.5,24,6.5,0,0,1,0.2,3,0.8,{44FFD8C8-96D7-4073-B6BA-9632B8D5916A},,,,
-84.560624633719087,32.787680700104318,38,Woodland,505.98699951,0.79060501, , ,57,15.6,52,14.3,45,12.3,166,45.2,46,12.6,52.5,52,14.1,315,85.9,0,0,0,0,0,0,{46827728-16FA-4496-80CF-844542B21EE0},,,,
-84.540597882672756,32.67727423634534,39,Talbotton,1999.56005859,3.12431002, , ,154,17.4,184,20.7,151,17,282,31.8,116,13.1,40,99,11.2,779,87.8,4,0.4,0,0,5,0.6,{BF6964C8-12E5-4723-A73E-770808DC9841},,,,
-84.457354411116995,32.603171618165696,40,Junction City,1584.93005371,2.47645998, , ,41,24.7,24,14.7,26,15.9,61,37.1,13,7.6,41.3,47,28.2,118,71.8,0,0,0,0,0,0,{5DD69C25-794C-4A3C-8B24-DFC291C0FBBE},,,,
-84.551618930841585,32.578961087544528,41,Geneva,503.5289917,0.78676498, , ,8,7.9,7,6.7,14,13.5,52,51.7,20,20.2,56.1,45,44.9,51,50.6,0,0,5,4.5,0,0,{D3CC4C8E-AFE6-4CD9-A294-21CBC6605380},,,,
-84.633019519734859,32.856563103206277,42,Manchester,5150.77001953,8.04806995, , ,1314,32.1,541,13.2,614,15,893,21.8,733,17.9,31.7,1851,45.2,2240,54.7,0,0,4,0.1,0,0,{6553D937-6E9D-4BB1-A253-01A57E7E3269},,,,
-84.308900636849515,32.238023966845518,43,Ellaville,2031.85998535,3.17478991, , ,481,25.6,235,12.5,301,16,551,29.3,312,16.6,41,1009,53.7,770,41,9,0.5,38,2,54,2.9,{E21EE6F3-1AC9-427B-A2A3-FE196B10936E},,,,
-83.954768637741594,34.876060180016673,44,Blairsville,711.4630127,1.11166, , ,93,16.8,81,14.7,178,32.1,112,20.2,90,16.2,36.7,432,78,71,12.9,15,2.7,0,0,35,6.4,{258709FA-CB8F-4C30-BBE1-C8AAD0EEDE16},,,,
-83.456885379915988,31.948772381252436,45,Rochelle,1220.30004883,1.90673006, , ,196,17.5,140,12.5,165,14.7,372,33.2,246,22,48.9,566,50.5,542,48.4,0,0,12,1.1,0,0,{F2622AC6-B5E7-4709-9A0F-2455C4747280},,,,
-83.541760432341846,31.946189657576681,46,Pitts,512.6630249,0.801036, , ,92,30,85,27.7,49,15.9,44,14.3,38,12.2,24.5,181,58.7,126,40.9,0,0,1,0.4,0,0,{7D71F80C-6B70-497D-A426-6FEFFF02270D},,,,
-83.503012139293929,32.1084913904551,47,Pineview,1250.7199707,1.95424998, , ,162,32.3,115,22.8,47,9.3,77,15.4,102,20.3,27.2,70,13.9,396,78.7,17,3.4,5,1,15,3,{3FF7101A-CC8A-402E-A6F2-70BE49E79517},,,,
-83.306784752237647,31.992521537870257,48,Abbeville,1979.06994629,3.09229994, , ,248,8.8,580,20.6,845,30,867,30.8,279,9.9,40,943,33.5,1652,58.7,34,1.2,45,1.6,138,4.9,{6E622022-C08F-4470-8254-573451914F02},,,,
