OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Workers__16_years_and_over,Car_Truck_or_Van_drove_alone,Pct_Car_Truck_Van_drove_alone,Car__truck__or_van___carpooled,Pct_Car_Truck_Van_carpooled,Public_Transport_excluding_Taxi,Pct_Public_Transp_exclude_Taxi,Worked_at_home,Percent_Worked_at_home,Mean_Travel_Time_to_Work_min,GlobalID,last_edited_date
627,010114,13121010114,101.14,ARC 10,3840,2604,67.8,505,13.2,195,5.1,403,10.5,24.7,{CC2C3DF4-D7C2-4C6F-8851-E6037895EA17},
628,000600,13121000600,6,ARC 10,2869,1695,59.1,259,9,153,5.3,147,5.1,24.2,{F78E2748-AF54-44F1-9052-B520F249F075},
629,006601,13121006601,66.01,ARC 10,924,677,73.3,70,7.6,152,16.5,0,0,29.3,{0A28735D-FB7B-4FDB-95AF-42BCB51315D5},
630,006602,13121006602,66.02,ARC 10,407,164,40.3,23,5.7,190,46.7,16,3.9,35.8,{7A5EC48E-0EC7-4885-9189-4731B83D9BEA},
631,006200,13121006200,62,ARC 10,647,247,38.2,170,26.3,194,30,30,4.6,34.4,{EACE860B-D791-4C6E-BB90-86ADE18949E3},
632,006100,13121006100,61,ARC 10,1405,967,68.8,98,7,302,21.5,7,0.5,33.3,{ADDF98FB-6C4C-4E60-BDAF-BB5407053CB6},
633,001600,13121001600,16,ARC 10,1568,1150,73.3,79,5,78,5,141,9,21.5,{C73E5CAA-22C3-44ED-8DC3-7B121FA53686},
634,003100,13121003100,31,ARC 10,1189,680,57.2,231,19.4,122,10.3,115,9.7,24.5,{69C5DDE8-E4A5-41A1-B516-CDD60B461DCA},
635,006802,13121006802,68.02,ARC 10,209,116,55.5,0,0,61,29.2,32,15.3,36.2,{581DC03C-A7B0-416E-B829-19290AD8D15D},
636,007602,13121007602,76.02,ARC 10,937,632,67.4,101,10.8,143,15.3,26,2.8,26.8,{FE801F5B-671D-4218-AA10-563227A4990B},
637,001606,13139001606,16.06,ARC 20,1858,1620,87.2,132,7.1,0,0,106,5.7,24.8,{0D9C6EF1-2E1D-45AA-8400-CC1DB36EC21E},
638,001101,13139001101,11.01,ARC 20,1940,759,39.1,718,37,5,0.3,27,1.4,24,{5C93ED6C-FBC5-4F63-924B-C5FC7833E6AB},
639,001605,13139001605,16.05,ARC 20,2701,2178,80.6,237,8.8,12,0.4,242,9,27.1,{90979BA5-FA99-4AEC-A946-48FA3C87AE4F},
640,001604,13139001604,16.04,ARC 20,3324,2719,81.8,366,11,0,0,205,6.2,27.1,{9F4D6297-99F0-4E5C-8212-EE56072EABBD},
641,001502,13139001502,15.02,ARC 20,2301,1640,71.3,396,17.2,10,0.4,235,10.2,28.4,{AA9AFA49-E09D-440D-BC50-AFDE96DD8D73},
642,001607,13139001607,16.07,ARC 20,2013,1807,89.8,25,1.2,0,0,129,6.4,31.5,{97AA97A6-B72D-4DA8-A30B-E3038AF6AFF5},
643,001302,13139001302,13.02,ARC 20,2567,2374,92.5,155,6,0,0,27,1.1,28.3,{BC6C21C7-A896-4EF6-950F-C105A4194423},
644,001301,13139001301,13.01,ARC 20,2665,2401,90.1,117,4.4,4,0.2,66,2.5,25.3,{DDFE3FD4-1784-44A4-9A8A-831B011975C1},
645,001403,13139001403,14.03,ARC 20,1576,1365,86.6,136,8.6,0,0,64,4.1,20.3,{50F00C02-06C4-405B-B53F-35E826A004BD},
646,001404,13139001404,14.04,ARC 20,2430,1816,74.7,484,19.9,0,0,39,1.6,21.9,{43E3700E-D8FD-4777-88D0-C66FEF244B6B},
647,010212,13121010212,102.12,ARC 10,2643,1708,64.6,402,15.2,227,8.6,142,5.4,24.8,{685C23C6-BEB0-4832-9F99-C2FEA09FB581},
648,009802,13121009802,98.02,ARC 10,2004,1631,81.4,81,4,0,0,259,12.9,21,{633E9B84-5AE9-422A-AAEC-ED2D7067C869},
649,009403,13121009403,94.03,ARC 10,2767,1946,70.3,126,4.6,418,15.1,74,2.7,28.2,{9D37ED2F-5778-45A7-8DB4-FD1128A87BCB},
650,009404,13121009404,94.04,ARC 10,3182,2645,83.1,56,1.8,140,4.4,267,8.4,28.2,{DB2665FF-C06F-4216-B7EC-142CD052B0B0},
651,010001,13121010001,100.01,ARC 10,2641,1857,70.3,181,6.9,68,2.6,386,14.6,23.2,{123852E4-4C42-4A1E-9F0D-DFF0376C9FDC},
652,009602,13121009602,96.02,ARC 10,2578,2002,77.7,34,1.3,46,1.8,307,11.9,21.2,{ECC186C6-B0B5-463E-AFDB-7B9B43562743},
653,010002,13121010002,100.02,ARC 10,3983,3215,80.7,131,3.3,41,1,443,11.1,22.5,{C399E65D-A890-4D31-9DA2-BFB5CB96F6BF},
654,009502,13121009502,95.02,ARC 10,1555,1275,82,99,6.4,16,1,118,7.6,19.9,{B142B399-4753-46E8-8FD0-9DC7AC66740B},
655,008000,13121008000,80,ARC 10,2022,1367,67.6,139,6.9,377,18.6,116,5.7,28.3,{A7DBC43E-44F1-4100-991B-42BB35633500},
656,003900,13121003900,39,ARC 10,608,400,65.8,123,20.2,32,5.3,48,7.9,25.3,{DE22EB5B-FB8C-4268-BB3A-90407569DAE2},
657,004100,13121004100,41,ARC 10,738,411,55.7,46,6.2,212,28.7,44,6,27.8,{4AD0E97E-6B10-4CF1-B6E6-AD693474946E},
658,002400,13121002400,24,ARC 10,923,431,46.7,55,6,299,32.4,76,8.2,30,{1E954665-C885-4B97-B018-E6FED03CFAAA},
659,004000,13121004000,40,ARC 10,929,616,66.3,187,20.1,86,9.3,40,4.3,26.5,{CDB5D80A-D7E2-4D23-81C9-43A6817C7589},
660,008400,13121008400,84,ARC 10,979,369,37.7,336,34.3,135,13.8,117,12,23,{1AE58B8D-C170-4475-9B1E-53ABFA015F11},
661,008302,13121008302,83.02,ARC 10,763,309,40.5,252,33,151,19.8,51,6.7,28.8,{847334CE-7DB1-4E00-A15B-FA4E3961DE75},
662,008301,13121008301,83.01,ARC 10,921,619,67.2,167,18.1,54,5.9,73,7.9,24.2,{3B1E8E74-0F41-4638-9C05-905C2BAE2CAC},
663,007200,13121007200,72,ARC 10,561,338,60.2,107,19.1,92,16.4,24,4.3,36.4,{31ED8FF0-ABFB-4A4E-A24F-7736DEC90FD8},
664,001501,13139001501,15.01,ARC 20,2219,1914,86.3,227,10.2,1,0,77,3.5,28.5,{3C842AA3-D84B-44A9-8C02-4FFF58C41B5F},
