OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Percent_1Unit_Detached,Housing_units_built_since_2000,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Pct_Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Owner_occupied_housing_units,Pct_Owner_Occ_HousUnits,Renter_occupied_housing_units,Pct_Renter_Occ_Units,GlobalID,last_edited_date
635,006802,13121006802,68.02,ARC 10,550,472,85.8,78,14.2,0,2.5,110,20,51,9.3,110,20,389,70.7,66,14,406,86,{581DC03C-A7B0-416E-B829-19290AD8D15D},
636,007602,13121007602,76.02,ARC 10,1163,973,83.7,190,16.3,4,5.9,749,64.4,116,10,42,3.6,1005,86.4,383,39.4,590,60.6,{FE801F5B-671D-4218-AA10-563227A4990B},
637,001606,13139001606,16.06,ARC 20,1509,1411,93.5,98,6.5,0,0,631,41.8,845,56,395,26.2,269,17.8,638,45.2,773,54.8,{0D9C6EF1-2E1D-45AA-8400-CC1DB36EC21E},
638,001101,13139001101,11.01,ARC 20,1350,1161,86,189,14,21.7,12.4,747,55.3,64,4.7,177,13.1,1109,82.1,184,15.8,977,84.2,{5C93ED6C-FBC5-4F63-924B-C5FC7833E6AB},
639,001605,13139001605,16.05,ARC 20,1663,1608,96.7,55,3.3,3.7,0,1467,88.2,882,53,618,37.2,163,9.8,1417,88.1,191,11.9,{90979BA5-FA99-4AEC-A946-48FA3C87AE4F},
640,001604,13139001604,16.04,ARC 20,2116,1983,93.7,133,6.3,1.4,0,2012,95.1,938,44.3,1026,48.5,152,7.2,1666,84,317,16,{9F4D6297-99F0-4E5C-8212-EE56072EABBD},
641,001502,13139001502,15.02,ARC 20,1894,1641,86.6,253,13.4,0,18.1,1645,86.9,326,17.2,1100,58.1,468,24.7,1411,86,230,14,{AA9AFA49-E09D-440D-BC50-AFDE96DD8D73},
642,001607,13139001607,16.07,ARC 20,1923,1726,89.8,197,10.2,4.4,10.4,1266,65.8,744,38.7,1049,54.6,130,6.8,1322,76.6,404,23.4,{97AA97A6-B72D-4DA8-A30B-E3038AF6AFF5},
643,001302,13139001302,13.02,ARC 20,1774,1655,93.3,119,6.7,1.8,16.8,1682,94.8,345,19.4,1228,69.2,201,11.3,1502,90.8,153,9.2,{BC6C21C7-A896-4EF6-950F-C105A4194423},
644,001301,13139001301,13.01,ARC 20,2113,1915,90.6,198,9.4,2.4,18.4,1769,83.7,660,31.2,927,43.9,526,24.9,1482,77.4,433,22.6,{DDFE3FD4-1784-44A4-9A8A-831B011975C1},
645,001403,13139001403,14.03,ARC 20,1498,1342,89.6,156,10.4,2.6,10.1,673,44.9,624,41.7,495,33,379,25.3,628,46.8,714,53.2,{50F00C02-06C4-405B-B53F-35E826A004BD},
646,001404,13139001404,14.04,ARC 20,2048,1694,82.7,354,17.3,3.9,16.6,1297,63.3,582,28.4,825,40.3,641,31.3,841,49.6,853,50.4,{43E3700E-D8FD-4777-88D0-C66FEF244B6B},
647,010212,13121010212,102.12,ARC 10,2113,1820,86.1,293,13.9,3.2,13.4,590,27.9,204,9.7,672,31.8,1237,58.5,766,42.1,1054,57.9,{685C23C6-BEB0-4832-9F99-C2FEA09FB581},
648,009802,13121009802,98.02,ARC 10,2127,1967,92.5,160,7.5,1.7,3.6,1190,55.9,203,9.5,1109,52.1,815,38.3,1191,60.5,776,39.5,{633E9B84-5AE9-422A-AAEC-ED2D7067C869},
649,009403,13121009403,94.03,ARC 10,3194,2789,87.3,405,12.7,8.8,6.8,156,4.9,413,12.9,2003,62.7,778,24.4,515,18.5,2274,81.5,{9D37ED2F-5778-45A7-8DB4-FD1128A87BCB},
650,009404,13121009404,94.04,ARC 10,2654,2388,90,266,10,7.6,8.1,816,30.7,602,22.7,1500,56.5,552,20.8,1297,54.3,1091,45.7,{DB2665FF-C06F-4216-B7EC-142CD052B0B0},
651,010001,13121010001,100.01,ARC 10,2615,2293,87.7,322,12.3,0,7,830,31.7,760,29.1,798,30.5,1057,40.4,1719,75,574,25,{123852E4-4C42-4A1E-9F0D-DFF0376C9FDC},
652,009602,13121009602,96.02,ARC 10,3289,2703,82.2,586,17.8,2.4,6.6,666,20.2,1042,31.7,1230,37.4,1017,30.9,1345,49.8,1358,50.2,{ECC186C6-B0B5-463E-AFDB-7B9B43562743},
653,010002,13121010002,100.02,ARC 10,3954,3185,80.6,769,19.4,3.8,15.8,1726,43.7,1606,40.6,1208,30.6,1140,28.8,2214,69.5,971,30.5,{C399E65D-A890-4D31-9DA2-BFB5CB96F6BF},
654,009502,13121009502,95.02,ARC 10,2450,1612,65.8,838,34.2,6.6,10.6,349,14.2,488,19.9,855,34.9,1107,45.2,823,51.1,789,48.9,{B142B399-4753-46E8-8FD0-9DC7AC66740B},
655,008000,13121008000,80,ARC 10,2339,1844,78.8,495,21.2,2,14.4,2052,87.7,105,4.5,92,3.9,2142,91.6,1133,61.4,711,38.6,{A7DBC43E-44F1-4100-991B-42BB35633500},
656,003900,13121003900,39,ARC 10,965,614,63.6,351,36.4,0,27.5,602,62.4,161,16.7,44,4.6,760,78.8,239,38.9,375,61.1,{DE22EB5B-FB8C-4268-BB3A-90407569DAE2},
657,004100,13121004100,41,ARC 10,1140,683,59.9,457,40.1,6.1,26.3,667,58.5,73,6.4,71,6.2,996,87.4,200,29.3,483,70.7,{4AD0E97E-6B10-4CF1-B6E6-AD693474946E},
658,002400,13121002400,24,ARC 10,1458,879,60.3,579,39.7,9.3,16.2,1033,70.9,137,9.4,55,3.8,1266,86.8,381,43.3,498,56.7,{1E954665-C885-4B97-B018-E6FED03CFAAA},
659,004000,13121004000,40,ARC 10,1266,877,69.3,389,30.7,5.2,0,1103,87.1,62,4.9,58,4.6,1146,90.5,455,51.9,422,48.1,{CDB5D80A-D7E2-4D23-81C9-43A6817C7589},
660,008400,13121008400,84,ARC 10,2061,1264,61.3,797,38.7,0,12.8,855,41.5,79,3.8,138,6.7,1844,89.5,326,25.8,938,74.2,{1AE58B8D-C170-4475-9B1E-53ABFA015F11},
661,008302,13121008302,83.02,ARC 10,1266,710,56.1,556,43.9,2.5,12.6,809,63.9,6,0.5,20,1.6,1240,97.9,316,44.5,394,55.5,{847334CE-7DB1-4E00-A15B-FA4E3961DE75},
662,008301,13121008301,83.01,ARC 10,1585,965,60.9,620,39.1,0,14.2,949,59.9,84,5.3,96,6.1,1405,88.6,325,33.7,640,66.3,{3B1E8E74-0F41-4638-9C05-905C2BAE2CAC},
663,007200,13121007200,72,ARC 10,1048,693,66.1,355,33.9,0,0,544,51.9,293,28,79,7.5,676,64.5,317,45.7,376,54.3,{31ED8FF0-ABFB-4A4E-A24F-7736DEC90FD8},
664,001501,13139001501,15.01,ARC 20,1919,1726,89.9,193,10.1,3.7,13.2,1483,77.3,662,34.5,809,42.2,448,23.3,1364,79,362,21,{3C842AA3-D84B-44A9-8C02-4FFF58C41B5F},
665,001102,13139001102,11.02,ARC 20,1264,1133,89.6,131,10.4,10.7,0,877,69.4,374,29.6,362,28.6,528,41.8,637,56.2,496,43.8,{DAB91844-AA99-4DBA-AE6D-9BA5CBC0C6E7},
666,001201,13139001201,12.01,ARC 20,2117,2000,94.5,117,5.5,0,3.3,1431,67.6,452,21.4,862,40.7,803,37.9,1181,59,819,41,{55FB6314-517D-4B20-95E3-427E1B749DC4},
667,001004,13139001004,10.04,ARC 20,1478,1426,96.5,52,3.5,0,0,321,21.7,453,30.6,736,49.8,289,19.6,246,17.3,1180,82.7,{542ECBC8-35F9-4493-BE38-B2FCC9AF0BAC},
668,001003,13139001003,10.03,ARC 20,2373,2028,85.5,345,14.5,0,9.7,778,32.8,427,18,896,37.8,1050,44.2,308,15.2,1720,84.8,{3787E085-BE5B-4423-9C64-ED4E64D45E29},
669,000305,13139000305,3.05,ARC 20,1789,1602,89.5,187,10.5,0.8,0,1526,85.3,622,34.8,769,43,398,22.2,1189,74.2,413,25.8,{04C7E478-64E5-4012-AA41-C92A34F78AE2},
670,000304,13139000304,3.04,ARC 20,1698,1200,70.7,498,29.3,1.7,7.3,1239,73,402,23.7,688,40.5,608,35.8,910,75.8,290,24.2,{8060281A-89F9-4C7D-A8BD-FE2A91E242BD},
671,000303,13139000303,3.03,ARC 20,1196,1025,85.7,171,14.3,1.7,3.3,710,59.4,561,46.9,312,26.1,323,27,497,48.5,528,51.5,{E59EEA0A-01CC-410F-90F1-431F010B369A},
672,000203,13139000203,2.03,ARC 20,1712,1549,90.5,163,9.5,0.5,19.5,1395,81.5,401,23.4,683,39.9,628,36.7,1280,82.6,269,17.4,{FE2AA6A8-AA80-491B-8E86-1D303CDBCBDE},
673,000204,13139000204,2.04,ARC 20,1614,1399,86.7,215,13.3,4.3,0,1444,89.5,444,27.5,748,46.3,422,26.1,1191,85.1,208,14.9,{6E62BA1D-BB24-4D85-8959-5F2FA1E9D9F8},
674,160100,13255160100,1601,ARC 20,2152,1974,91.7,178,8.3,7,5.3,1434,66.6,424,19.7,1079,50.1,649,30.2,1364,69.1,610,30.9,{A8F96CE4-CAF9-4623-8183-7E8216227219},
675,160200,13255160200,1602,ARC 20,2716,2363,87,353,13,5.7,10.3,2053,75.6,1099,40.5,938,34.5,679,25,1944,82.3,419,17.7,{773BBAF4-BABE-4D54-AA06-DBABF3D05B1C},
676,161000,13255161000,1610,ARC 20,2080,1872,90,208,10,0.2,1.8,1670,80.3,549,26.4,907,43.6,624,30,1597,85.3,275,14.7,{CAA9BEC5-1176-4141-B4F9-946918D6431E},
677,161200,13255161200,1612,ARC 20,3615,3285,90.9,330,9.1,4.2,9.3,2704,74.8,552,15.3,1087,30.1,1976,54.7,2216,67.5,1069,32.5,{EDB7DF2D-D411-441C-8B50-38C132C9F6F2},
678,161100,13255161100,1611,ARC 20,1899,1739,91.6,160,8.4,3.7,4.3,1619,85.3,180,9.5,299,15.7,1420,74.8,1183,68,556,32,{6867B236-432D-4A7C-9ACA-7D4608D0B5E4},
679,160900,13255160900,1609,ARC 20,1124,912,81.1,212,18.9,12.9,16.2,947,84.3,17,1.5,188,16.7,919,81.8,412,45.2,500,54.8,{D7803A45-5BC5-4958-B62B-1BA6AB4992DD},
680,160800,13255160800,1608,ARC 20,1976,1452,73.5,524,26.5,15.6,15.1,1345,68.1,70,3.5,528,26.7,1378,69.7,232,16,1220,84,{6B1845E1-E9CD-4309-96C3-EC4B0DF33364},
681,160700,13255160700,1607,ARC 20,2974,2435,81.9,539,18.1,10,6.2,2030,68.3,669,22.5,1230,41.4,1075,36.1,1116,45.8,1319,54.2,{18A8BC00-51E0-4401-A114-0AE9C91F4C88},
682,160500,13255160500,1605,ARC 20,2829,2545,90,284,10,5.6,12.4,2293,81.1,753,26.6,1339,47.3,737,26.1,1552,61,993,39,{88C89406-6D5C-4903-B81E-82F76C590F57},
683,160400,13255160400,1604,ARC 20,2475,1639,66.2,836,33.8,21.9,11.7,1883,76.1,245,9.9,280,11.3,1950,78.8,537,32.8,1102,67.2,{513084FF-9808-4568-AB61-0586F7BE82B4},
684,160300,13255160300,1603,ARC 20,1511,1093,72.3,418,27.7,3.9,29.6,1123,74.3,181,12,378,25,952,63,641,58.6,452,41.4,{FF8F8211-2727-4AFA-B534-56696E5B28F8},
685,160600,13255160600,1606,ARC 20,1575,1408,89.4,167,10.6,4.6,0,1300,82.5,312,19.8,607,38.5,656,41.7,1149,81.6,259,18.4,{B2B16190-1699-4A97-8127-25D6DFE20A76},
686,080102,13097080102,801.02,ARC 10,3485,3080,88.4,405,11.6,6.5,5.5,1576,45.2,1640,47.1,1152,33.1,693,19.9,1245,40.4,1835,59.6,{99741DDD-36D9-4A1F-A188-9323B1641470},
687,080602,13097080602,806.02,ARC 10,2024,1880,92.9,144,7.1,1.4,10.2,1829,90.4,868,42.9,605,29.9,551,27.2,1459,77.6,421,22.4,{0540044B-1C86-47E3-ACE1-6470CC374DA4},
688,080508,13097080508,805.08,ARC 10,2234,2060,92.2,174,7.8,0,8.8,1120,50.1,415,18.6,1231,55.1,588,26.3,797,38.7,1263,61.3,{2D3AD859-1333-4ACD-9654-D353D39F03FB},
689,080510,13097080510,805.10,ARC 10,2487,2258,90.8,229,9.2,7.2,0,2381,95.7,834,33.5,919,37,734,29.5,2014,89.2,244,10.8,{EAAF23B9-D90C-4094-AE75-B73D6D122860},
690,080509,13097080509,805.09,ARC 10,2157,2001,92.8,156,7.2,2.5,4,2137,99.1,611,28.3,989,45.9,557,25.8,1748,87.4,253,12.6,{88B78F8D-9E8A-4C48-9413-C080F8C4BF4D},
691,170602,13077170602,1706.02,ARC 20,3318,3228,97.3,90,2.7,0,0,2972,89.6,2813,84.8,352,10.6,153,4.6,2628,81.4,600,18.6,{1CF1DDFB-57DC-445A-A7DA-43BAB2EC2AEC},
692,170503,13077170503,1705.03,ARC 20,2249,2115,94,134,6,0,7.4,2108,93.7,1157,51.4,605,26.9,487,21.7,1601,75.7,514,24.3,{2E597ADC-55EF-4A48-970F-EDCB74B53AAE},
693,170501,13077170501,1705.01,ARC 20,2522,2407,95.4,115,4.6,0.1,11.7,2301,91.2,768,30.5,1078,42.7,676,26.8,2001,83.1,406,16.9,{20ED5EEF-D755-4349-A116-DE6E474F66ED},
694,170406,13077170406,1704.06,ARC 20,1297,1297,100,0,0,0,0,1233,95.1,197,15.2,976,75.3,124,9.6,1189,91.7,108,8.3,{D6A5DE0C-EEE3-4A77-91E3-E2CC260676CC},
695,170305,13077170305,1703.05,ARC 20,4041,3946,97.6,95,2.4,0,1.4,1499,37.1,1957,48.4,1273,31.5,811,20.1,1165,29.5,2781,70.5,{92D87478-E1DB-4C43-A411-5A5ED14BB295},
696,170601,13077170601,1706.01,ARC 20,3104,2953,95.1,151,4.9,0,2.2,2137,68.8,670,21.6,717,23.1,1717,55.3,1243,42.1,1710,57.9,{CE25E8BD-5933-4C0A-BBFF-900CE00EA168},
697,170603,13077170603,1706.03,ARC 20,1953,1935,99.1,18,0.9,1,0,1853,94.9,501,25.7,1242,63.6,210,10.8,1729,89.4,206,10.6,{FFC011D0-8E34-438D-A810-DD88ECBB28C4},
698,170502,13077170502,1705.02,ARC 20,2270,2143,94.4,127,5.6,0,0,2111,93,1099,48.4,1054,46.4,117,5.2,1870,87.3,273,12.7,{DCADEAEB-07DF-4527-A48A-DCAD1490E055},
699,170405,13077170405,1704.05,ARC 20,2646,2607,98.5,39,1.5,0,0,2509,94.8,617,23.3,1889,71.4,140,5.3,2270,87.1,337,12.9,{119DFC5F-1C19-4EE5-8AEF-B93836F1D4AD},
700,170404,13077170404,1704.04,ARC 20,2150,2096,97.5,54,2.5,0,0,2079,96.7,457,21.3,1623,75.5,70,3.3,1976,94.3,120,5.7,{54E21859-1ED7-421E-9A4C-940C320F23B2},
701,170403,13077170403,1704.03,ARC 20,1554,1446,93.1,108,6.9,3,0,1465,94.3,952,61.3,455,29.3,147,9.5,1277,88.3,169,11.7,{18CA0440-A0B8-47EC-9197-DF4B2AD78810},
702,170306,13077170306,1703.06,ARC 20,3684,3260,88.5,424,11.5,3.2,14.5,2166,58.8,1140,30.9,2177,59.1,367,10,1981,60.8,1279,39.2,{1D02CF88-9DAA-45F7-B21B-EB9CEA86B214},
703,080603,13097080603,806.03,ARC 10,2365,2077,87.8,288,12.2,0,9.1,2019,85.4,847,35.8,666,28.2,852,36,1505,72.5,572,27.5,{89DD7209-3D7B-4401-BBB7-95AD98B08D88},
704,080511,13097080511,805.11,ARC 10,3071,2857,93,214,7,3.5,0,3013,98.1,1377,44.8,1338,43.6,356,11.6,2480,86.8,377,13.2,{12C5E076-68FC-4C3A-81C3-473B0826F55B},
705,080304,13097080304,803.04,ARC 10,2465,2005,81.3,460,18.7,0,19.7,839,34,558,22.6,664,26.9,1243,50.4,703,35.1,1302,64.9,{5C360719-E171-439D-8142-0B8459581DEC},
706,080404,13097080404,804.04,ARC 10,3170,2922,92.2,248,7.8,5.1,6.6,2525,79.7,1906,60.1,876,27.6,388,12.2,2369,81.1,553,18.9,{C3D64B6E-422D-4A21-B924-58BA4047932C},
707,080303,13097080303,803.03,ARC 10,1594,1297,81.4,297,18.6,3.9,0,1032,64.7,170,10.7,706,44.3,718,45,691,53.3,606,46.7,{B1570DA9-0DF5-4433-B395-394AD1C32CE9},
708,080403,13097080403,804.03,ARC 10,1716,1686,98.3,30,1.7,0,0,1649,96.1,787,45.9,490,28.6,439,25.6,1410,83.6,276,16.4,{C6020C32-3DCC-4C90-8A6A-F2E9BB0350D0},
709,080103,13097080103,801.03,ARC 10,3272,3021,92.3,251,7.7,0,6.3,782,23.9,759,23.2,1590,48.6,923,28.2,780,25.8,2241,74.2,{684512B8-BC0E-4C2E-98B7-F8B324BBF330},
710,080604,13097080604,806.04,ARC 10,3174,2964,93.4,210,6.6,1.8,0,3119,98.3,1231,38.8,1057,33.3,886,27.9,2367,79.9,597,20.1,{DF5B45FE-7FF7-48D0-B90F-868651C9567A},
711,170304,13077170304,1703.04,ARC 20,2510,2338,93.1,172,6.9,0,12.8,2233,89,787,31.4,1080,43,643,25.6,1724,73.7,614,26.3,{48886F81-8EA2-4497-8BB9-C2AD6552ADF0},
712,170303,13077170303,1703.03,ARC 20,1984,1854,93.4,130,6.6,0,0,1872,94.4,829,41.8,880,44.4,275,13.9,1791,96.6,63,3.4,{71AB59BD-C7F1-44E6-827D-9A7198727D10},
713,170802,13077170802,1708.02,ARC 20,1830,1649,90.1,181,9.9,0,0,1732,94.6,560,30.6,892,48.7,378,20.7,1358,82.4,291,17.6,{E8930194-748E-4EC2-B642-3EAFFE907E06},
714,170801,13077170801,1708.01,ARC 20,2135,2021,94.7,114,5.3,0,0,1918,89.8,1115,52.2,598,28,422,19.8,1520,75.2,501,24.8,{5319CB40-C338-4407-ADA0-3665ACCCB0FF},
715,170700,13077170700,1707,ARC 20,3087,2794,90.5,293,9.5,3.8,5,2633,85.3,519,16.8,832,27,1736,56.2,1646,58.9,1148,41.1,{C04EF1DC-BD63-4A55-AE07-87ACFA02EB40},
716,170402,13077170402,1704.02,ARC 20,3334,3280,98.4,54,1.6,0,0,2926,87.8,936,28.1,1999,60,399,12,2583,78.8,697,21.3,{E7568161-3487-4772-B9A5-0AB848719379},
717,170200,13077170200,1702,ARC 20,3019,2754,91.2,265,8.8,1.6,7.6,2678,88.7,643,21.3,861,28.5,1515,50.2,1846,67,908,33,{865D6499-D5FF-42F5-9A67-D8E7D666D433},
718,170100,13077170100,1701,ARC 20,2760,2654,96.2,106,3.8,0,0,2595,94,702,25.4,1323,47.9,735,26.6,2096,79,558,21,{1D142793-0F65-4D78-8476-11B6AD095DC4},
719,080201,13097080201,802.01,ARC 10,2058,1875,91.1,183,8.9,0,0,1663,80.8,300,14.6,806,39.2,952,46.3,1606,85.7,269,14.3,{C1DDD105-C17C-4320-97B1-0D752AA86599},
720,080506,13097080506,805.06,ARC 10,1959,1706,87.1,253,12.9,5.8,6.2,1775,90.6,313,16,503,25.7,1143,58.3,1340,78.5,366,21.5,{E4AFDBCB-BE69-4290-A326-E399EDC2450C},
721,080505,13097080505,805.05,ARC 10,1749,1689,96.6,60,3.4,2.4,2.5,1278,73.1,647,37,312,17.8,790,45.2,870,51.5,819,48.5,{4A517074-9638-4FA7-82CC-DEA9C06080E6},
722,080202,13097080202,802.02,ARC 10,3837,3530,92,307,8,3.6,5.6,2642,68.9,894,23.3,1310,34.1,1633,42.6,2244,63.6,1286,36.4,{5992266A-8B44-4C25-A1A2-987C4A9D1BDC},
723,080507,13097080507,805.07,ARC 10,1307,1185,90.7,122,9.3,2.8,0,1269,97.1,426,32.6,447,34.2,434,33.2,934,78.8,251,21.2,{E6C7A692-37D3-4440-9275-8FF56A09BADC},
724,080402,13097080402,804.02,ARC 10,3095,2862,92.5,233,7.5,2.8,0,3041,98.3,1309,42.3,1241,40.1,545,17.6,2596,90.7,266,9.3,{D4B25322-E150-425B-94BA-2E8CE126F13E},
725,080301,13097080301,803.01,ARC 10,4556,4124,90.5,432,9.5,0,5.1,3195,70.1,2155,47.3,1405,30.8,996,21.9,2529,61.3,1595,38.7,{0B8AF8E5-23AF-46DF-A6A5-1FBA59A65B9A},
726,980000,13089980000,9800,ARC 10,0,0,,0,,,,0,,0,,0,,0,,0,,0,,{60D71407-FAD0-47D6-BDA7-9AB075F8C5F4},
727,023428,13089023428,234.28,ARC 10,4515,3725,82.5,790,17.5,5.7,10.7,940,20.8,1513,33.5,1352,29.9,1650,36.5,984,26.4,2741,73.6,{E47DB099-924E-43B5-9F18-3F3D85527CAB},
728,023426,13089023426,234.26,ARC 10,1689,1583,93.7,106,6.3,1.8,3,1652,97.8,621,36.8,709,42,359,21.3,1289,81.4,294,18.6,{D921AA50-A68B-46D2-B44E-31EC9AD61158},
729,021502,13089021502,215.02,ARC 10,2577,2507,97.3,70,2.7,0,5.3,1110,43.1,304,11.8,1015,39.4,1258,48.8,1250,49.9,1257,50.1,{A1CBE805-7C1E-43C9-8CD7-CB98F6393539},
730,022302,13089022302,223.02,ARC 10,2139,2038,95.3,101,4.7,0,3.5,1151,53.8,69,3.2,631,29.5,1439,67.3,1005,49.3,1033,50.7,{94AFE53A-1BFA-4F8E-8370-057E6CCAFBFF},
731,022007,13089022007,220.07,ARC 10,1327,1202,90.6,125,9.4,0,3.5,241,18.2,21,1.6,289,21.8,1017,76.6,109,9.1,1093,90.9,{D465876D-F9DD-4F43-B1C0-6BA53BA52817},
732,021602,13089021602,216.02,ARC 10,2214,1914,86.4,300,13.6,2.9,8.5,857,38.7,267,12.1,595,26.9,1352,61.1,1025,53.6,889,46.4,{342A74EB-7721-4A85-B5FC-D94FCCD03CC0},
733,023803,13089023803,238.03,ARC 10,2170,1803,83.1,367,16.9,4.1,0,2146,98.9,177,8.2,403,18.6,1590,73.3,1339,74.3,464,25.7,{B3521A43-4B18-48AB-BE3A-8A7CDA1B2A9F},
734,022402,13089022402,224.02,ARC 10,1105,772,69.9,333,30.1,21.7,20.6,189,17.1,181,16.4,287,26,637,57.6,173,22.4,599,77.6,{052B8CD6-F1CE-45B0-A18D-6DCDA69D408A},
735,022700,13089022700,227,ARC 10,1668,1552,93,116,7,0,0.7,1201,72,206,12.4,128,7.7,1334,80,1103,71.1,449,28.9,{4BEE1235-E782-40CB-B3AD-7899818A91BF},
736,022403,13089022403,224.03,ARC 10,1613,1494,92.6,119,7.4,0.5,14.6,1368,84.8,139,8.6,167,10.4,1307,81,1249,83.6,245,16.4,{A07D37C1-1A0F-4874-9C3B-83083F3F057A},
737,023425,13089023425,234.25,ARC 10,2243,1942,86.6,301,13.4,0,0,1715,76.5,391,17.4,1149,51.2,703,31.3,1457,75,485,25,{A4A6C17E-F273-471B-9624-B1141B8F0601},
738,022204,13089022204,222.04,ARC 10,3058,2669,87.3,389,12.7,7.4,5.8,1252,40.9,345,11.3,1181,38.6,1532,50.1,907,34,1762,66,{53C01E0D-2F44-4AB3-9F46-0529045CFA0B},
739,023423,13089023423,234.23,ARC 10,3471,2602,75,869,25,1.6,31.2,2673,77,1483,42.7,1162,33.5,826,23.8,2191,84.2,411,15.8,{0B85B2FE-16CD-4675-9483-B99448CF16C9},
740,023419,13089023419,234.19,ARC 10,3346,2923,87.4,423,12.6,9.7,6.7,3258,97.4,1572,47,1320,39.5,454,13.6,2449,83.8,474,16.2,{F064EBE8-7842-43B0-8455-E8014651F7E3},
741,023312,13089023312,233.12,ARC 10,3600,3291,91.4,309,8.6,4.3,6.2,3193,88.7,1053,29.2,2027,56.3,520,14.4,2654,80.6,637,19.4,{08984DBA-62BE-493B-B2A1-6534FBFA0702},
742,023311,13089023311,233.11,ARC 10,1552,1429,92.1,123,7.9,0,15.8,1491,96.1,502,32.3,687,44.3,363,23.4,1077,75.4,352,24.6,{C9A75897-FF0C-417E-A883-636585EE0096},
743,023213,13089023213,232.13,ARC 10,2095,1909,91.1,186,8.9,0,0,1437,68.6,699,33.4,780,37.2,616,29.4,1032,54.1,877,45.9,{DBBA91C2-00FF-4724-B3D6-BF3B592AA2F0},
744,022301,13089022301,223.01,ARC 10,3157,2923,92.6,234,7.4,3.1,2.9,1617,51.2,238,7.5,638,20.2,2281,72.3,1516,51.9,1407,48.1,{C1C809F1-BAA8-4A3D-B703-17177BBA8333},
745,023602,13089023602,236.02,ARC 10,1042,921,88.4,121,11.6,3.9,0,949,91.1,68,6.5,62,6,912,87.5,616,66.9,305,33.1,{67A06F3E-BBAB-42F4-9FAC-131D6CAAD167},
746,023504,13089023504,235.04,ARC 10,1558,1091,70,467,30,10,9.9,749,48.1,11,0.7,91,5.8,1456,93.5,389,35.7,702,64.3,{2C8C00E0-3D7C-40E9-AAEA-7C341B990BA3},
747,023411,13089023411,234.11,ARC 10,1530,1363,89.1,167,10.9,2.3,0,1238,80.9,27,1.8,305,19.9,1198,78.3,874,64.1,489,35.9,{CB3203D6-2927-4297-95D6-AFF72FDE9514},
748,023410,13089023410,234.10,ARC 10,1938,1231,63.5,707,36.5,4.7,15.7,408,21.1,403,20.8,422,21.8,1113,57.4,342,27.8,889,72.2,{536099EF-BC8A-42A5-BF1E-B6C8B59CDDE9},
749,023501,13089023501,235.01,ARC 10,1504,1154,76.7,350,23.3,13.5,14.4,1063,70.7,81,5.4,182,12.1,1241,82.5,448,38.8,706,61.2,{0FEB1B8A-A8B4-4F5A-83B8-61D350BD256A},
750,023114,13089023114,231.14,ARC 10,930,878,94.4,52,5.6,5.2,0,912,98.1,32,3.4,372,40,526,56.6,686,78.1,192,21.9,{3C29774B-7AE7-4B8B-8B0F-0E7FBF72BAD6},
751,023112,13089023112,231.12,ARC 10,2369,1714,72.4,655,27.6,6.4,16.7,287,12.1,62,2.6,674,28.5,1633,68.9,218,12.7,1496,87.3,{4D1FBA27-820E-4E61-8551-FC3A8E733586},
752,021912,13089021912,219.12,ARC 10,1356,1274,94,82,6,6.2,0,1356,100,91,6.7,560,41.3,705,52,1236,97,38,3,{75712095-3A1B-4F0B-AF58-C0D9BCD2634B},
753,021910,13089021910,219.10,ARC 10,2160,1827,84.6,333,15.4,0,19.9,1215,56.3,222,10.3,1170,54.2,768,35.6,1208,66.1,619,33.9,{86B69385-5A14-48EC-A847-F9FD0FE645FA},
754,021604,13089021604,216.04,ARC 10,1343,1313,97.8,30,2.2,0,0,1142,85,156,11.6,237,17.6,950,70.7,1242,94.6,71,5.4,{F6EA0556-07DE-4DF4-8415-C4B4DD0C99D3},
755,021504,13089021504,215.04,ARC 10,3023,2528,83.6,495,16.4,5.5,12.9,799,26.4,485,16,1650,54.6,888,29.4,876,34.7,1652,65.3,{BD7894A4-C9EF-498D-9BE0-C2C5FEB0EF26},
756,021503,13089021503,215.03,ARC 10,1722,1453,84.4,269,15.6,3.3,13.7,557,32.3,134,7.8,322,18.7,1266,73.5,563,38.7,890,61.3,{43E234D1-1402-4B25-A6AE-3852ED919CA6},
757,023107,13089023107,231.07,ARC 10,2052,1636,79.7,416,20.3,0,14.7,1782,86.8,83,4,308,15,1661,80.9,880,53.8,756,46.2,{2E751C77-E05D-4C27-AB19-5D9CCFA9F4B7},
758,023418,13089023418,234.18,ARC 10,7428,6764,91.1,664,8.9,1.2,10,5040,67.9,4576,61.6,1542,20.8,1310,17.6,4120,60.9,2644,39.1,{807D8DE2-2318-4525-B934-170E93FAD7AD},
759,023101,13089023101,231.01,ARC 10,2006,1588,79.2,418,20.8,2.5,14.3,1701,84.8,337,16.8,170,8.5,1499,74.7,931,58.6,657,41.4,{D108389D-94EB-418B-8B54-C75ABF3EF5FB},
