OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Percent_1Unit_Detached,Housing_units_built_since_2000,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Pct_Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Owner_occupied_housing_units,Pct_Owner_Occ_HousUnits,Renter_occupied_housing_units,Pct_Renter_Occ_Units,GlobalID,last_edited_date
610,010117,13121010117,101.17,ARC 10,1839,1686,91.7,153,8.3,20.1,2.3,28,1.5,34,1.8,1306,71,499,27.1,191,11.3,1495,88.7,{47720192-7470-4E0F-9617-B5193C6D5A23},
611,001800,13121001800,18,ARC 10,3235,2949,91.2,286,8.8,3.5,6.6,146,4.5,732,22.6,1639,50.7,864,26.7,886,30,2063,70,{49E57DC4-DD40-4966-9AEF-CC9B9552DDDF},
612,001300,13121001300,13,ARC 10,2500,2219,88.8,281,11.2,2.9,11.1,590,23.6,262,10.5,188,7.5,2050,82,933,42,1286,58,{8815AC8F-ED30-4DDC-84E8-BA3E4E4DA737},
613,001900,13121001900,19,ARC 10,1921,1335,69.5,586,30.5,20.7,10.4,9,0.5,1093,56.9,438,22.8,390,20.3,460,34.5,875,65.5,{EBA2BE1E-E4F1-4D3A-8C75-056FF55969FB},
614,002100,13121002100,21,ARC 10,1093,960,87.8,133,12.2,12.3,7.2,22,2,473,43.3,444,40.6,176,16.1,344,35.8,616,64.2,{823E29F3-A76E-4CB3-A70B-B3F1EB3F272F},
615,004400,13121004400,44,ARC 10,1247,1011,81.1,236,18.9,0,6.5,51,4.1,982,78.7,126,10.1,139,11.1,23,2.3,988,97.7,{E0498E76-320D-4502-A358-2997D44A8421},
616,003200,13121003200,32,ARC 10,1457,1261,86.5,196,13.5,3.9,7.7,608,41.7,329,22.6,141,9.7,987,67.7,693,55,568,45,{05FD737C-6C88-414E-87FF-D8A7771E2DEC},
617,004200,13121004200,42,ARC 10,1596,1312,82.2,284,17.8,30.6,7.4,266,16.7,745,46.7,377,23.6,474,29.7,223,17,1089,83,{86129D4F-8118-4DF3-9E44-35472BDDD29F},
618,003800,13121003800,38,ARC 10,298,203,68.1,95,31.9,0,11.3,127,42.6,62,20.8,35,11.7,201,67.4,25,12.3,178,87.7,{A2751663-0D86-4239-8290-FB4D2103A90F},
619,002500,13121002500,25,ARC 10,1255,896,71.4,359,28.6,15,17.6,367,29.2,471,37.5,327,26.1,457,36.4,204,22.8,692,77.2,{57A4B319-7D9B-407E-A058-5D469E6E7C9E},
620,002300,13121002300,23,ARC 10,1163,500,43,663,57,12.1,17.5,559,48.1,160,13.8,73,6.3,930,80,122,24.4,378,75.6,{0FB48982-FD14-4A71-8A79-D0445551CDFE},
621,001608,13139001608,16.08,ARC 20,2148,2054,95.6,94,4.4,3,0,2017,93.9,1717,79.9,377,17.6,54,2.5,1842,89.7,212,10.3,{7D4EC42A-CC25-4723-A2F7-70E5EEE75F90},
622,001603,13139001603,16.03,ARC 20,1804,1726,95.7,78,4.3,0.5,0,1431,79.3,612,33.9,1101,61,91,5,1429,82.8,297,17.2,{5BF22962-4190-40DA-914C-E50DFD44EDDF},
623,010118,13121010118,101.18,ARC 10,2311,2184,94.5,127,5.5,0,3.6,376,16.3,246,10.6,1082,46.8,983,42.5,494,22.6,1690,77.4,{82D44A22-6D77-4938-86B4-3D1A267335A9},
624,010113,13121010113,101.13,ARC 10,3145,2718,86.4,427,13.6,0,9,391,12.4,301,9.6,1200,38.2,1644,52.3,462,17,2256,83,{32D071D7-60F5-46A6-9391-6854C1AD1CA5},
625,010115,13121010115,101.15,ARC 10,1053,996,94.6,57,5.4,0,0,501,47.6,332,31.5,534,50.7,187,17.8,655,65.8,341,34.2,{A36E6A79-559E-4CC6-8FD7-22E92CCB3FB7},
626,010122,13121010122,101.22,ARC 10,3115,2828,90.8,287,9.2,0,6.4,788,25.3,556,17.8,2059,66.1,500,16.1,765,27.1,2063,72.9,{CB8FA5AD-5FDB-4780-B478-131B76937005},
627,010114,13121010114,101.14,ARC 10,3085,2987,96.8,98,3.2,0,0,1114,36.1,212,6.9,949,30.8,1924,62.4,1296,43.4,1691,56.6,{CC2C3DF4-D7C2-4C6F-8851-E6037895EA17},
628,000600,13121000600,6,ARC 10,2835,2132,75.2,703,24.8,12.3,15.4,221,7.8,2065,72.8,328,11.6,442,15.6,307,14.4,1825,85.6,{F78E2748-AF54-44F1-9052-B520F249F075},
629,006601,13121006601,66.01,ARC 10,1020,782,76.7,238,23.3,5.3,9.5,869,85.2,5,0.5,51,5,964,94.5,421,53.8,361,46.2,{0A28735D-FB7B-4FDB-95AF-42BCB51315D5},
630,006602,13121006602,66.02,ARC 10,603,421,69.8,182,30.2,0,0,248,41.1,44,7.3,96,15.9,463,76.8,70,16.6,351,83.4,{7A5EC48E-0EC7-4885-9189-4731B83D9BEA},
631,006200,13121006200,62,ARC 10,714,459,64.3,255,35.7,8.7,8.8,541,75.8,79,11.1,88,12.3,547,76.6,175,38.1,284,61.9,{EACE860B-D791-4C6E-BB90-86ADE18949E3},
632,006100,13121006100,61,ARC 10,1782,1290,72.4,492,27.6,2.5,8.1,1658,93,52,2.9,175,9.8,1555,87.3,712,55.2,578,44.8,{ADDF98FB-6C4C-4E60-BDAF-BB5407053CB6},
633,001600,13121001600,16,ARC 10,1379,1249,90.6,130,9.4,9.2,3,168,12.2,500,36.3,203,14.7,676,49,266,21.3,983,78.7,{C73E5CAA-22C3-44ED-8DC3-7B121FA53686},
634,003100,13121003100,31,ARC 10,825,764,92.6,61,7.4,4.4,3.5,441,53.5,228,27.6,57,6.9,540,65.5,350,45.8,414,54.2,{69C5DDE8-E4A5-41A1-B516-CDD60B461DCA},
