OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_wHealth_Insurance,Pct_Pop_wHealth_Ins,Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins,Population_with_public_coverage,Pct_Pop_wPub_Health_Ins,Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins,Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins,Pop_18to64_Employed,Pop_18to64_Empl_wNo_Health_Ins,Pct_Pop_18to64_Emp_wNo_Hlth_Ins,Pop_18to64_Unemployed,Pop_18to64_Unemp_wNo_Health_Ins,Pct_Pop_18to64_Unemp_No_HlthIns,Pop_18to64_Not_in_Labor_Force,Pop_18to64_Not_LabFor_NoHlthIns,PctPop_18to64_NotLFor_NoHlthIns,GlobalID,last_edited_date
799,023412,13089023412,234.12,ARC 10,5075,78.3,3930,60.6,1948,30,1410,21.7,215,15.7,2427,302,12.4,668,511,76.5,1025,382,37.3,{2E513084-C968-4587-81DB-67BD14B1F236},
800,023416,13089023416,234.16,ARC 10,6359,80.4,5199,65.7,2077,26.2,1554,19.6,194,9.3,3294,593,18,398,185,46.5,1461,582,39.8,{DE9BE576-782B-4086-8E8F-D0B2B35EC09B},
801,023102,13089023102,231.02,ARC 10,2567,80.2,1845,57.7,947,29.6,633,19.8,66,11.9,1521,315,20.7,228,96,42.1,601,124,20.6,{BE3292DB-BCAD-44E9-9F4C-3936D6B8FF98},
802,023000,13089023000,230,ARC 10,1968,93.9,1791,85.4,443,21.1,128,6.1,0,0,943,24,2.5,56,34,60.7,316,70,22.2,{B1BE018D-7BB5-4DA0-B74A-F504AA9CD703},
803,021906,13089021906,219.06,ARC 10,4055,77.6,2968,56.8,1434,27.4,1170,22.4,179,14.6,2530,507,20,490,288,58.8,519,196,37.8,{4E138E63-B33D-4BAB-A870-D3FB2F6A9E67},
804,021217,13089021217,212.17,ARC 10,2169,88,1887,76.5,508,20.6,297,12,6,1,1078,99,9.2,179,96,53.6,265,96,36.2,{977A60A1-C667-430B-AAAC-BA13F51BCF0E},
805,021215,13089021215,212.15,ARC 10,5419,91.2,5097,85.7,506,8.5,526,8.8,137,9.3,3088,311,10.1,143,66,46.2,868,12,1.4,{340BC737-6FA3-42DC-A7F5-7C6D83E25D60},
806,021414,13089021414,214.14,ARC 10,2278,57.4,1653,41.6,734,18.5,1691,42.6,156,17.5,2441,1089,44.6,151,120,79.5,287,259,90.2,{2741290C-B98A-41AA-97FC-ABB71F855B28},
807,021101,13089021101,211.01,ARC 10,3633,96.2,3356,88.9,757,20,143,3.8,24,2.5,1773,108,6.1,34,1,2.9,476,10,2.1,{C3C18B96-B5F2-4B14-99D4-257D96019CE0},
808,023316,13089023316,233.16,ARC 10,6867,85.3,5583,69.4,1893,23.5,1180,14.7,75,4.1,3890,567,14.6,633,320,50.6,1149,218,19,{1C0BCCD1-394D-4A95-BEEE-37CDFAECB1A3},
809,023313,13089023313,233.13,ARC 10,3717,75.4,2305,46.7,1746,35.4,1215,24.6,150,11.9,2096,699,33.3,491,217,44.2,752,149,19.8,{E1A537D4-81A4-4F6B-8ECB-7B9A000DD9C7},
810,022900,13089022900,229,ARC 10,3294,90,2745,75,903,24.7,367,10,25,3.2,1882,194,10.3,83,38,45.8,553,110,19.9,{08FB22D8-2A2B-4F86-94E1-86A16C38CB5C},
811,022800,13089022800,228,ARC 10,3636,94.7,3225,84,564,14.7,205,5.3,8,0.8,1798,85,4.7,199,66,33.2,610,46,7.5,{610742C5-A66D-441A-81BB-477850A1780B},
812,022600,13089022600,226,ARC 10,5213,92.7,4677,83.2,1147,20.4,411,7.3,28,2.5,3032,327,10.8,122,37,30.3,428,19,4.4,{CBE8E027-85B3-40F3-9F7A-5ABDDE69135C},
813,022500,13089022500,225,ARC 10,5695,91.1,4478,71.6,1683,26.9,558,8.9,198,9,2541,173,6.8,160,58,36.3,746,129,17.3,{B9DF6884-19CB-46DC-AF89-E537EDACF77E},
814,022100,13089022100,221,ARC 10,3039,84.4,1692,47,1575,43.7,562,15.6,25,2.1,1372,328,23.9,237,107,45.1,483,91,18.8,{9E53B987-212B-43DA-943D-D11ABA7DDEEC},
815,022005,13089022005,220.05,ARC 10,3345,72.9,2031,44.2,1492,32.5,1246,27.1,154,12.4,2068,678,32.8,259,222,85.7,688,192,27.9,{58D5F651-C67C-4426-AEDA-396728BC2094},
816,023214,13089023214,232.14,ARC 10,4408,72.7,3021,49.8,1629,26.9,1659,27.3,171,9.1,2831,824,29.1,403,290,72,766,374,48.8,{A8F41C74-F833-4AC0-99B9-A7D08C56D5D1},
817,022203,13089022203,222.03,ARC 10,1773,84.8,1406,67.3,482,23.1,317,15.2,47,19.3,1101,165,15,149,65,43.6,352,40,11.4,{EAF1EE1B-BC0B-458D-B5F7-BF7C1D7E7EF8},
818,022009,13089022009,220.09,ARC 10,3343,65.7,2298,45.1,1127,22.1,1747,34.3,340,24.1,2399,722,30.1,421,231,54.9,794,454,57.2,{E1859194-EBD7-4F3C-8AEC-3503625AF9DA},
819,021913,13089021913,219.13,ARC 10,3062,67.8,1788,39.6,1371,30.4,1451,32.2,153,10.6,2078,964,46.4,427,133,31.1,548,201,36.7,{C347EC89-B5E7-4AA5-A2AC-F625E0435F87},
820,021813,13089021813,218.13,ARC 10,1522,53.4,936,32.9,691,24.3,1327,46.6,145,17.6,1487,818,55,132,108,81.8,404,256,63.4,{C6CAF71D-55DB-492E-BBED-F6EC61860518},
821,021605,13089021605,216.05,ARC 10,4536,82.1,3765,68.2,1193,21.6,988,17.9,64,5.1,2774,621,22.4,277,147,53.1,706,156,22.1,{5A8CAD33-D247-4113-977D-FAEEBA379D3C},
822,021308,13089021308,213.08,ARC 10,2693,65.7,1557,38,1418,34.6,1406,34.3,45,5.5,2345,969,41.3,70,37,52.9,460,275,59.8,{8415D41F-D9D9-4B49-BBDF-824D819DF238},
823,022004,13089022004,220.04,ARC 10,4860,80.7,3068,50.9,2155,35.8,1166,19.3,120,7.3,2289,533,23.3,486,177,36.4,924,313,33.9,{A71071F4-30EA-4F79-802C-31A5C8F212AC},
824,022008,13089022008,220.08,ARC 10,6173,73.9,2555,30.6,3818,45.7,2180,26.1,443,15.6,2907,956,32.9,462,225,48.7,1464,515,35.2,{70351F6D-97B4-445D-A89D-352C5EBC5E4C},
825,021909,13089021909,219.09,ARC 10,5256,79.6,3540,53.6,2070,31.3,1350,20.4,79,4.7,2780,553,19.9,723,312,43.2,1058,406,38.4,{3D875287-B88F-47C4-AAE4-BBF2CB880D29},
826,022001,13089022001,220.01,ARC 10,3644,84.2,3066,70.8,883,20.4,685,15.8,33,5.4,2608,386,14.8,223,119,53.4,312,108,34.6,{3DBB33F3-F853-430F-905D-3680659C875A},
827,023108,13089023108,231.08,ARC 10,3578,75.7,1649,34.9,2330,49.3,1148,24.3,51,3.8,1548,504,32.6,381,251,65.9,978,329,33.6,{CE7430A3-C98F-49F4-93A0-D51D3D4FF1D1},
828,020200,13089020200,202,ARC 10,1885,90.2,1820,87.1,249,11.9,204,9.8,33,10.7,1202,109,9.1,70,31,44.3,298,31,10.4,{755E2762-3CE5-4CD0-8C35-F57DACD959E7},
829,021306,13089021306,213.06,ARC 10,3044,59.4,1969,38.4,1228,24,2078,40.6,260,17.3,2582,1224,47.4,262,196,74.8,550,385,70,{7071F25D-68D6-49A2-9016-3EF4BB09C973},
830,021305,13089021305,213.05,ARC 10,3031,59,1691,32.9,1481,28.8,2109,41,234,12.5,2391,1357,56.8,202,130,64.4,498,374,75.1,{7FECA790-7F8A-4761-9328-A5C84EB2F0CA},
831,021417,13089021417,214.17,ARC 10,2680,52.2,1958,38.1,889,17.3,2453,47.8,543,40.8,2944,1380,46.9,163,108,66.3,546,391,71.6,{3D531256-9921-4ABC-AB5A-DFC6430D301A},
832,021415,13089021415,214.15,ARC 10,3529,84.9,3124,75.2,627,15.1,628,15.1,145,18.8,2513,378,15,92,30,32.6,491,75,15.3,{8560A0E1-0180-4DCF-9617-F67E53E7B02C},
833,021102,13089021102,211.02,ARC 10,4939,93,4698,88.5,607,11.4,372,7,79,14.1,3054,143,4.7,64,0,0,1065,138,13,{B3ED01A3-B8F2-4455-9230-1E6B41A0887F},
834,021307,13089021307,213.07,ARC 10,2739,62.6,1777,40.6,1170,26.7,1637,37.4,180,15.8,2118,984,46.5,126,86,68.3,633,376,59.4,{15E16869-7C9E-401F-BCB1-0811B09D2E7C},
835,023601,13089023601,236.01,ARC 10,2589,83.4,1707,55,1165,37.5,515,16.6,14,2.7,1427,297,20.8,180,99,55,600,105,17.5,{85728515-49ED-409D-B83B-89FA7CB3DDF0},
836,021412,13089021412,214.12,ARC 10,3456,89.2,3149,81.3,482,12.4,418,10.8,92,10.3,2418,288,11.9,78,0,0,213,27,12.7,{38E119EF-D435-434F-B801-69E812A4E534},
837,023208,13089023208,232.08,ARC 10,5284,74.9,3298,46.8,2535,35.9,1768,25.1,114,6.2,3074,905,29.4,598,502,83.9,1019,247,24.2,{34F25607-8B8D-42EC-AD88-0DDE7FE0BCCF},
838,023310,13089023310,233.10,ARC 10,7298,78,4775,51,3225,34.5,2060,22,301,11.7,3827,1010,26.4,906,593,65.5,1427,156,10.9,{723523BD-737D-4807-8182-78B1A20F0F6E},
839,020801,13089020801,208.01,ARC 10,2307,88.7,1817,69.9,761,29.3,293,11.3,43,9.9,1325,80,6,152,93,61.2,267,77,28.8,{9EA2B143-E90C-4D1C-989C-C05D6F03298A},
840,021812,13089021812,218.12,ARC 10,1708,75.1,1387,61,605,26.6,566,24.9,104,19.6,1063,313,29.4,65,35,53.8,277,94,33.9,{5069F2A8-B01F-499F-93A3-B63106D9E1AE},
841,021214,13089021214,212.14,ARC 10,5988,94.6,5351,84.5,1525,24.1,344,5.4,33,1.8,2304,98,4.3,94,31,33,980,182,18.6,{7C57F6AB-0F96-4651-9CFB-658D9392752D},
842,021810,13089021810,218.10,ARC 10,4579,89.1,4188,81.5,1088,21.2,561,10.9,43,5.3,2670,167,6.3,202,184,91.1,536,138,25.7,{51546470-3D2D-46E4-8CEC-410EC500E440},
843,021809,13089021809,218.09,ARC 10,6058,92.8,5518,84.6,1481,22.7,467,7.2,85,5.8,2682,182,6.8,286,177,61.9,893,23,2.6,{DC1DDE15-5F22-41C0-85A8-15CD77CDDF5B},
844,021808,13089021808,218.08,ARC 10,4444,88.9,3636,72.7,1238,24.8,555,11.1,41,3.3,2258,358,15.9,208,80,38.5,630,61,9.7,{82D408C6-882A-4691-B621-81BFD41F53B1},
845,021806,13089021806,218.06,ARC 10,4030,71.6,2750,48.8,1641,29.1,1600,28.4,211,14.6,2451,783,31.9,396,339,85.6,703,267,38,{3C428B2E-717D-444B-9F54-B5ED99871050},
846,021805,13089021805,218.05,ARC 10,5023,78.5,3444,53.8,2171,33.9,1377,21.5,159,8.9,2844,791,27.8,342,215,62.9,653,212,32.5,{7F8AF895-44D5-4345-B72F-99DA4DB5B888},
847,021704,13089021704,217.04,ARC 10,5082,91.1,4538,81.4,1192,21.4,495,8.9,29,2.2,2709,289,10.7,65,11,16.9,573,134,23.4,{AE56B401-C36F-43D3-A0B5-5E0CDA00447C},
848,021703,13089021703,217.03,ARC 10,4516,94.3,4085,85.3,1047,21.9,274,5.7,22,2,1947,90,4.6,237,101,42.6,527,46,8.7,{88CE349B-1F56-4F1C-9115-30720BCB220B},
849,021705,13089021705,217.05,ARC 10,3812,80.7,3122,66.1,1056,22.3,914,19.3,30,4,2587,593,22.9,155,95,61.3,773,196,25.4,{29D30373-0267-40DB-8CFC-0A252C9F2DB2},
850,021908,13089021908,219.08,ARC 10,4523,73.8,2581,42.1,2355,38.4,1604,26.2,298,14.8,2097,616,29.4,509,311,61.1,1001,379,37.9,{66C8CC53-F51C-4220-B7D8-44955F9B29ED},
851,023309,13089023309,233.09,ARC 10,7468,79.4,5318,56.5,2889,30.7,1939,20.6,284,10.3,4511,1039,23,572,285,49.8,1043,331,31.7,{FF24653D-3F8A-4677-B5C8-52067E2820A2},
852,023211,13089023211,232.11,ARC 10,2435,80.7,1929,64,729,24.2,581,19.3,80,11.6,1397,300,21.5,239,87,36.4,424,106,25,{ACABB25E-EDEA-4496-A193-D9E03C82905F},
853,023212,13089023212,232.12,ARC 10,2916,80.9,2141,59.4,1093,30.3,688,19.1,40,4.9,1741,371,21.3,338,157,46.4,408,120,29.4,{52C05294-034B-41F2-8BC1-92917C838D7C},
854,023306,13089023306,233.06,ARC 10,5951,85.5,4837,69.5,1560,22.4,1013,14.5,195,10,3235,351,10.9,533,284,53.3,703,108,15.4,{8AFAEBE5-74BE-4629-9FCC-503CB89CBAEF},
855,023303,13089023303,233.03,ARC 10,5188,76.4,3247,47.8,2378,35,1603,23.6,405,18,2699,747,27.7,290,111,38.3,1010,340,33.7,{725C679D-E942-45A1-99FC-E3597B050E3F},
856,021706,13089021706,217.06,ARC 10,5091,91.2,4607,82.5,918,16.4,490,8.8,38,3.4,3047,311,10.2,118,66,55.9,576,75,13,{F0BE3380-5837-4673-852A-81896F830C9A},
857,021211,13089021211,212.11,ARC 10,4578,95.7,4124,86.2,1198,25.1,204,4.3,3,0.3,1983,39,2,93,22,23.7,498,134,26.9,{B8ADB3F1-2630-4F75-BF12-226A8AEBD1E2},
858,021210,13089021210,212.10,ARC 10,5264,95.4,4704,85.2,1233,22.3,254,4.6,55,3.7,2303,83,3.6,168,52,31,554,41,7.4,{9AD3E2C0-40E3-4E69-ABD9-A1DE18072885},
859,021213,13089021213,212.13,ARC 10,3369,97.5,2993,86.6,766,22.2,86,2.5,56,5.1,1265,0,0,66,0,0,342,30,8.8,{A7F9D7A0-A9A5-4881-BE02-B5925EE84FAE},
860,021303,13089021303,213.03,ARC 10,3618,55.7,1794,27.6,2044,31.5,2878,44.3,440,22.1,2890,1698,58.8,346,267,77.2,819,445,54.3,{66303169-C5EA-468F-83B1-853C3F9D7DEC},
861,021301,13089021301,213.01,ARC 10,2718,67.9,2303,57.5,564,14.1,1287,32.1,88,12,2392,898,37.5,134,113,84.3,586,146,24.9,{5069D0D2-E323-4051-B166-B4A25BC096B4},
862,021209,13089021209,212.09,ARC 10,5367,93.2,4447,77.2,1337,23.2,390,6.8,0,0,3105,246,7.9,111,13,11.7,533,89,16.7,{03CDD1BC-51F2-413D-BE66-F4451726C3DA},
863,021405,13089021405,214.05,ARC 10,3725,87.6,3422,80.5,479,11.3,525,12.4,28,3.4,2750,267,9.7,100,47,47,371,149,40.2,{F9FA37D6-EE18-4FC7-9BED-0800FDB8F4A2},
864,021208,13089021208,212.08,ARC 10,3105,77.2,2779,69.1,512,12.7,918,22.8,180,22.3,2189,365,16.7,232,199,85.8,457,149,32.6,{3D13642D-1831-41AC-83A2-1B78190F12EB},
865,021204,13089021204,212.04,ARC 10,1184,29.6,225,5.6,959,23.9,2821,70.4,203,17.8,2148,1992,92.7,178,160,89.9,481,435,90.4,{73DE9425-45C9-4CDA-AEF1-F576B2DCCBC4},
866,021202,13089021202,212.02,ARC 10,6690,92.7,6194,85.8,1193,16.5,528,7.3,16,1,3299,137,4.2,281,88,31.3,904,287,31.7,{74F13A1B-57C3-4E1A-9384-41467F91160D},
867,023210,13089023210,232.10,ARC 10,5083,78.1,3295,50.6,2233,34.3,1426,21.9,90,6.3,2887,671,23.2,765,432,56.5,821,205,25,{7961711A-A4A5-4686-8A09-C143865492BA},
868,023209,13089023209,232.09,ARC 10,4771,84.8,3067,54.5,2059,36.6,854,15.2,11,0.7,2360,342,14.5,481,242,50.3,991,259,26.1,{AF63DDEC-693C-4013-AB39-12BECBF9CC93},
869,023603,13089023603,236.03,ARC 10,2650,77.1,1305,38,1690,49.2,785,22.9,26,3.5,1093,422,38.6,348,172,49.4,670,154,23,{1F668C8F-DE53-4A49-A2AB-FF7A6738B2A2},
870,021603,13089021603,216.03,ARC 10,4105,90.8,3871,85.6,652,14.4,416,9.2,52,8.9,2860,208,7.3,161,86,53.4,327,70,21.4,{914C57B1-7DF2-4FEB-AC55-EFFE6D0F9DA3},
871,090905,13057090905,909.05,ARC 10,3180,89,2686,75.2,872,24.4,392,11,23,2.9,1853,295,15.9,92,47,51.1,232,27,11.6,{EEB000FD-D422-4A6C-8584-22E444814828},
872,090904,13057090904,909.04,ARC 10,7171,84,5699,66.8,2073,24.3,1362,16,118,5.1,4252,888,20.9,346,176,50.9,976,180,18.4,{411C204A-579D-4235-AB93-5A2F989EF86A},
873,091007,13057091007,910.07,ARC 10,6245,94.6,5815,88.1,1192,18.1,355,5.4,41,2.1,2918,169,5.8,212,39,18.4,764,106,13.9,{F7D40294-4CDC-449D-8CD1-E5555970F320},
874,090803,13057090803,908.03,ARC 10,9692,94.5,9094,88.7,1571,15.3,563,5.5,31,1,4500,374,8.3,234,44,18.8,1439,114,7.9,{1D5FC832-90DD-458B-81F1-64A924D0ACAB},
875,090804,13057090804,908.04,ARC 10,8674,91.5,7690,81.2,1881,19.9,801,8.5,69,2.8,4706,427,9.1,336,189,56.3,826,116,14,{2AD53120-9675-451B-A766-9E301C75DCD4},
876,091008,13057091008,910.08,ARC 10,7251,88.5,6840,83.5,1019,12.4,941,11.5,193,8.6,4056,427,10.5,110,84,76.4,1118,237,21.2,{C19736E5-A73E-4287-81EF-D79230C6A631},
877,090802,13057090802,908.02,ARC 10,6346,91.6,5928,85.6,1138,16.4,582,8.4,191,10.6,3069,183,6,176,45,25.6,931,163,17.5,{A0C039CD-50A4-4CD0-8415-BF80DE6DB42F},
878,090501,13057090501,905.01,ARC 10,5724,91.2,4848,77.3,1622,25.9,549,8.8,62,4.3,2781,127,4.6,232,177,76.3,892,183,20.5,{02BA751D-055F-41DF-9EEC-ADE75C27050B},
879,090902,13057090902,909.02,ARC 10,13530,93.7,12559,87,2174,15.1,909,6.3,95,2.2,7073,517,7.3,279,157,56.3,1346,120,8.9,{4E941C65-E054-4DA0-AD79-9F1337883F74},
880,091001,13057091001,910.01,ARC 10,3399,79.1,2682,62.4,1163,27.1,898,20.9,122,10.6,1918,558,29.1,122,61,50,507,139,27.4,{1105B1FD-4302-46B6-937C-93746635943A},
881,091003,13057091003,910.03,ARC 10,5232,72.2,4235,58.4,1502,20.7,2015,27.8,264,19.7,3709,1056,28.5,447,234,52.3,1181,461,39,{1F4B5B5B-311D-4878-B134-1FD93A677A21},
882,091102,13057091102,911.02,ARC 10,6672,74.2,4988,55.5,2144,23.9,2315,25.8,275,11.9,4627,1536,33.2,456,298,65.4,1022,206,20.2,{9B973CA6-C24D-4DD1-B9EC-E2BA5C2DE987},
883,091101,13057091101,911.01,ARC 10,5224,87.1,4428,73.8,1239,20.7,772,12.9,0,0,3186,572,18,145,77,53.1,621,104,16.7,{56682360-389F-42E3-9BB2-4E1A4F038E5B},
884,091103,13057091103,911.03,ARC 10,7385,85.3,6274,72.5,1857,21.5,1272,14.7,75,4.2,4384,791,18,386,195,50.5,1319,211,16,{31E2B250-408E-4ED1-926D-326A33AAC5A6},
885,090701,13057090701,907.01,ARC 10,16971,90.2,15051,80,3638,19.3,1839,9.8,280,5.5,9403,1160,12.3,311,112,36,2223,287,12.9,{9E47CEAD-5865-4132-982C-1658C4EDD7BC},
886,110601,13297110601,1106.01,ARC 20,4316,92.9,3740,80.5,1207,26,328,7.1,34,3,1983,152,7.7,95,40,42.1,785,102,13,{32CBEB74-16A5-4320-9D0C-9CC1C0A1D150},
887,110507,13297110507,1105.07,ARC 20,6855,90.2,5838,76.8,1965,25.9,744,9.8,22,1.1,3364,335,10,279,81,29,814,208,25.6,{BF79C028-83F1-45A0-8B8B-E20AC0D284EC},
888,110506,13297110506,1105.06,ARC 20,4566,88.8,3726,72.4,1457,28.3,577,11.2,88,7.2,2418,292,12.1,182,60,33,603,137,22.7,{D5C6F9EB-6138-47FD-A4BC-DD0A79BAB04C},
889,110603,13297110603,1106.03,ARC 20,3834,84.2,2996,65.8,1286,28.3,718,15.8,100,8.6,1963,359,18.3,194,104,53.6,709,155,21.9,{DDE11705-12D0-4087-9E12-12487C1085BC},
890,110602,13297110602,1106.02,ARC 20,5002,93.9,4322,81.2,1331,25,323,6.1,26,1.8,2185,171,7.8,57,2,3.5,926,124,13.4,{EB876474-9A57-48E0-8821-407D1838670B},
891,110504,13297110504,1105.04,ARC 20,4262,86.6,3312,67.3,1541,31.3,662,13.4,183,12,1872,305,16.3,140,12,8.6,703,162,23,{17CC80FB-FEEC-4CFC-B13E-F3AF43B8D57A},
892,110508,13297110508,1105.08,ARC 20,4565,89.3,3701,72.4,1684,33,545,10.7,5,0.4,2065,296,14.3,129,66,51.2,720,178,24.7,{0187DF18-C5FF-43A6-B709-78D770593D3C},
893,110503,13297110503,1105.03,ARC 20,2800,80.8,2372,68.4,805,23.2,666,19.2,110,11.5,1362,242,17.8,183,87,47.5,639,227,35.5,{6BA351C2-61F7-4CDF-B93E-CB134C6CA9ED},
894,110505,13297110505,1105.05,ARC 20,3643,86.3,3427,81.2,736,17.4,580,13.7,150,11.6,1800,174,9.7,155,57,36.8,584,199,34.1,{A58DA887-A378-481C-BD18-27DD307B857F},
895,110800,13297110800,1108,ARC 20,6004,87.2,4877,70.8,1808,26.3,880,12.8,0,0,2868,528,18.4,285,124,43.5,973,228,23.4,{E4C9772B-5022-43AA-92EA-63AD13918767},
896,110700,13297110700,1107,ARC 20,5848,82.5,4078,57.5,2842,40.1,1243,17.5,16,1,2632,557,21.2,381,234,61.4,1385,400,28.9,{208182AA-8F90-49CF-B275-C154040B4CC0},
897,110400,13297110400,1104,ARC 20,5045,77.7,3190,49.1,2388,36.8,1452,22.3,54,2.8,2568,828,32.2,279,211,75.6,1059,359,33.9,{F4958688-0E10-4607-9708-74F9AF208A3B},
898,110300,13297110300,1103,ARC 20,6067,87.6,3858,55.7,3027,43.7,862,12.4,118,5.9,2542,492,19.4,335,122,36.4,1164,110,9.5,{AB523EC9-CF2C-4215-8216-EC4A402D7D38},
899,110200,13297110200,1102,ARC 20,3605,85.3,2803,66.3,1486,35.2,620,14.7,121,13.5,1774,229,12.9,174,111,63.8,658,159,24.2,{499B97BB-E892-49B6-BA0C-84DA0560D818},
900,110100,13297110100,1101,ARC 20,7687,86.8,6666,75.2,2087,23.6,1172,13.2,86,4.1,4222,659,15.6,209,130,62.2,1200,279,23.3,{5BBDE8DF-4ED5-4E85-8284-028C7CF42394},
901,091005,13057091005,910.05,ARC 10,6026,75.1,5040,62.9,1678,20.9,1993,24.9,151,8.1,3817,1095,28.7,210,168,80,1147,554,48.3,{33BC5EE2-1B51-4E42-9AF5-D0F7DBEFEA39},
902,091006,13057091006,910.06,ARC 10,4600,94,4370,89.3,652,13.3,294,6,80,5.8,2403,169,7,140,38,27.1,487,7,1.4,{8E89688C-E58F-45B0-B58D-F5AEE41D3606},
903,090400,13057090400,904,ARC 10,6945,71.2,4878,50,2727,28,2805,28.8,277,10.4,4285,1649,38.5,285,156,54.7,1437,704,49,{FE2698D0-6AAC-402F-B731-1B8EE2E5769C},
904,090601,13057090601,906.01,ARC 10,4722,66.8,3117,44.1,1986,28.1,2343,33.2,528,26.8,2884,1093,37.9,658,337,51.2,898,385,42.9,{2DB7D3FC-D6FF-4E2A-8148-4C3B908CF24B},
905,090901,13057090901,909.01,ARC 10,7122,91.6,6351,81.7,1346,17.3,656,8.4,168,8,3600,233,6.5,202,92,45.5,1097,163,14.9,{056B06BD-2C75-4304-850E-C28EBA556911},
906,090602,13057090602,906.02,ARC 10,6703,81,5260,63.5,2532,30.6,1577,19,95,3.9,3563,996,28,298,149,50,1009,309,30.6,{467A2283-447C-4F09-9423-D1BB7EBF7316},
907,090200,13057090200,902,ARC 10,7045,87.2,6263,77.5,1905,23.6,1033,12.8,106,6.5,3383,362,10.7,215,125,58.1,1515,440,29,{68604FE6-C77F-4365-8F3D-3DBCA9C93852},
908,090702,13057090702,907.02,ARC 10,5789,75.3,4529,58.9,1773,23.1,1899,24.7,367,19.6,3746,1009,26.9,313,192,61.3,1028,331,32.2,{089B2837-7BCF-4B28-94DF-A1619315322E},
909,090502,13057090502,905.02,ARC 10,12727,91.4,11136,79.9,3299,23.7,1205,8.6,57,1.2,5270,492,9.3,339,256,75.5,1889,400,21.2,{3CA23688-A4ED-41FC-9394-8CBF142A7D2D},
910,090100,13057090100,901,ARC 10,7886,88.5,6351,71.3,2399,26.9,1022,11.5,101,4.7,4050,564,13.9,197,135,68.5,1280,222,17.3,{29896E86-69CF-40CE-BE03-71AA4CCB252F},
911,090300,13057090300,903,ARC 10,10864,87.7,9929,80.2,2327,18.8,1524,12.3,426,11.2,4935,731,14.8,190,54,28.4,1759,313,17.8,{B81EEBA1-45C2-48F7-AA5D-D611D1A8D561},
912,180206,13013180206,1802.06,ARC 20,2256,83.1,1719,63.3,949,34.9,460,16.9,15,2.6,1111,259,23.3,76,34,44.7,451,152,33.7,{5D0E9918-30C4-478E-B265-2C4DEBEB82EA},
913,180205,13013180205,1802.05,ARC 20,3611,82.3,1846,42.1,2124,48.4,778,17.7,80,6.5,1441,308,21.4,272,137,50.4,876,253,28.9,{8A59CD6B-B94D-454A-BCA2-F49AEDCF4997},
914,180402,13013180402,1804.02,ARC 20,5092,83.6,3748,61.5,1815,29.8,1001,16.4,124,8.2,2896,538,18.6,225,131,58.2,803,208,25.9,{6A776594-3CAF-40E1-B6BA-E77D4978903D},
915,180303,13013180303,1803.03,ARC 20,3638,84.2,2772,64.1,1287,29.8,685,15.8,90,6.9,1653,220,13.3,135,54,40,782,314,40.2,{07526DCD-FE8B-4BF3-9DDD-FBE35CB11773},
916,180106,13013180106,1801.06,ARC 20,2244,79.3,1741,61.5,751,26.5,587,20.7,58,8.3,1502,360,24,109,48,44,266,121,45.5,{6BF83DA2-1195-43BA-B340-AAB0E63B2E33},
917,180103,13013180103,1801.03,ARC 20,4246,90.8,3402,72.8,1286,27.5,428,9.2,6,0.5,2076,208,10,206,64,31.1,592,133,22.5,{9BE7CD46-B0E7-474F-9076-8FFE759A07AB},
918,180401,13013180401,1804.01,ARC 20,4716,86.2,3847,70.4,1254,22.9,752,13.8,201,12.8,2374,253,10.7,328,179,54.6,658,119,18.1,{D207F16C-729F-4B2B-81E3-5550281CFACD},
919,180203,13013180203,1802.03,ARC 20,2441,71.4,1499,43.8,1091,31.9,980,28.6,74,8,1481,507,34.2,205,87,42.4,543,312,57.5,{EB8DFE87-F848-49ED-830B-B955037D6CB4},
920,180503,13013180503,1805.03,ARC 20,4607,82.8,3609,64.9,1444,25.9,958,17.2,324,17.5,2331,363,15.6,117,93,79.5,725,178,24.6,{517E8312-0B26-40DA-8A96-9B1703EAA510},
921,180502,13013180502,1805.02,ARC 20,3752,82.5,2888,63.5,1206,26.5,796,17.5,106,9,1925,355,18.4,252,137,54.4,717,198,27.6,{BBE814E8-7ECE-45F7-93CB-F8FDC7D8DAB8},
922,180204,13013180204,1802.04,ARC 20,1932,74.9,1152,44.6,961,37.2,649,25.1,204,25.7,974,305,31.3,157,85,54.1,367,55,15,{30520637-DEAD-486B-9E93-2B86C584DD37},
923,180501,13013180501,1805.01,ARC 20,4520,79.5,3407,60,1430,25.2,1162,20.5,100,6.2,2254,472,20.9,373,183,49.1,917,262,28.6,{94B82F42-1A7E-4B17-8B63-A787D800C942},
924,180301,13013180301,1803.01,ARC 20,1922,88.7,1595,73.6,512,23.6,245,11.3,24,4.5,1033,163,15.8,69,17,24.6,234,41,17.5,{A429082A-64EB-416B-88A5-BC286855DDAC},
925,180302,13013180302,1803.02,ARC 20,4966,90.2,4214,76.5,1382,25.1,541,9.8,131,9,2331,210,9,109,16,14.7,895,184,20.6,{ADB9D294-2603-4663-B923-BC9D198F4D1E},
