OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_wHealth_Insurance,Pct_Pop_wHealth_Ins,Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins,Population_with_public_coverage,Pct_Pop_wPub_Health_Ins,Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins,Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins,Pop_18to64_Employed,Pop_18to64_Empl_wNo_Health_Ins,Pct_Pop_18to64_Emp_wNo_Hlth_Ins,Pop_18to64_Unemployed,Pop_18to64_Unemp_wNo_Health_Ins,Pct_Pop_18to64_Unemp_No_HlthIns,Pop_18to64_Not_in_Labor_Force,Pop_18to64_Not_LabFor_NoHlthIns,PctPop_18to64_NotLFor_NoHlthIns,GlobalID,last_edited_date
735,022700,13089022700,227,ARC 10,4213,96.5,3806,87.2,759,17.4,152,3.5,13,0.9,2153,61,2.8,152,23,15.1,321,55,17.1,{4BEE1235-E782-40CB-B3AD-7899818A91BF},
736,022403,13089022403,224.03,ARC 10,3915,98.2,3695,92.7,661,16.6,73,1.8,0,0,1649,15,0.9,51,0,0,619,58,9.4,{A07D37C1-1A0F-4874-9C3B-83083F3F057A},
737,023425,13089023425,234.25,ARC 10,4863,84.2,4213,73,1366,23.7,910,15.8,183,18.4,2716,207,7.6,607,339,55.8,833,181,21.7,{A4A6C17E-F273-471B-9624-B1141B8F0601},
738,022204,13089022204,222.04,ARC 10,4957,71.8,3088,44.7,2159,31.3,1947,28.2,267,14.3,3131,977,31.2,247,96,38.9,1335,562,42.1,{53C01E0D-2F44-4AB3-9F46-0529045CFA0B},
739,023423,13089023423,234.23,ARC 10,5826,78.1,4794,64.2,1728,23.2,1638,21.9,415,25.5,3628,573,15.8,690,363,52.6,964,287,29.8,{0B85B2FE-16CD-4675-9483-B99448CF16C9},
740,023419,13089023419,234.19,ARC 10,8667,91.4,6559,69.2,3130,33,817,8.6,0,0,4061,256,6.3,633,434,68.6,1618,127,7.8,{F064EBE8-7842-43B0-8455-E8014651F7E3},
741,023312,13089023312,233.12,ARC 10,7738,84.3,5560,60.6,2969,32.3,1442,15.7,126,5.2,4108,745,18.1,545,249,45.7,1325,322,24.3,{08984DBA-62BE-493B-B2A1-6534FBFA0702},
742,023311,13089023311,233.11,ARC 10,4197,84,2958,59.2,1541,30.8,802,16,19,1.3,2043,341,16.7,387,173,44.7,771,246,31.9,{C9A75897-FF0C-417E-A883-636585EE0096},
743,023213,13089023213,232.13,ARC 10,4888,82.3,4074,68.6,1191,20.1,1050,17.7,239,16.9,2636,353,13.4,366,215,58.7,967,213,22,{DBBA91C2-00FF-4724-B3D6-BF3B592AA2F0},
744,022301,13089022301,223.01,ARC 10,5250,89.1,4770,81,1025,17.4,640,10.9,39,4.4,2998,418,13.9,173,45,26,1029,138,13.4,{C1C809F1-BAA8-4A3D-B703-17177BBA8333},
745,023602,13089023602,236.02,ARC 10,2050,79.1,1166,45,1277,49.3,541,20.9,20,5.2,1015,283,27.9,234,124,53,361,114,31.6,{67A06F3E-BBAB-42F4-9FAC-131D6CAAD167},
746,023504,13089023504,235.04,ARC 10,2241,74,860,28.4,1823,60.2,788,26,141,15.3,704,244,34.7,262,170,64.9,607,233,38.4,{2C8C00E0-3D7C-40E9-AAEA-7C341B990BA3},
747,023411,13089023411,234.11,ARC 10,2982,75.6,1950,49.4,1567,39.7,965,24.4,83,10.6,1505,502,33.4,338,206,60.9,660,162,24.5,{CB3203D6-2927-4297-95D6-AFF72FDE9514},
748,023410,13089023410,234.10,ARC 10,2258,72.5,1338,43,1133,36.4,856,27.5,71,9.7,1267,442,34.9,322,152,47.2,498,191,38.4,{536099EF-BC8A-42A5-BF1E-B6C8B59CDDE9},
749,023501,13089023501,235.01,ARC 10,2502,75.8,1194,36.2,1715,52,798,24.2,28,3.5,1308,449,34.3,297,158,53.2,475,163,34.3,{0FEB1B8A-A8B4-4F5A-83B8-61D350BD256A},
750,023114,13089023114,231.14,ARC 10,1963,80.5,1268,52,937,38.4,477,19.5,3,0.6,1117,283,25.3,258,116,45,259,75,29,{3C29774B-7AE7-4B8B-8B0F-0E7FBF72BAD6},
751,023112,13089023112,231.12,ARC 10,3027,71,1379,32.3,1760,41.3,1238,29,104,8.7,1956,674,34.5,442,208,47.1,543,235,43.3,{4D1FBA27-820E-4E61-8551-FC3A8E733586},
752,021912,13089021912,219.12,ARC 10,3041,87.9,2801,81,971,28.1,418,12.1,126,20.6,1347,140,10.4,125,58,46.4,563,94,16.7,{75712095-3A1B-4F0B-AF58-C0D9BCD2634B},
753,021910,13089021910,219.10,ARC 10,3870,80.3,2831,58.7,1208,25.1,950,19.7,171,14,2533,591,23.3,244,82,33.6,341,106,31.1,{86B69385-5A14-48EC-A847-F9FD0FE645FA},
754,021604,13089021604,216.04,ARC 10,3082,98.2,2840,90.5,651,20.8,55,1.8,10,1.3,1261,18,1.4,79,16,20.3,401,11,2.7,{F6EA0556-07DE-4DF4-8415-C4B4DD0C99D3},
755,021504,13089021504,215.04,ARC 10,4649,97.3,4131,86.4,905,18.9,131,2.7,0,0,2610,96,3.7,58,0,0,1040,35,3.4,{BD7894A4-C9EF-498D-9BE0-C2C5FEB0EF26},
756,021503,13089021503,215.03,ARC 10,3080,75.5,2492,61.1,768,18.8,998,24.5,82,8.1,2144,583,27.2,269,145,53.9,380,174,45.8,{43E234D1-1402-4B25-A6AE-3852ED919CA6},
757,023107,13089023107,231.07,ARC 10,3425,76.1,1962,43.6,1808,40.2,1076,23.9,89,7.9,1657,466,28.1,363,222,61.2,932,299,32.1,{2E751C77-E05D-4C27-AB19-5D9CCFA9F4B7},
758,023418,13089023418,234.18,ARC 10,16023,83,13110,67.9,3695,19.1,3289,17,566,11.1,9597,1441,15,1290,648,50.2,2278,634,27.8,{807D8DE2-2318-4525-B934-170E93FAD7AD},
759,023101,13089023101,231.01,ARC 10,3679,80,2534,55.1,1452,31.6,920,20,29,2.9,1938,336,17.3,426,274,64.3,748,256,34.2,{D108389D-94EB-418B-8B54-C75ABF3EF5FB},
