OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Civilian_nonInstitutional_Pop,Civ_nonInstitution_Pop_wDisabil,Pct_Civ_nonInstitut_Pop_wDisab,Civ_nonInstitut_Pop_under_18yrs,Civ_nonInst_under18_wDisab,Pct_Civ_nonInst_under18_wDisab,Civ_nonInst_Pop_18_to_64,Civ_nonInst_18_to_64_wDisab,Pct_Civ_nonInst_18to64_wDisab,Civ_nonInst_Pop_65years_up,Civ_nonInst_65up_wDisab,Pct_Civ_nonInst_65up_wDisab,GlobalID,last_edited_date
662,008301,13121008301,83.01,ARC 10,2295,355,15.5,502,0,0,1385,161,11.6,408,194,47.5,{3B1E8E74-0F41-4638-9C05-905C2BAE2CAC},
663,007200,13121007200,72,ARC 10,2029,416,20.5,588,10,9.7,1244,242,19.5,197,117,59.4,{31ED8FF0-ABFB-4A4E-A24F-7736DEC90FD8},
664,001501,13139001501,15.01,ARC 20,4607,478,10.4,982,2,2.5,2867,228,8,758,225,29.7,{3C842AA3-D84B-44A9-8C02-4FFF58C41B5F},
665,001102,13139001102,11.02,ARC 20,4460,468,10.5,1460,1,0.8,2655,236,8.9,345,220,63.8,{DAB91844-AA99-4DBA-AE6D-9BA5CBC0C6E7},
666,001201,13139001201,12.01,ARC 20,7106,857,12.1,2301,6,6.1,4355,500,11.5,450,217,48.2,{55FB6314-517D-4B20-95E3-427E1B749DC4},
667,001004,13139001004,10.04,ARC 20,3205,301,9.4,758,0,0,2188,229,10.5,259,72,27.8,{542ECBC8-35F9-4493-BE38-B2FCC9AF0BAC},
668,001003,13139001003,10.03,ARC 20,6619,476,7.2,2296,2,2,4005,233,5.8,318,196,61.6,{3787E085-BE5B-4423-9C64-ED4E64D45E29},
669,000305,13139000305,3.05,ARC 20,4885,621,12.7,1460,12,11.7,2961,281,9.5,464,169,36.4,{04C7E478-64E5-4012-AA41-C92A34F78AE2},
670,000304,13139000304,3.04,ARC 20,3514,408,11.6,870,2,1.5,2136,234,11,508,161,31.7,{8060281A-89F9-4C7D-A8BD-FE2A91E242BD},
671,000303,13139000303,3.03,ARC 20,2725,507,18.6,499,7,7.2,1376,139,10.1,850,332,39.1,{E59EEA0A-01CC-410F-90F1-431F010B369A},
672,000203,13139000203,2.03,ARC 20,4391,614,14,943,3,3.1,2693,305,11.3,755,280,37.1,{FE2AA6A8-AA80-491B-8E86-1D303CDBCBDE},
673,000204,13139000204,2.04,ARC 20,3987,373,9.4,1001,3,2.7,2342,229,9.8,644,117,18.2,{6E62BA1D-BB24-4D85-8959-5F2FA1E9D9F8},
674,160100,13255160100,1601,ARC 20,5788,840,14.5,1751,4,3.8,3277,433,13.2,760,341,44.9,{A8F96CE4-CAF9-4623-8183-7E8216227219},
675,160200,13255160200,1602,ARC 20,6278,1275,20.3,1163,7,7.4,3564,670,18.8,1551,519,33.5,{773BBAF4-BABE-4D54-AA06-DBABF3D05B1C},
676,161000,13255161000,1610,ARC 20,5156,865,16.8,1191,3,3.4,3110,435,14,855,389,45.5,{CAA9BEC5-1176-4141-B4F9-946918D6431E},
677,161200,13255161200,1612,ARC 20,8515,1093,12.8,2131,5,5,4992,571,11.4,1392,416,29.9,{EDB7DF2D-D411-441C-8B50-38C132C9F6F2},
678,161100,13255161100,1611,ARC 20,3929,456,11.6,941,7,7,2264,162,7.2,724,228,31.5,{6867B236-432D-4A7C-9ACA-7D4608D0B5E4},
679,160900,13255160900,1609,ARC 20,2701,544,20.1,722,13,12.7,1650,298,18.1,329,154,46.8,{D7803A45-5BC5-4958-B62B-1BA6AB4992DD},
680,160800,13255160800,1608,ARC 20,4873,940,19.3,1305,2,2.4,3054,660,21.6,514,249,48.4,{6B1845E1-E9CD-4309-96C3-EC4B0DF33364},
681,160700,13255160700,1607,ARC 20,6665,1226,18.4,1900,2,2.5,4160,827,19.9,605,352,58.2,{18A8BC00-51E0-4401-A114-0AE9C91F4C88},
682,160500,13255160500,1605,ARC 20,6341,1246,19.6,1651,6,6.1,3760,674,17.9,930,472,50.8,{88C89406-6D5C-4903-B81E-82F76C590F57},
683,160400,13255160400,1604,ARC 20,5434,1042,19.2,1389,0,0,3346,756,22.6,699,286,40.9,{513084FF-9808-4568-AB61-0586F7BE82B4},
684,160300,13255160300,1603,ARC 20,3218,437,13.6,746,4,3.9,2004,181,9,468,227,48.5,{FF8F8211-2727-4AFA-B534-56696E5B28F8},
685,160600,13255160600,1606,ARC 20,3896,627,16.1,816,5,4.7,2373,319,13.4,707,270,38.2,{B2B16190-1699-4A97-8127-25D6DFE20A76},
686,080102,13097080102,801.02,ARC 10,7381,579,7.8,1951,0,0,4841,424,8.8,589,155,26.3,{99741DDD-36D9-4A1F-A188-9323B1641470},
687,080602,13097080602,806.02,ARC 10,5562,684,12.3,1512,4,4,3592,388,10.8,458,235,51.3,{0540044B-1C86-47E3-ACE1-6470CC374DA4},
688,080508,13097080508,805.08,ARC 10,5209,582,11.2,1218,0,0,3422,411,12,569,171,30.1,{2D3AD859-1333-4ACD-9654-D353D39F03FB},
689,080510,13097080510,805.10,ARC 10,7705,1020,13.2,1794,6,5.9,5246,628,12,665,287,43.2,{EAAF23B9-D90C-4094-AE75-B73D6D122860},
690,080509,13097080509,805.09,ARC 10,5750,602,10.5,1575,1,0.7,3450,449,13,725,142,19.6,{88B78F8D-9E8A-4C48-9413-C080F8C4BF4D},
691,170602,13077170602,1706.02,ARC 20,8667,684,7.9,2475,2,2.1,5149,316,6.1,1043,315,30.2,{1CF1DDFB-57DC-445A-A7DA-43BAB2EC2AEC},
692,170503,13077170503,1705.03,ARC 20,5815,287,4.9,1516,0,0,3685,181,4.9,614,106,17.3,{2E597ADC-55EF-4A48-970F-EDCB74B53AAE},
693,170501,13077170501,1705.01,ARC 20,6901,498,7.2,1508,0,0.1,4545,347,7.6,848,149,17.6,{20ED5EEF-D755-4349-A116-DE6E474F66ED},
694,170406,13077170406,1704.06,ARC 20,3634,290,8,950,2,1.9,2277,165,7.2,407,107,26.3,{D6A5DE0C-EEE3-4A77-91E3-E2CC260676CC},
695,170305,13077170305,1703.05,ARC 20,10264,1148,11.2,3040,5,4.7,6344,613,9.7,880,392,44.5,{92D87478-E1DB-4C43-A411-5A5ED14BB295},
696,170601,13077170601,1706.01,ARC 20,7498,866,11.5,2757,2,1.5,3622,474,13.1,1119,352,31.5,{CE25E8BD-5933-4C0A-BBFF-900CE00EA168},
697,170603,13077170603,1706.03,ARC 20,5124,710,13.9,1265,10,10,3343,454,13.6,516,130,25.2,{FFC011D0-8E34-438D-A810-DD88ECBB28C4},
698,170502,13077170502,1705.02,ARC 20,5979,771,12.9,1550,3,2.6,3888,570,14.7,541,160,29.6,{DCADEAEB-07DF-4527-A48A-DCAD1490E055},
699,170405,13077170405,1704.05,ARC 20,7368,840,11.4,1810,8,7.7,4703,367,7.8,855,334,39.1,{119DFC5F-1C19-4EE5-8AEF-B93836F1D4AD},
700,170404,13077170404,1704.04,ARC 20,5831,489,8.4,1342,0,0,3756,245,6.5,733,244,33.3,{54E21859-1ED7-421E-9A4C-940C320F23B2},
701,170403,13077170403,1704.03,ARC 20,4472,341,7.6,1320,2,2.4,2733,177,6.5,419,132,31.5,{18CA0440-A0B8-47EC-9197-DF4B2AD78810},
702,170306,13077170306,1703.06,ARC 20,8177,736,9,2064,5,4.6,5095,369,7.2,1018,273,26.8,{1D02CF88-9DAA-45F7-B21B-EB9CEA86B214},
703,080603,13097080603,806.03,ARC 10,5984,594,9.9,1502,0,0,3995,393,9.8,487,201,41.3,{89DD7209-3D7B-4401-BBB7-95AD98B08D88},
704,080511,13097080511,805.11,ARC 10,8882,714,8,2351,0,0,5795,468,8.1,736,246,33.4,{12C5E076-68FC-4C3A-81C3-473B0826F55B},
705,080304,13097080304,803.04,ARC 10,4498,700,15.6,953,5,4.9,2956,341,11.5,589,312,53,{5C360719-E171-439D-8142-0B8459581DEC},
706,080404,13097080404,804.04,ARC 10,8617,972,11.3,2598,9,9,5258,511,9.7,761,226,29.7,{C3D64B6E-422D-4A21-B924-58BA4047932C},
707,080303,13097080303,803.03,ARC 10,3916,598,15.3,1126,1,1.2,2288,341,14.9,502,244,48.6,{B1570DA9-0DF5-4433-B395-394AD1C32CE9},
