OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_PovertyStatus_Determined,Population_in_poverty,Percent_Population_in_poverty,Pop_under18_PovStatus_Determine,Pop_under18_inPoverty,Pct_Pop_u18_in_Poverty,Pop_18_64_PovStatus_Determ,Pop_18_64_Years_in_Poverty,Pct_Pop_18_64_Years_inPoverty,Pop_65older_PovStatusDetermined,Pop_65older_in_Poverty,Pct_Pop_65older_inPoverty,GlobalID,last_edited_date
536,010211,13121010211,102.11,ARC 10,3257,182,5.6,893,64,7.2,1982,118,6,382,0,0,{36FF8D21-5455-42D5-AACF-33FA64252CF5},
537,009801,13121009801,98.01,ARC 10,4804,249,5.2,1452,28,1.9,2449,80,3.3,903,141,15.6,{E327F3E4-F2D3-4919-8DD1-4AAAB7D2DAD3},
538,009603,13121009603,96.03,ARC 10,4194,437,10.4,669,62,9.3,2942,249,8.5,583,126,21.6,{4154A408-FBEC-45D0-AFFC-94948740A5F0},
539,009601,13121009601,96.01,ARC 10,2417,185,7.7,258,37,14.3,2035,148,7.3,124,0,0,{1AE65476-2A2E-4062-8E52-8FC030F964DA},
540,007705,13121007705,77.05,ARC 10,5021,1944,38.7,1360,866,63.7,2813,864,30.7,848,214,25.2,{3010433D-178F-4007-B765-2525B3B5BF15},
541,011612,13121011612,116.12,ARC 10,3381,85,2.5,807,11,1.4,1710,56,3.3,864,18,2.1,{27FD9E7E-C547-4564-A5F7-74B62EA00ECA},
542,011623,13121011623,116.23,ARC 10,11937,734,6.1,3242,244,7.5,7890,395,5,805,95,11.8,{7CF84291-E1DE-4747-B537-993EB8E5262E},
543,011625,13121011625,116.25,ARC 10,7594,478,6.3,2333,205,8.8,4695,224,4.8,566,49,8.7,{C13359CA-0CF5-4D29-8ADE-9605E72DD814},
544,011619,13121011619,116.19,ARC 10,8351,298,3.6,2802,60,2.1,5240,226,4.3,309,12,3.9,{C90232C5-68EF-493D-BCEA-5D585FD31B05},
545,011621,13121011621,116.21,ARC 10,7218,470,6.5,2279,233,10.2,4502,195,4.3,437,42,9.6,{6FFD6C61-9102-4B32-932A-54CA44B8E6D2},
546,000500,13121000500,5,ARC 10,5129,608,11.9,714,134,18.8,4160,455,10.9,255,19,7.5,{072F6304-66F2-4D96-9713-F9F874976FA4},
547,009300,13121009300,93,ARC 10,4658,88,1.9,585,0,0,3270,88,2.7,803,0,0,{A8D8AF0A-2070-4DBF-B5BA-CA6C7261242D},
548,009900,13121009900,99,ARC 10,4768,44,0.9,1218,0,0,2965,44,1.5,585,0,0,{DEC2125A-20F2-4FB1-B318-B2D46100FA31},
549,009000,13121009000,90,ARC 10,4948,238,4.8,1503,26,1.7,3190,212,6.6,255,0,0,{F40DF5EB-8631-459D-8D19-37D4EB69B734},
550,009700,13121009700,97,ARC 10,3923,115,2.9,1071,41,3.8,2203,49,2.2,649,25,3.9,{D7E689B0-5414-4774-81C7-4B4B29006777},
551,010206,13121010206,102.06,ARC 10,5260,127,2.4,1123,16,1.4,3070,102,3.3,1067,9,0.8,{A570B740-19FA-4AFB-92F8-923E495B3DF5},
552,010204,13121010204,102.04,ARC 10,4896,247,5,1173,89,7.6,2724,158,5.8,999,0,0,{C0792543-4FF8-4C3B-8D8A-51E2D446131F},
553,007100,13121007100,71,ARC 10,2014,615,30.5,460,200,43.5,1304,380,29.1,250,35,14,{61A0E44D-23B7-4FC3-B4A3-348986BD2309},
554,006801,13121006801,68.01,ARC 10,0,0,,0,0,,0,0,,0,0,,{2A9A3363-635C-4BE6-9ABE-84A858F5BF91},
555,006900,13121006900,69,ARC 10,3539,1164,32.9,688,343,49.9,2679,790,29.5,172,31,18,{EB43F08E-F200-4FA0-BE76-5D226065E029},
556,005200,13121005200,52,ARC 10,4998,673,13.5,948,188,19.8,3784,458,12.1,266,27,10.2,{A530E40A-6070-4BC2-99A1-FA37979ABB42},
557,005000,13121005000,50,ARC 10,1900,279,14.7,221,0,0,1598,273,17.1,81,6,7.4,{1D9CBDB0-383C-4C50-9FB3-E62FB42D27D8},
558,001500,13121001500,15,ARC 10,4366,581,13.3,405,0,0,3695,522,14.1,266,59,22.2,{607980A9-8850-45C6-816D-A063E1C5B026},
559,007807,13121007807,78.07,ARC 10,3171,1879,59.3,1108,803,72.5,1734,1026,59.2,329,50,15.2,{F8E31BAF-D349-4D98-A248-C78A64A60F94},
560,010510,13121010510,105.10,ARC 10,15817,3656,23.1,4540,1744,38.4,9976,1713,17.2,1301,199,15.3,{9FE4930C-3006-45E0-B0AA-200CD39B1182},
561,010512,13121010512,105.12,ARC 10,6649,2127,32,2480,1238,49.9,3926,875,22.3,243,14,5.8,{D0B13482-B957-4D7B-8AF3-F88FDF56C3A8},
562,007802,13121007802,78.02,ARC 10,10014,2163,21.6,2263,857,37.9,6880,1180,17.2,871,126,14.5,{EB49972E-C482-4A79-A128-C38628D3E512},
563,007805,13121007805,78.05,ARC 10,2940,780,26.5,418,158,37.8,2027,522,25.8,495,100,20.2,{4D38A431-EC2C-438F-B35F-C7B0CB189888},
564,011618,13121011618,116.18,ARC 10,4392,332,7.6,1395,128,9.2,2790,204,7.3,207,0,0,{61573090-F1F3-424D-8F4B-309BF638E0C0},
565,011610,13121011610,116.10,ARC 10,5850,825,14.1,1770,498,28.1,3553,287,8.1,527,40,7.6,{A4625BBA-6487-422D-92E5-58E235D3D85D},
566,011614,13121011614,116.14,ARC 10,14477,1440,9.9,3877,751,19.4,9505,617,6.5,1095,72,6.6,{45340196-8486-44A5-8B43-3B420CE15768},
567,011620,13121011620,116.20,ARC 10,10634,534,5,3312,108,3.3,6648,411,6.2,674,15,2.2,{F6EC4314-15E5-4F43-AC46-04332FA815B2},
568,011420,13121011420,114.20,ARC 10,7826,2960,37.8,2737,1733,63.3,5000,1197,23.9,89,30,33.7,{0CC9E465-EE99-47A8-BA7F-52894B074509},
569,011613,13121011613,116.13,ARC 10,6919,579,8.4,1800,158,8.8,4760,403,8.5,359,18,5,{2709C60B-9F64-49CE-9023-5015F55EA529},
570,011426,13121011426,114.26,ARC 10,2555,232,9.1,816,81,9.9,1589,151,9.5,150,0,0,{A2EDD124-9F64-488D-9570-3F101AD4D190},
571,011425,13121011425,114.25,ARC 10,7238,18,0.2,2054,0,0,4484,18,0.4,700,0,0,{72BAE03B-32E5-46FE-8D75-D8D529603F63},
572,011423,13121011423,114.23,ARC 10,4994,156,3.1,1322,74,5.6,3141,73,2.3,531,9,1.7,{4B8DD2C3-FE31-4938-A820-2A6FA91508F8},
573,011418,13121011418,114.18,ARC 10,6124,115,1.9,1431,0,0,3756,78,2.1,937,37,3.9,{9B584651-7C90-4C12-A8E8-71EA475A795A},
574,002600,13121002600,26,ARC 10,1205,462,38.3,382,247,64.7,780,198,25.4,43,17,39.5,{82A662AC-0C95-4000-8099-B560893ACCB1},
575,001700,13121001700,17,ARC 10,3731,950,25.5,582,388,66.7,2865,515,18,284,47,16.5,{EC771496-AEE2-4938-B4EC-263F987DA6A2},
576,001400,13121001400,14,ARC 10,2237,143,6.4,264,27,10.2,1853,116,6.3,120,0,0,{C342AA52-18A0-412F-8A2D-B5EBFA436696},
577,003000,13121003000,30,ARC 10,3051,141,4.6,403,0,0,2458,141,5.7,190,0,0,{187E845D-1A15-4723-8F5C-5B9B49CC5CE9},
578,011000,13121011000,110,ARC 10,3053,1408,46.1,995,657,66,1750,652,37.3,308,99,32.1,{6FE1942B-F42B-4E9E-B389-D037785447C4},
579,007400,13121007400,74,ARC 10,2653,1293,48.7,623,428,68.7,1663,694,41.7,367,171,46.6,{EDBC3CC8-6F35-4BD1-B1EE-B5ED24E7D5F1},
580,006400,13121006400,64,ARC 10,1175,347,29.5,198,43,21.7,929,293,31.5,48,11,22.9,{20E10089-96B1-4C16-832B-0407FD5E6046},
581,005300,13121005300,53,ARC 10,3697,492,13.3,791,173,21.9,2696,319,11.8,210,0,0,{B8C662D1-674C-45B4-BAB2-31D80F2D5F78},
582,005502,13121005502,55.02,ARC 10,2394,1251,52.3,784,447,57,1410,711,50.4,200,93,46.5,{B381B804-6871-4F44-927D-D8BE8E8AB4C0},
583,008202,13121008202,82.02,ARC 10,2010,605,30.1,458,212,46.3,1170,363,31,382,30,7.9,{79A31B92-EABF-424E-BF49-F82B59ED3A93},
584,010513,13121010513,105.13,ARC 10,13037,2684,20.6,3230,943,29.2,9051,1741,19.2,756,0,0,{718AD9F0-F800-4CD4-A4FC-1C273F7EE405},
585,010304,13121010304,103.04,ARC 10,15388,746,4.8,4485,341,7.6,9844,405,4.1,1059,0,0,{3063F22B-886B-471B-9E94-F84883B40CBC},
586,010303,13121010303,103.03,ARC 10,9494,734,7.7,2739,249,9.1,5717,337,5.9,1038,148,14.3,{692460B4-8969-4631-A011-AEA200875FD8},
587,010514,13121010514,105.14,ARC 10,11711,982,8.4,3391,302,8.9,7361,611,8.3,959,69,7.2,{FB7FE5D9-FED0-4453-938E-5A14A0A15B20},
588,010301,13121010301,103.01,ARC 10,16112,1980,12.3,5384,602,11.2,9406,1328,14.1,1322,50,3.8,{CD2C6AE7-8278-463F-B62C-B8842639B84B},
589,010400,13121010400,104,ARC 10,8370,1441,17.2,2405,632,26.3,4958,698,14.1,1007,111,11,{272F2837-67A0-42BA-B70D-2B0CED95F766},
590,011421,13121011421,114.21,ARC 10,3813,756,19.8,949,382,40.3,2692,374,13.9,172,0,0,{94C65666-E4C7-4EB6-A84A-499A341B25AA},
591,011416,13121011416,114.16,ARC 10,5256,187,3.6,1297,63,4.9,3104,124,4,855,0,0,{B5CF82F4-ED37-4284-9503-A88E06E0E4A1},
592,011506,13121011506,115.06,ARC 10,6317,194,3.1,1645,47,2.9,3836,93,2.4,836,54,6.5,{DAEBC2AB-1D74-4A2E-981C-B418947FB93A},
593,011417,13121011417,114.17,ARC 10,4796,284,5.9,880,38,4.3,2553,151,5.9,1363,95,7,{0AA81665-45AB-4261-99D5-C6DE6015BFAC},
594,007001,13121007001,70.01,ARC 10,4764,1810,38,1512,752,49.7,2854,1013,35.5,398,45,11.3,{4A6AB282-E1DA-4389-A15C-755D7286CB75},
595,006700,13121006700,67,ARC 10,3741,1529,40.9,774,206,26.6,2348,1098,46.8,619,225,36.3,{C12685A5-3BA3-4466-A3F4-87F0D6A6ADC9},
596,006300,13121006300,63,ARC 10,1644,757,46,325,178,54.8,1121,509,45.4,198,70,35.4,{C5089E88-D436-4A29-BDB4-C9C2AD1F0E23},
597,005700,13121005700,57,ARC 10,1655,768,46.4,442,295,66.7,1026,381,37.1,187,92,49.2,{518D4DD0-BE70-4C6B-98F0-CFC1BF88B98E},
598,006500,13121006500,65,ARC 10,4283,1074,25.1,775,215,27.7,3064,768,25.1,444,91,20.5,{C868C618-52BB-42B6-A6C0-00007D03AD69},
599,005501,13121005501,55.01,ARC 10,2533,1088,43,536,320,59.7,1824,725,39.7,173,43,24.9,{A05E62CB-31D2-4DE8-84F5-7DC274678FEF},
600,004900,13121004900,49,ARC 10,2876,775,26.9,720,337,46.8,1973,410,20.8,183,28,15.3,{F3B0A827-A556-4AA1-8C23-D44EB6BBFBAA},
601,004800,13121004800,48,ARC 10,1048,517,49.3,157,86,54.8,760,310,40.8,131,121,92.4,{E3388A9C-059C-4E6F-AD41-E7A693A42A9F},
602,002800,13121002800,28,ARC 10,1958,639,32.6,132,39,29.5,1590,518,32.6,236,82,34.7,{F97CCF59-22F3-4D4F-B166-CD5A6252F746},
603,011419,13121011419,114.19,ARC 10,5638,254,4.5,1226,41,3.3,3281,178,5.4,1131,35,3.1,{C306F8E8-6EEB-4AE1-8E24-4FB619D8D1A9},
604,011503,13121011503,115.03,ARC 10,10045,555,5.5,3245,217,6.7,5907,292,4.9,893,46,5.2,{775E84B8-163E-458F-9387-38D970C3B264},
605,011615,13121011615,116.15,ARC 10,9978,245,2.5,3009,14,0.5,5994,175,2.9,975,56,5.7,{3ED66BBF-1522-4A18-A183-A8728F93BCEA},
606,011504,13121011504,115.04,ARC 10,12821,159,1.2,4095,15,0.4,7506,118,1.6,1220,26,2.1,{C1199EC7-6190-474D-ABA4-624A0D9D5381},
607,010515,13121010515,105.15,ARC 10,4809,819,17,1244,354,28.5,2841,379,13.3,724,86,11.9,{D5F3FEFA-1C0A-4A0C-BFE2-E3798F18DA33},
608,010516,13121010516,105.16,ARC 10,8905,2323,26.1,2499,1289,51.6,5740,965,16.8,666,69,10.4,{4AAE3482-10EC-442C-867D-19AE7CFC2B3D},
609,010120,13121010120,101.20,ARC 10,2289,253,11.1,366,16,4.4,1830,227,12.4,93,10,10.8,{8DDB03A5-6624-4ED0-8900-BC91F40EC643},
610,010117,13121010117,101.17,ARC 10,3332,323,9.7,672,32,4.8,2572,291,11.3,88,0,0,{47720192-7470-4E0F-9617-B5193C6D5A23},
611,001800,13121001800,18,ARC 10,4529,1594,35.2,628,535,85.2,3432,880,25.6,469,179,38.2,{49E57DC4-DD40-4966-9AEF-CC9B9552DDDF},
612,001300,13121001300,13,ARC 10,4150,938,22.6,438,145,33.1,3449,793,23,263,0,0,{8815AC8F-ED30-4DDC-84E8-BA3E4E4DA737},
613,001900,13121001900,19,ARC 10,2425,742,30.6,108,32,29.6,2243,689,30.7,74,21,28.4,{EBA2BE1E-E4F1-4D3A-8C75-056FF55969FB},
614,002100,13121002100,21,ARC 10,2785,1320,47.4,409,233,57,2288,1045,45.7,88,42,47.7,{823E29F3-A76E-4CB3-A70B-B3F1EB3F272F},
615,004400,13121004400,44,ARC 10,2509,1030,41.1,899,462,51.4,1469,524,35.7,141,44,31.2,{E0498E76-320D-4502-A358-2997D44A8421},
616,003200,13121003200,32,ARC 10,2150,169,7.9,98,6,6.1,1975,163,8.3,77,0,0,{05FD737C-6C88-414E-87FF-D8A7771E2DEC},
617,004200,13121004200,42,ARC 10,2227,847,38,256,156,60.9,1529,540,35.3,442,151,34.2,{86129D4F-8118-4DF3-9E44-35472BDDD29F},
618,003800,13121003800,38,ARC 10,349,123,35.2,48,0,0,272,116,42.6,29,7,24.1,{A2751663-0D86-4239-8290-FB4D2103A90F},
619,002500,13121002500,25,ARC 10,2155,841,39,448,242,54,1497,531,35.5,210,68,32.4,{57A4B319-7D9B-407E-A058-5D469E6E7C9E},
620,002300,13121002300,23,ARC 10,1244,349,28.1,206,71,34.5,771,217,28.1,267,61,22.8,{0FB48982-FD14-4A71-8A79-D0445551CDFE},
621,001608,13139001608,16.08,ARC 20,5586,465,8.3,1279,186,14.5,2767,216,7.8,1540,63,4.1,{7D4EC42A-CC25-4723-A2F7-70E5EEE75F90},
622,001603,13139001603,16.03,ARC 20,5313,551,10.4,1438,261,18.2,3384,250,7.4,491,40,8.1,{5BF22962-4190-40DA-914C-E50DFD44EDDF},
623,010118,13121010118,101.18,ARC 10,5434,1774,32.6,1661,871,52.4,3507,890,25.4,266,13,4.9,{82D44A22-6D77-4938-86B4-3D1A267335A9},
624,010113,13121010113,101.13,ARC 10,6748,1551,23,1467,681,46.4,5112,870,17,169,0,0,{32D071D7-60F5-46A6-9391-6854C1AD1CA5},
625,010115,13121010115,101.15,ARC 10,2126,13,0.6,421,0,0,1426,13,0.9,279,0,0,{A36E6A79-559E-4CC6-8FD7-22E92CCB3FB7},
626,010122,13121010122,101.22,ARC 10,6269,279,4.5,1162,0,0,4580,279,6.1,527,0,0,{CB8FA5AD-5FDB-4780-B478-131B76937005},
627,010114,13121010114,101.14,ARC 10,7349,723,9.8,2102,332,15.8,4420,391,8.8,827,0,0,{CC2C3DF4-D7C2-4C6F-8851-E6037895EA17},
628,000600,13121000600,6,ARC 10,4805,2318,48.2,154,58,37.7,4589,2235,48.7,62,25,40.3,{F78E2748-AF54-44F1-9052-B520F249F075},
629,006601,13121006601,66.01,ARC 10,2217,677,30.5,442,174,39.4,1629,491,30.1,146,12,8.2,{0A28735D-FB7B-4FDB-95AF-42BCB51315D5},
630,006602,13121006602,66.02,ARC 10,1359,817,60.1,462,346,74.9,814,430,52.8,83,41,49.4,{7A5EC48E-0EC7-4885-9189-4731B83D9BEA},
631,006200,13121006200,62,ARC 10,1475,375,25.4,374,176,47.1,993,187,18.8,108,12,11.1,{EACE860B-D791-4C6E-BB90-86ADE18949E3},
632,006100,13121006100,61,ARC 10,3672,1129,30.7,832,356,42.8,2270,638,28.1,570,135,23.7,{ADDF98FB-6C4C-4E60-BDAF-BB5407053CB6},
633,001600,13121001600,16,ARC 10,2090,233,11.1,166,0,0,1875,233,12.4,49,0,0,{C73E5CAA-22C3-44ED-8DC3-7B121FA53686},
634,003100,13121003100,31,ARC 10,1887,384,20.3,275,92,33.5,1513,275,18.2,99,17,17.2,{69C5DDE8-E4A5-41A1-B516-CDD60B461DCA},
635,006802,13121006802,68.02,ARC 10,1992,1679,84.3,1106,1014,91.7,829,620,74.8,57,45,78.9,{581DC03C-A7B0-416E-B829-19290AD8D15D},
636,007602,13121007602,76.02,ARC 10,2570,834,32.5,627,314,50.1,1503,439,29.2,440,81,18.4,{FE801F5B-671D-4218-AA10-563227A4990B},
637,001606,13139001606,16.06,ARC 20,3732,656,17.6,954,234,24.5,2402,402,16.7,376,20,5.3,{0D9C6EF1-2E1D-45AA-8400-CC1DB36EC21E},
638,001101,13139001101,11.01,ARC 20,4541,2192,48.3,1614,989,61.3,2720,1095,40.3,207,108,52.2,{5C93ED6C-FBC5-4F63-924B-C5FC7833E6AB},
639,001605,13139001605,16.05,ARC 20,5353,605,11.3,1545,316,20.5,3381,273,8.1,427,16,3.7,{90979BA5-FA99-4AEC-A946-48FA3C87AE4F},
640,001604,13139001604,16.04,ARC 20,6714,706,10.5,1999,231,11.6,4251,475,11.2,464,0,0,{9F4D6297-99F0-4E5C-8212-EE56072EABBD},
641,001502,13139001502,15.02,ARC 20,4929,499,10.1,1187,223,18.8,2992,262,8.8,750,14,1.9,{AA9AFA49-E09D-440D-BC50-AFDE96DD8D73},
642,001607,13139001607,16.07,ARC 20,4778,604,12.6,1095,98,8.9,2907,347,11.9,776,159,20.5,{97AA97A6-B72D-4DA8-A30B-E3038AF6AFF5},
643,001302,13139001302,13.02,ARC 20,5217,487,9.3,1217,155,12.7,3292,260,7.9,708,72,10.2,{BC6C21C7-A896-4EF6-950F-C105A4194423},
644,001301,13139001301,13.01,ARC 20,5986,1072,17.9,1738,497,28.6,3549,498,14,699,77,11,{DDFE3FD4-1784-44A4-9A8A-831B011975C1},
645,001403,13139001403,14.03,ARC 20,3619,721,19.9,972,260,26.7,2219,401,18.1,428,60,14,{50F00C02-06C4-405B-B53F-35E826A004BD},
646,001404,13139001404,14.04,ARC 20,5174,429,8.3,1284,145,11.3,3435,246,7.2,455,38,8.4,{43E3700E-D8FD-4777-88D0-C66FEF244B6B},
647,010212,13121010212,102.12,ARC 10,5021,1223,24.4,1307,419,32.1,3287,736,22.4,427,68,15.9,{685C23C6-BEB0-4832-9F99-C2FEA09FB581},
648,009802,13121009802,98.02,ARC 10,4484,238,5.3,1057,45,4.3,2592,193,7.4,835,0,0,{633E9B84-5AE9-422A-AAEC-ED2D7067C869},
649,009403,13121009403,94.03,ARC 10,4972,1056,21.2,585,48,8.2,4005,944,23.6,382,64,16.8,{9D37ED2F-5778-45A7-8DB4-FD1128A87BCB},
650,009404,13121009404,94.04,ARC 10,4821,274,5.7,696,0,0,3591,254,7.1,534,20,3.7,{DB2665FF-C06F-4216-B7EC-142CD052B0B0},
651,010001,13121010001,100.01,ARC 10,4504,125,2.8,1002,6,0.6,2976,62,2.1,526,57,10.8,{123852E4-4C42-4A1E-9F0D-DFF0376C9FDC},
652,009602,13121009602,96.02,ARC 10,4610,112,2.4,641,0,0,2842,79,2.8,1127,33,2.9,{ECC186C6-B0B5-463E-AFDB-7B9B43562743},
653,010002,13121010002,100.02,ARC 10,7343,68,0.9,1606,0,0,4635,47,1,1102,21,1.9,{C399E65D-A890-4D31-9DA2-BFB5CB96F6BF},
654,009502,13121009502,95.02,ARC 10,2847,214,7.5,522,0,0,1914,127,6.6,411,87,21.2,{B142B399-4753-46E8-8FD0-9DC7AC66740B},
655,008000,13121008000,80,ARC 10,5422,1531,28.2,1337,707,52.9,3065,719,23.5,1020,105,10.3,{A7DBC43E-44F1-4100-991B-42BB35633500},
656,003900,13121003900,39,ARC 10,1932,940,48.7,633,419,66.2,1098,453,41.3,201,68,33.8,{DE22EB5B-FB8C-4268-BB3A-90407569DAE2},
657,004100,13121004100,41,ARC 10,1891,492,26,556,133,23.9,1196,353,29.5,139,6,4.3,{4AD0E97E-6B10-4CF1-B6E6-AD693474946E},
658,002400,13121002400,24,ARC 10,2484,656,26.4,578,257,44.5,1540,376,24.4,366,23,6.3,{1E954665-C885-4B97-B018-E6FED03CFAAA},
659,004000,13121004000,40,ARC 10,2408,840,34.9,490,251,51.2,1573,535,34,345,54,15.7,{CDB5D80A-D7E2-4D23-81C9-43A6817C7589},
660,008400,13121008400,84,ARC 10,3058,1243,40.6,574,489,85.2,1922,685,35.6,562,69,12.3,{1AE58B8D-C170-4475-9B1E-53ABFA015F11},
661,008302,13121008302,83.02,ARC 10,1754,418,23.8,240,122,50.8,1182,248,21,332,48,14.5,{847334CE-7DB1-4E00-A15B-FA4E3961DE75},
662,008301,13121008301,83.01,ARC 10,2295,619,27,502,222,44.2,1385,369,26.6,408,28,6.9,{3B1E8E74-0F41-4638-9C05-905C2BAE2CAC},
663,007200,13121007200,72,ARC 10,2019,706,35,578,328,56.7,1244,348,28,197,30,15.2,{31ED8FF0-ABFB-4A4E-A24F-7736DEC90FD8},
664,001501,13139001501,15.01,ARC 20,4607,344,7.5,982,52,5.3,2867,239,8.3,758,53,7,{3C842AA3-D84B-44A9-8C02-4FFF58C41B5F},
665,001102,13139001102,11.02,ARC 20,4384,1577,36,1384,674,48.7,2655,825,31.1,345,78,22.6,{DAB91844-AA99-4DBA-AE6D-9BA5CBC0C6E7},
666,001201,13139001201,12.01,ARC 20,7106,2671,37.6,2301,1211,52.6,4355,1396,32.1,450,64,14.2,{55FB6314-517D-4B20-95E3-427E1B749DC4},
667,001004,13139001004,10.04,ARC 20,3195,698,21.8,748,249,33.3,2188,441,20.2,259,8,3.1,{542ECBC8-35F9-4493-BE38-B2FCC9AF0BAC},
668,001003,13139001003,10.03,ARC 20,6612,2930,44.3,2280,1337,58.6,4014,1436,35.8,318,157,49.4,{3787E085-BE5B-4423-9C64-ED4E64D45E29},
669,000305,13139000305,3.05,ARC 20,4885,372,7.6,1460,105,7.2,2961,233,7.9,464,34,7.3,{04C7E478-64E5-4012-AA41-C92A34F78AE2},
670,000304,13139000304,3.04,ARC 20,3482,712,20.4,838,240,28.6,2136,395,18.5,508,77,15.2,{8060281A-89F9-4C7D-A8BD-FE2A91E242BD},
671,000303,13139000303,3.03,ARC 20,2725,559,20.5,499,109,21.8,1376,342,24.9,850,108,12.7,{E59EEA0A-01CC-410F-90F1-431F010B369A},
672,000203,13139000203,2.03,ARC 20,4364,169,3.9,916,41,4.5,2693,67,2.5,755,61,8.1,{FE2AA6A8-AA80-491B-8E86-1D303CDBCBDE},
673,000204,13139000204,2.04,ARC 20,3987,505,12.7,1001,196,19.6,2342,270,11.5,644,39,6.1,{6E62BA1D-BB24-4D85-8959-5F2FA1E9D9F8},
674,160100,13255160100,1601,ARC 20,5788,731,12.6,1751,320,18.3,3277,365,11.1,760,46,6.1,{A8F96CE4-CAF9-4623-8183-7E8216227219},
675,160200,13255160200,1602,ARC 20,6264,882,14.1,1149,349,30.4,3564,467,13.1,1551,66,4.3,{773BBAF4-BABE-4D54-AA06-DBABF3D05B1C},
676,161000,13255161000,1610,ARC 20,5152,758,14.7,1187,227,19.1,3110,419,13.5,855,112,13.1,{CAA9BEC5-1176-4141-B4F9-946918D6431E},
677,161200,13255161200,1612,ARC 20,8515,1578,18.5,2131,709,33.3,4992,766,15.3,1392,103,7.4,{EDB7DF2D-D411-441C-8B50-38C132C9F6F2},
678,161100,13255161100,1611,ARC 20,3929,457,11.6,941,154,16.4,2264,273,12.1,724,30,4.1,{6867B236-432D-4A7C-9ACA-7D4608D0B5E4},
679,160900,13255160900,1609,ARC 20,2693,807,30,714,171,23.9,1650,572,34.7,329,64,19.5,{D7803A45-5BC5-4958-B62B-1BA6AB4992DD},
680,160800,13255160800,1608,ARC 20,4873,2522,51.8,1305,995,76.2,3054,1438,47.1,514,89,17.3,{6B1845E1-E9CD-4309-96C3-EC4B0DF33364},
681,160700,13255160700,1607,ARC 20,6665,2172,32.6,1900,917,48.3,4160,1083,26,605,172,28.4,{18A8BC00-51E0-4401-A114-0AE9C91F4C88},
682,160500,13255160500,1605,ARC 20,6303,694,11,1613,151,9.4,3760,429,11.4,930,114,12.3,{88C89406-6D5C-4903-B81E-82F76C590F57},
683,160400,13255160400,1604,ARC 20,5305,1697,32,1260,513,40.7,3346,1019,30.5,699,165,23.6,{513084FF-9808-4568-AB61-0586F7BE82B4},
684,160300,13255160300,1603,ARC 20,3212,1403,43.7,740,372,50.3,2004,900,44.9,468,131,28,{FF8F8211-2727-4AFA-B534-56696E5B28F8},
685,160600,13255160600,1606,ARC 20,3896,537,13.8,816,238,29.2,2373,239,10.1,707,60,8.5,{B2B16190-1699-4A97-8127-25D6DFE20A76},
686,080102,13097080102,801.02,ARC 10,7294,1227,16.8,1864,395,21.2,4841,773,16,589,59,10,{99741DDD-36D9-4A1F-A188-9323B1641470},
687,080602,13097080602,806.02,ARC 10,5518,628,11.4,1445,240,16.6,3615,374,10.3,458,14,3.1,{0540044B-1C86-47E3-ACE1-6470CC374DA4},
688,080508,13097080508,805.08,ARC 10,5209,466,8.9,1218,100,8.2,3422,326,9.5,569,40,7,{2D3AD859-1333-4ACD-9654-D353D39F03FB},
689,080510,13097080510,805.10,ARC 10,7705,1465,19,1794,397,22.1,5246,1040,19.8,665,28,4.2,{EAAF23B9-D90C-4094-AE75-B73D6D122860},
690,080509,13097080509,805.09,ARC 10,5750,566,9.8,1575,149,9.5,3450,379,11,725,38,5.2,{88B78F8D-9E8A-4C48-9413-C080F8C4BF4D},
691,170602,13077170602,1706.02,ARC 20,8733,274,3.1,2475,56,2.3,5215,202,3.9,1043,16,1.5,{1CF1DDFB-57DC-445A-A7DA-43BAB2EC2AEC},
692,170503,13077170503,1705.03,ARC 20,5815,579,10,1516,159,10.5,3685,400,10.9,614,20,3.3,{2E597ADC-55EF-4A48-970F-EDCB74B53AAE},
693,170501,13077170501,1705.01,ARC 20,6913,437,6.3,1508,137,9.1,4557,282,6.2,848,18,2.1,{20ED5EEF-D755-4349-A116-DE6E474F66ED},
694,170406,13077170406,1704.06,ARC 20,3626,95,2.6,942,26,2.8,2277,49,2.2,407,20,4.9,{D6A5DE0C-EEE3-4A77-91E3-E2CC260676CC},
695,170305,13077170305,1703.05,ARC 20,10264,3138,30.6,3040,1202,39.5,6344,1903,30,880,33,3.8,{92D87478-E1DB-4C43-A411-5A5ED14BB295},
696,170601,13077170601,1706.01,ARC 20,7498,2499,33.3,2757,1498,54.3,3622,952,26.3,1119,49,4.4,{CE25E8BD-5933-4C0A-BBFF-900CE00EA168},
697,170603,13077170603,1706.03,ARC 20,5124,443,8.6,1265,154,12.2,3343,274,8.2,516,15,2.9,{FFC011D0-8E34-438D-A810-DD88ECBB28C4},
698,170502,13077170502,1705.02,ARC 20,5987,464,7.8,1531,150,9.8,3915,282,7.2,541,32,5.9,{DCADEAEB-07DF-4527-A48A-DCAD1490E055},
699,170405,13077170405,1704.05,ARC 20,7352,679,9.2,1794,305,17,4703,346,7.4,855,28,3.3,{119DFC5F-1C19-4EE5-8AEF-B93836F1D4AD},
700,170404,13077170404,1704.04,ARC 20,5815,117,2,1326,21,1.6,3756,96,2.6,733,0,0,{54E21859-1ED7-421E-9A4C-940C320F23B2},
