OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_PovertyStatus_Determined,Population_in_poverty,Percent_Population_in_poverty,Pop_under18_PovStatus_Determine,Pop_under18_inPoverty,Pct_Pop_u18_in_Poverty,Pop_18_64_PovStatus_Determ,Pop_18_64_Years_in_Poverty,Pct_Pop_18_64_Years_inPoverty,Pop_65older_PovStatusDetermined,Pop_65older_in_Poverty,Pct_Pop_65older_inPoverty,GlobalID,last_edited_date
445,007002,13121007002,70.02,ARC 10,1888,721,38.2,478,268,56.1,1306,435,33.3,104,18,17.3,{0272C921-50D9-4C52-A23F-942A5A9B0F12},
446,011301,13121011301,113.01,ARC 10,4230,950,22.5,684,218,31.9,2788,598,21.4,758,134,17.7,{905C008F-8AD5-4F00-84FB-9E4C13B0F1B6},
447,001202,13139001202,12.02,ARC 20,6721,1368,20.4,2268,566,25,3897,747,19.2,556,55,9.9,{7BA8C8A5-09C4-49CF-BD3A-90CF7EF7789A},
448,000101,13139000101,1.01,ARC 20,4585,494,10.8,1133,137,12.1,2727,294,10.8,725,63,8.7,{DA22CD8C-DB71-4668-B474-201668104C86},
449,000701,13139000701,7.01,ARC 20,6355,1222,19.2,2070,394,19,3783,658,17.4,502,170,33.9,{19C1253D-893D-4206-8ACC-9D7FF39232D0},
450,000702,13139000702,7.02,ARC 20,5645,1336,23.7,1776,628,35.4,3531,680,19.3,338,28,8.3,{A2FA5927-6F1F-4783-B528-67B189D06739},
451,000102,13139000102,1.02,ARC 20,3455,439,12.7,733,90,12.3,2166,275,12.7,556,74,13.3,{F75F4767-779A-4855-A00B-DBD09143270D},
452,000201,13139000201,2.01,ARC 20,5691,1806,31.7,1600,862,53.9,3292,839,25.5,799,105,13.1,{A74EE6B0-2D47-41DE-B9BA-B65A1DC2CCB7},
453,000302,13139000302,3.02,ARC 20,6840,440,6.4,1429,99,6.9,4234,317,7.5,1177,24,2,{EB65F382-2A9F-4E06-B6BF-21527EA8B45F},
454,000900,13139000900,9,ARC 20,5214,1072,20.6,1304,580,44.5,2934,404,13.8,976,88,9,{32A57354-7021-4B89-BDD2-9CCE4AB99454},
455,000500,13139000500,5,ARC 20,7083,865,12.2,1666,407,24.4,4124,354,8.6,1293,104,8,{6AC44213-707B-4F0D-B335-E549EA591C00},
456,001402,13139001402,14.02,ARC 20,5534,623,11.3,1221,239,19.6,3552,383,10.8,761,1,0.1,{71DA2A83-6ECC-4A76-B3CD-633F0E56C222},
457,001002,13139001002,10.02,ARC 20,6868,1302,19,1624,544,33.5,4268,688,16.1,976,70,7.2,{DDF8E8A3-8A4C-452C-B5BF-20925AA6032F},
458,000800,13139000800,8,ARC 20,2973,1352,45.5,918,558,60.8,1617,692,42.8,438,102,23.3,{8A426A47-B352-466C-9A27-0B3B85EBF510},
459,000600,13139000600,6,ARC 20,5453,1421,26.1,1497,544,36.3,2922,646,22.1,1034,231,22.3,{A38FFABC-4E14-4BB6-9F1B-F89D56E5DEA1},
460,000400,13139000400,4,ARC 20,6706,856,12.8,1913,327,17.1,3609,411,11.4,1184,118,10,{D647DF77-2937-46B9-A306-0782345B8AB0},
461,007604,13121007604,76.04,ARC 10,2331,1371,58.8,506,476,94.1,1573,842,53.5,252,53,21,{490BB585-5B95-4D2D-95FA-C6B7D732323D},
462,007704,13121007704,77.04,ARC 10,5317,1637,30.8,1387,707,51,3430,877,25.6,500,53,10.6,{8ED4C9ED-46C3-4465-9EED-E6D60593BBCD},
463,007603,13121007603,76.03,ARC 10,4430,2456,55.4,1178,899,76.3,2705,1360,50.3,547,197,36,{DDE21AAD-9FE5-4A62-AC60-41B255E64A04},
464,011427,13121011427,114.27,ARC 10,7780,132,1.7,1983,0,0,4927,70,1.4,870,62,7.1,{E3F5EEE3-D1A1-4192-A356-347FCF64ABE7},
465,011616,13121011616,116.16,ARC 10,4917,277,5.6,1145,51,4.5,3513,200,5.7,259,26,10,{88980A77-CAEB-4A59-9051-91C99DF68CBA},
466,011617,13121011617,116.17,ARC 10,7678,239,3.1,1837,58,3.2,4978,111,2.2,863,70,8.1,{D66E9F76-BC55-4453-A9DA-96AFACA92255},
467,011611,13121011611,116.11,ARC 10,7168,788,11,1640,280,17.1,4371,413,9.4,1157,95,8.2,{910ED957-3D7A-4463-A935-05354C0E887D},
