OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Population_16_years_and_over,Civilian_Labor_Force,Percent_Civilian_Labor_Force,Pct_Unemp_Civil_Lab_Force,Percent_Percent_Unemployed__Civ,GlobalID,last_edited_date
840,021812,13089021812,218.12,ARC 10,1815,1192,65.7,69,5.8,{5069F2A8-B01F-499F-93A3-B63106D9E1AE},
841,021214,13089021214,212.14,ARC 10,4594,2686,58.5,94,3.5,{7C57F6AB-0F96-4651-9CFB-658D9392752D},
842,021810,13089021810,218.10,ARC 10,4372,3018,69,222,7.4,{51546470-3D2D-46E4-8CEC-410EC500E440},
843,021809,13089021809,218.09,ARC 10,5346,3279,61.3,309,9.4,{DC1DDE15-5F22-41C0-85A8-15CD77CDDF5B},
844,021808,13089021808,218.08,ARC 10,3871,2583,66.7,221,8.6,{82D408C6-882A-4691-B621-81BFD41F53B1},
845,021806,13089021806,218.06,ARC 10,4565,3080,67.5,495,16.1,{3C428B2E-717D-444B-9F54-B5ED99871050},
846,021805,13089021805,218.05,ARC 10,4696,3390,72.2,342,10.1,{7F8AF895-44D5-4345-B72F-99DA4DB5B888},
847,021704,13089021704,217.04,ARC 10,4376,2930,67,85,2.9,{AE56B401-C36F-43D3-A0B5-5E0CDA00447C},
848,021703,13089021703,217.03,ARC 10,3958,2477,62.6,248,10,{88CE349B-1F56-4F1C-9115-30720BCB220B},
849,021705,13089021705,217.05,ARC 10,4003,2824,70.5,155,5.5,{29D30373-0267-40DB-8CFC-0A252C9F2DB2},
850,021908,13089021908,219.08,ARC 10,4226,2668,63.1,522,19.6,{66C8CC53-F51C-4220-B7D8-44955F9B29ED},
851,023309,13089023309,233.09,ARC 10,7034,5241,74.5,572,10.9,{FF24653D-3F8A-4677-B5C8-52067E2820A2},
852,023211,13089023211,232.11,ARC 10,2436,1712,70.3,263,15.4,{ACABB25E-EDEA-4496-A193-D9E03C82905F},
853,023212,13089023212,232.12,ARC 10,2935,2213,75.4,373,16.9,{52C05294-034B-41F2-8BC1-92917C838D7C},
854,023306,13089023306,233.06,ARC 10,5470,3880,70.9,546,14.1,{8AFAEBE5-74BE-4629-9FCC-503CB89CBAEF},
855,023303,13089023303,233.03,ARC 10,4751,3036,63.9,315,10.4,{725C679D-E942-45A1-99FC-E3597B050E3F},
856,021706,13089021706,217.06,ARC 10,4561,3299,72.3,118,3.6,{F0BE3380-5837-4673-852A-81896F830C9A},
857,021211,13089021211,212.11,ARC 10,3808,2294,60.2,114,5,{B8ADB3F1-2630-4F75-BF12-226A8AEBD1E2},
858,021210,13089021210,212.10,ARC 10,4186,2674,63.9,178,6.7,{9AD3E2C0-40E3-4E69-ABD9-A1DE18072885},
859,021213,13089021213,212.13,ARC 10,2447,1469,60,66,4.5,{A7F9D7A0-A9A5-4881-BE02-B5925EE84FAE},
860,021303,13089021303,213.03,ARC 10,4651,3307,71.1,377,11.4,{66303169-C5EA-468F-83B1-853C3F9D7DEC},
861,021301,13089021301,213.01,ARC 10,3351,2576,76.9,134,5.2,{5069D0D2-E323-4051-B166-B4A25BC096B4},
862,021209,13089021209,212.09,ARC 10,5101,3275,64.2,122,3.7,{03CDD1BC-51F2-413D-BE66-F4451726C3DA},
863,021405,13089021405,214.05,ARC 10,3440,2951,85.8,108,3.7,{F9FA37D6-EE18-4FC7-9BED-0800FDB8F4A2},
864,021208,13089021208,212.08,ARC 10,3354,2562,76.4,260,10.1,{3D13642D-1831-41AC-83A2-1B78190F12EB},
865,021204,13089021204,212.04,ARC 10,2953,2360,79.9,181,7.7,{73DE9425-45C9-4CDA-AEF1-F576B2DCCBC4},
866,021202,13089021202,212.02,ARC 10,5843,3914,67,281,7.2,{74F13A1B-57C3-4E1A-9384-41467F91160D},
867,023210,13089023210,232.10,ARC 10,5260,3819,72.6,828,21.7,{7961711A-A4A5-4686-8A09-C143865492BA},
868,023209,13089023209,232.09,ARC 10,4350,2883,66.3,490,17,{AF63DDEC-693C-4013-AB39-12BECBF9CC93},
869,023603,13089023603,236.03,ARC 10,2757,1475,53.5,364,24.7,{1F668C8F-DE53-4A49-A2AB-FF7A6738B2A2},
870,021603,13089021603,216.03,ARC 10,4092,3277,80.1,175,5.3,{914C57B1-7DF2-4FEB-AC55-EFFE6D0F9DA3},
871,090905,13057090905,909.05,ARC 10,2857,2144,75,92,4.3,{EEB000FD-D422-4A6C-8584-22E444814828},
872,090904,13057090904,909.04,ARC 10,6649,4798,72.2,365,7.6,{411C204A-579D-4235-AB93-5A2F989EF86A},
873,091007,13057091007,910.07,ARC 10,4899,3268,66.7,285,8.7,{F7D40294-4CDC-449D-8CD1-E5555970F320},
874,090803,13057090803,908.03,ARC 10,7637,4963,65,250,5,{1D5FC832-90DD-458B-81F1-64A924D0ACAB},
875,090804,13057090804,908.04,ARC 10,7227,5309,73.5,372,7,{2AD53120-9675-451B-A766-9E301C75DCD4},
876,091008,13057091008,910.08,ARC 10,6291,4490,71.4,142,3.2,{C19736E5-A73E-4287-81EF-D79230C6A631},
877,090802,13057090802,908.02,ARC 10,5297,3433,64.8,176,5.1,{A0C039CD-50A4-4CD0-8415-BF80DE6DB42F},
878,090501,13057090501,905.01,ARC 10,5024,3318,66,253,7.6,{02BA751D-055F-41DF-9EEC-ADE75C27050B},
879,090902,13057090902,909.02,ARC 10,10574,8017,75.8,376,4.7,{4E941C65-E054-4DA0-AD79-9F1337883F74},
880,091001,13057091001,910.01,ARC 10,3265,2166,66.3,130,6,{1105B1FD-4302-46B6-937C-93746635943A},
881,091003,13057091003,910.03,ARC 10,6221,4305,69.2,477,11.1,{1F4B5B5B-311D-4878-B134-1FD93A677A21},
