OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,U_S__Native,Percent_U_S__Native,USnative_Born_in_US,Pct_USnative_Born_US,USnative_Born_State_Resid,Pct_USnative_Born_State_Resid,US_Native_Born_Diff_State,Pct_US_Natv_Born_inDiff_State,Foreign_Born,Percent_Foreign_Born,ForBorn_Nat_UScitizen,Pct_ForBorn_Nat_UScitizen,ForeignBorn_notUS_Citizen,Pct_ForBorn_notUS_Citizen,GlobalID,last_edited_date
685,160600,13255160600,1606,ARC 20,3818,98,3782,97.1,2920,74.9,862,22.1,78,2,52,66.7,26,33.3,{B2B16190-1699-4A97-8127-25D6DFE20A76},
686,080102,13097080102,801.02,ARC 10,6137,83.1,6056,82,2948,39.9,3108,42.1,1244,16.9,512,41.2,732,58.8,{99741DDD-36D9-4A1F-A188-9323B1641470},
687,080602,13097080602,806.02,ARC 10,5418,96.9,5344,95.6,3223,57.7,2121,37.9,172,3.1,103,59.9,69,40.1,{0540044B-1C86-47E3-ACE1-6470CC374DA4},
688,080508,13097080508,805.08,ARC 10,4753,91.2,4714,90.5,2722,52.3,1992,38.2,456,8.8,272,59.6,184,40.4,{2D3AD859-1333-4ACD-9654-D353D39F03FB},
689,080510,13097080510,805.10,ARC 10,6808,88.4,6713,87.1,3962,51.4,2751,35.7,897,11.6,543,60.5,354,39.5,{EAAF23B9-D90C-4094-AE75-B73D6D122860},
690,080509,13097080509,805.09,ARC 10,5455,94.9,5409,94.1,2616,45.5,2793,48.6,295,5.1,134,45.4,161,54.6,{88B78F8D-9E8A-4C48-9413-C080F8C4BF4D},
691,170602,13077170602,1706.02,ARC 20,8137,93.2,7824,89.6,3386,38.8,4438,50.8,596,6.8,147,24.7,449,75.3,{1CF1DDFB-57DC-445A-A7DA-43BAB2EC2AEC},
692,170503,13077170503,1705.03,ARC 20,5545,95.4,5412,93.1,2764,47.5,2648,45.5,270,4.6,132,48.9,138,51.1,{2E597ADC-55EF-4A48-970F-EDCB74B53AAE},
693,170501,13077170501,1705.01,ARC 20,6503,94.1,6466,93.5,3707,53.6,2759,39.9,410,5.9,258,62.9,152,37.1,{20ED5EEF-D755-4349-A116-DE6E474F66ED},
694,170406,13077170406,1704.06,ARC 20,3509,96.6,3459,95.2,1866,51.3,1593,43.8,125,3.4,113,90.4,12,9.6,{D6A5DE0C-EEE3-4A77-91E3-E2CC260676CC},
695,170305,13077170305,1703.05,ARC 20,8944,84.5,8898,84.1,5622,53.1,3276,31,1639,15.5,414,25.3,1225,74.7,{92D87478-E1DB-4C43-A411-5A5ED14BB295},
696,170601,13077170601,1706.01,ARC 20,6886,91.8,6886,91.8,5659,75.5,1227,16.4,612,8.2,67,10.9,545,89.1,{CE25E8BD-5933-4C0A-BBFF-900CE00EA168},
697,170603,13077170603,1706.03,ARC 20,4733,92.4,4709,91.9,2902,56.6,1807,35.3,391,7.6,170,43.5,221,56.5,{FFC011D0-8E34-438D-A810-DD88ECBB28C4},
698,170502,13077170502,1705.02,ARC 20,5912,98.4,5907,98.4,4135,68.8,1772,29.5,94,1.6,41,43.6,53,56.4,{DCADEAEB-07DF-4527-A48A-DCAD1490E055},
699,170405,13077170405,1704.05,ARC 20,6936,94.1,6742,91.5,3416,46.4,3326,45.1,432,5.9,196,45.4,236,54.6,{119DFC5F-1C19-4EE5-8AEF-B93836F1D4AD},
700,170404,13077170404,1704.04,ARC 20,5571,95.5,5524,94.7,2754,47.2,2770,47.5,260,4.5,162,62.3,98,37.7,{54E21859-1ED7-421E-9A4C-940C320F23B2},
701,170403,13077170403,1704.03,ARC 20,4295,96,4177,93.4,2330,52.1,1847,41.3,177,4,146,82.5,31,17.5,{18CA0440-A0B8-47EC-9197-DF4B2AD78810},
702,170306,13077170306,1703.06,ARC 20,7770,95,7579,92.7,4151,50.8,3428,41.9,407,5,210,51.6,197,48.4,{1D02CF88-9DAA-45F7-B21B-EB9CEA86B214},
703,080603,13097080603,806.03,ARC 10,4934,82.5,4790,80,2182,36.5,2608,43.6,1050,17.5,377,35.9,673,64.1,{89DD7209-3D7B-4401-BBB7-95AD98B08D88},
704,080511,13097080511,805.11,ARC 10,8374,93.9,8238,92.4,4499,50.5,3739,41.9,542,6.1,197,36.3,345,63.7,{12C5E076-68FC-4C3A-81C3-473B0826F55B},
705,080304,13097080304,803.04,ARC 10,4840,90.7,4836,90.6,2696,50.5,2140,40.1,497,9.3,371,74.6,126,25.4,{5C360719-E171-439D-8142-0B8459581DEC},
706,080404,13097080404,804.04,ARC 10,7295,84.7,7224,83.8,4271,49.6,2953,34.3,1322,15.3,569,43,753,57,{C3D64B6E-422D-4A21-B924-58BA4047932C},
707,080303,13097080303,803.03,ARC 10,3619,92.4,3560,90.9,1939,49.5,1621,41.4,297,7.6,105,35.4,192,64.6,{B1570DA9-0DF5-4433-B395-394AD1C32CE9},
708,080403,13097080403,804.03,ARC 10,4529,92.6,4487,91.8,3215,65.7,1272,26,361,7.4,282,78.1,79,21.9,{C6020C32-3DCC-4C90-8A6A-F2E9BB0350D0},
709,080103,13097080103,801.03,ARC 10,6205,89.2,5991,86.1,3161,45.4,2830,40.7,750,10.8,328,43.7,422,56.3,{684512B8-BC0E-4C2E-98B7-F8B324BBF330},
710,080604,13097080604,806.04,ARC 10,9143,94,9010,92.6,5681,58.4,3329,34.2,585,6,265,45.3,320,54.7,{DF5B45FE-7FF7-48D0-B90F-868651C9567A},
711,170304,13077170304,1703.04,ARC 20,6452,95.7,6396,94.8,4155,61.6,2241,33.2,292,4.3,116,39.7,176,60.3,{48886F81-8EA2-4497-8BB9-C2AD6552ADF0},
712,170303,13077170303,1703.03,ARC 20,5090,97.6,5017,96.2,2757,52.9,2260,43.3,124,2.4,88,71,36,29,{71AB59BD-C7F1-44E6-827D-9A7198727D10},
713,170802,13077170802,1708.02,ARC 20,4349,98.3,4331,97.9,3074,69.5,1257,28.4,74,1.7,61,82.4,13,17.6,{E8930194-748E-4EC2-B642-3EAFFE907E06},
714,170801,13077170801,1708.01,ARC 20,5353,95.6,5254,93.9,3824,68.3,1430,25.5,245,4.4,49,20,196,80,{5319CB40-C338-4407-ADA0-3665ACCCB0FF},
715,170700,13077170700,1707,ARC 20,6836,98.7,6820,98.5,5288,76.4,1532,22.1,89,1.3,37,41.6,52,58.4,{C04EF1DC-BD63-4A55-AE07-87ACFA02EB40},
716,170402,13077170402,1704.02,ARC 20,8735,89.3,8627,88.2,4928,50.4,3699,37.8,1042,10.7,395,37.9,647,62.1,{E7568161-3487-4772-B9A5-0AB848719379},
717,170200,13077170200,1702,ARC 20,6726,96.6,6686,96,5088,73.1,1598,23,235,3.4,60,25.5,175,74.5,{865D6499-D5FF-42F5-9A67-D8E7D666D433},
718,170100,13077170100,1701,ARC 20,7488,98.3,7412,97.3,5516,72.4,1896,24.9,132,1.7,22,16.7,110,83.3,{1D142793-0F65-4D78-8476-11B6AD095DC4},
719,080201,13097080201,802.01,ARC 10,5590,96.2,5509,94.8,3699,63.7,1810,31.1,221,3.8,77,34.8,144,65.2,{C1DDD105-C17C-4320-97B1-0D752AA86599},
720,080506,13097080506,805.06,ARC 10,5344,97.7,5322,97.3,3771,68.9,1551,28.3,128,2.3,80,62.5,48,37.5,{E4AFDBCB-BE69-4290-A326-E399EDC2450C},
721,080505,13097080505,805.05,ARC 10,4604,94.9,4564,94,2634,54.3,1930,39.8,249,5.1,78,31.3,171,68.7,{4A517074-9638-4FA7-82CC-DEA9C06080E6},
722,080202,13097080202,802.02,ARC 10,9249,90.2,9161,89.3,5276,51.4,3885,37.9,1008,9.8,219,21.7,789,78.3,{5992266A-8B44-4C25-A1A2-987C4A9D1BDC},
723,080507,13097080507,805.07,ARC 10,3540,96.3,3505,95.4,1676,45.6,1829,49.8,135,3.7,108,80,27,20,{E6C7A692-37D3-4440-9275-8FF56A09BADC},
724,080402,13097080402,804.02,ARC 10,7825,96.2,7739,95.2,4906,60.3,2833,34.8,305,3.8,294,96.4,11,3.6,{D4B25322-E150-425B-94BA-2E8CE126F13E},
725,080301,13097080301,803.01,ARC 10,11625,94.2,11518,93.3,7301,59.1,4217,34.2,719,5.8,366,50.9,353,49.1,{0B8AF8E5-23AF-46DF-A6A5-1FBA59A65B9A},
726,980000,13089980000,9800,ARC 10,0,,0,,0,,0,,0,,0,,0,,{60D71407-FAD0-47D6-BDA7-9AB075F8C5F4},
727,023428,13089023428,234.28,ARC 10,9150,94.2,9036,93,4252,43.8,4784,49.2,568,5.8,330,58.1,238,41.9,{E47DB099-924E-43B5-9F18-3F3D85527CAB},
728,023426,13089023426,234.26,ARC 10,4418,91.6,4392,91,2379,49.3,2013,41.7,407,8.4,308,75.7,99,24.3,{D921AA50-A68B-46D2-B44E-31EC9AD61158},
729,021502,13089021502,215.02,ARC 10,3931,85.8,3808,83.1,1454,31.7,2354,51.4,651,14.2,215,33,436,67,{A1CBE805-7C1E-43C9-8CD7-CB98F6393539},
730,022302,13089022302,223.02,ARC 10,3807,83.2,3685,80.6,1936,42.3,1749,38.2,767,16.8,376,49,391,51,{94AFE53A-1BFA-4F8E-8370-057E6CCAFBFF},
731,022007,13089022007,220.07,ARC 10,1820,44.3,1795,43.7,1041,25.4,754,18.4,2284,55.7,404,17.7,1880,82.3,{D465876D-F9DD-4F43-B1C0-6BA53BA52817},
732,021602,13089021602,216.02,ARC 10,3528,88.1,3394,84.8,1367,34.1,2027,50.6,476,11.9,218,45.8,258,54.2,{342A74EB-7721-4A85-B5FC-D94FCCD03CC0},
733,023803,13089023803,238.03,ARC 10,5073,95.4,5040,94.7,3706,69.7,1334,25.1,247,4.6,111,44.9,136,55.1,{B3521A43-4B18-48AB-BE3A-8A7CDA1B2A9F},
734,022402,13089022402,224.02,ARC 10,4424,77.3,4282,74.9,990,17.3,3292,57.6,1296,22.7,483,37.3,813,62.7,{052B8CD6-F1CE-45B0-A18D-6DCDA69D408A},
735,022700,13089022700,227,ARC 10,4220,94.9,4138,93.1,2159,48.6,1979,44.5,226,5.1,102,45.1,124,54.9,{4BEE1235-E782-40CB-B3AD-7899818A91BF},
736,022403,13089022403,224.03,ARC 10,3693,92.6,3654,91.6,1696,42.5,1958,49.1,295,7.4,146,49.5,149,50.5,{A07D37C1-1A0F-4874-9C3B-83083F3F057A},
737,023425,13089023425,234.25,ARC 10,5599,96.9,5584,96.6,3348,57.9,2236,38.7,180,3.1,169,93.9,11,6.1,{A4A6C17E-F273-471B-9624-B1141B8F0601},
738,022204,13089022204,222.04,ARC 10,4301,61.2,4225,60.2,2669,38,1556,22.2,2722,38.8,499,18.3,2223,81.7,{53C01E0D-2F44-4AB3-9F46-0529045CFA0B},
739,023423,13089023423,234.23,ARC 10,7062,94.1,7004,93.3,4508,60.1,2496,33.2,445,5.9,278,62.5,167,37.5,{0B85B2FE-16CD-4675-9483-B99448CF16C9},
740,023419,13089023419,234.19,ARC 10,8832,92.9,8677,91.3,6256,65.8,2421,25.5,673,7.1,344,51.1,329,48.9,{F064EBE8-7842-43B0-8455-E8014651F7E3},
741,023312,13089023312,233.12,ARC 10,7841,85.2,7417,80.6,3681,40,3736,40.6,1361,14.8,887,65.2,474,34.8,{08984DBA-62BE-493B-B2A1-6534FBFA0702},
742,023311,13089023311,233.11,ARC 10,4676,93.5,4570,91.4,2434,48.7,2136,42.7,323,6.5,223,69,100,31,{C9A75897-FF0C-417E-A883-636585EE0096},
743,023213,13089023213,232.13,ARC 10,4944,82.6,4834,80.8,2825,47.2,2009,33.6,1039,17.4,795,76.5,244,23.5,{DBBA91C2-00FF-4724-B3D6-BF3B592AA2F0},
744,022301,13089022301,223.01,ARC 10,4870,82.7,4766,80.9,2294,38.9,2472,42,1020,17.3,336,32.9,684,67.1,{C1C809F1-BAA8-4A3D-B703-17177BBA8333},
745,023602,13089023602,236.02,ARC 10,2556,98.6,2547,98.3,2007,77.5,540,20.8,35,1.4,31,88.6,4,11.4,{67A06F3E-BBAB-42F4-9FAC-131D6CAAD167},
746,023504,13089023504,235.04,ARC 10,2891,95.4,2891,95.4,2449,80.9,442,14.6,138,4.6,15,10.9,123,89.1,{2C8C00E0-3D7C-40E9-AAEA-7C341B990BA3},
747,023411,13089023411,234.11,ARC 10,3892,98.5,3817,96.6,2844,72,973,24.6,60,1.5,21,35,39,65,{CB3203D6-2927-4297-95D6-AFF72FDE9514},
748,023410,13089023410,234.10,ARC 10,2886,92.1,2886,92.1,2025,64.7,861,27.5,246,7.9,150,61,96,39,{536099EF-BC8A-42A5-BF1E-B6C8B59CDDE9},
749,023501,13089023501,235.01,ARC 10,3271,99.1,3261,98.8,2383,72.2,878,26.6,29,0.9,29,100,0,0,{0FEB1B8A-A8B4-4F5A-83B8-61D350BD256A},
750,023114,13089023114,231.14,ARC 10,1955,80.1,1934,79.3,1058,43.4,876,35.9,485,19.9,413,85.2,72,14.8,{3C29774B-7AE7-4B8B-8B0F-0E7FBF72BAD6},
751,023112,13089023112,231.12,ARC 10,3862,90.6,3825,89.7,2303,54,1522,35.7,403,9.4,154,38.2,249,61.8,{4D1FBA27-820E-4E61-8551-FC3A8E733586},
752,021912,13089021912,219.12,ARC 10,3044,88,2976,86,1353,39.1,1623,46.9,415,12,163,39.3,252,60.7,{75712095-3A1B-4F0B-AF58-C0D9BCD2634B},
753,021910,13089021910,219.10,ARC 10,3688,76.5,3672,76.2,1415,29.4,2257,46.8,1132,23.5,662,58.5,470,41.5,{86B69385-5A14-48EC-A847-F9FD0FE645FA},
754,021604,13089021604,216.04,ARC 10,2848,90.8,2779,88.6,1238,39.5,1541,49.1,289,9.2,244,84.4,45,15.6,{F6EA0556-07DE-4DF4-8415-C4B4DD0C99D3},
755,021504,13089021504,215.04,ARC 10,4015,79.4,3958,78.3,951,18.8,3007,59.5,1041,20.6,376,36.1,665,63.9,{BD7894A4-C9EF-498D-9BE0-C2C5FEB0EF26},
756,021503,13089021503,215.03,ARC 10,2671,63,2589,61,965,22.7,1624,38.3,1571,37,361,23,1210,77,{43E234D1-1402-4B25-A6AE-3852ED919CA6},
757,023107,13089023107,231.07,ARC 10,4285,95,4277,94.9,2954,65.5,1323,29.3,224,5,88,39.3,136,60.7,{2E751C77-E05D-4C27-AB19-5D9CCFA9F4B7},
758,023418,13089023418,234.18,ARC 10,17931,92.8,17007,88,8713,45.1,8294,42.9,1392,7.2,489,35.1,903,64.9,{807D8DE2-2318-4525-B934-170E93FAD7AD},
759,023101,13089023101,231.01,ARC 10,4360,94.8,4347,94.5,2938,63.9,1409,30.6,239,5.2,117,49,122,51,{D108389D-94EB-418B-8B54-C75ABF3EF5FB},
760,022401,13089022401,224.01,ARC 10,3673,93.1,3635,92.2,1440,36.5,2195,55.7,271,6.9,87,32.1,184,67.9,{A92B564B-D8CC-4AC4-9582-B47B2F48F61D},
761,020900,13089020900,209,ARC 10,5608,98.4,5568,97.7,3743,65.7,1825,32,92,1.6,35,38,57,62,{74607ECC-9B68-4262-8AB4-016BC5E34076},
762,020700,13089020700,207,ARC 10,2184,97.3,2157,96.1,1244,55.4,913,40.7,61,2.7,43,70.5,18,29.5,{E5D11F6E-C58F-462E-A048-0BC236DDEDD9},
763,020600,13089020600,206,ARC 10,1965,95.9,1954,95.4,1249,61,705,34.4,84,4.1,10,11.9,74,88.1,{AA3FAD85-4E79-4E97-82E7-1D463EE5791B},
764,020500,13089020500,205,ARC 10,2693,92.4,2673,91.7,1554,53.3,1119,38.4,222,7.6,200,90.1,22,9.9,{6E0996CC-7A60-4D12-9888-6E3076417658},
765,021410,13089021410,214.10,ARC 10,3381,62.9,3317,61.7,1922,35.8,1395,26,1991,37.1,249,12.5,1742,87.5,{62382584-1198-4214-A1A1-F408BDB2927E},
766,021216,13089021216,212.16,ARC 10,6584,77.1,6518,76.3,2707,31.7,3811,44.6,1956,22.9,572,29.2,1384,70.8,{5FD48EC9-6D6F-42B1-A1B4-423AD982B050},
767,021911,13089021911,219.11,ARC 10,2047,93.5,2024,92.5,1144,52.3,880,40.2,142,6.5,25,17.6,117,82.4,{0B094A0B-E1B3-49E7-940C-ADF8AD6AC158},
768,020802,13089020802,208.02,ARC 10,4111,96.6,4040,94.9,2624,61.6,1416,33.3,146,3.4,58,39.7,88,60.3,{4AF626B3-D3E6-400D-8035-4144F9DDF399},
769,021416,13089021416,214.16,ARC 10,1582,61,1551,59.8,1008,38.9,543,20.9,1010,39,213,21.1,797,78.9,{E6DA9E1C-A8A6-4327-BEA1-C34898E8E61E},
770,021413,13089021413,214.13,ARC 10,2199,49.1,2186,48.8,1705,38,481,10.7,2282,50.9,139,6.1,2143,93.9,{1ADA7043-5C1D-4B3E-A626-E861097B1690},
771,021411,13089021411,214.11,ARC 10,3068,86.4,3052,86,1254,35.3,1798,50.6,482,13.6,191,39.6,291,60.4,{3801F169-96B1-420A-89BC-4FCE19320A92},
772,020400,13089020400,204,ARC 10,2334,90.3,2263,87.5,935,36.2,1328,51.4,251,9.7,138,55,113,45,{BC7C7841-1E07-42D5-A9AE-8002A39E629D},
773,020300,13089020300,203,ARC 10,3495,91.5,3478,91.1,1368,35.8,2110,55.3,324,8.5,196,60.5,128,39.5,{47A341BE-7EF5-4455-A2D2-F51103AB8020},
774,020100,13089020100,201,ARC 10,1790,93.8,1781,93.3,731,38.3,1050,55,118,6.2,70,59.3,48,40.7,{B9C3FEC0-A676-43A7-A367-003DC71B9041},
775,023802,13089023802,238.02,ARC 10,4851,97.1,4764,95.3,2988,59.8,1776,35.5,146,2.9,30,20.5,116,79.5,{0EF639E1-FA8D-4EB6-B9BB-DCA7EFE00753},
776,023801,13089023801,238.01,ARC 10,3433,95.8,3419,95.4,2195,61.2,1224,34.1,152,4.2,29,19.1,123,80.9,{41F19E31-B3A5-4C36-A584-4BA86DA8D21C},
777,023700,13089023700,237,ARC 10,5537,97,5504,96.5,3993,70,1511,26.5,169,3,43,25.4,126,74.6,{739AD856-A125-40F9-88D7-49A8306AD506},
778,023506,13089023506,235.06,ARC 10,5798,97.2,5798,97.2,4452,74.6,1346,22.6,169,2.8,127,75.1,42,24.9,{53C5081A-9E1C-42D8-83B9-C825824B41B1},
779,023505,13089023505,235.05,ARC 10,2410,97.5,2410,97.5,1679,67.9,731,29.6,61,2.5,27,44.3,34,55.7,{819C82F6-C1E5-495E-A1F0-3F9793E8FFD8},
780,023427,13089023427,234.27,ARC 10,2657,93.6,2619,92.3,1609,56.7,1010,35.6,181,6.4,168,92.8,13,7.2,{7820B576-D251-410C-9C10-81E2B1BA2C55},
781,023424,13089023424,234.24,ARC 10,5369,91.1,5297,89.9,3712,63,1585,26.9,525,8.9,400,76.2,125,23.8,{5D9400CE-1E0F-44D0-86DE-D4B8463AED08},
782,023422,13089023422,234.22,ARC 10,4703,95.2,4679,94.7,2953,59.8,1726,34.9,236,4.8,212,89.8,24,10.2,{34C24BF4-72F5-49DE-A450-167D38D1DE4F},
783,023421,13089023421,234.21,ARC 10,7749,97.7,7737,97.6,5159,65.1,2578,32.5,180,2.3,133,73.9,47,26.1,{F5F3FB26-61C2-409C-A1AF-CCDA2B88D8FB},
784,023315,13089023315,233.15,ARC 10,4142,87.1,3989,83.9,2109,44.4,1880,39.5,612,12.9,451,73.7,161,26.3,{B2B7455E-E7E6-4003-822D-5E86633B2955},
785,023314,13089023314,233.14,ARC 10,4811,94.4,4714,92.5,2838,55.7,1876,36.8,283,5.6,283,100,0,0,{CD7D8993-9CFA-453F-BAC5-650293657050},
786,023115,13089023115,231.15,ARC 10,2870,93.1,2822,91.5,1749,56.7,1073,34.8,213,6.9,61,28.6,152,71.4,{4635255D-76B7-49AC-B019-05BCCF67C4CD},
787,023413,13089023413,234.13,ARC 10,3299,96.7,3285,96.3,1991,58.4,1294,37.9,111,3.3,70,63.1,41,36.9,{CA61B869-AFD7-4FF7-AECD-F97A0C069EB0},
788,023414,13089023414,234.14,ARC 10,6348,97.9,6317,97.5,3861,59.6,2456,37.9,133,2.1,77,57.9,56,42.1,{79B5A82C-DFCA-4271-8510-E66138FB2802},
789,023206,13089023206,232.06,ARC 10,6974,91,6864,89.6,3903,50.9,2961,38.6,690,9,405,58.7,285,41.3,{54BEFF6C-6BFA-4A0A-92E1-9D159FF85594},
790,021907,13089021907,219.07,ARC 10,7754,86.4,7557,84.2,3705,41.3,3852,42.9,1221,13.6,824,67.5,397,32.5,{EAAAE826-05C7-4009-A58E-2B7D8A895B11},
791,023204,13089023204,232.04,ARC 10,6346,88.5,6246,87.1,3483,48.6,2763,38.5,824,11.5,645,78.3,179,21.7,{A50EBC85-FE5F-45ED-976E-88CCBE9F8498},
792,023113,13089023113,231.13,ARC 10,3074,90.5,3021,88.9,1991,58.6,1030,30.3,323,9.5,39,12.1,284,87.9,{0D44AB23-B6B2-4832-B453-17682F39E318},
793,022010,13089022010,220.10,ARC 10,1340,50.2,1164,43.6,615,23,549,20.6,1329,49.8,270,20.3,1059,79.7,{08C329F7-526A-4ADE-AF49-9CBF2FFCD037},
794,023111,13089023111,231.11,ARC 10,1737,84.6,1724,83.9,1201,58.5,523,25.5,317,15.4,220,69.4,97,30.6,{1FF0A25D-CADA-4E0C-A9F7-D938430015D4},
795,021814,13089021814,218.14,ARC 10,3417,60.5,3256,57.6,1730,30.6,1526,27,2234,39.5,370,16.6,1864,83.4,{6386BFA6-5C2A-49F3-8EF5-7D7C18FB54CF},
796,021409,13089021409,214.09,ARC 10,2089,56.3,2050,55.3,1300,35,750,20.2,1621,43.7,447,27.6,1174,72.4,{5988C534-2687-4FAE-BCD2-267123625991},
797,021218,13089021218,212.18,ARC 10,3980,82.5,3946,81.8,1604,33.3,2342,48.5,844,17.5,397,47,447,53,{67FBE04A-C496-4148-AD60-F7F9B9A0C7FF},
798,023507,13089023507,235.07,ARC 10,3744,96.7,3643,94.1,2671,69,972,25.1,126,3.3,69,54.8,57,45.2,{72962AA7-ECAD-4DB5-BE0C-B23A360807EF},
799,023412,13089023412,234.12,ARC 10,5917,91.2,5862,90.3,4280,65.9,1582,24.4,574,8.8,404,70.4,170,29.6,{2E513084-C968-4587-81DB-67BD14B1F236},
800,023416,13089023416,234.16,ARC 10,7113,89.8,7016,88.5,3658,46.2,3358,42.4,811,10.2,425,52.4,386,47.6,{DE9BE576-782B-4086-8E8F-D0B2B35EC09B},
801,023102,13089023102,231.02,ARC 10,2955,91.5,2911,90.1,1717,53.2,1194,37,275,8.5,167,60.7,108,39.3,{BE3292DB-BCAD-44E9-9F4C-3936D6B8FF98},
802,023000,13089023000,230,ARC 10,2020,96.4,1933,92.2,927,44.2,1006,48,76,3.6,65,85.5,11,14.5,{B1BE018D-7BB5-4DA0-B74A-F504AA9CD703},
803,021906,13089021906,219.06,ARC 10,4556,86.9,4527,86.4,2305,44,2222,42.4,685,13.1,377,55,308,45,{4E138E63-B33D-4BAB-A870-D3FB2F6A9E67},
804,021217,13089021217,212.17,ARC 10,1856,75.3,1813,73.5,782,31.7,1031,41.8,610,24.7,442,72.5,168,27.5,{977A60A1-C667-430B-AAAC-BA13F51BCF0E},
805,021215,13089021215,212.15,ARC 10,2699,45.4,2627,44.2,1302,21.9,1325,22.3,3246,54.6,480,14.8,2766,85.2,{340BC737-6FA3-42DC-A7F5-7C6D83E25D60},
806,021414,13089021414,214.14,ARC 10,2306,58.1,2268,57.1,1254,31.6,1014,25.5,1663,41.9,150,9,1513,91,{2741290C-B98A-41AA-97FC-ABB71F855B28},
807,021101,13089021101,211.01,ARC 10,3367,89,3360,88.8,1700,44.9,1660,43.9,417,11,333,79.9,84,20.1,{C3C18B96-B5F2-4B14-99D4-257D96019CE0},
808,023316,13089023316,233.16,ARC 10,6988,86.8,6856,85.1,2957,36.7,3899,48.4,1064,13.2,608,57.1,456,42.9,{1C0BCCD1-394D-4A95-BEEE-37CDFAECB1A3},
809,023313,13089023313,233.13,ARC 10,4203,85.2,4170,84.5,2107,42.7,2063,41.8,729,14.8,319,43.8,410,56.2,{E1A537D4-81A4-4F6B-8ECB-7B9A000DD9C7},
810,022900,13089022900,229,ARC 10,3439,93.5,3384,92,1893,51.5,1491,40.5,239,6.5,164,68.6,75,31.4,{08FB22D8-2A2B-4F86-94E1-86A16C38CB5C},
811,022800,13089022800,228,ARC 10,3467,90.3,3425,89.2,1557,40.5,1868,48.6,374,9.7,234,62.6,140,37.4,{610742C5-A66D-441A-81BB-477850A1780B},
812,022600,13089022600,226,ARC 10,5214,92.7,5098,90.6,2122,37.7,2976,52.9,410,7.3,233,56.8,177,43.2,{CBE8E027-85B3-40F3-9F7A-5ABDDE69135C},
813,022500,13089022500,225,ARC 10,5600,89.6,5446,87.1,2802,44.8,2644,42.3,653,10.4,381,58.3,272,41.7,{B9DF6884-19CB-46DC-AF89-E537EDACF77E},
814,022100,13089022100,221,ARC 10,3199,88.8,3129,86.9,2292,63.6,837,23.2,402,11.2,229,57,173,43,{9E53B987-212B-43DA-943D-D11ABA7DDEEC},
815,022005,13089022005,220.05,ARC 10,2750,59.9,2746,59.8,1518,33.1,1228,26.7,1841,40.1,687,37.3,1154,62.7,{58D5F651-C67C-4426-AEDA-396728BC2094},
816,023214,13089023214,232.14,ARC 10,5772,94.8,5546,91.1,3244,53.3,2302,37.8,314,5.2,105,33.4,209,66.6,{A8F41C74-F833-4AC0-99B9-A7D08C56D5D1},
817,022203,13089022203,222.03,ARC 10,1662,79.5,1651,79,680,32.5,971,46.5,428,20.5,161,37.6,267,62.4,{EAF1EE1B-BC0B-458D-B5F7-BF7C1D7E7EF8},
818,022009,13089022009,220.09,ARC 10,3525,69.3,3458,67.9,1977,38.8,1481,29.1,1565,30.7,408,26.1,1157,73.9,{E1859194-EBD7-4F3C-8AEC-3503625AF9DA},
819,021913,13089021913,219.13,ARC 10,3845,82.8,3642,78.4,1896,40.8,1746,37.6,800,17.2,413,51.6,387,48.4,{C347EC89-B5E7-4AA5-A2AC-F625E0435F87},
820,021813,13089021813,218.13,ARC 10,1920,67.2,1781,62.3,898,31.4,883,30.9,939,32.8,127,13.5,812,86.5,{C6CAF71D-55DB-492E-BBED-F6EC61860518},
821,021605,13089021605,216.05,ARC 10,4435,80.3,4353,78.8,2248,40.7,2105,38.1,1089,19.7,538,49.4,551,50.6,{5A8CAD33-D247-4113-977D-FAEEBA379D3C},
822,021308,13089021308,213.08,ARC 10,2390,58.3,2377,58,1508,36.8,869,21.2,1709,41.7,358,20.9,1351,79.1,{8415D41F-D9D9-4B49-BBDF-824D819DF238},
823,022004,13089022004,220.04,ARC 10,3871,64.2,3664,60.8,2227,37,1437,23.8,2155,35.8,1436,66.6,719,33.4,{A71071F4-30EA-4F79-802C-31A5C8F212AC},
824,022008,13089022008,220.08,ARC 10,2805,33.5,2766,33.1,1782,21.3,984,11.8,5562,66.5,910,16.4,4652,83.6,{70351F6D-97B4-445D-A89D-352C5EBC5E4C},
825,021909,13089021909,219.09,ARC 10,5484,83,5256,79.5,3535,53.5,1721,26,1127,17,722,64.1,405,35.9,{3D875287-B88F-47C4-AAE4-BBF2CB880D29},
826,022001,13089022001,220.01,ARC 10,3834,88.4,3799,87.6,1982,45.7,1817,41.9,505,11.6,289,57.2,216,42.8,{3DBB33F3-F853-430F-905D-3680659C875A},
827,023108,13089023108,231.08,ARC 10,4578,96.6,4569,96.4,3208,67.7,1361,28.7,162,3.4,68,42,94,58,{CE7430A3-C98F-49F4-93A0-D51D3D4FF1D1},
828,020200,13089020200,202,ARC 10,1937,92.7,1922,92,841,40.3,1081,51.7,152,7.3,66,43.4,86,56.6,{755E2762-3CE5-4CD0-8C35-F57DACD959E7},
829,021306,13089021306,213.06,ARC 10,2844,55.5,2764,54,1602,31.3,1162,22.7,2278,44.5,322,14.1,1956,85.9,{7071F25D-68D6-49A2-9016-3EF4BB09C973},
