OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,U_S__Native,Percent_U_S__Native,USnative_Born_in_US,Pct_USnative_Born_US,USnative_Born_State_Resid,Pct_USnative_Born_State_Resid,US_Native_Born_Diff_State,Pct_US_Natv_Born_inDiff_State,Foreign_Born,Percent_Foreign_Born,ForBorn_Nat_UScitizen,Pct_ForBorn_Nat_UScitizen,ForeignBorn_notUS_Citizen,Pct_ForBorn_notUS_Citizen,GlobalID,last_edited_date
582,005502,13121005502,55.02,ARC 10,2401,99.1,2378,98.2,1696,70,682,28.2,21,0.9,0,0,21,100,{B381B804-6871-4F44-927D-D8BE8E8AB4C0},
583,008202,13121008202,82.02,ARC 10,2038,99.5,2031,99.2,1616,78.9,415,20.3,10,0.5,7,70,3,30,{79A31B92-EABF-424E-BF49-F82B59ED3A93},
584,010513,13121010513,105.13,ARC 10,12072,92.6,11932,91.5,7980,61.2,3952,30.3,965,7.4,176,18.2,789,81.8,{718AD9F0-F800-4CD4-A4FC-1C273F7EE405},
585,010304,13121010304,103.04,ARC 10,14632,95.1,14506,94.3,8249,53.6,6257,40.7,756,4.9,287,38,469,62,{3063F22B-886B-471B-9E94-F84883B40CBC},
586,010303,13121010303,103.03,ARC 10,9299,97.9,9222,97.1,5873,61.9,3349,35.3,195,2.1,94,48.2,101,51.8,{692460B4-8969-4631-A011-AEA200875FD8},
587,010514,13121010514,105.14,ARC 10,10782,91.3,10782,91.3,6512,55.2,4270,36.2,1023,8.7,385,37.6,638,62.4,{FB7FE5D9-FED0-4453-938E-5A14A0A15B20},
588,010301,13121010301,103.01,ARC 10,15310,94.4,15182,93.6,7971,49.1,7211,44.5,909,5.6,619,68.1,290,31.9,{CD2C6AE7-8278-463F-B62C-B8842639B84B},
589,010400,13121010400,104,ARC 10,7873,93,7816,92.4,5785,68.4,2031,24,590,7,257,43.6,333,56.4,{272F2837-67A0-42BA-B70D-2B0CED95F766},
590,011421,13121011421,114.21,ARC 10,2605,67.8,2401,62.5,1084,28.2,1317,34.3,1238,32.2,97,7.8,1141,92.2,{94C65666-E4C7-4EB6-A84A-499A341B25AA},
591,011416,13121011416,114.16,ARC 10,4535,86.3,4406,83.8,1695,32.2,2711,51.6,721,13.7,508,70.5,213,29.5,{B5CF82F4-ED37-4284-9503-A88E06E0E4A1},
592,011506,13121011506,115.06,ARC 10,5866,92.6,5780,91.2,2036,32.1,3744,59.1,471,7.4,342,72.6,129,27.4,{DAEBC2AB-1D74-4A2E-981C-B418947FB93A},
593,011417,13121011417,114.17,ARC 10,4312,89.9,4232,88.2,1739,36.3,2493,52,484,10.1,409,84.5,75,15.5,{0AA81665-45AB-4261-99D5-C6DE6015BFAC},
594,007001,13121007001,70.01,ARC 10,4666,97.9,4642,97.4,3922,82.3,720,15.1,98,2.1,86,87.8,12,12.2,{4A6AB282-E1DA-4389-A15C-755D7286CB75},
595,006700,13121006700,67,ARC 10,3653,97.6,3597,96.2,2397,64.1,1200,32.1,88,2.4,51,58,37,42,{C12685A5-3BA3-4466-A3F4-87F0D6A6ADC9},
596,006300,13121006300,63,ARC 10,1604,97.2,1604,97.2,1364,82.7,240,14.5,46,2.8,10,21.7,36,78.3,{C5089E88-D436-4A29-BDB4-C9C2AD1F0E23},
597,005700,13121005700,57,ARC 10,1630,98.5,1624,98.1,1152,69.6,472,28.5,25,1.5,16,64,9,36,{518D4DD0-BE70-4C6B-98F0-CFC1BF88B98E},
598,006500,13121006500,65,ARC 10,4100,95.7,4072,95.1,3215,75.1,857,20,183,4.3,163,89.1,20,10.9,{C868C618-52BB-42B6-A6C0-00007D03AD69},
599,005501,13121005501,55.01,ARC 10,2432,96,2432,96,1670,65.9,762,30.1,101,4,50,49.5,51,50.5,{A05E62CB-31D2-4DE8-84F5-7DC274678FEF},
600,004900,13121004900,49,ARC 10,2731,94.5,2685,92.9,1324,45.8,1361,47.1,160,5.5,75,46.9,85,53.1,{F3B0A827-A556-4AA1-8C23-D44EB6BBFBAA},
601,004800,13121004800,48,ARC 10,855,81.6,848,80.9,416,39.7,432,41.2,193,18.4,47,24.4,146,75.6,{E3388A9C-059C-4E6F-AD41-E7A693A42A9F},
602,002800,13121002800,28,ARC 10,4194,90.1,4095,88,2368,50.9,1727,37.1,460,9.9,181,39.3,279,60.7,{F97CCF59-22F3-4D4F-B166-CD5A6252F746},
603,011419,13121011419,114.19,ARC 10,4920,87.3,4864,86.3,1752,31.1,3112,55.2,718,12.7,318,44.3,400,55.7,{C306F8E8-6EEB-4AE1-8E24-4FB619D8D1A9},
604,011503,13121011503,115.03,ARC 10,9316,92.7,9148,91.1,3990,39.7,5158,51.3,729,7.3,605,83,124,17,{775E84B8-163E-458F-9387-38D970C3B264},
605,011615,13121011615,116.15,ARC 10,8680,87,8581,86,3318,33.3,5263,52.7,1298,13,933,71.9,365,28.1,{3ED66BBF-1522-4A18-A183-A8728F93BCEA},
606,011504,13121011504,115.04,ARC 10,11524,89.9,11323,88.3,3941,30.7,7382,57.6,1297,10.1,720,55.5,577,44.5,{C1199EC7-6190-474D-ABA4-624A0D9D5381},
607,010515,13121010515,105.15,ARC 10,4453,92.6,4413,91.8,2488,51.7,1925,40,356,7.4,193,54.2,163,45.8,{D5F3FEFA-1C0A-4A0C-BFE2-E3798F18DA33},
608,010516,13121010516,105.16,ARC 10,8553,95.7,8535,95.5,5747,64.3,2788,31.2,380,4.3,35,9.2,345,90.8,{4AAE3482-10EC-442C-867D-19AE7CFC2B3D},
609,010120,13121010120,101.20,ARC 10,1839,79.9,1839,79.9,680,29.5,1159,50.3,463,20.1,270,58.3,193,41.7,{8DDB03A5-6624-4ED0-8900-BC91F40EC643},
610,010117,13121010117,101.17,ARC 10,2747,82.4,2672,80.2,1155,34.7,1517,45.5,585,17.6,132,22.6,453,77.4,{47720192-7470-4E0F-9617-B5193C6D5A23},
611,001800,13121001800,18,ARC 10,4048,89.4,4018,88.7,1744,38.5,2274,50.2,481,10.6,153,31.8,328,68.2,{49E57DC4-DD40-4966-9AEF-CC9B9552DDDF},
612,001300,13121001300,13,ARC 10,3986,88,3889,85.9,1307,28.9,2582,57,543,12,320,58.9,223,41.1,{8815AC8F-ED30-4DDC-84E8-BA3E4E4DA737},
